"TID","RU"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Дополнительная награда за достижение\nвершины глобального списка лидеров"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Награда конца сезона"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Списки лидеров"
"TID_PRO_LEAGUE_SEASON_END_TIME","ДО КОНЦА СЕЗОНА"
"TID_PRO_LEAGUE_POPUP_TITLE","СИЛОВАЯ ГОНКА"
"TID_EVENT_LABEL_PRO_LEAGUE","СИЛОВАЯ ГОНКА"
"TID_PRO_LEAGUE_POPUP_INFO","Испытай себя в СИЛОВОЙ ГОНКЕ! Сражайся в 3 боях каждый день и продвигайся к вершине сезонного списка лидеров. В конце сезона ты получишь звёздные очки за набранные в сезоне очки и место в глобальном списке лидеров."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","ТЕКУЩИЙ СЕЗОН"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","ПРОШЛЫЙ СЕЗОН"
"TID_PRO_LEAGUE_LABEL","СИЛОВАЯ ГОНКА"
"TID_TEAM_ERROR_38","Выбери бойца с 10-м уровнем силы!"
"TID_TEAM_ERROR_39","Все игры СИЛОВОЙ ГОНКИ на сегодня проведены!"
"TID_PRO_LEAGUE_GAMES","ИГРЫ: <GAMESLEFT> ИЗ <MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","СЕЗОН СИЛОВОЙ ГОНКИ ЗАКОНЧИЛСЯ"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Твои очки"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Твоё место"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Звёздные очки"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Конец сезона СИЛОВОЙ ГОНКИ: получено <AMOUNT> <cff00ff>звёздных очков!</c>"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Эпическая победа (+3 очка):"
"TID_OVERWHELMING_VICTORY_GMV_0","победите до того, как появится 15-й кристалл."
"TID_OVERWHELMING_VICTORY_GMV_5","победите со счётом 2:0."
"TID_OVERWHELMING_VICTORY_GMV_2","сохраните не менее 60 % очков здоровья своего сейфа."
"TID_OVERWHELMING_VICTORY_GMV_11","сохраните не менее 80 % очков здоровья своей базы."
"TID_OVERWHELMING_VICTORY_GMV_3","наберите хотя бы на 10 звёзд больше, чем противник."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Получай очки за место по итогам боя."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","30 очков за победу, 15 очков за ничью и 5 утешительных очков за поражение."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","ОЧКИ"
"TID_DOUBLE_TOKEN_WEEKEND","СОБЫТИЕ С УДВОЕННЫМИ ЖЕТОНАМИ"
"TID_COIN_SHOWER_EVENT","СОБЫТИЕ С ЛАВИНОЙ МОНЕТ"
"TID_RANKS_ADDED_TITLE","Новые ранги для бойцов"
"TID_RANKS_ADDED_DESC","Максимальный ранг бойца вырос с 20-го до 35-го.\n\nТы получаешь звёздные очки (<cff00ff><STARPOINTS></c>) и жетоны (<TOKENS>) за всех бойцов, достигших какого-либо из этих новых рангов."
"TID_SKINS_TITLE","СКИНЫ"
"TID_SKINS_BUTTON_LABEL","СКИНЫ"
"TID_SKIN_PREVIEW","ПРЕДПРОСМОТР СКИНА"
"TID_DEFAULT_SKIN","<HERO>: СТАНДАРТНЫЙ СКИН"
"TID_HERO_LVL_UP_MATERIAL","монеты"
"TID_TOKENS","жетоны"
"TID_FIRST_WINS","звёздные жетоны"
"TID_BUTTON_INBOX","ВХОДЯЩИЕ"
"TID_INBOX_TITLE","ВХОДЯЩИЕ"
"TID_INBOX_SYSTEM_SENDER","Система"
"TID_INBOX_SUPPORT_SENDER","Служба поддержки"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> назад"
"TID_INBOX_CLAIM","ЗАБРАТЬ"
"TID_INBOX_VIEW","СМОТРЕТЬ"
"TID_INBOX_TAB_0","КЛУБ"
"TID_INBOX_TAB_1","ЛИЧНЫЕ"
"TID_INBOX_NO_ENTRIES","НИЧЕГО НЕТ"
"TID_INBOX_CAPTION_99","Сезон закончился."
"TID_INBOX_CAPTION_94","Вы получаете скин: <NAME>"
"TID_INBOX_CAPTION_93","Вы получаете бойца: <NAME>"
"TID_INBOX_CAPTION_92","<NAME>: вы получаете очки силы (<AMOUNT>) для этого бойца"
"TID_INBOX_CAPTION_91","Вы получаете билеты (<AMOUNT>)"
"TID_INBOX_CAPTION_90","Вы получаете <NAME> (<AMOUNT>)"
"TID_INBOX_CAPTION_89","Вы получаете кристаллы (<AMOUNT>)"
"TID_INBOX_CAPTION_88","Вы получаете удвоитель жетонов (<AMOUNT>)"
"TID_INBOX_CAPTION_85","С вашего счёта списаны кристаллы (<AMOUNT>)"
"TID_INBOX_CAPTION_84_4","<NAME>: вы получаете звёздную силу «<ABI>» для этого бойца"
"TID_INBOX_CAPTION_84_5","<NAME>: вы получаете гаджет «<ABI>» для этого бойца"
"TID_INBOX_CAPTION_78","Новые ранги для бойцов: 21-30!"
"TID_INBOX_CAPTION_76","Онлайн-этап РАЗБЛОКИРОВАН!"
"TID_INBOX_CAPTION_75","Награда за победу в испытании «<CHALLENGE>»:\n<NAME>"
"TID_INBOX_NEW","НОВОЕ!"
"TID_BAND_MAIL_POPUP_TITLE","КЛУБ"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Напиши сообщение..."
"TID_BAND_MAIL_POPUP_POST","ОТПРАВИТЬ"
"TID_BAND_MAIL_POPUP_NO_MSG","Сначала напиши сообщение"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Недоступно для демонстрационных учётных записей."
"TID_REVOKE_TITLE","Сообщение службы поддержки"
"TID_REVOKE_OK","Понятно"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Нельзя отправить запрос на вступление. Ты уже в команде."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Нельзя отправить запрос на вступление.\nСначала рассмотри приглашение в команду."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Нельзя отправить запрос на вступление. Другой твой запрос ожидает рассмотрения."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Запрос на вступление отменён."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","Я ХОЧУ ВСТУПИТЬ В ВАШУ КОМАНДУ"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ПОБЕДА</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>ПОРАЖЕНИЕ</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>НИЧЬЯ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>МЕСТО: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>МЕСТО: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>МЕСТО: <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> назад"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","УР."
"TID_BATTLE_LOG_TVST_VERSUS","ПРОТИВ"
"TID_BATTLE_LOG_TITLE","ДАННЫЕ БОЯ"
"TID_BATTLE_LOG_REPLAY","ПОВТОР"
"TID_BATTLE_LOG_SURVIVED_FOR","Время выживания: <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Мегабоец побеждён за <TIME>"
"TID_BATTLE_LOG_MVP","ЗВЁЗДНЫЙ ИГРОК"
"TID_BATTLE_LOG_FRIENDLY","ДРУЖЕСКИЙ"
"TID_BATTLE_LOG_TOURNAMENT","ТУРНИР"
"TID_BATTLE_LOG_PVP","РАНГОВЫЙ"
"TID_BATTLE_LOG_PRO_LEAGUE","СИЛОВАЯ ГОНКА"
"TID_BATTLE_LOG_NO_ENTRIES","НЕТ ЗАПИСЕЙ"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Это бот"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Повторы сейчас отключены"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Повтор ещё не доступен"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Повтор недоступен: у бойца слишком мало трофеев"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Собери <NUM> трофеев бойца, чтобы разблокировать возможность повторов"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Повтор недоступен: ошибка записи"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Повтор больше не доступен"
"TID_PLAYER_XP_LEVEL","УРОВЕНЬ"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Не удалось добавить друга"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Срок действия ссылки для приглашения друга истёк!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Не удалось добавить друга, список друзей пользователя переполнен!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Не удалось добавить друга, твой список друзей переполнен!"
"TID_ADD_FRIEND_FAILED_BANNED","Не удалось добавить друга, пользователь заблокирован!"
"TID_KEYPOOL_KEYS_REMAINING","Ещё <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> жетонов через <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Следующая награда"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Подтверждение получения альтернативной награды"
"TID_RANK_UP_REWARD_REPLACED_POWER","Ни один боец не может быть выбран для получения <AMOUNT> очков силы.\n\nВозьмёшь вместо этого альтернативную награду?"
"TID_RANK_UP_REWARD_REPLACED_HERO","У тебя уже есть <NAME>, поэтому ты получишь альтернативную награду."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ПРЕДЛОЖИТЬ ДРУЖИТЬ"
"TID_PLAYER_INFO_REMOVE_FRIEND","УДАЛИТЬ ИЗ СПИСКА ДРУЗЕЙ"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ПРЕДЛОЖЕНИЕ ОТПРАВЛЕНО"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","ДРУГ\nВ ИГРЕ"
"TID_POWER_POINTS","ОЧКИ СИЛЫ"
"TID_HERO_INFO_LEVEL","СИЛА"
"TID_HERO_INFO_LEVEL_LONG","УРОВЕНЬ СИЛЫ"
"TID_HERO_INFO_RANK","РАНГ"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","ПОВЫСИТЬ УРОВЕНЬ СИЛЫ ДО <LVL>-ГО"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","НАЖМИ СНОВА ДЛЯ ПОДТВЕРЖДЕНИЯ"
"TID_HERO_INFO_MAX_LEVEL","МАКСИМАЛЬНАЯ СИЛА"
"TID_HERO_INFO_MORE_POWER_NEEDED","Собери больше очков силы, чтобы улучшить!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","У бойца не хватает очков силы!"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","У тебя не хватает монет!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Боец достиг максимального уровня силы!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","НАЧАЛЬНЫЙ БОЕЦ"
"TID_HERO_INFO_STAR_POWER_EQUIP","ВЫБРАТЬ"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","ВЫБРАНО"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Жалоба отправлена!"
"TID_TOO_MANY_REPORTS_SENT","Достигнут ежедневный лимит жалоб!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Подожди, прежде чем отправлять новую жалобу."
"TID_CHOOSE_CHARACTER","ВЫБЕРИ БОЙЦА"
"TID_ARMOR","ЗДОРОВЬЕ"
"TID_ARMOR_DESC","Отражает количество урона, которое может выдержать боец."
"TID_SHOTGUN_GIRL","ШЕЛЛИ"
"TID_SHOTGUN_GIRL_DESC","Шелли обрушивает на вражескую команду шквал дроби из ружья. Её Супер уничтожает укрытия и держит противников на расстоянии!"
"TID_LONG_RANGE_SHOTGUN","КАРТЕЧЬ"
"TID_LONG_RANGE_SHOTGUN_DESC","Громобой Шелли выпускает сноп пуль на среднюю дистанцию. Чем больше пуль достигает цели, тем больше урон."
"TID_MEGA_BLASH_ULTI","СУПЕРОБСТРЕЛ"
"TID_MEGA_BLASH_ULTI_DESC","Суперобстрел Шелли сносит и укрытия, и врагов. Выживших отбрасывает назад."
"TID_GUNSLINGER","КОЛЬТ"
"TID_GUNSLINGER_DESC","Выстрелы из револьверов Кольта невероятно точны. Его Супер крошит укрытия и преодолевает ещё большую дистанцию!"
"TID_RAPID_FIRE","ПОЛНАЯ ОБОЙМА"
"TID_RAPID_FIRE_DESC","Кольт делает шесть выстрелов большой дальности из револьверов."
"TID_RAPID_FIRE_ULTI","ПУЛЕВОЙ ШТОРМ"
"TID_RAPID_FIRE_ULTI_DESC","Пули из револьверов Кольта покрывают огромное расстояние и уничтожают укрытия."
"TID_BULL_DUDE","БУЛЛ"
"TID_BULL_DUDE_DESC","Ружьё Булла наносит серьёзный урон на небольшой дистанции. Его Супер позволяет ему прорываться сквозь препятствия и отбрасывать врагов назад!"
"TID_SHOTGUN_BLAST","ДВУСТВОЛКА"
"TID_SHOTGUN_BLAST_DESC","Двустволка Булла наносит серьёзный урон, но обладает малой дальностью. Поэтому Булл предпочитает тесное общение."
"TID_CHARGE","БУЛЬДОЗЕР"
"TID_CHARGE_DESC","Нагнув голову, Булл проносится сквозь врагов и препятствия. Упорство — его второе я."
"TID_ROCKET_GIRL","БРОК"
"TID_ROCKET_GIRL_DESC","Взрывная ракета Брока летит на большую дистанцию. Его Супер — сметающий укрытия дождь из баллистических ракет!"
"TID_FIREWORKS_WEAPON","РОКОВАЯ РАКЕТА"
"TID_FIREWORKS_WEAPON_DESC","Выпущенная Броком роковая ракета летит высоко и далеко."
"TID_FIREWORKS_ULTI","РАКЕТНЫЙ ДОЖДЬ"
"TID_FIREWORKS_ULTI_DESC","Заградительный ракетный огонь Брока сметает препятствия и врагов. Он искупает тебя под ракетным дождём!"
"TID_TNT_DUDE","ДИНАМАЙК"
"TID_TNT_DUDE_DESC","Динамайк бросает пару динамитных шашек. Его Супер — начиненная динамитом бочка, которая разносит укрытия в щепки!"
"TID_MORTAR","ЛОПНУВШЕЕ ТЕРПЕНИЕ"
"TID_MORTAR_DESC","Брошенная Майком пара шашек легко преодолеет препятствия, а начиняющий их динамит взрывоопасен, как характер Майка!"
"TID_MORTAR_ULTI","БОЛЬШОЙ БА-БАХ"
"TID_MORTAR_ULTI_DESC","Супермегамощный взрыв сносит укрытия. Выживших врагов отбрасывает взрывной волной!"
"TID_LUCHADOR","ЭЛЬ ПРИМО"
"TID_LUCHADOR_DESC","Эль Примо обрушивает на врагов град ударов. Его Супер, удар локтем в прыжке, наносит урон всем, кто оказался рядом!"
"TID_LUCHADOR_WEAPON","КУЛАКИ ЯРОСТИ"
"TID_LUCHADOR_WEAPON_DESC","Эль Примо наносит четыре неистовых удара своими мощными кулаками."
"TID_LUCHADOR_ULTI","МОГУЧИЙ ЛОКОТЬ"
"TID_LUCHADOR_ULTI_DESC","Высоко подпрыгнув, Эль Примо с силой обрушивает вниз локоть, разбрасывая в стороны врагов и разрушая укрытия."
"TID_TRICKSHOT_DUDE_OLD","РИКОШЕТ"
"TID_TRICKSHOT_DUDE_DESC","Выпущенные Рико пули могут отскакивать от стен. Его Супер преодолевает большую дистанцию и насквозь прошивает цель!"
"TID_TRICKSHOT_DUDE_WEAPON","ПРУЖИНЯЩИЕ ПУЛИ"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Отскакивая от стен, пули Рико летят ещё дальше и могут достать спрятавшихся в укрытии врагов."
"TID_TRICKSHOT_DUDE_ULTI","КОРОННЫЙ УДАР"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Рико выпускает длинную очередь, которая прошивает врагов и может покрывать ещё большую дистанцию, отскакивая от стен."
"TID_CACTUS","СПАЙК"
"TID_CACTUS_DESC","Спайк бросает кактусные гранаты, осыпающие всё вокруг иголками. Его ошеломительный Супер создаёт поле с шипами, замедляющее врагов и наносящее им урон!"
"TID_CACTUS_WEAPON","ИГОЛОЧНАЯ ГРАНАТА"
"TID_CACTUS_WEAPON_DESC","Спайк бросает маленький кактус, который взрывается и осыпает всё вокруг иголками."
"TID_CACTUS_ULTI","ПРИГВОЗДИЛ!"
"TID_CACTUS_ULTI_DESC","Спайк бросает шипастую гранату, которая наносит урон и замедляет врагов, попавших в зону взрыва."
"TID_BARKEEP","БАРЛИ"
"TID_BARKEEP_DESC","Барли атакует, швыряя во врага бутылку; урон наносится брызгами. Его Супер — шквал бутылок, наполненных зажигательной смесью!"
"TID_BARKEEP_WEAPON","НЕРАЗБАВЛЕННАЯ СМЕСЬ"
"TID_BARKEEP_WEAPON_DESC","Барли швыряет бутылку, и она разбивается о землю. Разлетевшиеся брызги наносят урон врагам. Те из них, кто остаются в луже, продолжают получать урон."
"TID_BARKEEP_ULTI","ПОСЛЕДНИЙ ЗАКАЗ"
"TID_BARKEEP_ULTI_DESC","Обрушив шквал огненных бутылок, Барли заливает огнём огромную площадь. За счёт заведения!"
"TID_MECHANIC","ДЖЕССИ"
"TID_MECHANIC_DESC","Шоковая винтовка Джесси выстреливает энергосферой, отскакивающей от врага к врагу. Её Супер — установка милой, но смертоносной турели!"
"TID_MECHANIC_WEAPON","ШОКОВАЯ ВИНТОВКА"
"TID_MECHANIC_WEAPON_DESC","Попав в цель, выпущенная из винтовки Джесси энергосфера отскакивает к следующей цели в зоне действия и может таким образом поразить до трёх врагов."
"TID_MECHANIC_ULTI","СКРАППИ!"
"TID_MECHANIC_ULTI_DESC","Джесси Джанкер устанавливает автоматически стреляющую по врагам турель. Сделана из 100-процентного вторсырья!"
"TID_SHAMAN","НИТА"
"TID_SHAMAN_DESC","Нита атакует врагов волной энергии. Её Супер призывает огромного медведя, который сражается рядом с ней!"
"TID_SHAMAN_WEAPON","ДРЕВНЯЯ СИЛА"
"TID_SHAMAN_WEAPON_DESC","Выпускаемая Нитой волна энергии наносит урон всем попавшим в неё врагам."
"TID_SHAMAN_ULTI","МЕДВЕЖУТЬ"
"TID_SHAMAN_ULTI_DESC","Нита призывает дух большого медвежонка, чтобы вместе охотиться на врагов."
"TID_UNDERTAKER","МОРТИС"
"TID_UNDERTAKER_DESC","Мортис прыгает вперёд с каждым взмахом своей лопаты. Его Супер призывает стаю летучих мышей, наносящих урон врагам и исцеляющих его самого!"
"TID_UNDERTAKER_WEAPON","ВЗМАХ ЛОПАТОЙ"
"TID_UNDERTAKER_WEAPON_DESC","Прыжок и точный взмах лопатой — и у Мортиса вновь полно работы."
"TID_UNDERTAKER_ULTI","КРОВЬ ЖИЗНИ"
"TID_UNDERTAKER_ULTI_DESC","Мортис призывает стаю летучих мышей-вампиров, высасывающих здоровье у врагов и восстанавливающих его собственное. Брр!"
"TID_CROW","ВОРОН"
"TID_CROW_DESC","Ворон бросает три отравленных кинжала. Его Супер — стремительный прыжок, в начале и конце которого Ворон разбрасывает по сторонам кинжалы!"
"TID_CROW_WEAPON","КЛИНКИ"
"TID_CROW_WEAPON_DESC","Ворон бросает три кинжала. Враги, задетые отравленными клинками, постепенно теряют здоровье."
"TID_CROW_ULTI","НАЛЁТ"
"TID_CROW_ULTI_DESC","Взмывая в небо и возвращаясь на землю, Ворон окружает себя кольцом отравленных кинжалов."
"TID_DEAD_MARIACHI","ПОКО"
"TID_DEAD_MARIACHI_DESC","Поко атакует врагов разрушительной звуковой волной. Его Супер исцеляет его самого и товарищей по команде!"
"TID_DEAD_MARIACHI_WEAPON","МОЩНЫЙ АККОРД"
"TID_DEAD_MARIACHI_WEAPON_DESC","Ударив по струнам, Поко распространяет пронизывающую до костей звуковую волну, которая наносит урон всем задетым врагам."
"TID_DEAD_MARIACHI_ULTI","НА БИС!"
"TID_DEAD_MARIACHI_ULTI_DESC","Поко лечит себя и находящихся рядом друзей, исполняя воодушевляющую мелодию. Не оказывает влияния на врагов."
"TID_BOW_DUDE","БО"
"TID_BOW_DUDE_DESC","Бо выпускает три взрывные стрелы. Его Супер — установка трёх секретных взрывных ловушек!"
"TID_BOW_DUDE_WEAPON","ОРЛИНЫЙ ГЛАЗ"
"TID_BOW_DUDE_WEAPON_DESC","Три выпущенные Бо взрывные стрелы рвут врагов на части, как орлиные когти."
"TID_BOW_DUDE_ULTI","ОХОТА НА ЛИС"
"TID_BOW_DUDE_ULTI_DESC","Ловушки Бо взрываются после активации врагом с небольшой задержкой. Нанеся урон, они отбрасывают противников назад."
"TID_SNIPER","ПАЙПЕР"
"TID_SNIPER_DESC","Снайперские выстрелы Пайпер наносят больше урона на большей дистанции. Её Супер — три гранаты, бросив которые, она сбегает!"
"TID_SNIPER_WEAPON","ЗОНТОВКА"
"TID_SNIPER_WEAPON_DESC","Пайпер делает снайперский выстрел из наконечника своего зонта. Чем больше дистанция выстрела, тем он становится мощнее!"
"TID_SNIPER_ULTI","ПРОМЕНАД"
"TID_SNIPER_ULTI_DESC","Пайпер сбегает от назойливых поклонников, оставляя маленький сувенир на память: несколько гранат без чеки!"
"TID_MINIGUN_DUDE","ПЭМ"
"TID_MINIGUN_DUDE_DESC","Выстрелы Пэм усыпают всё вокруг шрапнелью. Её Супер — лечебная турель, восстанавливающая здоровье ей и товарищам по команде!"
"TID_MINIGUN_DUDE_WEAPON","БУРЯ ЛОМА"
"TID_MINIGUN_DUDE_WEAPON_DESC","Пэм осыпает округу кусками металлолома. Пожалуйста, наденьте защитные очки!"
"TID_MINIGUN_DUDE_ULTI","МАМОЧКИН ПОЦЕЛУЙ"
"TID_MINIGUN_DUDE_ULTI_DESC","Лечебная турель Пэм исцеляет её саму и всех товарищей, находящихся в зоне действия турели."
"TID_BONE_THROWER","Метатель костей"
"TID_BONE_THROWER_DESC","Ловко управляясь со своим массивным пулеметом, этот боец может уложить почти неограниченное количество врагов (низкая скорость перемещения, устойчивость к отбрасыванию)."
