"TID","NL"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Geen herhaling: te weinig knokkertrofeeën"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Behaal <NUM> knokkertrofeeën om herhalingen te ontgrendelen."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Geen herhaling: opname mislukt"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Herhaling niet langer beschikbaar"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Vriend kan niet worden toegevoegd."
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Vriendenlink is verlopen!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Vriend kan niet worden toegevoegd. Zijn vriendenlijst is vol!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Vriend kan niet worden toegevoegd. Je vriendenlijst is vol!"
"TID_ADD_FRIEND_FAILED_BANNED","Vriend kan niet worden toegevoegd. Speler is geblokkeerd."
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> over"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> tokens over <TIME>."
"TID_TOP_HUD_NEXT_REWARD","Volgende beloning"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Alternatieve beloning bevestigen"
"TID_RANK_UP_REWARD_REPLACED_POWER","Geen van je knokkers kan worden gekozen om <AMOUNT> krachtpunten aan te geven.\n\nWil je een alternatieve beloning?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Aangezien je <NAME> al hebt, krijg je een alternatieve beloning."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ALS VRIEND TOEVOEGEN"
"TID_PLAYER_INFO_REMOVE_FRIEND","VAN VRIENDENLIJST VERWIJDEREN"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","VERZOEK VERZONDEN"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","VRIEND\nIN HET SPEL"
"TID_POWER_POINTS","KRACHTPUNTEN"
"TID_HERO_INFO_LEVEL","KRACHT"
"TID_HERO_INFO_LEVEL_LONG","KRACHTLEVEL"
"TID_HERO_INFO_RANK","RANG"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","UPGRADEN NAAR KRACHTLEVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TIK OPNIEUW OM TE BEVESTIGEN"
"TID_HERO_INFO_MAX_LEVEL","MAX. KRACHT"
"TID_HERO_INFO_MORE_POWER_NEEDED","Verzamel meer kracht om te upgraden."
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Knokker heeft niet genoeg krachtpunten."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Je hebt te weinig munten."
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Knokker al op maximumlevel!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","STARTKNOKKER"
"TID_HERO_INFO_STAR_POWER_EQUIP","SELECTEREN"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","GESELECTEERD"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Speler gerapporteerd!"
"TID_TOO_MANY_REPORTS_SENT","Je dagelijkse rapporteerlimiet is bereikt!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Wacht voordat je een ander rapport verstuurt."
"TID_CHOOSE_CHARACTER","KNOKKER KIEZEN"
"TID_ARMOR","GEZONDHEID"
"TID_ARMOR_DESC","Geeft weer hoeveel opgelopen schade de knokker kan absorberen voor hij neervalt."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly's geweer beschiet het andere team met hagel. Haar superaanval vernietigt beschutting en houdt haar tegenstanders op afstand!"
"TID_LONG_RANGE_SHOTGUN","HAGEL"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's schietijzer vuurt kogeltjes af met een middellang bereik. Hoe meer kogeltjes het doelwit raken, hoe groter de schade."
"TID_MEGA_BLASH_ULTI","SUPERHULS"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's superhuls vernietigt zowel beschutting als vijanden. Eventuele overlevenden worden teruggeslagen."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt vuurt met zijn twee revolvers een nauwkeurig salvo van kogels af. Met zijn superaanval kan hij extra ver schieten en beschutting vernietigen!"
"TID_RAPID_FIRE","ZESSCHUTTER"
"TID_RAPID_FIRE_DESC","Colt vuurt zes rechte langeafstandsschoten af met zijn revolvers."
"TID_RAPID_FIRE_ULTI","KOGELSTORM"
"TID_RAPID_FIRE_ULTI_DESC","Colt vuurt een enorm salvo van kogels af die extra ver vliegen en beschutting vernietigen."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull richt op korte afstand enorme schade aan met zijn shotgun. Met zijn superaanval rent hij door barrières en slaat hij vijanden terug!"
"TID_SHOTGUN_BLAST","DUBBELLOOPS"
"TID_SHOTGUN_BLAST_DESC","Het dubbelloopsgeweer van Bull richt zware schade aan. Het heeft een kort bereik, dus Bull stapt graag op tegenstanders af."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull houdt zijn hoofd naar beneden en bulldozert over zijn vijanden en obstakels heen. Hij is gewoon een heethoofd."
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock vuurt een explosieve langeafstandsraket af op zijn vijanden. Zijn superaanval is een spervuur van raketten die beschutting vernietigen!"
"TID_FIREWORKS_WEAPON","ROCKENDE RAKET"
"TID_FIREWORKS_WEAPON_DESC","Brock vuurt een enkele rockende raket af die echt tot het uiterste gaat."
"TID_FIREWORKS_ULTI","RAKETTENREGEN"
"TID_FIREWORKS_ULTI_DESC","Brock vuurt een spervuur van raketten af die vijanden en obstakels uitschakelen. Hij wil je zien dansen in de rakettenregen."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike gooit twee dynamietstaven. Zijn superaanval bestaat uit een ton met dynamiet die beschutting opblaast!"
"TID_MORTAR","KORT LONTJE"
"TID_MORTAR_DESC","Mike gooit twee dynamietstaven, over obstakels heen als het moet. De lontjes zijn net zo kort als Mikes eigen lontje."
"TID_MORTAR_ULTI","GROTE BOEMTON"
"TID_MORTAR_ULTI_DESC","Een grote bim-bam-boemton van dynamiet blaast beschutting op. Overlevende vijanden worden teruggeslagen bij impact."
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo bevecht zijn vijanden met vurige vuisten. Met zijn superaanval springt hij hoog in de lucht en komt hij met een elleboogstoot neer. Vijanden die in de weg staan, lopen schade op!"
"TID_LUCHADOR_WEAPON","FURIEUZE VUISTEN"
"TID_LUCHADOR_WEAPON_DESC","El Primo vecht met vier vurige vuisten. Geen broodje aap, maar een broodje chilipepers met knokkels."
"TID_LUCHADOR_ULTI","VLIEGENDE ELLEBOOGSTOOT"
"TID_LUCHADOR_ULTI_DESC","Hij springt hoog de lucht in en komt met zijn intergalactische elleboogstoot neer. Alle omstanders worden omvergeslagen en beschutting wordt vernietigd."
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico vuurt een reeks kogels af die van de muren kaatsen. Zijn superaanval is een spervuur van kaatsende kogels die door vijanden heen gaan!"
"TID_TRICKSHOT_DUDE_WEAPON","STUITERKOGELS"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","De kogels van Rico kaatsen van de muren, waardoor ze verder komen. Ze kunnen vijanden achter obstakels raken."
"TID_TRICKSHOT_DUDE_ULTI","TRICK SHOT"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico vuurt een reeks kogels af die door vijanden heen gaan en van de muren kaatsen, waardoor hun bereik groter wordt."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike gooit cactusgranaten die naalden in het rond gooien. Met zijn spectaculaire superaanval creëert hij een veld vol cactusnaalden waardoor vijanden worden vertraagd en schade oplopen!"
"TID_CACTUS_WEAPON","NAALDGRANAAT"
"TID_CACTUS_WEAPON_DESC","Spike vuurt een kleine cactus af die explodeert waardoor cactusnaalden in het rond vliegen."
"TID_CACTUS_ULTI","BLIJF PLAKKEN!"
"TID_CACTUS_ULTI_DESC","Spike gooit een netelige granaat. Vijanden in het ontploffingsgebied lopen schade op en worden vertraagd."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley valt zijn vijanden aan door flessen te gooien die gebiedsschade aanrichten. Zijn superaanval bestaat uit een spervuur van ontvlambare flessen!"
"TID_BARKEEP_WEAPON","ONVERDUND"
"TID_BARKEEP_WEAPON_DESC","Barley gooit een fles die op de grond breekt. Vijanden lopen schade op door de spetters en nog meer schade naarmate de tijd verstrijkt als ze in de plas blijven staan."
"TID_BARKEEP_ULTI","LAATSTE RONDJE"
"TID_BARKEEP_ULTI_DESC","Barley gooit ontvlambare flessen en zet een enorm gebied in vuur en vlam. Rondje van het huis."
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Jessie schiet energieballen af met haar schokgeweer die tussen vijanden kaatsen. Met haar superaanval zet ze een schattige maar dodelijke geschuttoren in!"
"TID_MECHANIC_WEAPON","SCHOKGEWEER"
"TID_MECHANIC_WEAPON_DESC","Jessie vuurt een energiebal af. Nadat deze een doel raakt, stuitert hij naar het volgende doelwit binnen zijn bereik. Raakt tot wel drie vijanden."
"TID_MECHANIC_ULTI","SCHROOTJE"
"TID_MECHANIC_ULTI_DESC","Jessie zet een geschuttoren in die automatisch op vijanden schiet. Gemaakt van 100% gerecycleerd materiaal."
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita valt haar vijanden aan met een schokgolf. Met haar superaanval roept ze een enorme beer op die aan haar zijde vecht!"
"TID_SHAMAN_WEAPON","OPENRIJTEN"
"TID_SHAMAN_WEAPON_DESC","Nita brengt een schokgolf voort die vijanden schade toebrengt."
"TID_SHAMAN_ULTI","TEDDYBEER"
"TID_SHAMAN_ULTI_DESC","Nita roept de geest van de Grote Babybeer op om op haar vijanden te jagen."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis rent naar voren met elke zwaai van zijn schep. Met zijn superaanval brengt hij een wolk van vleermuizen voort die vijanden aanvallen en hem genezen!"
"TID_UNDERTAKER_WEAPON","RONDSCHEPPEN"
"TID_UNDERTAKER_WEAPON_DESC","Mortis rent naar voren met een scherpe zwaai van zijn schep. Zo zorgt hij dat de zaken goed blijven gaan."
"TID_UNDERTAKER_ULTI","LEVENSBLOED"
"TID_UNDERTAKER_ULTI_DESC","Mortis roept een zwerm vampiervleermuizen op die de gezondheid van zijn vijanden aftappen terwijl ze de zijne herstellen. Eng hoor!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow gooit een trio van giftige dolken. Met zijn superaanval springt hij de lucht in en vuurt hij zowel bij het opstijgen als bij het landen dolken af!"
"TID_CROW_WEAPON","STILETTO"
"TID_CROW_WEAPON_DESC","Crow gooit een trio aan dolken. Vijanden die worden geraakt door de met gif doordrenkte lemmeten lopen schade op naarmate de tijd verstrijkt."
"TID_CROW_ULTI","DUIKVLUCHT"
"TID_CROW_ULTI_DESC","Crow schiet de lucht in en gooit zowel bij het opstijgen als bij het landen een ring van giftige dolken om zich heen."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco vuurt schadelijke geluidsgolven af op zijn vijanden. Met zijn superaanval geneest Poco zowel zichzelf als zijn teamgenoten!"
"TID_DEAD_MARIACHI_WEAPON","GITAARKABEL"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco stemt zijn gitarron en zendt verstijvende geluidsgolven voort. Vijanden die erdoor worden geraakt, lopen schade op."
"TID_DEAD_MARIACHI_ULTI","TOEGIFT"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco geneest zichzelf en alle vrienden die hij kan bereiken met zijn opzwepende melodie. Heeft geen effect op vijanden."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo schiet drie explosieve pijlen op zijn doel af. Met zijn superaanval verbergt hij drie explosieve mijnen onder de grond!"
"TID_BOW_DUDE_WEAPON","ARENDSOGEN"
"TID_BOW_DUDE_WEAPON_DESC","Bo schiet drie exploderende pijlen die vijanden openrijten als de klauwen van een arend."
"TID_BOW_DUDE_ULTI","VOSJE VANGEN"
"TID_BOW_DUDE_ULTI_DESC","Bo verstopt exploderende vallen onder de grond. Als deze worden getriggerd door een vijand, exploderen ze na een korte pauze waardoor vijanden worden teruggeslagen en schade oplopen."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Piper's schoten richten meer schade aan naarmate ze een langere afstand afleggen. Met haar superaanval laat ze granaten bij haar voeten vallen en springt ze zelf weg!"
"TID_SNIPER_WEAPON","PARAPOEF"
"TID_SNIPER_WEAPON_DESC","Piper vuurt een scherpschot af vanuit de punt van haar parasol. Hoe verder de kogel vliegt, hoe meer schade hij toebrengt."
"TID_SNIPER_ULTI","POPPEND"
"TID_SNIPER_ULTI_DESC","Piper huppelt weg om opdringerige aanbidders te ontwijken. Ze blijft op en top een dame en laat granaten achter uit haar kousenband die op scherp staan."
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam schiet vanuit de heup en doorzeeft haar vijand met granaatscherven. Met haar superaanval zet ze genezend geschut in dat de gezondheid van Pam en haar teamgenoten herstelt!"
"TID_MINIGUN_DUDE_WEAPON","PUINSTORM"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam besproeit een groot gebied met oud ijzer. Veiligheidsbrillen verplicht!"
"TID_MINIGUN_DUDE_ULTI","MAMA'S KUS"
"TID_MINIGUN_DUDE_ULTI_DESC","Pams genezend geschut lapt haar en de teamgenoten in haar gebied op."
"TID_BONE_THROWER","Bottengooier"
"TID_BONE_THROWER_DESC","Er is niets kleins aan deze minischutter. Hij is erg handig met zijn enorme machinegeweer en kan bijna elke groep slechteriken met de grond gelijkmaken. (Verplaatsingssnelheid laag, immuun voor terugslag.)"
"TID_BONE_THROWER_WEAPON","MINIGEWEER"
