"TID","ID"
"TID_CC_POPUP_CHALLENGE_OVER","TANTANGAN BERAKHIR"
"TID_CC_POPUP_OUT_OF_LIVES","TIDAK BISA IKUT LAGI"
"TID_CC_POPUP_COMPLETED","TANTANGAN SELESAI"
"TID_CC_POPUP_LEVEL","BABAK <LEVEL>"
"TID_CC_POPUP_WIN","MENANG"
"TID_CC_POPUP_LOSSES","KALAH"
"TID_QUALIFIED_TITLE","Kualifikasi online TERBUKA!"
"TID_QUALIFIED_INFO","Wow, kamu berhasil menyelesaikan Tantangan Kejuaraan! LUAR BIASA!\n\nUntuk melanjutkan perjalanan menuju KEJUARAAN BRAWL STARS, kunjungi <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Selamat, kamu memenangkan PSG CUP! Nikmati hadiah kostum Shelly PSG!"
"TID_QUALIFIED_GO","AYO!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","TANTANGAN KEJUARAAN"
"TID_BATTLE_END_CC_WIN_LABEL","HADIAH UNTUK KEMENANGAN KE-<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Tantangan berakhir\nSemoga beruntung lain kali!"
"TID_BATTLE_END_CC_DEFEAT_1","Sekali lagi kalah, kamu gugur. Terus berjuang!"
"TID_BATTLE_END_CC_DEFEAT_2","Meskipun kalah, kamu masih bisa lanjut!"
"TID_BATTLE_END_CC_DRAW_DESC","Main lagi untuk menang!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","LOLOS KUALIFIKASI!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Selamat! Kamu berhak masuk ke babak berikutnya di Kejuaraan Brawl Stars.\nLihat kotak masuk untuk info selengkapnya."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Hadiah Akhir Musim ARENA BINTANG"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Hadiah ditentukan\noleh Poin akhir"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Peringkat"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Poin"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Hadiah tambahan atas keberhasilan mencapai\nposisi teratas di peringkat global"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Hadiah Akhir Musim"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Papan Peringkat"
"TID_PRO_LEAGUE_SEASON_END_TIME","MUSIM BERAKHIR"
"TID_PRO_LEAGUE_POPUP_TITLE","ARENA BINTANG"
"TID_EVENT_LABEL_PRO_LEAGUE","ARENA BINTANG"
"TID_PRO_LEAGUE_POPUP_INFO","Uji kemampuanmu dalam ARENA BINTANG. Main di tiga laga harian demi meraih posisi teratas di papan peringkat musiman. Di akhir musim, kamu akan mendapat Poin Bintang berdasarkan Poin dan Peringkat di papan peringkat global."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","MUSIM SAAT INI"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","MUSIM LALU"
"TID_PRO_LEAGUE_LABEL","ARENA BINTANG"
"TID_TEAM_ERROR_38","Pilih Jagoan dengan Level Kekuatan 10!"
"TID_TEAM_ERROR_39","Laga ARENA BINTANG sudah tidak tersedia untuk hari ini!"
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> LAGA TERSISA"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","MUSIM ARENA BINTANG BERAKHIR"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Perolehan Poin"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Peringkat"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Hadiah Poin Bintang"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Musim ARENA BINTANG berakhir: <AMOUNT> <cff00ff>Poin Bintang</c> diperoleh!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Kemenangan Epik (+3 Poin):"
"TID_OVERWHELMING_VICTORY_GMV_0","Menangkan laga sebelum permata ke-15 muncul"
"TID_OVERWHELMING_VICTORY_GMV_5","Menang dengan skor 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","Menang dengan setidaknya 60% kesehatan brankas"
"TID_OVERWHELMING_VICTORY_GMV_11","Menang dengan setidaknya 80% kesehatan basis"
"TID_OVERWHELMING_VICTORY_GMV_3","Menang dengan minimal 10 bintang lebih banyak dari lawan"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Raih Poin berdasarkan peringkat dalam laga"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Raih 30 Poin saat menang, 15 Poin saat seri, dan 5 poin sebagai hadiah hiburan saat kalah"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","POIN"
"TID_DOUBLE_TOKEN_WEEKEND","ACARA TOKEN GANDA"
"TID_COIN_SHOWER_EVENT","ACARA HUJAN KOIN"
"TID_RANKS_ADDED_TITLE","Kelas Jagoan Baru"
"TID_RANKS_ADDED_DESC","Jagoan kini bisa mencapai hingga Kelas 35.\n\nKamu mendapatkan <cff00ff><STARPOINTS></c> Poin Bintang dan <TOKENS> Token dari Jagoan yang telah mencapai Kelas baru."
"TID_SKINS_TITLE","KOSTUM"
"TID_SKINS_BUTTON_LABEL","KOSTUM"
"TID_SKIN_PREVIEW","LIHAT KOSTUM"
"TID_DEFAULT_SKIN","KOSTUM AWAL <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Koin"
"TID_TOKENS","Token"
"TID_FIRST_WINS","Token Bintang"
"TID_BUTTON_INBOX","KOTAK MASUK"
"TID_INBOX_TITLE","KOTAK MASUK"
"TID_INBOX_SYSTEM_SENDER","Sistem"
"TID_INBOX_SUPPORT_SENDER","Dukungan"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> yang lalu"
"TID_INBOX_CLAIM","KLAIM"
"TID_INBOX_VIEW","LIHAT"
"TID_INBOX_TAB_0","SURAT GENG"
"TID_INBOX_TAB_1","PRIBADI"
"TID_INBOX_NO_ENTRIES","TIDAK ADA ENTRI"
"TID_INBOX_CAPTION_99","Musim telah berakhir"
"TID_INBOX_CAPTION_94","Pemberian kostum: <NAME>"
"TID_INBOX_CAPTION_93","Pemberian Jagoan: <NAME>"
"TID_INBOX_CAPTION_92","Pemberian <AMOUNT> Poin Kekuatan untuk <NAME>"
"TID_INBOX_CAPTION_91","Pemberian <AMOUNT> Tiket"
"TID_INBOX_CAPTION_90","Pemberian <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Pemberian <AMOUNT> Permata"
"TID_INBOX_CAPTION_88","Pemberian <AMOUNT> Pengganda Token"
"TID_INBOX_CAPTION_85","Pencabutan <AMOUNT> Permata"
"TID_INBOX_CAPTION_84_4","Pemberian Kekuatan Bintang <ABI> untuk <NAME>"
"TID_INBOX_CAPTION_84_5","Pemberian Gadget <ABI> untuk <NAME>"
"TID_INBOX_CAPTION_78","Kelas Jagoan 21-30 telah hadir!"
"TID_INBOX_CAPTION_76","Kualifikasi online TERBUKA!"
"TID_INBOX_CAPTION_75","Hadiah kemenangan <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","BARU!"
"TID_BAND_MAIL_POPUP_TITLE","SURAT GENG"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Tulis pesanmu di sini..."
"TID_BAND_MAIL_POPUP_POST","KIRIM"
"TID_BAND_MAIL_POPUP_NO_MSG","Jangan lupa menulis pesan"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Fitur ini tidak tersedia untuk akun demo"
"TID_REVOKE_TITLE","Pesan Dari Tim Dukungan"
"TID_REVOKE_OK","Mengerti"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Gagal mengirim permintaan bergabung. Kamu sudah masuk tim"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Gagal mengirim permintaan bergabung. Ada undangan tim yang belum diterima"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Gagal mengirim permintaan bergabung. Ada permintaan bergabung yang belum diterima"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Permintaan bergabung dibatalkan"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","SAYA INGIN GABUNG TIMMU"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>MENANG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>KALAH</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>SERI</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> yang lalu"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","LOG LAGA"
"TID_BATTLE_LOG_REPLAY","TAYANGAN ULANG"
"TID_BATTLE_LOG_SURVIVED_FOR","Bertahan selama <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Mengalahkan Jagoan Besar dalam <TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","PERSAHABATAN"
"TID_BATTLE_LOG_TOURNAMENT","TURNAMEN"
"TID_BATTLE_LOG_PVP","BERPERINGKAT"
"TID_BATTLE_LOG_PRO_LEAGUE","ARENA BINTANG"
"TID_BATTLE_LOG_NO_ENTRIES","TIDAK ADA ENTRI"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Ini adalah bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Tayangan ulang tidak aktif"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Tidak ada tayangan ulang tersedia"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Tayangan ulang tak tersedia: Trofi Jagoan terlalu rendah"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Raih <NUM> Trofi Jagoan untuk membuka tayangan ulang"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Tayangan ulang tak tersedia: Gagal merekam"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Tayangan ulang tidak lagi tersedia"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Gagal menambah teman"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Tautan teman telah kedaluwarsa!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Tidak dapat menambahkan teman, daftar temannya sudah penuh!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Tidak dapat menambahkan teman, daftar temanmu sudah penuh!"
"TID_ADD_FRIEND_FAILED_BANNED","Tidak dapat menambahkan teman, pemain diblokir!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> tersisa"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> token dalam <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Hadiah Berikutnya"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Konfirmasi Hadiah Alternatif"
"TID_RANK_UP_REWARD_REPLACED_POWER","Tidak ada Jagoan milikmu yang bisa dipilih untuk mendapatkan <AMOUNT> Poin Kekuatan.\n\nKlaim hadiah alternatif?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Karena kamu sudah memiliki <NAME>, kamu akan mendapatkan hadiah alternatif."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","MINTA BERTEMAN"
"TID_PLAYER_INFO_REMOVE_FRIEND","HAPUS DARI DAFTAR TEMAN"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","PERMINTAAN BERTEMAN TERKIRIM"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","TEMAN\nDALAM GAME"
"TID_POWER_POINTS","POIN KEKUATAN"
"TID_HERO_INFO_LEVEL","LEVEL"
"TID_HERO_INFO_LEVEL_LONG","LEVEL KEKUATAN"
"TID_HERO_INFO_RANK","KELAS"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","TINGKATKAN KE LEVEL KEKUATAN <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","KETUK LAGI UNTUK KONFIRMASI"
"TID_HERO_INFO_MAX_LEVEL","KEKUATAN MAKS"
"TID_HERO_INFO_MORE_POWER_NEEDED","Kumpulkan lebih banyak Poin Kekuatan untuk meningkatkan!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Jagoan tidak memiliki cukup Poin Kekuatan"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Koinmu tidak cukup!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Level kekuatan Jagoan sudah maksimal!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","JAGOAN AWAL"
"TID_HERO_INFO_STAR_POWER_EQUIP","AKTIFKAN"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","AKTIF"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Pemain dilaporkan!"
"TID_TOO_MANY_REPORTS_SENT","Batas laporan harian sudah tercapai!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Harap tunggu sebelum mengirimkan laporan lain"
"TID_CHOOSE_CHARACTER","PILIH JAGOAN"
"TID_ARMOR","KESEHATAN"
"TID_ARMOR_DESC","Mewakili jumlah kerusakan yang bisa ditanggung Jagoan sebelum tumbang."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Peluru sebar dari senapan Shelly siap menumbangkan lawan. Serangan Supernya dapat menghancurkan halangan dan menghantam mundur lawan!"
"TID_LONG_RANGE_SHOTGUN","PELURU SEBAR"
"TID_LONG_RANGE_SHOTGUN_DESC","Senapan Shelly menembakkan peluru sebar dengan jangkauan menengah. Semakin banyak peluru yang mengenai target, semakin dahsyat dampaknya."
"TID_MEGA_BLASH_ULTI","SELONGSONG SUPER"
"TID_MEGA_BLASH_ULTI_DESC","Selongsong Super milik Shelly melibas halangan dan lawan. Lawan yang masih berdiri akan terhantam mundur."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt menembakkan berondongan peluru dari dua revolvernya. Serangan Supernya mencabik-cabik halangan dan memperpanjang berondongan pelurunya!"
"TID_RAPID_FIRE","REVOLVER"
"TID_RAPID_FIRE_DESC","Colt menembakkan 6 peluru dari revolvernya. Tembakan ini lurus dan memiliki jangkauan yang jauh."
"TID_RAPID_FIRE_ULTI","BADAI PELURU"
"TID_RAPID_FIRE_ULTI_DESC","Colt menembakkan berondongan peluru masif dengan jangkauan ekstra jauh yang menghancurkan segala halangan."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Dalam jarak dekat, Bull memberi kerusakan dahsyat dari senapan sebarnya. Untuk serangan Super, dia menerjang segala halangan dan memukul mundur lawan!"
"TID_SHOTGUN_BLAST","LARAS GANDA"
"TID_SHOTGUN_BLAST_DESC","Senapan laras ganda milik Bull memberikan kerusakan besar meski jangkauannya sangat pendek. Oleh karena itu, Bull lebih memilih untuk bertempur jarak dekat."
"TID_CHARGE","BULDOSER"
"TID_CHARGE_DESC","Bull akan merunduk dan menerjang, melibas lawan dan halangan. Kepalanya memang sekeras baja!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock menembakkan roket berhulu ledak dengan jangkauan jauh. Serangan Supernya berupa hujan roket balistik yang menghancurkan halangan!"
"TID_FIREWORKS_WEAPON","ROKET KEREN"
"TID_FIREWORKS_WEAPON_DESC","Brock menerbangkan Roket Keren yang benar-benar meluncur jauh."
"TID_FIREWORKS_ULTI","HUJAN ROKET"
"TID_FIREWORKS_ULTI_DESC","Brock menembakkan berondongan roket yang akan menghancurkan lawan dan halangan. Dia hanya ingin lawan mandi Hujan Roket!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike melemparkan dua dinamit eksplosif. Serangan Supernya adalah satu tong penuh dinamit yang meledakkan halangan!"
"TID_MORTAR","SUMBU PENDEK"
"TID_MORTAR_DESC","Dynamike melemparkan dua batang dinamit melewati halangan apa pun. Sumbunya telah dipangkas mengikuti kepribadian eksplosifnya!"
"TID_MORTAR_ULTI","BOM TONG BESAR"
"TID_MORTAR_ULTI_DESC","Bom Tong Besar menghancurkan apa pun. Yang masih selamat akan terhantam mundur!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo mengerahkan rentetan tinju pada lawan. Serangan Supernya berupa hantaman sikut melayang yang merusak semua yang ada di sekitarnya!"
"TID_LUCHADOR_WEAPON","TINJU AMARAH"
"TID_LUCHADOR_WEAPON_DESC","El Primo melancarkan empat tinju membara. Itulah roti lapis tinju cabai jalapeno pedas!"
"TID_LUCHADOR_ULTI","HANTAMAN SIKUT MELAYANG"
"TID_LUCHADOR_ULTI_DESC","El Primo melompat tinggi dan dengan Sikut Intergalaksi miliknya dia akan menghantam mundur lawan dan menghancurkan halangan!"
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico menembakkan berondongan peluru yang bisa memantul. Serangan Super miliknya berupa rentetan panjang tembakan peluru memantul yang bisa menembus lawan!"
"TID_TRICKSHOT_DUDE_WEAPON","PELURU MEMANTUL"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Peluru Rico memantul di tembok dan melesat lebih jauh. Dengan begitu, dia bisa menjangkau musuh yang bersembunyi di balik halangan."
"TID_TRICKSHOT_DUDE_ULTI","TEMBAKAN ATRAKSI"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico menembakkan serangkaian peluru yang menembus lawan. Peluru ini bisa memantul di tembok dan melesat lebih jauh."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike melemparkan granat kaktus yang meledak menembakkan duri. Serangan Super miliknya benar-benar mampu membuat lawan terpaku dengan menciptakan medan kaktus berduri yang memperlambat lawan serta memberi kerusakan!"
"TID_CACTUS_WEAPON","GRANAT JARUM"
"TID_CACTUS_WEAPON_DESC","Spike melemparkan kaktus kecil yang meledak dan menembakkan duri ke berbagai arah."
"TID_CACTUS_ULTI","TERUS MELEKAT!"
"TID_CACTUS_ULTI_DESC","Spike melemparkan granat berduri. Lawan yang terjebak di area duri akan menerima kerusakan dan melambat."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley menyerang dengan melemparkan botol ke lawan yang cipratannya memberikan kerusakan. Kekuatan Supernya adalah berondongan botol membara!"
"TID_BARKEEP_WEAPON","RACIKAN PEKAT"
"TID_BARKEEP_WEAPON_DESC","Barley melemparkan botol yang pecah saat mendarat. Percikannya memberi kerusakan pada lawan. Semakin lama lawan berdiri dalam genangan, semakin besar kerusakannya."
"TID_BARKEEP_ULTI","PESANAN TERAKHIR"
"TID_BARKEEP_ULTI_DESC","Barley melemparkan botol-botol membara yang akan menyelimuti area luas dengan api. Kali ini minumannya gratis!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Senapan Kejut Jessie menembakkan bola energi yang bisa memantul ke lawan lain. Dia mengerahkan turet senapan yang lucu tapi mematikan sebagai serangan Supernya!"
"TID_MECHANIC_WEAPON","SENAPAN KEJUT"
"TID_MECHANIC_WEAPON_DESC","Jessie menembakkan bola energi yang dapat memantul ke target berikutnya hingga tiga lawan."
"TID_MECHANIC_ULTI","SCRAPPY!"
"TID_MECHANIC_ULTI_DESC","Jessie mengerahkan turet yang secara otomatis menembak lawan. Turet ini terbuat dari 100% material daur ulang!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita menyerang lawan dengan gelombang kejut yang bergemuruh. Serangan Supernya memanggil beruang besar untuk bertarung bersamanya!"
"TID_SHAMAN_WEAPON","GEMPA"
"TID_SHAMAN_WEAPON_DESC","Nita mengerahkan gelombang kejut yang menimbulkan gempa dan memberi kerusakan pada lawan."
"TID_SHAMAN_ULTI","BAYI BERUANG BESAR"
"TID_SHAMAN_ULTI_DESC","Nita memanggil arwah Bayi Beruang Besar untuk membantunya memburu lawan."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis menerjang maju sambil mengayunkan sekopnya. Serangan Supernya adalah mengirim kawanan kelelawar untuk memberi kerusakan pada lawan sembari menyembuhkan dirinya sendiri!"
"TID_UNDERTAKER_WEAPON","AYUNAN CANGKUL"
"TID_UNDERTAKER_WEAPON_DESC","Mortis melesat sembari mengayunkan cangkulnya yang tajam, lawan yang tumbang adalah peluang mendapatkan uang."
"TID_UNDERTAKER_ULTI","DARAH KEHIDUPAN"
"TID_UNDERTAKER_ULTI_DESC","Mortis memanggil kawanan kelelawar vampir yang akan mengisap kesehatan lawan untuk menyembuhkan dirinya. Seram!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow melemparkan tiga belati beracun. Jurus Supernya: Terbang sembari melemparkan belati beracun saat melompat dan mendarat!"
"TID_CROW_WEAPON","PISAU LIPAT"
"TID_CROW_WEAPON_DESC","Crow melemparkan tiga belati berbahaya. Lawan yang terkena pisau beracun ini akan menerima kerusakan seiring waktu."
"TID_CROW_ULTI","TERBANG MENYAMBAR"
"TID_CROW_ULTI_DESC","Crow terbang ke langit dan melemparkan belati beracun ke segala arah baik saat terbang maupun mendarat."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco menembakkan gelombang suara yang memekakkan telinga lawan. Kekuatan Supernya bisa menyembuhkan dirinya sendiri dan rekan tim!"
"TID_DEAD_MARIACHI_WEAPON","SENAR SAKTI"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco memetik senar gitarnya, mengirimkan gelombang suara yang menggetarkan tulang. Lawan yang terpapar gelombang suara ini akan menerima kerusakan."
"TID_DEAD_MARIACHI_ULTI","LAGU EKSTRA"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco menyembuhkan dirinya sendiri dan semua teman yang terjangkau oleh melodi penyemangatnya. Tidak berdampak apa pun pada tim lawan."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo melepaskan tiga panah dengan hulu ledak. Kemampuan Supernya memasang tiga ranjau eksplosif tersembunyi di darat!"
"TID_BOW_DUDE_WEAPON","MATA ELANG"
"TID_BOW_DUDE_WEAPON_DESC","Bo melepaskan tiga anak panah berhulu ledak yang dapat mencabik-cabik lawan seperti cakaran elang."
"TID_BOW_DUDE_ULTI","PERANGKAP RUBAH"
"TID_BOW_DUDE_ULTI_DESC","Bo menyembunyikan ranjau di bawah tanah. Saat lawan memicunya, ranjau akan meledak setelah jeda sejenak, menghantam mundur dan memberi kerusakan pada lawan."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Semakin jauh tembakan jitu Piper, semakin besar kerusakan yang diberikan. Serangan Supernya adalah terbang melayang sambil menjatuhkan granat berbahaya!"
"TID_SNIPER_WEAPON","SENAPAN PAYUNG"
"TID_SNIPER_WEAPON_DESC","Piper menembakkan peluru jitu dari ujung payungnya. Semakin jauh jarak tembakannya, semakin mematikan!"
"TID_SNIPER_ULTI","TERJUN PAYUNG"
"TID_SNIPER_ULTI_DESC","Piper melompat tinggi untuk menghindari lawan yang menyudutkannya. Dia pergi dengan meninggalkan hadiah berupa granat aktif!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam menembakkan serpihan besi pada lawan. Kekuatan Supernya adalah turet penyembuh yang memulihkan kesehatan dirinya dan rekan tim!"
"TID_MINIGUN_DUDE_WEAPON","BADAI RONGSOKAN"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam menyemprot area luas dengan rongsokan besi. Kenakan kacamata pelindung!"
"TID_MINIGUN_DUDE_ULTI","KECUPAN MAMA"
"TID_MINIGUN_DUDE_ULTI_DESC","Turet penyembuh Pam akan mengobati dirinya serta rekan timnya yang berada dalam jangkauan efek."
"TID_BONE_THROWER","Pelempar Tulang"
