"TID","ES"
"TID_PRO_LEAGUE_LABEL","LUCHA ESTELAR"
"TID_TEAM_ERROR_38","¡Elige un brawler de nivel de fuerza 10!"
"TID_TEAM_ERROR_39","¡Se ha alcanzado el límite diario de partidas de Lucha estelar!"
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> PARTIDAS"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","FIN DE TEMPORADA DE LUCHA ESTELAR"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Tus puntos"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Tu puesto"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Puntos estelares"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Fin de temporada de Lucha estelar: ¡Has ganado <AMOUNT> <cff00ff>puntos estelares</c>!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Victoria épica (3 puntos más):"
"TID_OVERWHELMING_VICTORY_GMV_0","Gana antes de que aparezcan 15 gemas."
"TID_OVERWHELMING_VICTORY_GMV_5","Gana 2 a 0."
"TID_OVERWHELMING_VICTORY_GMV_2","Gana con al menos un 60 % de salud restante en la caja fuerte."
"TID_OVERWHELMING_VICTORY_GMV_11","Gana con al menos un 80 % de salud restante en la IKE."
"TID_OVERWHELMING_VICTORY_GMV_3","Gana con al menos 10 estrellas más que tu rival."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Gana puntos según tu puesto en la clasificación."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Gana 30 puntos por cada victoria, 15 por empate y 5 por derrota."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PUNTOS"
"TID_DOUBLE_TOKEN_WEEKEND","EVENTO CON DOBLE DE FICHAS"
"TID_COIN_SHOWER_EVENT","LLUVIA DE MONEDAS"
"TID_RANKS_ADDED_TITLE","Nuevos rangos"
"TID_RANKS_ADDED_DESC","Los brawlers ahora pueden alcanzar nuevos rangos, del 21 al 35. Has recibido<cff00ff><STARPOINTS></c> puntos estelares y <TOKENS> fichas por los brawlers que han alcanzado los nuevos rangos."
"TID_SKINS_TITLE","ASPECTOS"
"TID_SKINS_BUTTON_LABEL","ASPECTOS"
"TID_SKIN_PREVIEW","ASPECTO (VISTA PREVIA)"
"TID_DEFAULT_SKIN","ASPECTO POR DEFECTO DE <HERO>"
"TID_HERO_LVL_UP_MATERIAL","monedas"
"TID_TOKENS","fichas"
"TID_FIRST_WINS","fichas estelares"
"TID_BUTTON_INBOX","BUZÓN"
"TID_INBOX_TITLE","BUZÓN"
"TID_INBOX_SYSTEM_SENDER","Sistema"
"TID_INBOX_SUPPORT_SENDER","Asistencia"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","Hace <TIME>"
"TID_INBOX_CLAIM","RECLAMAR"
"TID_INBOX_VIEW","VER"
"TID_INBOX_TAB_0","DEL CLUB"
"TID_INBOX_TAB_1","PERSONAL"
"TID_INBOX_NO_ENTRIES","¡NO HAY MENSAJES DISPONIBLES!"
"TID_INBOX_CAPTION_99","¡La temporada ha terminado!"
"TID_INBOX_CAPTION_94","Donación: aspecto de <NAME>"
"TID_INBOX_CAPTION_93","Donación: <NAME>"
"TID_INBOX_CAPTION_92","Donación: <AMOUNT> puntos de fuerza para <NAME>"
"TID_INBOX_CAPTION_91","Donación: <AMOUNT> tiques"
"TID_INBOX_CAPTION_90","Donación: <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donación: <AMOUNT> gemas"
"TID_INBOX_CAPTION_88","Donación: <AMOUNT> duplicadores de fichas"
"TID_INBOX_CAPTION_85","<AMOUNT> gemas retiradas"
"TID_INBOX_CAPTION_84_4","Donación: <ABI> (habilidad estelar de <NAME>)"
"TID_INBOX_CAPTION_84_5","Donación: <ABI> (gadget de <NAME>)"
"TID_INBOX_CAPTION_78","Nuevos rangos: ¡del 21 al 30!"
"TID_INBOX_CAPTION_76","¡Clasificatorio en línea desbloqueado!"
"TID_INBOX_CAPTION_75","Recompensa de victoria de <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","¡NUEVO!"
"TID_BAND_MAIL_POPUP_TITLE","MENSAJE DEL CLUB"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Escribe aquí tu mensaje..."
"TID_BAND_MAIL_POPUP_POST","PUBLICAR"
"TID_BAND_MAIL_POPUP_NO_MSG","Tienes que escribir un mensaje."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Esta función no está disponible en cuentas demo."
"TID_REVOKE_TITLE","Mensaje de asistencia"
"TID_REVOKE_OK","Entendido"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","No es posible enviar la solicitud porque ya eres parte de un equipo."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","No es posible enviar la solicitud porque tienes pendiente una invitación a un equipo."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","No es posible enviar la solicitud porque tienes pendiente una solicitud de unión."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Solicitud de unión cancelada"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","QUIERO UNIRME A TU EQUIPO"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTORIA</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DERROTA</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>EMPATE</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>PUESTO <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>PUESTO <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>PUESTO <RANK></c>"
"TID_BATTLE_LOG_AGE","Hace <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","NIVEL"
"TID_BATTLE_LOG_TVST_VERSUS","VS."
"TID_BATTLE_LOG_TITLE","REGISTRO DE BATALLA"
"TID_BATTLE_LOG_REPLAY","VER"
"TID_BATTLE_LOG_SURVIVED_FOR","Has sobrevivido durante <TIME>."
"TID_BATTLE_LOG_VICTORY_IN","Has derrotado al megabrawler en <TIME>."
"TID_BATTLE_LOG_MVP","ESTELAR"
"TID_BATTLE_LOG_FRIENDLY","AMISTOSO"
"TID_BATTLE_LOG_TOURNAMENT","TORNEO"
"TID_BATTLE_LOG_PVP","COMPETITIVO"
"TID_BATTLE_LOG_PRO_LEAGUE","LUCHA ESTELAR"
"TID_BATTLE_LOG_NO_ENTRIES","NO HAY ENTRADAS"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Esto es un bot."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Repeticiones no disponibles ahora."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Aún no hay repeticiones disponibles."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Este brawler no tiene suficientes trofeos para ver repeticiones."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Repeticiones disponibles cuando el brawler tenga <NUM> trofeos."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","No se ha podido grabar la repetición."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","La repetición ya no está disponible."
"TID_PLAYER_XP_LEVEL","NIVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","No se ha podido añadir a esta persona"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","El enlace de amistad ha caducado..."
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","¡No puedes añadir a esta persona porque su lista de amigos está llena!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","¡No puedes añadir más amigos porque tu lista de amigos está llena!"
"TID_ADD_FRIEND_FAILED_BANNED","¡No puedes añadir a esta persona porque se le ha vetado!"
"TID_KEYPOOL_KEYS_REMAINING","Fichas restantes: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","<KEYS> fichas más en <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Siguiente recompensa"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirmar nueva recompensa"
"TID_RANK_UP_REWARD_REPLACED_POWER","Ninguno de tus brawlers puede recibir <AMOUNT> puntos de fuerza.\n\n¿Quieres reclamar otra recompensa?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Como ya tienes a <NAME>, recibirás otra recompensa."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ENVIAR SOLICITUD DE AMISTAD"
"TID_PLAYER_INFO_REMOVE_FRIEND","ELIMINAR DE LA LISTA DE AMIGOS"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","SOLICITUD DE AMISTAD ENVIADA"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","AMIGO\nDEL JUEGO"
"TID_POWER_POINTS","PUNTOS DE FUERZA"
"TID_HERO_INFO_LEVEL","FUERZA"
"TID_HERO_INFO_LEVEL_LONG","NIVEL DE FUERZA"
"TID_HERO_INFO_RANK","RANGO"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","MEJORAR FUERZA AL NIVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TOCA OTRA VEZ PARA CONFIRMAR."
"TID_HERO_INFO_MAX_LEVEL","FUERZA MÁXIMA"
"TID_HERO_INFO_MORE_POWER_NEEDED","¡Necesitas más puntos de fuerza!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","¡Este brawler no tiene suficientes puntos de fuerza!"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","¡Necesitas más monedas!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","¡Este brawler ya ha alcanzado el nivel máximo de fuerza!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","BRAWLER INICIAL"
"TID_HERO_INFO_STAR_POWER_EQUIP","SELECCIONAR"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","EN USO"
"TID_PLAYER_REPORTED_SUCCESSFULLY","¡Jugador denunciado!"
"TID_TOO_MANY_REPORTS_SENT","Has alcanzado tu límite de denuncias diarias."
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Espera antes de enviar otra denuncia."
"TID_CHOOSE_CHARACTER","ELIGE A TU BRAWLER"
"TID_ARMOR","SALUD"
"TID_ARMOR_DESC","Daño que puede soportar este brawler antes de ser eliminado."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Armada con su escopeta, Shelly acribilla al enemigo a perdigones. No hay escondite que escape a la destrucción de su súper. ¡Los enemigos saldrán disparados!"
"TID_LONG_RANGE_SHOTGUN","PERDIGONES"
"TID_LONG_RANGE_SHOTGUN_DESC","El arma de Shelly dispara una ráfaga de proyectiles de medio alcance. Mientras más perdigones impacten al objetivo, mayor será el daño."
"TID_MEGA_BLASH_ULTI","SUPERBALAS"
"TID_MEGA_BLASH_ULTI_DESC","El superataque de Shelly arrasa con los refugios y con los enemigos. Quien sobreviva recibirá un impacto hacia atrás."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt dispara una precisa ráfaga de balas con sus dos revólveres. Su súper arrasa con los escondites y aumenta la andanada de balas."
"TID_RAPID_FIRE","REVÓLVERES"
"TID_RAPID_FIRE_DESC","Los revólveres de Colt disparan seis tiros de largo alcance."
"TID_RAPID_FIRE_ULTI","TORMENTA DE BALAS"
"TID_RAPID_FIRE_ULTI_DESC","Este apuesto pistolero dejará a todos atónitos con una descarga de balas de mayor alcance que también afectará a los refugios."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull inflige muchísimo daño a corta distancia con su escopeta. Su súper destroza todos los obstáculos y empuja a los enemigos hacia atrás."
"TID_SHOTGUN_BLAST","A DOS CAÑONES"
"TID_SHOTGUN_BLAST_DESC","La escopeta de doble cañón de Bull inflige un gran daño. Al igual que a su arma, a Bull también le gustan las distancias cortas."
"TID_CHARGE","EMBESTIDA"
"TID_CHARGE_DESC","Cuando no puede contener su furia, Bull agacha la cabeza y embiste a rivales y obstáculos. ¡Si es que es un cabezadura!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock dispara un cohete explosivo de largo alcance hacia sus enemigos. Su súper es una lluvia de cohetes que destruye los refugios."
"TID_FIREWORKS_WEAPON","COHETE"
"TID_FIREWORKS_WEAPON_DESC","Brock dispara un único cohete de gran alcance."
"TID_FIREWORKS_ULTI","LLUVIA EXPLOSIVA"
"TID_FIREWORKS_ULTI_DESC","Brock lanza una lluvia de cohetes que acaba con enemigos y obstáculos. ¡No habrá dónde refugiarse de la lluvia!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike lanza dos cartuchos explosivos de dinamita. Su súper es un barril lleno de dinamita que arrasa con todos los refugios."
"TID_MORTAR","MECHA CORTA"
"TID_MORTAR_DESC","Mike tira dos cartuchos de dinamita que sobrevuelan obstáculos. ¡Sus cartuchos son casi tan explosivos como su temperamento!"
"TID_MORTAR_ULTI","BARRIL EXPLOSIVO"
"TID_MORTAR_ULTI_DESC","Mike lanza un barril grande de dinamita. Cuando este explota, quien sobreviva recibe un impacto hacia atrás."
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo asesta puñetazos a sus enemigos. Con su súper, aterriza dando un codazo intergaláctico, con el que inflige daño a todo lo que se encuentre cerca."
"TID_LUCHADOR_WEAPON","PUÑOS DE FURIA"
"TID_LUCHADOR_WEAPON_DESC","El Primo asesta cuatro puñetazos feroces que pican más que un buen frasco de jalapeños."
"TID_LUCHADOR_ULTI","CODO INTERGALÁCTICO"
"TID_LUCHADOR_ULTI_DESC","Este luchador salta por los aires y, al aterrizar, da un codazo intergaláctico que machaca a los enemigos y destroza refugios."
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico dispara una serie de balas que rebotan en los muros. Su súper es un sinfín de balas rebotadoras que acribillan a los objetivos."
"TID_TRICKSHOT_DUDE_WEAPON","BALAS REBOTADORAS"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","El alcance de las balas de Rico es mayor tras rebotar en los muros. Además, pueden alcanzar a los enemigos que estén refugiados."
"TID_TRICKSHOT_DUDE_ULTI","DISPARO EXPERTO"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico dispara una larga ráfaga de balas que acribillan a los enemigos. Aumentan su alcance después de haber rebotado en los muros."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike lanza granadas con forma de cactus con agujas voladoras. Su súper crea un campo de espinas punzantes que ralentizan y dañan a los enemigos."
"TID_CACTUS_WEAPON","CORAZÓN ESPINADO"
"TID_CACTUS_WEAPON_DESC","Spike lanza un cactus pequeño que explota y lanza espinas en todas las direcciones."
"TID_CACTUS_ULTI","GRANADA PUNZANTE"
"TID_CACTUS_ULTI_DESC","Spike lanza una granada espinada que ralentiza y daña a los enemigos que se encuentran dentro de su área de explosión."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley lanza botellas hacia los enemigos, causando daño de área. Su súper es una plétora de botellas en llamas."
"TID_BARKEEP_WEAPON","DESPARRAME"
"TID_BARKEEP_WEAPON_DESC","Barley lanza una botella que daña a los enemigos cuando cae al suelo, se rompe y los salpica. ¡Y reciben más daño aún si se quedan en el área afectada!"
"TID_BARKEEP_ULTI","CORTESÍA DE LA CASA"
"TID_BARKEEP_ULTI_DESC","Barley arroja con furia un montón de botellas que prenden fuego a un área extensa. ¡Invita la casa!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","El rifle aturdidor de Jessie dispara esferas de energía que rebotan entre los enemigos. Para llevar a cabo su súper, utiliza una torreta tan adorable como letal."
"TID_MECHANIC_WEAPON","RIFLE ATURDIDOR"
"TID_MECHANIC_WEAPON_DESC","Jessie dispara una esfera de energía. Tras alcanzar al primer objetivo, esta masa de energía puede llegar a alcanzar a hasta dos objetivos más."
"TID_MECHANIC_ULTI","CHATARRETA"
"TID_MECHANIC_ULTI_DESC","Jessie despliega una torreta capaz de disparar automáticamente. ¡100 % hecha de materiales reciclados!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita ataca a sus enemigos con una onda sísmica estruendosa. Su súper invoca un oso enorme que la ayuda a luchar."
"TID_SHAMAN_WEAPON","TEMBLOR"
"TID_SHAMAN_WEAPON_DESC","Nita genera una onda sísmica que daña a aquellos enemigos que sientan el temblor."
"TID_SHAMAN_ULTI","ABRAZO DEL OSO"
"TID_SHAMAN_ULTI_DESC","Nita invoca el espíritu de un gran oso que persigue a todo aquel que la moleste."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis avanza a palazos. Su súper consiste en invocar una bandada de murciélagos para que inflijan daño a los enemigos y así poder curarse a sí mismo."
"TID_UNDERTAKER_WEAPON","PALAZO"
"TID_UNDERTAKER_WEAPON_DESC","Mortis se abalanza sobre sus enemigos y les asesta un buen palazo. ¡Que no decaiga el trabajo!"
"TID_UNDERTAKER_ULTI","TRANSFUSIÓN"
"TID_UNDERTAKER_ULTI_DESC","Mortis invoca a una bandada de murciélagos vampiro que absorben la salud de sus enemigos y se la traspasan a él. ¡Es espeluznante!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow lanza tres dagas envenenadas. Su súper consiste en alzar el vuelo y lanzar dagas tanto al despegar como al aterrizar."
"TID_CROW_WEAPON","TRIPLE DAGA"
"TID_CROW_WEAPON_DESC","Crow lanza tres dagas afiladas. Las dagas que penetren al enemigo le impregnarán un veneno dañino durante un tiempo."
"TID_CROW_ULTI","CAÍDA LIBRE"
"TID_CROW_ULTI_DESC","Crow alza el vuelo y arroja varias dagas envenenadas a su alrededor al despegar y al aterrizar."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco emite ondas sonoras que dañan la sensibilidad de los enemigos. Su súper tiene un efecto sanador, tanto para sí mismo como para sus aliados."
"TID_DEAD_MARIACHI_WEAPON","SERENATA"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco toca la guitarra y emite ondas de sonido estridentes que dañan la sensibilidad del enemigo."
"TID_DEAD_MARIACHI_ULTI","POPURRÍ SANADOR"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco reanima a los amigos que se encuentren cerca y a sí mismo con su alegre melodía. No afecta a los enemigos."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo dispara tres flechas explosivas a sus objetivos. Su súper consiste en colocar tres minas explosivas bajo tierra."
"TID_BOW_DUDE_WEAPON","ÁGUILA IMPERIAL"
"TID_BOW_DUDE_WEAPON_DESC","Bo lanza tres flechas explosivas que despedazan al enemigo como las garras de un águila imperial."
"TID_BOW_DUDE_ULTI","TRAMPANTOJO"
"TID_BOW_DUDE_ULTI_DESC","Bo esconde trampas detonantes bajo tierra. Las trampas explotan momentos después de que el enemigo las active y causan un gran daño e impacto."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Sus disparos infligen más daño a mayor distancia. Su súper consiste en lanzar granadas mientras se aleja dando un gran salto."
"TID_SNIPER_WEAPON","DISPARAGUAS"
"TID_SNIPER_WEAPON_DESC","Su ataque procede de la punta de su paraguas. El disparo es mucho más eficaz a mayor distancia."
"TID_SNIPER_ULTI","SALTO EXPLOSIVO"
"TID_SNIPER_ULTI_DESC","Piper vuela con su paraguas y lanza un regalito en forma de granadas desde lo más profundo de su corazón."
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam ametralla sin temor a los enemigos. Su súper es una torreta sanadora que regenera su salud y la de sus aliados."
"TID_MINIGUN_DUDE_WEAPON","LLUVIA DE CHATARRA"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam rocía una extensa superficie con una lluvia de chatarra. ¡Que no te entre en los ojos!"
"TID_MINIGUN_DUDE_ULTI","BESO MATERNO"
"TID_MINIGUN_DUDE_ULTI_DESC","La torreta curativa de Pam regenera su salud y la de los aliados que se encuentren dentro de su área de efecto."
"TID_BONE_THROWER","Lanzador de huesos"
"TID_BONE_THROWER_DESC","¡Este ametrallador no tiene nada de pequeño! Experto en el uso de la ametralladora, este guerrero es capaz de acabar con el enemigo más letal. Sus movimientos son lentos y es inmune a la ralentización."
"TID_BONE_THROWER_WEAPON","MINIARMA"
"TID_BONE_THROWER_WEAPON_DESC","Este brawler empuña su potente ametralladora con tal naturalidad que parece lo más fácil del mundo."
"TID_BONE_THROWER_ULTI","TIRITAS"
"TID_BONE_THROWER_ULTI_DESC","A veces, un rasguño puede fastidiarte tu desempeño en la batalla. Estas tiritas curarán a todo tu equipo."
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","Tara ataca a los enemigos con tres cartas del tarot. Su súper es un agujero negro que absorbe a los enemigos e inflige mucho daño."
"TID_BLACK_HOLE_WEAPON","TRÍO DE CARTAS"
"TID_BLACK_HOLE_WEAPON_DESC","Con un hábil juego de muñeca, lanza tres cartas del tarot directas al enemigo. ¡La destrucción está escrita!"
"TID_BLACK_HOLE_ULTI","GRAVEDAD"
"TID_BLACK_HOLE_ULTI_DESC","Como por arte de magia, Tara evoca un abrumador pozo de gravedad que absorbe a los enemigos y los hace chocarse entre ellos."
"TID_TURRET_DAMAGE","Daño de la torreta"
"TID_TURRET_HEALTH","Salud de la torreta"
