"TID","PT"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","QUARTAS DE FINAL"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINAIS"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINAL"
"TID_CC_POPUP_QUALIFY_INFO","Vença o desafio e garanta uma vaga na próxima etapa do campeonato de Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Vença o desafio para ganhar o visual da Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Desafio concluído!"
"TID_CC_POPUP_CHALLENGE_OVER","NÃO FOI DESTA VEZ"
"TID_CC_POPUP_OUT_OF_LIVES","TENTATIVAS ESGOTADAS"
"TID_CC_POPUP_COMPLETED","DESAFIO CONCLUÍDO"
"TID_CC_POPUP_LEVEL","FASE <LEVEL>"
"TID_CC_POPUP_WIN","VITÓRIA"
"TID_CC_POPUP_LOSSES","DERROTAS"
"TID_QUALIFIED_TITLE","Classificatória on-line LIBERADA!"
"TID_QUALIFIED_INFO","Você venceu o desafio do campeonato! QUE INCRÍVEL!\n\nPara continuar sua jornada rumo ao CAMPEONATO DE BRAWL STARS, acesse <cFFE400><URL></c>!"
"TID_QUALIFIED_INFO_PSG","Parabéns! Você venceu a COPA PSG e desbloqueou o visual da Shelly PSG!"
"TID_QUALIFIED_GO","IR!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","DESAFIO DO CAMPEONATO"
"TID_BATTLE_END_CC_WIN_LABEL","RECOMPENSA PELA <AMOUNT>ª VITÓRIA"
"TID_BATTLE_END_CC_DEFEAT_0","Tentativas esgotadas!\nMais sorte na próxima vez!"
"TID_BATTLE_END_CC_DEFEAT_1","Mais uma derrota e você estará fora. Força!"
"TID_BATTLE_END_CC_DEFEAT_2","Você perdeu esta, mas ainda pode continuar!"
"TID_BATTLE_END_CC_DRAW_DESC","Jogue de novo para vencer!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","VOCÊ CONSEGUIU!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Parabéns! Você garantiu sua vaga na próxima etapa do campeonato de Brawl Stars.\nConfira suas mensagens para saber mais."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","SEDE DE PODER: prêmios da temporada"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Recompensa com base\nna sua pontuação final"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Classificação"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Pontos"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Recompensa adicional por chegar\nao topo da liderança global"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Recompensas de fim da temporada"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Classificações"
"TID_PRO_LEAGUE_SEASON_END_TIME","FIM DA TEMPORADA"
"TID_PRO_LEAGUE_POPUP_TITLE","SEDE DE PODER"
"TID_EVENT_LABEL_PRO_LEAGUE","SEDE DE PODER"
"TID_PRO_LEAGUE_POPUP_INFO","Teste suas habilidades com a SEDE DE PODER! Participe de três batalhas por dia para subir de posição. Quando a temporada acabar, você ganhará pontos estelares com base na quantidade de pontos e na sua classificação na liderança global."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","TEMPORADA ATUAL"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","TEMPORADA ANTERIOR"
"TID_PRO_LEAGUE_LABEL","SEDE DE PODER"
"TID_TEAM_ERROR_38","Escolha um Brawler com nível de poder 10!"
"TID_TEAM_ERROR_39","Não há mais batalhas disponíveis em SEDE DE PODER hoje."
"TID_PRO_LEAGUE_GAMES","BATALHAS RESTANTES: <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","FIM DA TEMPORADA DE SEDE DE PODER"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Seus pontos"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Sua classificação"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Pontos estelares obtidos"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Fim da temporada de SEDE DE PODER: <AMOUNT> <cff00ff>pontos estelares</c> obtidos!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Vitória épica (+3 pontos):"
"TID_OVERWHELMING_VICTORY_GMV_0","Vença antes da 15ª gema aparecer."
"TID_OVERWHELMING_VICTORY_GMV_5","Vitória 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","Vença com pelo menos 60% de saúde em seu cofre."
"TID_OVERWHELMING_VICTORY_GMV_11","Vença com pelo menos 80% de saúde em sua base."
"TID_OVERWHELMING_VICTORY_GMV_3","Vença com pelo menos 10 estrelas a mais do que o adversário."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Obtenha pontos com base na sua classificação na batalha."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Ganhe 30 pontos ao vencer, 15 ao empatar e 5 ao perder."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PONTOS"
"TID_DOUBLE_TOKEN_WEEKEND","EVENTO COM DOBRO DE FICHAS"
"TID_COIN_SHOWER_EVENT","EVENTO CHUVA DE MOEDAS"
"TID_RANKS_ADDED_TITLE","Novas classes dos Brawlers"
"TID_RANKS_ADDED_DESC","Agora todos os Brawlers podem chegar até a classe 35.\n\nVocê ganhou <cff00ff><STARPOINTS></c> pontos estelares e <TOKENS> fichas pelos Brawlers que alcançaram as novas classes."
"TID_SKINS_TITLE","VISUAIS"
"TID_SKINS_BUTTON_LABEL","VISUAIS"
"TID_SKIN_PREVIEW","PRÉVIA DE VISUAL"
"TID_DEFAULT_SKIN","VISUAL PADRÃO DE <HERO>"
"TID_HERO_LVL_UP_MATERIAL","moedas"
"TID_TOKENS","fichas"
"TID_FIRST_WINS","fichas estrela"
"TID_BUTTON_INBOX","CAIXA DE ENTRADA"
"TID_INBOX_TITLE","CAIXA DE ENTRADA"
"TID_INBOX_SYSTEM_SENDER","Sistema"
"TID_INBOX_SUPPORT_SENDER","Suporte"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> atrás"
"TID_INBOX_CLAIM","RESGATAR"
"TID_INBOX_VIEW","VER"
"TID_INBOX_TAB_0","CLUBE"
"TID_INBOX_TAB_1","PESSOAL"
"TID_INBOX_NO_ENTRIES","NENHUMA ENTRADA"
"TID_INBOX_CAPTION_99","A temporada terminou."
"TID_INBOX_CAPTION_94","Doação de visual: <NAME>"
"TID_INBOX_CAPTION_93","Doação de Brawler: <NAME>"
"TID_INBOX_CAPTION_92","Doação de pontos de poder para <NAME>: <AMOUNT>"
"TID_INBOX_CAPTION_91","Doação de <AMOUNT> ingressos"
"TID_INBOX_CAPTION_90","Doação de <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Doação de <AMOUNT> gemas"
"TID_INBOX_CAPTION_88","Doação de <AMOUNT> duplicadores de fichas"
"TID_INBOX_CAPTION_85","Remoção de <AMOUNT> gemas"
"TID_INBOX_CAPTION_84_4","Doação do poder de estrela <ABI> para <NAME>"
"TID_INBOX_CAPTION_84_5","Doação do acessório <ABI> para <NAME>"
"TID_INBOX_CAPTION_78","As novas classes de 21 a 30 chegaram!"
"TID_INBOX_CAPTION_76","Classificatória on-line LIBERADA!"
"TID_INBOX_CAPTION_75","Recompensa por vitória em <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","NOVO!"
"TID_BAND_MAIL_POPUP_TITLE","CORREIO DO CLUBE"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Escreva sua mensagem aqui."
"TID_BAND_MAIL_POPUP_POST","PUBLICAR"
"TID_BAND_MAIL_POPUP_NO_MSG","Não se esqueça de inserir a mensagem."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Este recurso não está disponível para contas demo"
"TID_REVOKE_TITLE","Mensagem da equipe de suporte"
"TID_REVOKE_OK","Entendi!"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Não é possível enviar o pedido. Você já está numa equipe."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Não é possível enviar o pedido. Você tem convite de equipe pendente."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Não é possível enviar o pedido. Você tem um pedido pendente."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Pedido para equipe cancelado."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","QUERO ENTRAR NA SUA EQUIPE"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VITÓRIA</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DERROTA</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>EMPATE</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>CLASSIFICAÇÃO <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>CLASSIFICAÇÃO <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>CLASSIFICAÇÃO <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> atrás"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","NVL"
"TID_BATTLE_LOG_TVST_VERSUS","x"
"TID_BATTLE_LOG_TITLE","REGISTRO DE BATALHA"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","Sobreviveu por <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Derrotou o Brawler Chefão em <TIME>"
"TID_BATTLE_LOG_MVP","CRAQUE"
"TID_BATTLE_LOG_FRIENDLY","AMISTOSO"
"TID_BATTLE_LOG_TOURNAMENT","TORNEIO"
"TID_BATTLE_LOG_PVP","RANQUEADO"
"TID_BATTLE_LOG_PRO_LEAGUE","SEDE DE PODER"
"TID_BATTLE_LOG_NO_ENTRIES","NENHUMA ENTRADA AINDA"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Este é um Bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays desativados"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Ainda não há nenhum replay"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Replay indisponível: poucos troféus."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Consiga <NUM> troféus para desbloquear os replays."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Replay indisponível: falha ao gravar."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","O replay não está mais disponível."
"TID_PLAYER_XP_LEVEL","NÍVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Falha ao iniciar amizade"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","O link de amizade expirou!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Não é possível fazer amizade com quem está com a lista de amigos cheia."
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Não é possível fazer amizade estando com a lista de amigos cheia."
"TID_ADD_FRIEND_FAILED_BANNED","Não é possível fazer amizade com quem foi banido."
"TID_KEYPOOL_KEYS_REMAINING","Chaves restantes: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> fichas em <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Próxima recompensa"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirmar a recompensa alternativa"
"TID_RANK_UP_REWARD_REPLACED_POWER","Nenhum dos seus Brawlers pode receber <AMOUNT> pontos de poder.\n\nColetar a recompensa alternativa?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Como já tem <NAME>, você ganhará a recompensa alternativa."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","SOLICITAR AMIZADE"
"TID_PLAYER_INFO_REMOVE_FRIEND","REMOVER DA LISTA DE AMIGOS"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","PEDIDO DE AMIZADE ENVIADO"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","VOCÊS\nSÃO AMIGOS"
"TID_POWER_POINTS","PONTOS DE PODER"
"TID_HERO_INFO_LEVEL","PODER"
"TID_HERO_INFO_LEVEL_LONG","NÍVEL DE PODER"
"TID_HERO_INFO_RANK","CLASSE"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","MELHORE PARA O NÍVEL DE PODER <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TOQUE DE NOVO PARA CONFIRMAR"
"TID_HERO_INFO_MAX_LEVEL","PODER MÁXIMO"
"TID_HERO_INFO_MORE_POWER_NEEDED","Colete mais pontos de poder para melhorar!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","O Brawler não tem pontos de poder suficientes"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Você não tem moedas suficientes!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","O Brawler já atingiu o nível de poder máximo!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","BRAWLER INICIAL"
"TID_HERO_INFO_STAR_POWER_EQUIP","SELECIONAR"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","SELECIONADO"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Jogador denunciado!"
"TID_TOO_MANY_REPORTS_SENT","Você ultrapassou o limite de denúncias diárias!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Aguarde antes de enviar outra denúncia."
"TID_CHOOSE_CHARACTER","ESCOLHA SEU BRAWLER"
"TID_ARMOR","SAÚDE"
"TID_ARMOR_DESC","Indica a quantidade de dano que o Brawler tolera antes de cair."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","A carabina de ampla propagação da Shelly detona a outra equipe com chumbo grosso. Seu Super destrói qualquer cobertura e mantém os adversários afastados!"
"TID_LONG_RANGE_SHOTGUN","CHUMBO GROSSO"
"TID_LONG_RANGE_SHOTGUN_DESC","A arma da Shelly dispara chumbinhos em grande amplitude e alcance médio. Quanto mais chumbinhos acertarem o alvo, maior o dano."
"TID_MEGA_BLASH_ULTI","SUPERBALA"
"TID_MEGA_BLASH_ULTI_DESC","A Superbala da Shelly oblitera coberturas e inimigos. Os sobreviventes são empurrados para longe."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt dispara uma rajada precisa de balas com suas pistolas duplas. O Super dele destrói cobertura e estende o bombardeio de balas!"
"TID_RAPID_FIRE","ESVAZIANDO O TAMBOR"
"TID_RAPID_FIRE_DESC","Colt dispara seis tiros rápidos de longo alcance com seus revólveres."
"TID_RAPID_FIRE_ULTI","TREM-BALA"
"TID_RAPID_FIRE_ULTI_DESC","Colt dispara uma rajada de balas de longo alcance que destrói cobertura."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull causa dano devastador de perto com sua escopeta. No Super, ele se lança através de barreiras e empurra os inimigos!"
"TID_SHOTGUN_BLAST","ENGATILHADO"
"TID_SHOTGUN_BLAST_DESC","A espingarda de cano duplo do Bull faz um grande estrago, mas tem curto alcance, então ele precisa se \qengatilhar\q nos outros rapidinho."
"TID_CHARGE","BULDÔZER"
"TID_CHARGE_DESC","De cabeça baixa, Bull ara o solo, os obstáculos e os adversários! Ele sempre foi cabeça-dura mesmo!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock dispara seu lança-foguetes de longo alcance contra seus inimigos. Seu Super é um bombardeio de foguetes balísticos que destroem qualquer cobertura!"
"TID_FIREWORKS_WEAPON","RUMO AO ESTRELATO"
"TID_FIREWORKS_WEAPON_DESC","Brock aposta tudo rumo ao estrelato lançando um único míssil de longo alcance."
"TID_FIREWORKS_ULTI","CHUVA DE FOGUETÓRIO"
"TID_FIREWORKS_ULTI_DESC","Brock dispara uma chuva de mísseis que detona inimigos e obstáculos. Nem mesmo o mais resistente dos guarda-chuvas pode com esse tipo de temporal!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike lança duas bananas de dinamite. Em seu Super, ele lança um barril cheio de dinamite que destrói as coberturas!"
"TID_MORTAR","PAVIO CURTO"
"TID_MORTAR_DESC","Mike arremessa duas dinamites que passam por qualquer obstáculo. O pavio é curto como o temperamento dele!"
"TID_MORTAR_ULTI","BARRIL BOMBÁSTICO"
"TID_MORTAR_ULTI_DESC","Um barril de dinamites detona os obstáculos, e os sobreviventes são empurrados no impacto!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo desfere uma onda de socos contra os inimigos. No Super, ele dá uma cotovelada aérea que causa dano em todos que estiverem embaixo!"
"TID_LUCHADOR_WEAPON","PUNHOS FURIOSOS"
"TID_LUCHADOR_WEAPON_DESC","El Primo dispara um turbilhão de punhos furiosamente incendiados. Vai um sanduíche de jalapeño e punhos aí?"
"TID_LUCHADOR_ULTI","ATAQUE DE COTOVELO"
"TID_LUCHADOR_ULTI_DESC","Das alturas, El Primo desfere uma cotovelada intergaláctica que repele os inimigos e destrói coberturas!"
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico dispara uma rajada de balas que quicam nas paredes. No Super, ele dispara uma longa rajada de balas quicantes que perfuram os alvos!"
"TID_TRICKSHOT_DUDE_WEAPON","BALAS QUICANTES"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","As balas disparadas ricocheteiam nas paredes, ampliando o alcance, e também acertam inimigos atrás de abrigos."
"TID_TRICKSHOT_DUDE_ULTI","TIRO PERENE"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico dispara uma rajada de balas que perfuram os inimigos e ricocheteiam nas paredes, ampliando o alcance."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike arremessa granadas de cactos que soltam espinhos por todo canto, além de ter um Super de tirar o fôlego: um campo de mamonas que desacelera e causa dano aos inimigos!"
"TID_CACTUS_WEAPON","CACTO EXPLOSIVO"
"TID_CACTUS_WEAPON_DESC","Spike atira um pequeno cacto que explode e lança espinhos em todas as direções."
"TID_CACTUS_ULTI","ESTÁTUA!"
"TID_CACTUS_ULTI_DESC","Spike lança uma granada de espinhos que causa dano e retarda os inimigos."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley ataca arremessando garrafas contra os inimigos, causando dano em área. O Super é um enorme bombardeio de garrafas flamejantes!"
"TID_BARKEEP_WEAPON","DOSE ÚNICA"
"TID_BARKEEP_WEAPON_DESC","Uma garrafa é lançada ao solo causando dano aos inimigos próximos. Se eles permanecerem na poça, o dano é ainda maior."
"TID_BARKEEP_ULTI","SAIDEIRA"
"TID_BARKEEP_ULTI_DESC","Barley atira várias garrafas incendiárias, espalhando fogo por uma grande área. Essa é cortesia da casa!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","A arma de choque da Jessie dispara esferas de energia que quicam entre os inimigos. No Super, ela invoca uma torreta fofa, mas com metralhadoras letais."
"TID_MECHANIC_WEAPON","ARMA DE CHOQUE"
"TID_MECHANIC_WEAPON_DESC","Jessie dispara um orbe de energia que pode acertar até três alvos consecutivos, contanto que estejam dentro do campo de alcance."
"TID_MECHANIC_ULTI","LATA-VELHA"
"TID_MECHANIC_ULTI_DESC","Jessie mobiliza uma torreta totalmente reciclada que atira automaticamente nos inimigos!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita ataca os inimigos com ondas de choque estrondosas. O Super dela invoca um urso enorme que luta ao seu lado!"
"TID_SHAMAN_WEAPON","TREMOR"
"TID_SHAMAN_WEAPON_DESC","Nita cria um terremoto que causa dano aos inimigos atingidos por seu tremor."
"TID_SHAMAN_ULTI","GARRA DE URSO"
"TID_SHAMAN_ULTI_DESC","Nita invoca o espírito do Grande Bebê Urso para lhe dar uma mãozinha na caça aos inimigos."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis dá uma arrancada para frente a cada golpe com sua pá. No Super, ele envia uma nuvem de morcegos que causam dano nos inimigos e recuperam seus pontos de vida!"
"TID_UNDERTAKER_WEAPON","SETE PALMOS"
"TID_UNDERTAKER_WEAPON_DESC","Com arrancadas para a frente e tacadas precisas da sua pá, os negócios de Mortis vão de vento em popa."
"TID_UNDERTAKER_ULTI","TRANSFUSÃO"
"TID_UNDERTAKER_ULTI_DESC","Com uma ajudinha de morcegos-vampiros, Mortis suga a saúde dos inimigos para restaurar a sua própria. Que nojo!"
"TID_CROW","CORVO"
"TID_CROW_DESC","Corvo dispara três adagas envenenadas. No Super, ele salta e dispara adagas ao saltar e ao voltar ao solo!"
"TID_CROW_WEAPON","PUNHAL"
"TID_CROW_WEAPON_DESC","Corvo arremessa uma ameaça tripla de punhais. Os inimigos atingidos pelas lâminas envenenadas sofrem dano lentamente."
"TID_CROW_ULTI","RASANTE"
"TID_CROW_ULTI_DESC","Ao alçar voo e pousar, Corvo lança ao seu redor múltiplas adagas envenenadas. Um verdadeiro show aéreo!"
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco dispara ondas de som nos inimigos. O Super dele cura tanto a si mesmo quanto a seus colegas!"
"TID_DEAD_MARIACHI_WEAPON","DISSONÂNCIA"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco dedilha seu violão e arranca notas desafinadas que criam ondas de som capazes de infligir dano aos inimigos."
"TID_DEAD_MARIACHI_ULTI","BIS!"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco pode curar a si e aos seus amigos com uma melodia digna de bis! Os inimigos morrem de inveja."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo dispara três flechas explosivas em seus alvos. Seu Super é a habilidade de esconder três minas explosivas no chão!"
"TID_BOW_DUDE_WEAPON","GARRAS DE ÁGUIA"
"TID_BOW_DUDE_WEAPON_DESC","Bo atira três flechas explosivas que destroçam os inimigos como se fossem garras de águia."
"TID_BOW_DUDE_ULTI","CAIA NA TOCAIA"
"TID_BOW_DUDE_ULTI_DESC","Bo esconde armadilhas explosivas no solo. Ao serem ativadas, elas explodem após um certo atraso, causando dano e empurrando os inimigos para longe."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Os disparos da Piper causam mais dano quanto mais longe ela estiver do alvo. No Super, ela deixa granadas no chão enquanto salta para longe!"
"TID_SNIPER_WEAPON","RESPINGARDA"
"TID_SNIPER_WEAPON_DESC","Piper atira pela ponta da sua sombrinha. A força dos tiros aumenta à medida que ganham distância!"
"TID_SNIPER_ULTI","CHUVA BOMBÁSTICA"
"TID_SNIPER_ULTI_DESC","Piper flutua para longe, evitando pretendentes inoportunos. Delicada e atenciosa, faz questão de deixar um agradinho: granadas tiradas da sua cinta-liga!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam dispara da cintura, salpicando os alvos com os estilhaços. Seu Super é uma torreta que cura tanto a si mesma quanto a seus colegas!"
"TID_MINIGUN_DUDE_WEAPON","CHUVA DE SUCATA"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam borrifa uma grande área com rajadas de sucata. Óculos de segurança, por favor!"
"TID_MINIGUN_DUDE_ULTI","XODÓ DA MAMÃE"
"TID_MINIGUN_DUDE_ULTI_DESC","A torreta de cura da Pam deixa a mamãe e o resto da equipe novinhos em folha, contanto que estejam dentro da sua área de alcance."
"TID_BONE_THROWER","Lança-ossos"
"TID_BONE_THROWER_DESC","Esse atirador não tem nada de míni! Com uma metralhadora de respeito, ele pode nocautear um grande número de inimigos (velocidade de movimento lenta e imune a recuo)."
"TID_BONE_THROWER_WEAPON","MINIARMA"
"TID_BONE_THROWER_WEAPON_DESC","Miniarma faz com que o manuseio da sua metralhadora gigante pareça moleza. Ele consegue andar e atirar a pleno vapor ao mesmo tempo!"
"TID_BONE_THROWER_ULTI","FAIXA NA FAIXA"
"TID_BONE_THROWER_ULTI_DESC","Às vezes você se arranha e se fere nas batalhas mais acirradas. Faixa na faixa dá atadura de sobra para ajudar a manter toda a sua equipe sempre em forma!"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","A trinca de tarô da Tara perfura os inimigos. Seu Super é um buraco negro que suga todos os inimigos próximos, causando dano!"
"TID_BLACK_HOLE_WEAPON","TRINCA DE TARÔ"
"TID_BLACK_HOLE_WEAPON_DESC","Num gesto ágil, Tara lança três cartas de tarô que atravessam os inimigos. Sem dúvida, um truque impressionante!"
"TID_BLACK_HOLE_ULTI","GRAVIDADE"
"TID_BLACK_HOLE_ULTI_DESC","Tara faz aparecer um poço gravitacional extraordinário que absorve os inimigos, triturando-os com requintes de sofisticação mágica."
"TID_TURRET_DAMAGE","Dano da torreta"
"TID_TURRET_HEALTH","Saúde da torreta"
"TID_STAT_DAMAGE_PER_SECOND","Dano por segundo"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Dano por segundo"
