"TID","IT"
"TID_QUALIFIED_GO","VAI"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","SFIDA DEL TORNEO"
"TID_BATTLE_END_CC_WIN_LABEL","PREMIO PER LA VITTORIA N. <AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","La sfida è terminata.\nAndrà meglio alla prossima!"
"TID_BATTLE_END_CC_DEFEAT_1","Occhio a non perdere un'altra volta, o sarai fuori dai giochi!"
"TID_BATTLE_END_CC_DEFEAT_2","Questa volta hai perso, ma puoi continuare a gareggiare!"
"TID_BATTLE_END_CC_DRAW_DESC","Gioca ancora per vincere!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","HAI PASSATO IL TURNO!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Complimenti, puoi partecipare al prossimo turno del torneo di Brawl Stars!\nControlla i messaggi per maggiori informazioni."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Premi stagionali in SETE DI POTERE"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Premio basato\nsui tuoi punti finali"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Posizione"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Punti"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Premio aggiuntivo per aver raggiunto\nla vetta della classifica globale"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Premi di fine stagione"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Classifiche"
"TID_PRO_LEAGUE_SEASON_END_TIME","FINE STAGIONE TRA:"
"TID_PRO_LEAGUE_POPUP_TITLE","SETE DI POTERE"
"TID_EVENT_LABEL_PRO_LEAGUE","SETE DI POTERE"
"TID_PRO_LEAGUE_POPUP_INFO","Mettiti alla prova con SETE DI POTERE\ne gioca le tre partite giornaliere per scalare la classifica della stagione. Al termine della stagione, riceverai in premio un numero di punti stellari proporzionale ai punti che hai accumulato e alla posizione che hai raggiunto nella classifica globale."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","STAGIONE ATTUALE"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","STAGIONE PREC."
"TID_PRO_LEAGUE_LABEL","SETE DI POTERE"
"TID_TEAM_ERROR_38","Devi selezionare un brawler di livello 10!"
"TID_TEAM_ERROR_39","Avete terminato le partite giornaliere di SETE DI POTERE."
"TID_PRO_LEAGUE_GAMES","PARTITE RIMASTE: <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","STAGIONE DI SETE DI POTERE TERMINATA"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","I tuoi punti"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","La tua posizione"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Punti stellari ottenuti"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","<cff00ff>Punti stellari</c> guadagnati al termine della stagione di SETE DI POTERE: <AMOUNT>."
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Trionfo epico (tre punti in palio):"
"TID_OVERWHELMING_VICTORY_GMV_0","vinci prima che sia generata la quindicesima gemma."
"TID_OVERWHELMING_VICTORY_GMV_5","vinci lo scontro per 2-0."
"TID_OVERWHELMING_VICTORY_GMV_2","Vinci e fa' in modo che la tua cassaforte abbia almeno il 60% di salute."
"TID_OVERWHELMING_VICTORY_GMV_11","vinci e fa' in modo che il tuo assemblatore abbia almeno l'80% di salute."
"TID_OVERWHELMING_VICTORY_GMV_3","vinci con almeno 10 stelle in più dell'avversario."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Ottieni punti in base alla tua posizione nell'incontro."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Ottieni 30 punti per una vittoria, 15 per un pareggio e 5 punti di consolazione per una sconfitta."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PUNTI"
"TID_DOUBLE_TOKEN_WEEKEND","EVENTO DOPPI GETTONI"
"TID_COIN_SHOWER_EVENT","EVENTO \qPIOGGIA DI MONETE\q"
"TID_RANKS_ADDED_TITLE","Nuovi gradi dei brawler"
"TID_RANKS_ADDED_DESC","Ora i brawler hanno nuovi gradi, dal 21 al 35!\n\nHai ottenuto <cff00ff><STARPOINTS></c> punti stellari e <TOKENS> gettoni grazie ai brawler che hanno raggiunto questi gradi."
"TID_SKINS_TITLE","SKIN"
"TID_SKINS_BUTTON_LABEL","SKIN"
"TID_SKIN_PREVIEW","ANTEPRIMA SKIN"
"TID_DEFAULT_SKIN","SKIN PREDEFINITA DI <HERO>"
"TID_HERO_LVL_UP_MATERIAL","monete"
"TID_TOKENS","gettoni"
"TID_FIRST_WINS","gettoni stella"
"TID_BUTTON_INBOX","MESSAGGI"
"TID_INBOX_TITLE","MESSAGGI"
"TID_INBOX_SYSTEM_SENDER","Sistema"
"TID_INBOX_SUPPORT_SENDER","Assistenza"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> fa"
"TID_INBOX_CLAIM","RISCUOTI"
"TID_INBOX_VIEW","VEDI"
"TID_INBOX_TAB_0","MESSAGGI DEL CLUB"
"TID_INBOX_TAB_1","MESSAGGI PERSONALI"
"TID_INBOX_NO_ENTRIES","NESSUN MESSAGGIO"
"TID_INBOX_CAPTION_99","Stagione terminata"
"TID_INBOX_CAPTION_94","Donazione skin ''<NAME>''"
"TID_INBOX_CAPTION_93","Donazione brawler (<NAME>)"
"TID_INBOX_CAPTION_92","Donazione di <AMOUNT> punti energia per <NAME>"
"TID_INBOX_CAPTION_91","Donazione di <AMOUNT> biglietti"
"TID_INBOX_CAPTION_90","Donazione di <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donazione di <AMOUNT> gemme"
"TID_INBOX_CAPTION_88","Donazione di <AMOUNT> raddoppiagettoni"
"TID_INBOX_CAPTION_85","Rimozione di <AMOUNT> gemme"
"TID_INBOX_CAPTION_84_4","Donazione dell'abilità stellare \q<ABI>\q per <NAME>"
"TID_INBOX_CAPTION_84_5","Donazione del gadget \q<ABI>\q per <NAME>"
"TID_INBOX_CAPTION_78","Nuovi gradi per i brawler: dal 21 al 30!"
"TID_INBOX_CAPTION_76","Eliminatorie online SBLOCCATE"
"TID_INBOX_CAPTION_75","Premio per la vittoria della sfida \q<CHALLENGE>\q:\n<NAME>"
"TID_INBOX_NEW","NUOVO!"
"TID_BAND_MAIL_POPUP_TITLE","MESSAGGIO DEL CLUB"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Scrivi qui il tuo messaggio."
"TID_BAND_MAIL_POPUP_POST","INVIA"
"TID_BAND_MAIL_POPUP_NO_MSG","Devi inserire un messaggio."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Questa funzionalità non è disponibile per gli account di prova."
"TID_REVOKE_TITLE","Messaggio dall'assistenza"
"TID_REVOKE_OK","OK"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Impossibile inviare la richiesta. Sei già in una squadra."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Impossibile inviare la richiesta. Hai un invito in sospeso."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Impossibile inviare la richiesta. Ne hai già una in sospeso."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","La richiesta è stata annullata."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","VORREI ENTRARE IN SQUADRA"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VITTORIA</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>SCONFITTA</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>PAREGGIO</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>POSIZ.: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>POSIZ.: <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>POSIZ.: <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> fa"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LIV."
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","REGISTRO MISCHIE"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","In vita per <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Mega brawler sconfitto in <TIME>"
"TID_BATTLE_LOG_MVP","MIGLIORE"
"TID_BATTLE_LOG_FRIENDLY","AMICHEVOLE"
"TID_BATTLE_LOG_TOURNAMENT","TORNEO"
"TID_BATTLE_LOG_PVP","CLASSIFICATA"
"TID_BATTLE_LOG_PRO_LEAGUE","SETE DI POTERE"
"TID_BATTLE_LOG_NO_ENTRIES","VUOTO"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Questo è un bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replay disattivati"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Nessun replay disponibile"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Replay non disponibile, trofei del brawler insufficienti"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","I replay si sbloccano quando un brawler ha <NUM> trofei"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Replay non disponibile, errore durante la registrazione"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Replay non più disponibile"
"TID_PLAYER_XP_LEVEL","LIVELLO"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Impossibile aggiungere amico"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Il link è scaduto."
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Impossibile aggiungere questo amico, perché la sua lista degli amici è piena."
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Impossibile aggiungere questo amico, perché la tua lista degli amici è piena."
"TID_ADD_FRIEND_FAILED_BANNED","Impossibile aggiungere questo amico, perché è stato sospeso."
"TID_KEYPOOL_KEYS_REMAINING","Rimanenti: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> gettoni tra <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Prossimo premio"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Conferma premio alternativo"
"TID_RANK_UP_REWARD_REPLACED_POWER","Nessun brawler può ricevere <AMOUNT> punti energia.\n\nVuoi riscuotere il premio alternativo?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Possiedi già <NAME>, quindi riceverai il premio alternativo."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","RICHIEDI AMICIZIA"
"TID_PLAYER_INFO_REMOVE_FRIEND","ELIMINA DAGLI AMICI"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","RICHIESTA D'AMICIZIA INVIATA"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","AMICO\nIN GIOCO"
"TID_POWER_POINTS","PUNTI ENERGIA"
"TID_HERO_INFO_LEVEL","LIVELLO"
"TID_HERO_INFO_LEVEL_LONG","LIVELLO"
"TID_HERO_INFO_RANK","GRADO"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","MIGLIORA AL LIVELLO <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TOCCA ANCORA PER CONFERMARE"
"TID_HERO_INFO_MAX_LEVEL","LIVELLO MAX"
"TID_HERO_INFO_MORE_POWER_NEEDED","Ti serve altra energia per il miglioramento!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Il brawler non ha abbastanza punti energia"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Non hai abbastanza monete!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler già al livello massimo!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","BRAWLER INIZIALE"
"TID_HERO_INFO_STAR_POWER_EQUIP","USA"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","IN USO"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Giocatore segnalato"
"TID_TOO_MANY_REPORTS_SENT","Hai superato il limite giornaliero di segnalazioni"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Aspetta prima di inviare una nuova segnalazione"
"TID_CHOOSE_CHARACTER","SCEGLI BRAWLER"
"TID_ARMOR","SALUTE"
"TID_ARMOR_DESC","Indica la quantità di danni che può subire il brawler prima di essere eliminato."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly si affida al suo fucile per sforacchiare gli avversari con una rosa di pallettoni. La super distrugge i ripari e tiene a distanza i nemici."
"TID_LONG_RANGE_SHOTGUN","FUCILE A PALLETTONI"
"TID_LONG_RANGE_SHOTGUN_DESC","Il fucile di Shelly è ideale per farcire di piombo i nemici a media distanza. Più pallettoni colpiscono il malcapitato, più male fa."
"TID_MEGA_BLASH_ULTI","SUPERPALLETTONI"
"TID_MEGA_BLASH_ULTI_DESC","La super di Shelly disintegra qualsiasi copertura e fa piazza pulita dei nemici. Chiunque sopravviva viene sbalzato all'indietro."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Coi suoi due revolver, Colt spara una raffica di proiettili con precisione assoluta. La super disintegra le coperture ed estende la portata dei proiettili."
"TID_RAPID_FIRE","REVOLVER"
"TID_RAPID_FIRE_DESC","Colt spara una raffica di sei proiettili che coprono una lunga distanza in linea retta."
"TID_RAPID_FIRE_ULTI","TEMPESTA DI PIOMBO"
"TID_RAPID_FIRE_ULTI_DESC","Colt usa una scarica di colpi devastante per annientare qualsiasi copertura e raggiungere distanze maggiori."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull causa danni spaventosi quando colpisce i nemici a bruciapelo col suo fucile. Con la super, carica come un toro sfondando ostacoli e respingendo gli avversari."
"TID_SHOTGUN_BLAST","FUCILE A CANNE MOZZE"
"TID_SHOTGUN_BLAST_DESC","L'arma di Bull provoca danni ingenti, ma ha una portata limitata. Non è un problema comunque: a Bull piace conoscere la gente da vicino."
"TID_CHARGE","CARICA"
"TID_CHARGE_DESC","Con la grazia di un toro in carica, Bull si lancia a testa bassa, sfondando le coperture e facendosi strada tra i nemici."
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock spara un solo razzo che percorre lunghe distanze, ma con la super non bada a spese e scatena una pioggia di missili che annienta qualsiasi copertura."
"TID_FIREWORKS_WEAPON","TURBORAZZI"
"TID_FIREWORKS_WEAPON_DESC","Brock mette il turbo ai razzi, facendogli percorrere distanze incredibili. Sarebbe inarrestabile, se solo ne sparasse più di uno alla volta..."
"TID_FIREWORKS_ULTI","PIOGGIA ESPLOSIVA"
"TID_FIREWORKS_ULTI_DESC","Brock fa piovere distruzione dal cielo, annientando ostacoli e avversari. Ora sì che è inarrestabile!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike si affida ai suoi candelotti di dinamite per provocare danni, mentre con la super fa brillare un barilotto di tritolo che sbriciola le coperture."
"TID_MORTAR","MICCIA CORTA"
"TID_MORTAR_DESC","Mike lancia due candelotti di dinamite che, oltre a scavalcare gli ostacoli, rappresentano al meglio il suo temperamento esplosivo."
"TID_MORTAR_ULTI","BARILOTTO COL BOTTO"
"TID_MORTAR_ULTI_DESC","Perfetto per far saltare in aria nemici e coperture, far sbalzare via qualsiasi sopravvissuto o festeggiare Capodanno."
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo preferisce sferrare una rapida combo di pugni contro i nemici e adora schiacciarli con la super, con cui esegue una spettacolare gomitata volante."
"TID_LUCHADOR_WEAPON","PUGNI FURIOSI"
"TID_LUCHADOR_WEAPON_DESC","El Primo sferra una rapida combo di quattro pugni che riduce la povera vittima in poltiglia o, meglio, in \qtortilla\q!"
"TID_LUCHADOR_ULTI","GOMITATA INTERGALATTICA"
"TID_LUCHADOR_ULTI_DESC","Proprio come una meteora, El Primo impatta dall'alto con una gomitata mostruosa che sbalza i nemici all'indietro e distrugge le coperture."
"TID_TRICKSHOT_DUDE_OLD","STECCA"
"TID_TRICKSHOT_DUDE_DESC","I proiettili di Stecca hanno la particolarità di rimbalzare sui muri e se sono sparati con la super, coprono una distanza maggiore, trapassando anche gli avversari."
"TID_TRICKSHOT_DUDE_WEAPON","PROIETTILI RIMBALZANTI"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Rimbalzando sui muri, gli speciali proiettili di Stecca coprono maggiori distanze e possono colpire i nemici in copertura."
"TID_TRICKSHOT_DUDE_ULTI","CARAMBOLA"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Stecca spara una lunga raffica di proiettili che, oltre ad estendere la propria portata a ogni rimbalzo, attraversano anche i nemici."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Avendo il pollice verde, Spike usa granate vegetali che sparano spine ovunque. Con la super, fa spuntare degli aghi che rallentano e danneggiano chi li calpesta."
"TID_CACTUS_WEAPON","BOMBA D'AGHI"
"TID_CACTUS_WEAPON_DESC","Spike lancia un mini cactus esplosivo che scaglia aghi ovunque alla detonazione."
"TID_CACTUS_ULTI","AGO-NIA"
"TID_CACTUS_ULTI_DESC","Spike scaglia una granata pungente, la cui zona d'impatto danneggia e rallenta i nemici."
"TID_BARKEEP","BOMBARDINO"
"TID_BARKEEP_DESC","Bombardino attacca lanciando delle bottiglie, che causano danni ad area alla rottura. Con la super, ne lancia una marea dando fuoco al punto d'impatto."
"TID_BARKEEP_WEAPON","INTRUGLIO"
"TID_BARKEEP_WEAPON_DESC","Bombardino lancia una bottiglia che rilascia del liquido alla rottura. I nemici subiscono danni dagli schizzi e danni nel tempo se calpestano l'intruglio."
"TID_BARKEEP_ULTI","HAPPY HOUR"
"TID_BARKEEP_ULTI_DESC","Bombardino presenta l'offerta della casa: una pioggia di bottiglie incendiarie che infiammano una vasta area al momento dell'impatto."
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Il fucile energetico di Jessie spara una sfera di energia che rimbalza da un nemico all'altro. Con la super, schiera una torretta pucciosa, ma letale."
"TID_MECHANIC_WEAPON","FUCILE ENERGETICO"
"TID_MECHANIC_WEAPON_DESC","Jessie spara una sfera di energia che può colpire fino a tre nemici uno dopo l'altro, se ogni impatto va a segno."
"TID_MECHANIC_ULTI","LATTINA"
"TID_MECHANIC_ULTI_DESC","Jessie schiera una torretta automatica (e fatta col 100% di materiali riciclati) che spara a qualsiasi avversario a tiro."
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita dà una scossa alla mischia con le sue devastanti onde d'urto e, se non bastasse, con la super può evocare un orso enorme che la assiste in battaglia."
"TID_SHAMAN_WEAPON","ONDA D'URTO"
"TID_SHAMAN_WEAPON_DESC","Nita scatena un'onda d'urto davanti a sé che danneggia qualsiasi nemico coinvolto."
"TID_SHAMAN_ULTI","OR SON GUAI"
"TID_SHAMAN_ULTI_DESC","Nita evoca lo spirito del Cicciorso, che va a caccia di chiunque la importuni."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis compie uno scatto in avanti con ogni palata che sferra e, grazie alla super, evoca dei pipistrelli che lo curano mentre attaccano i poveri malcapitati."
"TID_UNDERTAKER_WEAPON","PALATA"
"TID_UNDERTAKER_WEAPON_DESC","Mortis scatta in avanti agitando rapidamente la pala e procurandosi allo stesso tempo nuove opportunità di lavoro."
"TID_UNDERTAKER_ULTI","SUCCHIASANGUE"
"TID_UNDERTAKER_ULTI_DESC","Mortis chiama a sé uno stormo di pipistrelli che succhiano la salute dei nemici e la trasferiscono al loro padrone. Disgustoso..."
"TID_CROW","CORVO"
"TID_CROW_DESC","Corvo ferisce i nemici tirando tre pugnali avvelenati e quando esegue la super, compie un balzo lanciando pugnali attorno a sé sia quando salta sia quando atterra."
"TID_CROW_WEAPON","PUGNALI"
"TID_CROW_WEAPON_DESC","Corvo lancia tre pugnali avvelenati che provocano danni nel tempo alle vittime."
"TID_CROW_ULTI","PICCHIATA VENEFICA"
"TID_CROW_ULTI_DESC","Corvo prende il volo, lanciando attorno a sé dei pugnali avvelenati sia al momento del salto sia all'atterraggio."
"TID_DEAD_MARIACHI","POCHO"
"TID_DEAD_MARIACHI_DESC","Con delle schitarrate, Pocho genera onde sonore che danneggiano i nemici, ma con la super la musica cambia e cura sia se stesso sia gli alleati a portata."
"TID_DEAD_MARIACHI_WEAPON","VIBRATTACCO"
"TID_DEAD_MARIACHI_WEAPON_DESC","Con una brevissima schitarrata, Pocho genera delle onde sonore che fanno tremare le ossa ai nemici colpiti, danneggiandoli."
"TID_DEAD_MARIACHI_ULTI","BIS"
"TID_DEAD_MARIACHI_ULTI_DESC","Pocho suona una melodia curativa che guarisce sia lui sia gli alleati a portata. I nemici nei paraggi, invece, non sono invitati al concerto."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo lancia tre frecce esplosive per attaccare i nemici. Con la super, piazza delle mine invisibili per finire le sue prede."
"TID_BOW_DUDE_WEAPON","ARTIGLI D'AQUILA"
"TID_BOW_DUDE_WEAPON_DESC","Bo lancia tre frecce esplosive che fanno a brandelli i nemici proprio come gli artigli di un'aquila."
"TID_BOW_DUDE_ULTI","TRAPPOLA ESPLOSIVA"
"TID_BOW_DUDE_ULTI_DESC","Bo nasconde sottoterra delle trappole esplosive a scoppio ritardato. I nemici che le calpestano vengono danneggiati e sbalzati via."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Più è lontana dal nemico, più danni Piper causa col suo fucile e, se qualcuno si avvicina troppo, lei balza via con la super lasciando sul posto delle granate."
"TID_SNIPER_WEAPON","SPARASOLE"
"TID_SNIPER_WEAPON_DESC","Piper impugna l'ombrellino e spara un proiettile i cui danni aumentano in base alla distanza percorsa."
"TID_SNIPER_ULTI","VIA COL BOTTO"
"TID_SNIPER_ULTI_DESC","Piper evita le avance degli spasimanti indesiderati, volando via e lasciando loro un regalino d'addio: delle graziose granate pronte a insegnare le buone maniere."
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam inonda i nemici di scarti con la sua arma, mentre con la super piazza una torretta curativa che ripristina sia la sua salute sia quella degli alleati."
"TID_MINIGUN_DUDE_WEAPON","SPARASCARTI"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam spara un getto di scarti metallici su un'ampia area. Una calamità per i nemici, soprattutto se hanno una calamita con sé."
"TID_MINIGUN_DUDE_ULTI","BACIO MATERNO"
"TID_MINIGUN_DUDE_ULTI_DESC","La torretta guaritrice genera una zona curativa in cui Pam e i suoi alleati possono ripristinare la salute."
"TID_BONE_THROWER","LANCIAOSSA"
"TID_BONE_THROWER_DESC","Un soldato pesante con un'arma più pesante di lui. Non c'è niente di mini nella minigun, anzi! È un'enorme mitragliatrice che fa piazza pulita di qualsiasi nemico. (Velocità di movimento limitata, immune alle spinte)"
"TID_BONE_THROWER_WEAPON","MINIGUN"
"TID_BONE_THROWER_WEAPON_DESC","In mano a lui, sembra che la minigun pesi quanto una borsa della spesa. È pure in grado di sparare mentre cammina. Spaccone!"
"TID_BONE_THROWER_ULTI","DISTRIBUTORE DI BENDE"
"TID_BONE_THROWER_ULTI_DESC","A volte capita di farsi qualche graffietto in un intenso scontro a fuoco ed è qui che entra in gioco il distributore di bende. Usalo per tenere in salute la squadra!"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","I tarocchi di Tara attraversano i nemici quando li colpiscono, mentre il buco nero generato dalla super risucchia e danneggia tutti gli sfortunati a tiro."
