"TID_POPUP_WINS_FOR_EVENT_PSG_3","CHUNG KẾT"
"TID_CC_POPUP_QUALIFY_INFO","Hoàn tất thử thách để đạt đủ điều kiện tham gia màn tiếp theo của Giải đấu Quán quân Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Vượt qua thử thách để giành lấy Trang phục Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Thử thách hoàn tất!"
"TID_CC_POPUP_CHALLENGE_OVER","THỬ THÁCH KẾT THÚC"
"TID_CC_POPUP_OUT_OF_LIVES","ĐÃ HẾT LƯỢT CHƠI"
"TID_CC_POPUP_COMPLETED","THỬ THÁCH HOÀN TẤT"
"TID_CC_POPUP_LEVEL","VÒNG <LEVEL>"
"TID_CC_POPUP_WIN","TRẬN THẮNG"
"TID_CC_POPUP_LOSSES","TRẬN THUA"
"TID_QUALIFIED_TITLE","ĐÃ MỞ KHÓA vòng loại online!"
"TID_QUALIFIED_INFO","TUYỆT VỜI! Bạn đã hoàn tất Thử thách Quán quân!\n\nHãy truy cập trang <cFFE400><URL></c> để tiếp tục đi đến GIẢI ĐẤU QUÁN QUÂN BRAWL STARS"
"TID_QUALIFIED_INFO_PSG","Chúc mừng bạn đã đoạt CUP PSG!\nTrang phục Shelly PSG đã được mở khóa!"
"TID_QUALIFIED_GO","TRUY CẬP!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","THỬ THÁCH GIẢI ĐẤU QUÁN QUÂN"
"TID_BATTLE_END_CC_WIN_LABEL","THƯỞNG CHO TRẬN THẮNG #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Thử thách đã kết thúc\nMay mắn hơn vào lần sau nhé!"
"TID_BATTLE_END_CC_DEFEAT_1","Thua một trận nữa là bị loại đấy! Cố lên nào!"
"TID_BATTLE_END_CC_DEFEAT_2","Bạn thua trận này nhưng vẫn có thể tiếp tục!"
"TID_BATTLE_END_CC_DRAW_DESC","Chơi lại để thắng!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","ĐỦ ĐIỀU KIỆN!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Chúc mừng! Bạn đã đủ điều kiện tham gia màn tiếp theo của Giải đấu Quán quân Brawl Stars.\nHãy kiểm tra hộp thư để biết thêm chi tiết."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Phần thưởng kết thúc Mùa giải SO TÀI SỨC MẠNH"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Phần thưởng dựa trên\nsố Điểm chung cuộc của bạn"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Hạng"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Điểm"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Phần thưởng thêm khi đạt đến\nvị trí cao nhất trên bảng xếp hạng toàn cầu"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Phần thưởng Kết thúc Mùa giải"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Bảng xếp hạng"
"TID_PRO_LEAGUE_SEASON_END_TIME","MÙA GIẢI KẾT THÚC SAU"
"TID_PRO_LEAGUE_POPUP_TITLE","SO TÀI SỨC MẠNH"
"TID_EVENT_LABEL_PRO_LEAGUE","SO TÀI SỨC MẠNH"
"TID_PRO_LEAGUE_POPUP_INFO","Thử thách kỹ năng của mình trong giải SO TÀI SỨC MẠNH! Đấu ba trận mỗi ngày để đạt vị trí cao nhất trên bảng xếp hạng theo mùa. Khi mùa giải kết thúc, bạn sẽ được nhận số Điểm Sao tương ứng với số Điểm và Hạng của bạn trên bảng xếp hạng toàn cầu."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","MÙA GIẢI HIỆN TẠI"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","MÙA GIẢI TRƯỚC"
"TID_PRO_LEAGUE_LABEL","SO TÀI SỨC MẠNH"
"TID_TEAM_ERROR_38","Hãy chọn một Chiến binh Brawl cấp 10!"
"TID_TEAM_ERROR_39","Đã hết số trận SO TÀI SỨC MẠNH hôm nay!"
"TID_PRO_LEAGUE_GAMES","CÒN <GAMESLEFT>/<MAXGAMES> TRẬN"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","MÙA GIẢI SO TÀI SỨC MẠNH ĐÃ KẾT THÚC"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Điểm của bạn"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Hạng của bạn"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Phần thưởng Điểm Sao"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Mùa giải SO TÀI SỨC MẠNH đã kết thúc: Bạn nhận được <AMOUNT> <cff00ff>Điểm Sao</c>!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Thắng Tuyệt đối (+3 Điểm):"
"TID_OVERWHELMING_VICTORY_GMV_0","Thắng trước khi viên ngọc thứ 15 xuất hiện"
"TID_OVERWHELMING_VICTORY_GMV_5","Thắng 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","Thắng khi két sắt của bạn còn tối thiểu 60% máu"
"TID_OVERWHELMING_VICTORY_GMV_11","Thắng khi trụ súng của bạn còn tối thiểu 80% máu"
"TID_OVERWHELMING_VICTORY_GMV_3","Thắng với tối thiểu 10 sao nhiều hơn đội đối thủ"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Nhận điểm dựa trên thứ hạng của bạn trong trận đấu"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Nhận 30 điểm khi thắng, 15 điểm khi hòa và 5 điểm an ủi khi thua"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","ĐIỂM"
"TID_DOUBLE_TOKEN_WEEKEND","SỰ KIỆN NHÂN ĐÔI THẺ"
"TID_COIN_SHOWER_EVENT","SỰ KIỆN CƠN MƯA XU"
"TID_RANKS_ADDED_TITLE","Hạng Chiến binh Brawl mới"
"TID_RANKS_ADDED_DESC","Chúng tôi đã bổ sung Hạng 21-35 cho toàn bộ Chiến binh Brawl.\n\nBạn đã nhận được <cff00ff><STARPOINTS></c> Điểm Sao và <TOKENS> Thẻ từ Chiến binh Brawl đạt các Hạng này"
"TID_SKINS_TITLE","TRANG PHỤC"
"TID_SKINS_BUTTON_LABEL","TRANG PHỤC"
"TID_SKIN_PREVIEW","XEM TRƯỚC TRANG PHỤC"
"TID_DEFAULT_SKIN","TRANG PHỤC MẶC ĐỊNH CỦA <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Xu"
"TID_TOKENS","Thẻ"
"TID_FIRST_WINS","Thẻ Sao"
"TID_BUTTON_INBOX","HỘP THƯ"
"TID_INBOX_TITLE","HỘP THƯ"
"TID_INBOX_SYSTEM_SENDER","Hệ thống"
"TID_INBOX_SUPPORT_SENDER","Hỗ trợ"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> trước"
"TID_INBOX_CLAIM","NHẬN"
"TID_INBOX_VIEW","XEM"
"TID_INBOX_TAB_0","THƯ CLB"
"TID_INBOX_TAB_1","CÁ NHÂN"
"TID_INBOX_NO_ENTRIES","KHÔNG CÓ THÔNG TIN"
"TID_INBOX_CAPTION_99","Mùa giải đã kết thúc"
"TID_INBOX_CAPTION_94","Đóng góp Trang phục: <NAME>"
"TID_INBOX_CAPTION_93","Đóng góp Chiến binh Brawl: <NAME>"
"TID_INBOX_CAPTION_92","Đóng góp <AMOUNT> Điểm Sức mạnh cho <NAME>"
"TID_INBOX_CAPTION_91","Đóng góp <AMOUNT> vé"
"TID_INBOX_CAPTION_90","Đóng góp <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Đóng góp <AMOUNT> Ngọc"
"TID_INBOX_CAPTION_88","Đóng góp <AMOUNT> Nhân đôi Thẻ"
"TID_INBOX_CAPTION_85","Thu hồi <AMOUNT> Ngọc"
"TID_INBOX_CAPTION_84_4","Quà tặng Sức mạnh Sao <ABI> cho <NAME>"
"TID_INBOX_CAPTION_84_5","Quà tặng Phụ kiện <ABI> cho <NAME>"
"TID_INBOX_CAPTION_78","Hạng 21-30 cho Chiến binh Brawl đã xuất hiện!"
"TID_INBOX_CAPTION_76","ĐÃ MỞ KHÓA vòng loại online!"
"TID_INBOX_CAPTION_75","Phần thưởng chiến thắng <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","MỚI!"
"TID_BAND_MAIL_POPUP_TITLE","THƯ CLB"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","nhập tin nhắn ở đây..."
"TID_BAND_MAIL_POPUP_POST","ĐĂNG"
"TID_BAND_MAIL_POPUP_NO_MSG","Đừng quên nhập tin nhắn"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Tính năng này không khả dụng cho tài khoản thử nghiệm"
"TID_REVOKE_TITLE","Tin nhắn từ bộ phận hỗ trợ"
"TID_REVOKE_OK","Đã hiểu"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Không thể gửi yêu cầu gia nhập. Bạn đã ở trong đội rồi"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Không thể gửi yêu cầu gia nhập. Bạn có lời mời vào đội đang chờ trả lời"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Không thể gửi yêu cầu gia nhập. Bạn có yêu cầu gia nhập đang chờ trả lời"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Đã hủy yêu cầu gia nhập"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","TÔI MUỐN GIA NHẬP ĐỘI CỦA BẠN"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>THẮNG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>THUA</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>HÒA</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>HẠNG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>HẠNG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>HẠNG <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> trước"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","Cấp"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","NHẬT KÝ CHIẾN ĐẤU"
"TID_BATTLE_LOG_REPLAY","PHÁT LẠI"
"TID_BATTLE_LOG_SURVIVED_FOR","Đã sống sót trong <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Thắng Chiến binh Brawl lớn trong <TIME>"
"TID_BATTLE_LOG_MVP","NGƯỜI CHƠI ƯU TÚ"
"TID_BATTLE_LOG_FRIENDLY","GIAO HỮU"
"TID_BATTLE_LOG_TOURNAMENT","GIẢI ĐẤU"
"TID_BATTLE_LOG_PVP","LEO HẠNG"
"TID_BATTLE_LOG_PRO_LEAGUE","SO TÀI SỨC MẠNH"
"TID_BATTLE_LOG_NO_ENTRIES","KHÔNG CÓ THÔNG TIN"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Đây là bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Tính năng phát lại hiện đang bị tắt"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Chưa có video phát lại nào"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Không có video phát lại: quá ít cúp Chiến binh Brawl"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Đoạt <NUM> cúp Chiến binh Brawl để mở khóa video phát lại"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Không có video phát lại: không quay được video"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Không thể phát lại được nữa!"
"TID_PLAYER_XP_LEVEL","CẤP"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Thêm bạn bè thất bại"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Đường dẫn liên kết bạn bè đã hết hạn!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Không thể thêm bạn, danh sách bạn bè của họ đã đầy!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Không thể thêm bạn, danh sách bạn bè của bạn đã đầy!"
"TID_ADD_FRIEND_FAILED_BANNED","Không thể thêm bạn, người chơi đã bị cấm!"
"TID_KEYPOOL_KEYS_REMAINING","Còn lại <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> thẻ trong <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Phần thưởng tiếp theo"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Xác nhận phần thưởng thay thế"
"TID_RANK_UP_REWARD_REPLACED_POWER","Không thể chọn bất cứ Chiến binh Brawl nào của bạn để nhận <AMOUNT> điểm sức mạnh.\n\nBạn có muốn nhận phần thưởng thay thế không?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Vì bạn đã có <NAME>, bạn sẽ được nhận phần thưởng thay thế."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","GỬI YÊU CẦU KẾT BẠN"
"TID_PLAYER_INFO_REMOVE_FRIEND","XÓA KHỎI DANH SÁCH BẠN BÈ"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ĐÃ GỬI YÊU CẦU KẾT BẠN"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","BẠN BÈ\nTRONG TRÒ CHƠI"
"TID_POWER_POINTS","ĐIỂM SỨC MẠNH"
"TID_HERO_INFO_LEVEL","SỨC MẠNH"
"TID_HERO_INFO_LEVEL_LONG","CẤP SỨC MẠNH"
"TID_HERO_INFO_RANK","HẠNG"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","NÂNG CẤP LÊN CẤP SỨC MẠNH <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","NHẤN LẠI LẦN NỮA ĐỂ XÁC NHẬN"
"TID_HERO_INFO_MAX_LEVEL","SỨC MẠNH TỐI ĐA"
"TID_HERO_INFO_MORE_POWER_NEEDED","Thu thập thêm điểm sức mạnh để nâng cấp!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Chiến binh Brawl không có đủ Điểm Sức mạnh"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Bạn không có đủ Xu!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Chiến binh Brawl đã đạt cấp sức mạnh tối đa!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","CHIẾN BINH BRAWL KHỞI ĐẦU"
"TID_HERO_INFO_STAR_POWER_EQUIP","CHỌN"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","ĐÃ CHỌN"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Đã báo cáo người chơi!"
"TID_TOO_MANY_REPORTS_SENT","Bạn đã vượt quá giới hạn báo cáo hàng ngày!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Hãy chờ trước khi có thể gửi thêm báo cáo"
"TID_CHOOSE_CHARACTER","CHỌN CHIẾN BINH BRAWL"
"TID_ARMOR","MÁU"
"TID_ARMOR_DESC","Thể hiện lượng sát thương phải chịu mà Chiến binh Brawl có thể hấp thụ trước khi ngã xuống."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly bắn ra loạt đạn vào đội đối thủ bằng khẩu súng săn có tầm bắn rộng của mình. Tuyệt chiêu của cô ấy sẽ phá hủy nơi ẩn nấp và khiến cho đối thủ không dám tiến đến gần!"
"TID_LONG_RANGE_SHOTGUN","LOẠT SIÊU ĐẠN"
"TID_LONG_RANGE_SHOTGUN_DESC","Khẩu súng của Shelly sẽ bắn ra loạt đạn có tầm rộng và phạm vi trung bình. Càng có nhiều viên đạn bắn trúng mục tiêu thì sát thương gây ra càng lớn."
"TID_MEGA_BLASH_ULTI","TUYỆT CHIÊU SIÊU ĐẠN"
"TID_MEGA_BLASH_ULTI_DESC","Tuyệt chiêu Siêu Đạn của Shelly tiêu diệt cả nơi ẩn nấp lẫn kẻ địch. Những ai còn sống sót sẽ di chuyển chậm lại."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt nhanh chóng bắn ra một loạt đạn từ đôi súng lục của mình. Tuyệt chiêu của cậu ta sẽ nghiền nát nơi ẩn nấp và kéo dài tầm bắn của loạt đạn."
"TID_RAPID_FIRE","LOẠT ĐẠN 6 VIÊN"
"TID_RAPID_FIRE_DESC","Colt bắn 6 phát đạn có tầm xa và đường bay thẳng từ khẩu súng lục của mình."
"TID_RAPID_FIRE_ULTI","BÃO ĐẠN"
"TID_RAPID_FIRE_ULTI_DESC","Colt nhanh chóng bắn ra loạt đạn có kích cỡ lớn. Loạt đạn này có tầm bắn xa hơn và sức công phá của nó có thể tiêu hủy cả nơi ẩn nấp."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull gây ra sát thương rất lớn ở cự ly gần với khẩu súng săn của mình. Với Tuyệt chiêu của mình, anh ta lao qua chướng ngại vật và đẩy lùi kẻ địch!"
"TID_SHOTGUN_BLAST","SÚNG HAI NÒNG"
"TID_SHOTGUN_BLAST_DESC","Khẩu súng săn hai nòng của Bull gây ra sát thương rất lớn. Do tầm bắn của khẩu súng này rất ngắn nên Bull luôn thích tiến đến gần đối thủ hơn."
"TID_CHARGE","THIẾT ĐẦU CÔNG"
"TID_CHARGE_DESC","Bull dùng đầu của mình ủi vào đối thủ và các chướng ngại vật. Anh ta có một cái đầu cứng như sắt!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock phóng ra một quả tên lửa tầm xa, có sức công phá mạnh, nhắm thẳng vào kẻ địch. Tuyệt chiêu của anh ta là mưa tên lửa đạn đạo phá hủy nơi ẩn nấp!"
"TID_FIREWORKS_WEAPON","PHÓNG TÊN LỬA"
"TID_FIREWORKS_WEAPON_DESC","Brock phóng một quả Tên lửa có tầm bay rất xa."
"TID_FIREWORKS_ULTI","MƯA TÊN LỬA"
"TID_FIREWORKS_ULTI_DESC","Brock bắn ra một loạt mưa tên lửa có thể tiêu diệt kẻ địch và phá hủy chướng ngại vật. Anh ta muốn thấy bạn tắm mình trong cơn Mưa Tên lửa!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike ném ra hai thanh pháo nổ. Tuyệt chiêu của anh ta là một thùng thuốc nổ thổi tung nơi ẩn nấp!"
"TID_MORTAR","KÍP NỔ NGẮN"
"TID_MORTAR_DESC","Mike ném hai thanh pháo nổ, vượt qua mọi chướng ngại vật trên đường. Kíp nổ đã được cắt ngắn và dễ dàng phát hỏa như bản tính nóng nảy của Mike vậy!"
"TID_MORTAR_ULTI","THÙNG BOM LỚN"
"TID_MORTAR_ULTI_DESC","Một thùng thuốc nổ lớn có thể làm nổ tung nơi ẩn nấp. Bất kỳ kẻ địch nào còn sống sót sẽ bị đánh văng ra do ảnh hưởng của uy lực thuốc nổ!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo tung ra một loạt đấm vào kẻ địch. Tuyệt chiêu của anh ta là cú nhảy ra đòn khuỷu tay gây sát thương lên tất cả những gì ở phía dưới!"
"TID_LUCHADOR_WEAPON","CÚ ĐẤM NẢY LỬA"
"TID_LUCHADOR_WEAPON_DESC","El Primo tung ra một loạt 4 cú đấm nảy lửa. Sức công phá của những cú đấm này cũng không kém gì mì cay cấp độ 12!"
"TID_LUCHADOR_ULTI","XUỐNG KHUỶU TAY"
"TID_LUCHADOR_ULTI_DESC","El Primo nhảy lên cao và tung ra đòn xuống khuỷu tay như trời giáng, đánh kẻ địch văng ra xa và phá hủy cả nơi ẩn nấp!"
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet bắn ra một loạt Đạn Bật nẩy. Tuyệt chiêu của anh ta là bắn liên thanh một loạt đạn bật nẩy xuyên qua mục tiêu!"
"TID_TRICKSHOT_DUDE_WEAPON","ĐẠN BẬT NẨY"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Đạn của Ricochet sẽ nẩy đi xa hơn khi chạm tường, và có thể bắn trúng kẻ địch đang ẩn nấp."
"TID_TRICKSHOT_DUDE_ULTI","PHÁT SÚNG RANH MA"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet bắn liên thanh một loạt đạn có thể xuyên qua kẻ địch và nẩy đi xa hơn khi chạm tường."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike ném lựu đạn xương rồng nổ ra gai bắn ra tứ phía và có Tuyệt chiêu cực kỳ ấn tượng: tạo ra một rừng gai xương rồng, gây sát thương và làm chậm đối thủ!"
"TID_CACTUS_WEAPON","LỰU ĐẠN XƯƠNG RỒNG"
"TID_CACTUS_WEAPON_DESC","Spike ném một cây xương rồng nhỏ, cây này sẽ phát nổ và bắn các gai nhọn ra xung quanh."
"TID_CACTUS_ULTI","BẪY XƯƠNG RỒNG"
"TID_CACTUS_ULTI_DESC","Spike ném ra một quả lựu đạn gai. Kẻ địch nào nằm trong phạm vi phát nổ của quả lựu đạn này sẽ phải chịu sát thương và di chuyển chậm lại."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley tấn công bằng cách ném chai vào kẻ địch, gây sát thương lan. Tuyệt chiêu của anh ta là ném ra một loạt chai bốc cháy!"
"TID_BARKEEP_WEAPON","CHẤT LỎNG NGUYÊN CHẤT"
"TID_BARKEEP_WEAPON_DESC","Chiếc chai mà Barley ném sẽ bị vỡ tan tành trên mặt đất. Kẻ địch nào bị chất lỏng văng trúng sẽ chịu sát thương, và nếu chất lỏng đó tụ lại thành vũng nước thì kẻ địch sẽ chịu nhiều sát thương hơn theo thời gian."
"TID_BARKEEP_ULTI","PHÓNG HỎA"
"TID_BARKEEP_ULTI_DESC","Barley quăng ra một loạt các chai lọ chứa chất lỏng dễ cháy, gây ra hỏa hoạn trên một vùng rộng lớn. Bạn chỉ cần chiêm ngưỡng thôi, chi phí cứ để quán rượu lo!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Súng gây sốc của Jessie bắn ra những quả cầu năng lượng nảy qua lại giữa kẻ địch. Tuyệt chiêu của cô là triển khai một trụ súng dễ thương nhưng chết chóc!"
"TID_MECHANIC_WEAPON","SÚNG GÂY SỐC"
"TID_MECHANIC_WEAPON_DESC","Jessie bắn ra một quả cầu năng lượng. Sau khi trúng vào một mục tiêu, quả cầu sẽ nẩy sang mục tiêu tiếp theo cũng nằm trong tầm của nó. Quả cầu này có thể đánh trúng tối đa 3 kẻ địch."
"TID_MECHANIC_ULTI","TRỤ SÚNG DÃ CHIẾN"
"TID_MECHANIC_ULTI_DESC","Jessie triển khai một trụ súng có khả năng bắn tự động vào kẻ địch. Trụ súng này được chế tạo từ 100% vật liệu tái chế."
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita tấn công đối phương bằng một làn sóng xung kích sấm sét. Tuyệt chiêu của cô là triệu hồi một chú gấu lớn chiến đấu bên cạnh cô!"
"TID_SHAMAN_WEAPON","ĐỊA CHẤN"
"TID_SHAMAN_WEAPON_DESC","Nita phóng làn sóng xung kích về phía trước và cơn địa chấn này sẽ gây ra sát thương cho kẻ địch."
"TID_SHAMAN_ULTI","TRIỆU HỒI GẤU"
"TID_SHAMAN_ULTI_DESC","Nita triệu hồi linh hồn của một chú Gấu Con To xác để săn lùng đối phương của cô ấy."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis lao về phía trước và vung chiếc xẻng của anh ta. Bằng đòn tấn công tuyệt chiêu của mình, anh ta tung ra một bầy dơi gây sát thương lên kẻ địch và hồi máu cho mình!"
"TID_UNDERTAKER_WEAPON","VUNG XẺNG"
"TID_UNDERTAKER_WEAPON_DESC","Mortis lao về phía trước và vung ra chiếc xẻng cực kỳ sắc bén, đưa tiễn kẻ địch về nơi tây phương."
"TID_UNDERTAKER_ULTI","MÁU SINH MỆNH"
"TID_UNDERTAKER_ULTI_DESC","Mortis triệu hồi một bầy dơi cà rồng có khả năng hút cạn máu của kẻ địch và phục hồi máu cho y. Thật đáng sợ!"
"TID_CROW","QUẠ"
