"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","AltStringArray"
"DROID_SANS_FALLBACK_ON_LOW_MEM_DEVICES",,"TRUE",,,,
"GOOGLE_SERVICE_ACHIEVEMENTS_BUTTON",,"TRUE",,,,
"ASH_CNT",250,,,,,
"ASH_CNT_LOW",120,,,,,
"ASH_CNT_COMBAT",40,,,,,
"ASH_CNT_COMBAT_LOW",0,,,,,
"SNOWFLAKE_CNT",200,,,,,
"SNOWFLAKE_CNT_LOW",100,,,,,
"SNOWFLAKE_CNT_COMBAT",100,,,,,
"SNOWFLAKE_CNT_COMBAT_LOW",50,,,,,
"PARTNER_AFTER_LOGIN",,"TRUE",,,,
"LOAD_DROID_SANS_FALLBACK_MANUALLY",,"TRUE",,,,
"LOAD_DROID_SANS_FALLBACK_MANUALLY_ANDROID",,"FALSE",,,,
"ANDROID_LOW_GFX_DEVICES",,,,,"GT-N7000",
,,,,,"GT-i8190N",
,,,,,"U8950",
,,,,,"SM-T211",
"ANDROID_HIGH_MEMORY_LIMIT",900,,,,,
"ANDROID_MEDIUM_MEMORY_LIMIT",600,,,,,
"SEND_EVENTS_TO_FB",,"FALSE",,,,
"SEND_EVENTS_TO_TAPJOY",,"TRUE",,,,
"SEND_EVENTS_TO_ADCOLONY",,"FALSE",,,,
"SEND_EVENTS_TO_INMOBI",,"TRUE",,,,
"SEND_EVENTS_TO_MOBILE_APP_TRACKER",,"TRUE",,,,
"LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_PER_FRAME",120,,,,,
"LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_TOTAL",14400,,,,,
"WAR_COOLDOWN_MAX_DISPLAY_TIME",86400,,,,,
"INITIAL_ZOOM_TABLET",90,,,,,
"INITIAL_ZOOM_PHONE_WIDESCREEN",100,,,,,
"INITIAL_ZOOM_PHONE",100,,,,,
"MAX_WAR_TROOP_MESSAGE_LENGTH",40,,,,,
"DISCONNECT_IF_NETWORK_UNREACHABLE",,"FALSE",,,,
"NETWORK_UNREACHABLE_TIMEOUT",30,,,,,
"CLOSE_EXIT_CONFIRMATION_ON_BACK_KEY",,"TRUE",,,,
"LOADING_ANIM_DISPLAY_DELAY",1000,,,,,
"SHOW_GEM_BALANCE_IN_JP",,"TRUE",,,,
"LIVE_REPLAY_SPEEDUP_TO_CATCHUP_TO_LIVE_FEED",,"FALSE",,,,
"POWER_SAVE_MODE_LESS_ENDTURN_MESSAGES",,"TRUE",,,,
"WALL_ANIMATE_CYCLE",45,,,,,
"WALL_ANIMATE_CYCLE_LOW_END",90,,,,,
"USE_CLOUDS_FOR_WAR_TRANSITION",,"FALSE",,,,
"WAR_MAP_SHOW_STARS_IN_REAL_TIME",,"TRUE",,,,
"ENABLE_KR_CALL_CENTER",,"TRUE",,,,
"ENABLE_ALLIANCE_WARS",,"TRUE",,,,
"ENABLE_OLD_WARS",,"TRUE",,,,
"ENABLE_WAR_HISTORY_MENU",,"TRUE",,,,
"ENABLE_WAR_STREAM",,"TRUE",,,,
"GOOGLE_SERVICE_ACHIEVEMENTS",,"FALSE",,,,
"GOOGLE_SERVICE_REAUTHORIZE",,,,,,
"GOOGLE_SERVICE_POPUP_AFTER_FIRST_PURCHASE",,"TRUE",,,,
"GOOGLE_SERVICE_POPUP_AFTER_TOWN_HALL_LEVEL",3,,,,,
"GOOGLE_SERVICE_POPUP_SHOW_AFTER_EACH_TOWNHALL",,"TRUE",,,,
"ENABLE_CHAT_IN_VISIT",,"TRUE",,,,
"ENABLE_CHAT_IN_CLOUDS",,"TRUE",,,,
"ENABLE_CHAT_IN_REPLAY",,"TRUE",,,,
"CLOUD_CHAT_TIME_LIMIT_SECONDS",4,,,,,
"CLOUD_CHAT_TROPHY_LIMIT",3600,,,,,
"CLOUD_CHAT_TROPHY_LIMIT_V2",2000,,,,,
"USE_LOWRES_INGAME_ASSETS_IN_MEDIUM",,"TRUE",,,,
"CLOSE_TROOP_TRAINING_IN_TUTORIAL",,"FALSE",,,,
"RECOVER_EDIT_MODE_SESSION",,"TRUE",,,,
"IN_APP_RETRY_LIMIT",4,,,,,
"SHOW_BUBBLE_ICON_ON_BROKEN_TRAPS",,"FALSE",,,,
"DISCONNECT_IN_APPS",,"FALSE",,,,
"RETRY_PURCHASES_IN_SHOP",,"TRUE",,,,
"RECONNECT_AFTER_SLEEPING_SECONDS",180,,,,,
"SHOW_GEMS_PURCHASE_BUTTON_DURING_TUTORIAL",,"FALSE",,,,
"VILLAGE_EDIT_MODE_MINIMUM_TH_LEVEL",2,,,,,
"CONTENT_UPDATE_HASH_CHECK",,"TRUE",,,,
"SEND_PERFORMANCE_EVENTS",,"FALSE",,,,
"SEND_PERFORMANCE_EVENTS_ANDROID",,"FALSE",,,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS",99999,,,,,
"PERFORMANCE_EVENTS_INTERVAL_SECONDS_ANDROID",60,,,,,
"HARD_BIND_TOWN_HALL_LEVEL",4,,,,,
"SCALE_UNIT_UI_IN_BATTLE",,"TRUE",,,,
"USE_DEVICE_LINK",,"TRUE",,,,
"DISABLE_MASK_FROM_EMPTY_INPUT_FIELD",,"TRUE",,,,
"HIDE_ISO_ENGINE_IN_BIG_POPUPS",,"TRUE",,,,
"HIGE_ISO_ENGINE_UNDER_CHAT",,"TRUE",,,,
"HIDE_ISO_ENGINE_IN_SHOP",,"TRUE",,,,
"ONLY_INSTALLED_FACEBOOK_FRIENDS",,"TRUE",,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,,
"HUD_PRINT_TIME",6,,,,,
"HUD_PRINT_TIME_LONG",30,,,,,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"FALSE",,,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,,
"SHOW_DONATION_STATS_FOR_ALL_CLANS",,"TRUE",,,,
"USE_NEW_LOADING_BAR_LOGIC",,"TRUE",,,,
"HIGH_SCORE_EMPTY_LINES",,,,10,,
,,,,50,,
,,,,100,,
,,,,150,,
,,,,200,,
"SHOW_IAP_NOTIFICATION_POPUP",,"TRUE",,,,
"SEND_ONLY_INSTALL_EVENTS_TO_APP_TRACKER",,"FALSE",,,,
"DEFAULT_TO_LOCAL_HIGHSCORES",,"FALSE",,,,
"ENABLE_LOCAL_RANKINGS",,"TRUE",,,,
"DEFAULT_TO_LOCAL_CLAN_HIGHSCORES",,"FALSE",,,,
"ENABLE_LOCAL_CLAN_RANKINGS",,"TRUE",,,,
"USE_ARMY_READY_NOTIFICATION",,"TRUE",,,,
"USE_SPELLS_READY_NOTIFICATION",,"TRUE",,,,
"USE_LABORATORY_UPGRADE_READY_NOTIFICATION",,"TRUE",,,,
"USE_WALL_MOVE_TOOL",,"TRUE",,,,
"USE_HERO_HEALTH_FULL_NOTIFICATION",,"FALSE",,,,
"LOW_END_WALL_CORNERS",,"TRUE",,,,
"REPEAT_ATTACK_INSTRUCTION_TIME",5,,,,,
"SWITCH_CONFIRMATION_XP_LEVEL",7,,,,,
"DISABLE_ANIMATOR_RESET",,"FALSE",,,,
"BUFFER_SERVER_COMMANDS",,"TRUE",,,,
"NO_MONEY_COLOR_RED",255,,,,,
"NO_MONEY_COLOR_GREEN",123,,,,,
"NO_MONEY_COLOR_BLUE",114,,,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,,
"MAX_ALLIANCE_SEARCH_TROPHIES",50000,,,,,
"RED_CAMPAIGN_ENABLED",,"FALSE",,,,
"SHOW_NEWS_INDICATOR_XP_LIMIT",10,,,,,
"SEND_GC_ACHIEVEMENT_0_PROGRESS",,"FALSE",,,,
"USE_GC_SEND_ALL_ACHIEVEMENTS",,"TRUE",,,,
"SEND_GC_ACHIEVEMENT_PROGRESS_ONCE",,"TRUE",,,,
"HELPSHIFT_ENABLED",,"TRUE",,,,
"DISABLE_HELPSHIFT_CONTACT_US_FROM_NON_PAYING",,"FALSE",,,,
"DISABLE_STARTUP_CONSTANT_CONNECTION_FIX",,"FALSE",,,,
"HERO_HEALTH_WARNING_LEVEL",40,,,,,
"KEEPALIVE_INTERVAL_SECONDS",5,,,,,
"DISCONNECT_IF_KEEPALIVE_IS_BEHIND",,"TRUE",,,,
"KEEPALIVE_TIMEOUT",30,,,,,
"KEEPALIVE_SHOW_WARNING_AFTER_SECONDS",10,,,,,
"USE_RTT_FOR_THUMBNAILS",,"TRUE",,,,
"USE_DEFAULT_USER_NAME",,"FALSE",,,,
"PARENTS_GUIDE_URL",,,"http://www.supercell.net/parents",,,
"FORGET_WAR_PARTICIPANTS_WHEN_WAR_MAP_CLOSES",,"TRUE",,,,
"SHOW_VILLAGE_THUMBNAIL_ON_PROFILE",,"TRUE",,,,
"ALWAYS_FORCE_VALID_WAR_SIZE_IN_WAR_PARTICIPANTS_SCREEN",,"FALSE",,,,
"ONLY_SHOW_WAR_PREFERENCE_IN_CLAN_LIST",,"TRUE",,,,
"CLAN_BADGE_SCROLLER_SNAP_AGRESSIVENESS",200,,,,,
"SHOW_SUPPORT_TARGETING_ICON",,"FALSE",,,,
"MAX_INSTRUCTOR_TH_LEVEL",0,,,,,
"ENABLE_SC_CACHING",,"TRUE",,,,
"ENABLE_SC_CACHE_LOADING",,"TRUE",,,,
"SC_CACHE_FREE_SPACE_LIMIT",200,,,,,
"SC_CACHE_FREE_SPACE_LIMIT_ANDROID",400,,,,,
"SC_CACHE_USE_MODULO",,,,,,
"INSTRUCTOR_RECOMMENDS_PVP",,"FALSE",,,,
"REMOVE_INSTRUCTOR_AFTER_CLAN_CASTLE_REPAIR",,"FALSE",,,,
"INSTRUCTOR_MIN_IDLE_TIME_SEC",5,,,,,
"INSTRUCTOR_MAX_IDLE_TIME_SEC",10,,,,,
"INSTRUCTOR_MIN_GOLD_PERCENT_FOR_RECOMMENDING_RAID",25,,,,,
"INSTRUCTOR_MIN_ELIXIR_PERCENT_FOR_RECOMMENDING_RAID",25,,,,,
"INSTRUCTOR_TIME_TO_HIDE_BUBBLE_AFTER_TAP_IN_SECONDS",10,,,,,
"SHOW_SAFE_ZONE_WHEN_BUILDING_SELECTED",,"TRUE",,,,
"CONNECT_IOS_TO_KUNLUN",,"TRUE",,,,
"KUNLUN_SPLASH_MESSAGE",,,,,,
"RENDER_TEXT_OUTLINES_FIRST",,"TRUE",,,,
"FALLBACK_ARABIC_FONT",,,"font/NotoNaskhArabic-Bold.ttf",,,
"FALLBACK_RUSSIAN_FONT",,,"font/Pusia-Bold.otf",,,
"FALLBACK_JP_FONT",,,,,,
"USE_HELPSHIFT_SDK_LANGUAGE",,"TRUE",,,,
"EXTRA_HELPSHIFT_LANGUAGES",,,,,"fi",
"TRACK_GC_SPEND_MODULO",199,,,,,
"LEGEND_TROPHY_LIMIT",5000,,,,,
"TEXTFIELD_SCALE_FONT_SIZE_MAX_TESTS",3,,,,,
"LANGUAGE_SETTINGS_SCROLL_MS",300,,,,,
"LANGUAGE_SETTINGS_SCROLL_ENABLED",,"TRUE",,,,
"USE_REAL_WORLD_THRESHOLDS",,"FALSE",,,,
"PAN_THRESHOLD",16,,,,,
"PINCH_THRESHOLD",13,,,,,
"UNIT_BAR_SENSITIVITY",30,,,,,
"CAMERA_EXTRA_BOUNDS_HOME",200,,,,,
"CAMERA_EXTRA_BOUNDS_WAR",200,,,,,
"CAMERA_EXTRA_BOUNDS_NPC",0,,,,,
"CAMERA_EXTRA_BOUNDS_VILLAGE2",500,,,,,
"CAMERA_EXTRA_BOUNDS_BOTTOM_HOME",400,,,,,
"CAMERA_EXTRA_BOUNDS_BOTTOM_WAR",400,,,,,
"CAMERA_EXTRA_BOUNDS_BOTTOM_NPC",-55,,,,,
"CAMERA_EXTRA_BOUNDS_BOTTOM_VILLAGE2",800,,,,,
"CAMERA_EXTRA_BOUNDS_TOP_HOME",100,,,,,
"CAMERA_EXTRA_BOUNDS_TOP_WAR",100,,,,,
"CAMERA_EXTRA_BOUNDS_TOP_NPC",0,,,,,
"CAMERA_EXTRA_BOUNDS_TOP_VILLAGE2",600,,,,,
"CLOUD_CHAT_NOTIFICATION_SOUND_TIME_LIMIT",10,,,,,
"CANCEL_GAME_INPUT_ON_PAN_AND_PINCH",,"TRUE",,,,
"ALWAYS_SEND_DEVICE_TOKEN_MESSAGE_AFTER_SECONDS",15,,,,,
"GOOGLE_PLAY_KUNLUN_TUTORIAL_VIDEO_URL",,,,,,
"GOOGLE_PLAY_KUNLUN_TUTORIAL_VIDEO_URL_ANDROID",,,,,,
"GOOGLE_KUNLUN_TRANSFER_COUNTRIES",,,,,"CN",
"GENERATE_CODE_TH_LEVEL_REQUIREMENT",3,,,,,
"DEVICE_LINK_CHECK_BOUND_TO_KUNLUN",,"TRUE",,,,
"SHOW_CONTEXT_MENU_FOR_PLAYER",,"TRUE",,,,
"SHOW_IAP_INFO_IN_KOREA",,"TRUE",,,,
"USE_HELPSHIFT_LINKS",,"FALSE",,,,
"USE_TOS_AND_PP_FIRST_POPUP",,"FALSE",,,,
"TERMS_AND_CONDITIONS_HELPSHIFT_URL",,,,,,
"USE_PEPPER_CRYPTO",,"TRUE",,,,
"IAP_INFO_KOREA_URL",,,,,,
"HUD_PRINT_TIME_PERSONAL_BREAK",300,,,,,
"GUARD_NOTIFICATION_TIME",900,,,,,
"SHIELD_NOTIFICATION_TIME",0,,,,,
"SHOW_SHIELD_BREAKING_POPUP_ONCE",,"TRUE",,,,
"ANIMATE_WAR_BUTTON_ON_ACTIVITY",,"TRUE",,,,
"HELPSHIFT_MIN_IOS_VERSION",,,9,,,
"USE_TREASURY_WINDOW",,"TRUE",,,,
"APPLY_REPLAY_COMPATIBILITY_IF_CONTENT_VERSION",0,,,,,
"MIN_COMPATIBLE_CONTENT_VERSION_FOR_REPLAY",0,,,,,
"ENABLE_SCREENRECORDING",,"FALSE",,,,
"DISABLE_SCREENSHAKE_WHILE_RECORDING",,"TRUE",,,,
"SEND_CONNECTION_TYPE_INFO",,"TRUE",,,,
"HELPSHIFT_AFTER_LOGIN",,"TRUE",,,,
"SHOW_HELPSHIFT_CONTACT_IN_TH",4,,,,,
"REMOVE_SHADOWS_FROM_DESTROYED_BUILDINGS",,"TRUE",,,,
"FINISH_DEFERRED_TRANSACTION_IN_HOURS",24,,,,,
"RESET_PENDING_TRANSACTION_WHEN_FINISHING_DEFERRED_PURCHASE",,"TRUE",,,,
"LOAD_ADDITIONAL_SC_FILES",,"FALSE",,,,
"DO_GOOGLE_LOGIN_AT_STARTUP",,"TRUE",,,,
"USE_FIXED_TIME_STEP_EMITTERS",,"TRUE",,,,
"BUILDER_CONTEXT_MENU_ENABLED",,"TRUE",,,,
"LOOTCART_CONTEXT_MENU_ENABLED",,"TRUE",,,,
"EMITTER_MAX_DELTA_TIME_MS",0,,,,,
"SHOW_INGAME_MAINTENANCE_SCREEN",,"FALSE",,,,
"USE_DEEP_LINKING",,"TRUE",,,,
"USE_GAMEOBJECT_SELECTION_IN_REPLAYS",,"TRUE",,,,
"SHOW_AOE_IN_REPLAYS",,"TRUE",,,,
"SHOW_FORGOT_ARMY_NOTIF",,"TRUE",,,,
"SHOW_FORGOT_SPELLS_NOTIF",,"TRUE",,,,
"SHOW_COMBINED_ARMY_READY_NOTIF",,"TRUE",,,,
"USE_COPY_PASTE_MENU",,"TRUE",,,,
"USE_STAR_BONUS_NOTIFICATION",,"TRUE",,,,
"SHOW_SHORT_NOTIFICATIONS",,"TRUE",,,,
"NEWS_DEFAULT_ITEM",,,"news_entry_dynamic",,,
"NEWS_DEFAULT_ICON",,,"news_tutor_icon",,,
"ENABLE_WATCH_LIVE_IN_SCOUTING",,"TRUE",,,,
"ENABLE_CHALLENGE_SCOUT",,"TRUE",,,,
"DEFAULT_LANGUAGE_FOR_CAFEBAZAAR",,,"FA",,,
"FORGOT_ARMY_NOTIF_MINUTES",720,,,,,
"FORGOT_SPELLS_NOTIF_MINUTES",720,,,,,
"FORGOT_SPELLS_NOTIF_SLOT_COUNT",2,,,,,
"ALLIANCE_DATA_MESSAGE_OWN_ALLIANCE_FIX",,"TRUE",,,,
"ALLIANCE_WAR_ATTACK_HID_OBJ_NULL_CHECK",,"TRUE",,,,
"TRACK_MODULO",13,,,,,
"TRACK_CURRENCY_BALANCE",,"TRUE",,,,
"ALLIANCE_VIEW_CLOSE_CONTEXT_ON_CLICK",,"TRUE",,,,
"USE_EMPTY_ANIM_FOR_BUILDINGS_UNDER_UPGRADE",,"TRUE",,,,
"ARMY_READY_NOTIF_ADDITIONAL_SECONDS",30,,,,,
"CHALLENGE_FRIENDS_FROM_LIST",,"FALSE",,,,
"CANCEL_KUNLUN_PURCHASES_ON_WINDOW_CLOSED",,"TRUE",,,,
"TRAINING_SHOW_MAX_CAPACITY_WITH_OVERTRAINING",,"FALSE",,,,
"MINIMUM_LIVE_CHAT",-1,,,,,
"DARK_COLOR_RED",0,,,,,
"DARK_COLOR_GREEN",0,,,,,
"DARK_COLOR_BLUE",35,,,,,
"DARK_COLOR_ALPHA",95,,,,,
"FOREGROUND_BUFFER_W",256,,,,,
"FOREGROUND_BUFFER_H",256,,,,,
"BACKGROUND_BUFFER_W_LOW_MEM",512,,,,,
"BACKGROUND_BUFFER_H_LOW_MEM",512,,,,,
"BACKGROUND_BUFFER_W",2048,,,,,
"BACKGROUND_BUFFER_H",1024,,,,,
"USE_ALLIANCE_CHAT_REPORTING",,"TRUE",,,,
"EVENT_LOCAL_NOTIF_TH_MIN_LIMIT",3,,,,,
"SPECIAL_URLS",,,,,"EN",
,,,,,"CN",
"USE_SHIP_SCREEN_URL",,"FALSE",,,,
"SHOW_VILLAGE_OBJECTS",,"TRUE",,,,
"PRELOAD_SOUNDS",,"FALSE",,,,
"SHARE_TAGS_ENABLED",,"TRUE",,,,
"SHARED_DEEPLINK_URL",,,,,,
"DEFERRED_FILE_DOWNLOAD_ENABLED",,"TRUE",,,,
"SHOW_V2_COLLECTORS_FULL_NOTIF",,"TRUE",,,,
"SHOW_V2_DAILY_LIMIT_RESET_NOTIF",,"TRUE",,,,
"GC_TENCENT_CONFIRMATION_TH_LEVEL",3,,,,,
"GIFT_PACK_LOCAL_EXTENSION",,,,,,
"TENCENT_IOS_CHECK_LANGUAGE_CODE",,"FALSE",,,,
"ENABLE_TENCENT",,"FALSE",,,,
"ENABLE_TENCENT_FRIENDS",,"FALSE",,,,
"ENABLE_TUNE",,"TRUE",,,,
"LASER_BOX_URL_WHITE_LIST",,,,,"https://www.youtube.com/embed/",
,,,,,"about:blank",
"LASER_BOX_DOMAIN_WHITE_LIST",,,,,"kunlun-cdn.com",
,,,,,"accounts.google.com",
,,,,,"video.qq.com",
,,,,,"v.qq.com",
,,,,,"qualtrics.com",
"JOYSTICK_AREA_WIDTH",350,,,,,
"ENABLE_CHAT_REPORTING",,"TRUE",,,,
"ENABLE_BAD_TEXT_CHECK",,"TRUE",,,,
"CLAN_INVITE_TOKEN_ENABLED",,"TRUE",,,,
"CLAN_INVITE_TOKEN_EXPIRE_TIME_SECONDS",600,,,,,
"FRIEND_INVITE_TOKEN_ENABLED",,"TRUE",,,,
"FRIEND_INVITE_TOKEN_EXPIRE_TIME_SECONDS",600,,,,,
"TEAM_INVITE_DEEPLINK_ENABLED",,"TRUE",,,,
"CN_STARTUP_WARNING",,,"抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。",,,
"CHINA_REGULATIONS_ENABLED",,"TRUE",,,,
"RARE_CHANCE",559,,,,,
"SUPER_RARE_CHANCE",252,,,,,
"EPIC_CHANCE",114,,,,,
"MYTHIC_CHANCE",52,,,,,
"LEGENDARY_CHANCE",23,,,,,
"STAR_POWER_CHANCE",10,,,,,
"PP_CHANCE",942,,,,,
"SPECTATE_ENABLED",,"TRUE",,,,
"KAKAO_ENABLED",,"FALSE",,,,
"LINE_ENABLED",,"TRUE",,,,
"SELFHELP_ENABLED",,"FALSE",,,,
"NEW_HERO_CHANCE",48,,,,,
"ONLINE_MENU_WAIT_BEFORE_UPDATE_SECS",5,,,,,
"ONLINE_MENU_AUTO_CLOSE_TIME_SECS",-1,,,,,
"ONLINE_MENU_NEW_ITEM_THROTTLE_SECS",60,,,,,
"AUTO_OPEN_TEAM_LOOT_BAR",,"TRUE",,,,
"GAME_MODE_VARIATION_COLORS",,,,0,"0xffd852ff","Gem Grab"
,,,,2,"0xffd852ff","Heist"
,,,,3,"0xff24d6ff","Bounty"
,,,,6,"0xff91e136","Solo SD"
,,,,5,"0xff9ab1fd","Brawl Ball"
,,,,7,"0xffff6847","Boss Fight"
,,,,8,"0xffff6847","Robo Bumble"
,,,,9,"0xff91e136","Duo SD"
,,,,10,"0xffff6847","Raid Boss"
,,,,11,"0xffff6847","Robo Wars"
"DEFAULT_FONT_COLORS",,,,,"0xff4d4848",
,,,,,"0xffe1e1e1",
,,,,,"0xfffd8067",
,,,,,"0xff9aee2d",
,,,,,"0xff2766cf",
,,,,,"0xff61def1",
,,,,,"0xfff871f8",
,,,,,"0xffffd156",
,,,,,"0xffd16eff",
,,,,,"0xfffe6a71",
"COLOR_YOU",,,"0xff00ff00",,,
