"Name","FileName","ExportName"
"CarlLeonardSad","characters.sc","carl_leonard_sad"
"CarlLeonardSadLoop","characters.sc","carl_leonard_sadLoop"
"CarlPirateIdle","characters.sc","pirate_carl_idle"
"CarlPirateAngry","characters.sc","pirate_carl_angry"
"CarlPirateAngryloop","characters.sc","carl_angry_loop"
"CarlPirateProfile","characters.sc","pirate_carl_profile"
"BeaIdle","characters.sc","bea_idle"
"BeaHappy","characters.sc","bea_happy"
"BeaLose","characters.sc","bea_lose"
"BeaLoseloop","characters.sc","bea_loseloop"
"MaxIdle","characters.sc","max_idle"
"MaxLose","characters.sc","max_lose"
"MaxLoseloop","characters.sc","max_loseloop"
"TaraStreeninjaFaceIdle","characters.sc","tara_streetninja_idle"
"MrPPetOff","characters.sc","mrp_pet_off"
"MrPPetOn","characters.sc","mrp_pet_on"
"MrPAgentpPetOff","characters.sc","mrp_agentp_pet_off"
"MrPAgentpPetOn","characters.sc","mrp_agentp_pet_on"
"JackyIdle","characters.sc","jacky_idle"
"JackyWin","characters.sc","jacky_win"
"JackyWinLoop","characters.sc","jacky_winloop"
"JackyLose","characters.sc","jacky_lose"
"JackyLoseLoop","characters.sc","jacky_lose"
"JackyPortrait","characters.sc","jacky_portrait"
