"TID","JP"
"TID_CC_POPUP_CHALLENGE_OVER","チャレンジ終了"
"TID_CC_POPUP_OUT_OF_LIVES","挑戦回数がなくなりました"
"TID_CC_POPUP_COMPLETED","チャレンジクリア"
"TID_CC_POPUP_LEVEL","ステージ<LEVEL>"
"TID_CC_POPUP_WIN","勝利"
"TID_CC_POPUP_LOSSES","敗北"
"TID_QUALIFIED_TITLE","オンライン予選をアンロック！"
"TID_QUALIFIED_INFO","チャンピオンシップチャレンジをクリアしました！\nおめでとうございます！\n\nブロスタ チャンピオンシップへの挑戦を続けるには、<cFFE400><URL></c>をご覧ください。"
"TID_QUALIFIED_INFO_PSG","PSGカップで勝利しました！おめでとうございます！PSGシェリーのスキンをアンロックしました！"
"TID_QUALIFIED_GO","OK！"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","チャンピオンシップチャレンジ"
"TID_BATTLE_END_CC_WIN_LABEL","<AMOUNT>勝の報酬"
"TID_BATTLE_END_CC_DEFEAT_0","チャレンジ終了です。\n次は頑張りましょう！"
"TID_BATTLE_END_CC_DEFEAT_1","もう一度負けると敗退です。\n諦めないで！"
"TID_BATTLE_END_CC_DEFEAT_2","今回は負けましたが\nまだ次があります！"
"TID_BATTLE_END_CC_DRAW_DESC","もう一度プレイして\n勝利しましょう！"
"TID_BATTLE_END_CC_QUALIFY_LABEL","予選通過！"
"TID_BATTLE_END_CC_QUALIFY_INFO","おめでとうございます！ブロスタ チャンピオンシップの\n次なるステージへ進む予選を通過しました。\n詳しくは受信箱をご確認ください。"
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","パワープレイ シーズン終了後の報酬"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","報酬は最終的な\n獲得ポイントで決まります"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","ランキング"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","ポイント"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","グローバルランキングの上位になると\n追加報酬がもらえます"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","シーズン終了後の報酬"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","ランキング"
"TID_PRO_LEAGUE_SEASON_END_TIME","シーズン終了まで"
"TID_PRO_LEAGUE_POPUP_TITLE","パワープレイ"
"TID_EVENT_LABEL_PRO_LEAGUE","パワープレイ"
"TID_PRO_LEAGUE_POPUP_INFO","パワープレイで自分のスキルを試しましょう。1日3回のバトルを戦ってシーズンランキングのトップを目指します。シーズンが終了すると、獲得ポイントやグローバルランキングにおける順位に基づいて、スターポイントがもらえます。"
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","現在のシーズン"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","前のシーズン"
"TID_PRO_LEAGUE_LABEL","パワープレイ"
"TID_TEAM_ERROR_38","パワーレベル10のキャラを\n選択してください！"
"TID_TEAM_ERROR_39","本日のパワープレイバトルは\nすべて終了しました。"
"TID_PRO_LEAGUE_GAMES","残りバトル数：<GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","パワープレイのシーズンは終了しました"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","獲得ポイント"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","最終ランキング"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","スターポイント報酬"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","パワープレイ シーズン終了：<AMOUNT> <cff00ff>スターポイント</c>を獲得！"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","大勝利（+3ポイント）："
"TID_OVERWHELMING_VICTORY_GMV_0","15個目のエメラルドが出現する前に勝利する"
"TID_OVERWHELMING_VICTORY_GMV_5","2-0で勝利する"
"TID_OVERWHELMING_VICTORY_GMV_2","金庫のHPが60%以上残っている状態で勝利する"
"TID_OVERWHELMING_VICTORY_GMV_11","タレットのHPが80%以上残っている状態で勝利する"
"TID_OVERWHELMING_VICTORY_GMV_3","敵よりも10個以上多く星を獲得して勝利する"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","ランキングに基づいてポイントを獲得します"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","勝利すると30ポイント、引き分けで15ポイント、敗北すると5ポイントを獲得します"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","ポイント"
"TID_DOUBLE_TOKEN_WEEKEND","トークン2倍イベント"
"TID_COIN_SHOWER_EVENT","コインの雨イベント"
"TID_RANKS_ADDED_TITLE","新たなキャラクターランク"
"TID_RANKS_ADDED_DESC","キャラクターの最大ランクが20から35になりました。\n\n新たなランクに到達したキャラクターに応じて、<cff00ff><STARPOINTS></c>スターポイントとトークン<TOKENS>個を獲得しました。"
"TID_SKINS_TITLE","スキン"
"TID_SKINS_BUTTON_LABEL","スキン"
"TID_SKIN_PREVIEW","スキンのプレビュー"
"TID_DEFAULT_SKIN","<HERO>のデフォルトスキン"
"TID_HERO_LVL_UP_MATERIAL","コイン"
"TID_TOKENS","トークン"
"TID_FIRST_WINS","スタートークン"
"TID_BUTTON_INBOX","受信箱"
"TID_INBOX_TITLE","受信箱"
"TID_INBOX_SYSTEM_SENDER","システム"
"TID_INBOX_SUPPORT_SENDER","サポート"
"TID_INBOX_BRAWLSTARS_SENDER","ブロスタ"
"TID_INBOX_AGE","<TIME>前"
"TID_INBOX_CLAIM","受け取る"
"TID_INBOX_VIEW","見る"
"TID_INBOX_TAB_0","クラブメール"
"TID_INBOX_TAB_1","個別メール"
"TID_INBOX_NO_ENTRIES","メールなし"
"TID_INBOX_CAPTION_99","シーズンが終了しました"
"TID_INBOX_CAPTION_94","スキン寄付：<NAME>"
"TID_INBOX_CAPTION_93","キャラクター寄付：<NAME>"
"TID_INBOX_CAPTION_92","<NAME>に<AMOUNT>パワーポイントの寄付"
"TID_INBOX_CAPTION_91","チケット<AMOUNT>枚の寄付"
"TID_INBOX_CAPTION_90","<AMOUNT><NAME>の寄付"
"TID_INBOX_CAPTION_89","<AMOUNT>エメラルドの寄付"
"TID_INBOX_CAPTION_88","ダブルトークン<AMOUNT>個の寄付"
"TID_INBOX_CAPTION_85","<AMOUNT>エメラルドの取り消し"
"TID_INBOX_CAPTION_84_4","<NAME>にスターパワー<ABI>の寄付"
"TID_INBOX_CAPTION_84_5","<NAME>にガジェット<ABI>の寄付"
"TID_INBOX_CAPTION_78","キャラクターランク21～30が登場！"
"TID_INBOX_CAPTION_76","オンライン予選をアンロック！"
"TID_INBOX_CAPTION_75","<CHALLENGE>の勝利報酬：\n<NAME>"
"TID_INBOX_NEW","新着"
"TID_BAND_MAIL_POPUP_TITLE","クラブメール"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","ここにメッセージを入力..."
"TID_BAND_MAIL_POPUP_POST","送信"
"TID_BAND_MAIL_POPUP_NO_MSG","メッセージを\n入力してください"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","この機能はデモアカウントではご利用いただけません"
"TID_REVOKE_TITLE","サポートからのメッセージ"
"TID_REVOKE_OK","OK"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","すでにチームに参加しているため、参加申請を送信できません"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","保留中の招待があるため\n参加申請を送信できません"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","保留中の申請があるため\n参加申請を送信できません"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","参加申請が\nキャンセルされました"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","チームに入れてください"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>勝利</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>敗北</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>引き分け</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>ランク<RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>ランク<RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>ランク<RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME>前"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","レベル"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","バトル履歴"
"TID_BATTLE_LOG_REPLAY","リプレイ"
"TID_BATTLE_LOG_SURVIVED_FOR","生存時間：<TIME>"
"TID_BATTLE_LOG_VICTORY_IN","巨大キャラ撃破まで：<TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","フレンドバトル"
"TID_BATTLE_LOG_TOURNAMENT","大会"
"TID_BATTLE_LOG_PVP","ガチバトル"
"TID_BATTLE_LOG_PRO_LEAGUE","パワープレイ"
"TID_BATTLE_LOG_NO_ENTRIES","履歴なし"
"TID_BATTLE_LOG_THIS_IS_A_BOT","これはボットです"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","リプレイは\n現在利用できません"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","リプレイは\nまだ利用できません"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","トロフィー数が足りないためリプレイできません"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","リプレイを利用するには<NUM>トロフィー必要です"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","記録エラーの発生により\nリプレイできません"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","もう利用できない\nリプレイです"
"TID_PLAYER_XP_LEVEL","レベル"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","フレンドを追加できません"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","フレンドリンクが期限切れです！"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","フレンドを追加できません。相手のフレンドリストが一杯です！"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","フレンドを追加できません。フレンドリストが一杯です！"
"TID_ADD_FRIEND_FAILED_BANNED","フレンドを追加できません。相手のアカウントは利用停止中です！"
"TID_KEYPOOL_KEYS_REMAINING","残り<VALUE>個"
"TID_KEYPOOL_NEXT_PATCH","<TIME>後に<KEYS>個追加"
"TID_TOP_HUD_NEXT_REWARD","次の報酬"
"TID_RANK_UP_REWARD_REPLACED_TITLE","代替報酬を確認"
"TID_RANK_UP_REWARD_REPLACED_POWER","<AMOUNT>パワーポイントを受け取れるキャラクターがいません。\n\n代替報酬を受け取りますか？"
"TID_RANK_UP_REWARD_REPLACED_HERO","すでに<NAME>を所有するため\n代替報酬を受け取ります。"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","フレンド申請を\n送る"
"TID_PLAYER_INFO_REMOVE_FRIEND","フレンドリストから削除"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","フレンド申請を\n送信しました"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","ゲーム内\nフレンド"
"TID_POWER_POINTS","パワーポイント"
"TID_HERO_INFO_LEVEL","パワー"
"TID_HERO_INFO_LEVEL_LONG","パワーレベル"
"TID_HERO_INFO_RANK","ランク"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","パワーレベル<LVL>にアップグレード"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","もう一度タップして確定"
"TID_HERO_INFO_MAX_LEVEL","最大パワー"
"TID_HERO_INFO_MORE_POWER_NEEDED","パワーポイントを集めてアップグレード！"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","キャラクターの\nパワーポイントが足りません"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","コインが足りません"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","キャラクターのパワーレベルはすでに最大です！"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","先発キャラクター"
"TID_HERO_INFO_STAR_POWER_EQUIP","選択"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","選択中"
"TID_PLAYER_REPORTED_SUCCESSFULLY","プレイヤーを報告しました！"
"TID_TOO_MANY_REPORTS_SENT","1日の最大報告数を超えています！"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","次の報告を行えるようになるまで、しばらくお待ちください"
"TID_CHOOSE_CHARACTER","キャラクターを選択"
"TID_ARMOR","HP"
"TID_ARMOR_DESC","キャラクターが倒されるまでに耐えられるダメージの量を示します。"
"TID_SHOTGUN_GIRL","シェリー"
"TID_SHOTGUN_GIRL_DESC","シェリーのバックショットは広範囲に広がって標的を襲う。必殺技は障害物を吹き飛ばし、敵も寄せ付けない。"
"TID_LONG_RANGE_SHOTGUN","バックショット"
"TID_LONG_RANGE_SHOTGUN_DESC","シェリーの武器は、広範囲に広がる中距離の散弾銃だ。命中した弾が多いほど、ダメージが大きくなる。"
"TID_MEGA_BLASH_ULTI","スーパーシェル"
"TID_MEGA_BLASH_ULTI_DESC","障害物も敵も吹き飛ばす高威力。攻撃に耐えた敵も押し戻してしまう。"
"TID_GUNSLINGER","コルト"
"TID_GUNSLINGER_DESC","コルトは両手に持ったピストルから正確な射撃を繰り出す。障害物も粉々にする必殺技は、強烈なうえに射程も一段と長い。"
"TID_RAPID_FIRE","シックスシューター"
"TID_RAPID_FIRE_DESC","自慢のリボルバーから長射程の6連弾を放つ。"
"TID_RAPID_FIRE_ULTI","ブレットストーム"
"TID_RAPID_FIRE_ULTI_DESC","爆発的な衝撃と共に飛び出す弾丸は、障害物も粉砕するパワーと圧倒的な飛距離を誇る。"
"TID_BULL_DUDE","ブル"
"TID_BULL_DUDE_DESC","ブルのショットガンは、近距離にいる標的に大ダメージを与える。必殺技で見せる突進は障害物を押しのけ、敵もなぎ倒す。"
"TID_SHOTGUN_BLAST","ダブルバレル"
"TID_SHOTGUN_BLAST_DESC","ダブルバレルのショットガンが大ダメージを与える。射程が短いため、相手のパーソナルスペースに踏み込んでしまうことも多いようだ。"
"TID_CHARGE","ブルドーザー"
"TID_CHARGE_DESC","頭を低くして、敵や障害物に猛突進！こうなった彼は、もう誰にも止められない！"
"TID_ROCKET_GIRL","ブロック"
"TID_ROCKET_GIRL_DESC","ブロックは、爆発する長射程のロケット弾を発射する。必殺技は、障害物も木っ端みじんにする一斉射撃だ！"
"TID_FIREWORKS_WEAPON","ロックンロケット"
"TID_FIREWORKS_WEAPON_DESC","かなり射程の長いロックンロケットを1発ずつ発射する。"
"TID_FIREWORKS_ULTI","ロケットレイン"
"TID_FIREWORKS_ULTI_DESC","敵も障害物も吹き飛ばすロケットの連射。彼いわく、人はロケットの雨に打たれている姿が最も魅力的なのだとか。"
"TID_TNT_DUDE","ダイナマイク"
"TID_TNT_DUDE_DESC","ダイナマイクは、2本のダイナマイトを投げて攻撃する。必殺技はダイナマイトが詰まったタルで、あらゆるものを吹き飛ばす！"
"TID_MORTAR","短気決戦"
"TID_MORTAR_DESC","どんな障害物もものともせず、2本のダイナマイトを投げ入れる。彼の異常な短気さに合わせて、導火線はすべて短くカットしてある。"
"TID_MORTAR_ULTI","巨大タル爆弾"
"TID_MORTAR_ULTI_DESC","ダイナマイトが詰まった特大なタルが障害物を吹き飛ばす。やられなかった敵も爆風で押し戻してしまう。"
"TID_LUCHADOR","エル・プリモ"
"TID_LUCHADOR_DESC","エル・プリモは、敵に連続パンチを浴びせる。必殺技は、真下にいる者すべてにダメージを与えるエルボードロップだ。"
"TID_LUCHADOR_WEAPON","怒りの鉄拳"
"TID_LUCHADOR_WEAPON_DESC","怒りに燃えた灼熱の拳で敵を打つ。ハラペニョがきいたスパイシーなパンチが炸裂だ！"
"TID_LUCHADOR_ULTI","エルボー・ドロップ"
"TID_LUCHADOR_ULTI_DESC","高く跳び上がったら、障害物まで破壊する強力なエルボードロップを敵の脳天にお見舞いする。"
"TID_TRICKSHOT_DUDE_OLD","リコシェ"
"TID_TRICKSHOT_DUDE_DESC","リコは、壁に当たると跳ねる弾丸を発射する。必殺技はさらに射程が長く、標的を貫いて壁で跳ね返る。"
"TID_TRICKSHOT_DUDE_WEAPON","ピンボール"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","彼の弾丸は、壁に当たり跳ね返ると飛距離が延びる。障害物の後ろに隠れた敵もお手のもの。"
"TID_TRICKSHOT_DUDE_ULTI","トリックショット"
"TID_TRICKSHOT_DUDE_ULTI_DESC","長射程でパワフルな弾丸を放つ。敵に当たっても貫通して壁まで届き、跳ね返ると飛距離が延びる。"
"TID_CACTUS","スパイク"
"TID_CACTUS_DESC","スパイクは、トゲを飛ばすサボテンのグレネードを投げる。必殺技ではトゲトゲの地面を作り出し、敵の動きを鈍らせつつダメージを与える。"
"TID_CACTUS_WEAPON","サボテンボム"
"TID_CACTUS_WEAPON_DESC","四方八方にトゲを飛ばして爆発する、小さなサボテンを投げつける。"
"TID_CACTUS_ULTI","トゲトゲ地獄"
"TID_CACTUS_ULTI_DESC","トゲの海を生み出すグレネード。効果範囲に入った敵はダメージを負うだけでなく、動きも鈍くなる。"
"TID_BARKEEP","バーリー"
"TID_BARKEEP_DESC","バーリーは、範囲攻撃ができるボトルを投げる。必殺技は、広範囲に燃え広がるボトルの大盤振る舞いだ！"
"TID_BARKEEP_WEAPON","オン・ザ・ロック"
"TID_BARKEEP_WEAPON_DESC","投げたボトルが地面で割れ、キツいアルコールが敵にダメージを与える。ダメージは効果範囲にいる時間につれて大きくなる。"
"TID_BARKEEP_ULTI","ラストオーダー"
"TID_BARKEEP_ULTI_DESC","引火性があるのは言うまでもなく... 広範囲を火の海にするボトルを、店から何本か大サービス！"
"TID_MECHANIC","ジェシー"
"TID_MECHANIC_DESC","ジェシーのライフルは、敵から敵へと飛び移るエネルギー弾を発射する。必殺技は、可愛い見た目の強力なタレットだ！"
"TID_MECHANIC_WEAPON","ショックライフル"
"TID_MECHANIC_WEAPON_DESC","球状のエネルギー弾を発射する。敵に当たった後も射程にいる次の標的に向かって跳ね返り、最大3人まで攻撃できる。"
"TID_MECHANIC_ULTI","がらくタレット"
"TID_MECHANIC_ULTI_DESC","自動で敵を攻撃するタレットを設置する。しかもなんと100%リサイクル素材で作られた、環境に優しいタレットなのだ！"
"TID_SHAMAN","ニタ"
"TID_SHAMAN_DESC","ニタは、地面を震わす衝撃波で敵を攻撃する。必殺技では、彼女と共に戦う大きなクマを召喚する！"
"TID_SHAMAN_WEAPON","衝撃波"
"TID_SHAMAN_WEAPON_DESC","彼女の衝撃波は地面を揺らし、巻き込まれた敵にダメージを与える。"
"TID_SHAMAN_ULTI","威風堂々"
"TID_SHAMAN_ULTI_DESC","倒されるまで敵を追って攻撃し続ける、巨大な赤ちゃんクマを召喚する。"
"TID_UNDERTAKER","モーティス"
"TID_UNDERTAKER_DESC","モーティスは、シャベルを振ることで前へとダッシュする。必殺技では、敵のHPを吸い取って自身を癒すコウモリの群れを召喚する！"
"TID_UNDERTAKER_WEAPON","シャベルスイング"
"TID_UNDERTAKER_WEAPON_DESC","シャベルを素早く振ることで前方へダッシュする。新たな顧客開拓に向けた営業アピールも兼ねているのだとか。"
"TID_UNDERTAKER_ULTI","ドラキュラ"
"TID_UNDERTAKER_ULTI_DESC","吸血コウモリの群れを召喚し、吸い取った敵のHPを自らのHPとして取り込む。なんとも不気味である...。"
"TID_CROW","クロウ"
"TID_CROW_DESC","クロウは、毒を塗った3本の短剣を投げる。優雅に空を舞う必殺技では、離陸と着陸の瞬間に短剣を飛ばす。"
"TID_CROW_WEAPON","飛び出しナイフ"
"TID_CROW_WEAPON_DESC","3本の短剣を投げつける。かすり傷でも負った敵は、ナイフに塗られた毒により時間とともにダメージを受ける。"
"TID_CROW_ULTI","スイープ"
"TID_CROW_ULTI_DESC","彼が好きなのは空を舞うこと... 離陸と着地の瞬間に、毒の塗られた短剣をあちこちへ投げる。"
"TID_DEAD_MARIACHI","ポコ"
"TID_DEAD_MARIACHI_DESC","ポコは、音波で敵を攻撃する。必殺技は、彼自身と周辺のチームメイトを回復する。"
"TID_DEAD_MARIACHI_WEAPON","パワーコード"
"TID_DEAD_MARIACHI_WEAPON_DESC","彼がギターをかき鳴らすと骨まで響く音波が発生し、それに当たった敵はダメージを受ける。"
"TID_DEAD_MARIACHI_ULTI","アンコール"
"TID_DEAD_MARIACHI_ULTI_DESC","その元気が出るメロディーが届く範囲にいる仲間と自身のHPを回復する。敵には効果を発揮しない。"
"TID_BOW_DUDE","ボウ"
"TID_BOW_DUDE_DESC","ボウは、ターゲットにむけて爆発性のある矢を3本放つ。必殺技では、起爆するまで見えない3つの地雷を仕掛ける！"
"TID_BOW_DUDE_WEAPON","鷹の爪"
"TID_BOW_DUDE_WEAPON_DESC","弓から放たれる爆発性のある3本の矢が、まるで鷹の爪のように敵を引き裂く。"
"TID_BOW_DUDE_ULTI","キツネ狩り"
"TID_BOW_DUDE_ULTI_DESC","地面に起爆性の罠を仕掛ける。敵に反応すると少し遅れて爆発し、吹き飛ばされた敵はダメージを受ける。"
"TID_SNIPER","エリザベス"
"TID_SNIPER_DESC","エリザベスのスナイパーショットは、敵がより遠くにいるほど大きなダメージを与える。必殺技では、華麗に空を舞いながらグレネードを落とす！"
"TID_SNIPER_WEAPON","ライフル傘"
"TID_SNIPER_WEAPON_DESC","傘の先からスナイパーショットを発射する。その弾丸のダメージは、飛距離が長いほど高くなる。"
"TID_SNIPER_ULTI","ポピンズ"
"TID_SNIPER_ULTI_DESC","しつこい取り巻きから逃げるため、ふわりと空を舞う。ただし、レディーの礼儀作法も忘れずに... グレネードを投下！"
"TID_MINIGUN_DUDE","パム"
"TID_MINIGUN_DUDE_DESC","パムは腰だめで射撃し、敵に金属片を浴びせる。必殺技は、自身も仲間も癒す回復タレットだ！"
"TID_MINIGUN_DUDE_WEAPON","メタルストーム"
"TID_MINIGUN_DUDE_WEAPON_DESC","大量の鉄くずを広範囲に噴出する。安全のため、ゴーグル着用をお忘れなく！"
"TID_MINIGUN_DUDE_ULTI","ママのくちづけ"
"TID_MINIGUN_DUDE_ULTI_DESC","癒しのタレットが、自身と効果範囲内にいる仲間のHPを回復します。"
"TID_BONE_THROWER","ボーンストライカー"
"TID_BONE_THROWER_DESC","この戦士に「ミニ」という言葉は似合わない！ミニガンナーはその巨大なマシンガンで、どんな悪党も手加減なしに成敗する（移動速度は遅く、押し戻しは無効）。"
"TID_BONE_THROWER_WEAPON","ミニガン"
"TID_BONE_THROWER_WEAPON_DESC","ミニガンナーがラクラクと持ち運ぶ、巨大なマシンガン。フルオートで連射しながら歩き回ることも可能。"
"TID_BONE_THROWER_ULTI","バンデージ・マシン"
"TID_BONE_THROWER_ULTI_DESC","激しい銃撃戦には、すり傷や切り傷が付き物。ばんそうこうで、チームをベストコンディションに保つ！"
"TID_BLACK_HOLE","タラ"
"TID_BLACK_HOLE_DESC","タラの3枚のタロットカードは、敵をすり抜ける。必殺技は、周辺にいる敵を吸い込んでダメージを与えるブラックホールだ！"
"TID_BLACK_HOLE_WEAPON","トリプルタロット"
"TID_BLACK_HOLE_WEAPON_DESC","手首のスナップをきかせて、3枚のタロットカードを飛ばす。敵をすり抜けるカードには、タネも仕掛けもない！"
"TID_BLACK_HOLE_ULTI","グラビティ"
"TID_BLACK_HOLE_ULTI_DESC","信じられないような本当の話... 重力を操ることができる！効果範囲内にいる敵は引きずり込まれ、激しくぶつかり合うはめになる。"
"TID_TURRET_DAMAGE","タレットのダメージ"
"TID_TURRET_HEALTH","タレットのHP"
"TID_STAT_DAMAGE_PER_SECOND","毎秒ダメージ"
"TID_STAT_DAMAGE_PER_SECOND_EACH","毎秒ダメージ"
"TID_STAT_DAMAGE_PER_STRIKE","パンチのダメージ"
"TID_ROBOT","アイアンコップ"
"TID_ROBOT_DESC","世のため人のため、破壊のかぎりを尽くすために生まれたマシン。"
"TID_ROBOT_WEAPON","ロケットスナイパー"
"TID_ROBOT_WEAPON_DESC","人知を超えた精度で、超長距離の射撃でもロケット弾を命中させる。"
"TID_ROBOT_ULTI","暴動鎮圧"
"TID_ROBOT_ULTI_DESC","非常手段が認められた場合、アイアンコップは、暴徒の群れに多数のロケット弾を撃ち込んで制圧することができる。"
"TID_ARMOR_STAT","HP"
"TID_HEALTH","HP"
"TID_STAT_GRENADE_DAMAGE","グレネードのダメージ"
"TID_STAT_MISSILE_DAMAGE","ロケット弾のダメージ"
"TID_STAT_HEALTH","HP"
"TID_STAT_SPEED","速度"
"TID_STAT_DAMAGE","ダメージ"
"TID_STAT_DAMAGE_PER_SHOT","弾丸のダメージ"
"TID_STAT_DAMAGE_PER_SHELL","弾丸のダメージ"
