"TID","CNT"
"TID_CC_POPUP_QUALIFY_INFO","完成挑戰即可獲得參加荒野亂鬥全球錦標賽下一階段的比賽資格！"
"TID_CC_POPUP_QUALIFY_INFO_PSG","完成挑戰即可獲得雪莉的PSG明星球員造型。"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","挑戰已完成！"
"TID_CC_POPUP_CHALLENGE_OVER","挑戰結束"
"TID_CC_POPUP_OUT_OF_LIVES","已達敗場上限"
"TID_CC_POPUP_COMPLETED","挑戰已完成"
"TID_CC_POPUP_LEVEL","第<LEVEL>階段"
"TID_CC_POPUP_WIN","勝場"
"TID_CC_POPUP_LOSSES","敗場"
"TID_QUALIFIED_TITLE","已解鎖線上資格賽！"
"TID_QUALIFIED_INFO","你已成功完成全球錦標賽挑戰，太神啦！\n\n你可以前往<cFFE400><URL></c>，繼續荒野亂鬥全球錦標賽之旅。"
"TID_QUALIFIED_INFO_PSG","恭喜你完成PSG CUP，你已獲得雪莉的PSG明星球員造型！"
"TID_QUALIFIED_GO","立即前往"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","全球錦標賽挑戰"
"TID_BATTLE_END_CC_WIN_LABEL","<AMOUNT>勝獎勵"
"TID_BATTLE_END_CC_DEFEAT_0","挑戰結束\n祝你下次好運！"
"TID_BATTLE_END_CC_DEFEAT_1","再輸一場，你就出局囉！加油！"
"TID_BATTLE_END_CC_DEFEAT_2","你戰敗了，但你可以繼續挑戰！"
"TID_BATTLE_END_CC_DRAW_DESC","繼續為勝利而戰！"
"TID_BATTLE_END_CC_QUALIFY_LABEL","已晉級！"
"TID_BATTLE_END_CC_QUALIFY_INFO","恭喜！你已獲得參加荒野亂鬥全球錦標賽下一階段的比賽資格。\n請查看你的收件匣以了解更多資訊。"
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","星光競賽賽季結束獎勵"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","根據你的最終積分\n可獲得的獎勵"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","排名"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","積分"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","位居全球排行榜前列\n可獲得的額外獎勵"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","賽季結束獎勵"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","排行榜"
"TID_PRO_LEAGUE_SEASON_END_TIME","離賽季結束還有"
"TID_PRO_LEAGUE_POPUP_TITLE","星光競賽"
"TID_EVENT_LABEL_PRO_LEAGUE","星光競賽"
"TID_PRO_LEAGUE_POPUP_INFO","在星光競賽中證明自己的實力！每天可參加3場星光競賽對戰，在賽季排行榜上邁向更高排名。賽季結束後，你將根據自己的積分和在全球排行榜上的排名獲得星徽點數獎勵。"
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","當前賽季"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","上個賽季"
"TID_PRO_LEAGUE_LABEL","星光競賽"
"TID_TEAM_ERROR_38","請選擇一位10級英雄！"
"TID_TEAM_ERROR_39","今天的星光競賽對戰機會已用盡。"
"TID_PRO_LEAGUE_GAMES","還剩<GAMESLEFT>/<MAXGAMES>次對戰機會"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","星光競賽賽季已結束"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","你的積分"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","你的排名"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","星徽點數獎勵"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","星光競賽賽季已結束：你獲得了<AMOUNT><cff00ff>星徽點數</c>！"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","大獲全勝(+3分):"
"TID_OVERWHELMING_VICTORY_GMV_0","在第15顆寶石出現前獲勝"
"TID_OVERWHELMING_VICTORY_GMV_5","2比0獲勝"
"TID_OVERWHELMING_VICTORY_GMV_2","在己方金庫生命值高於60%的情況下獲勝"
"TID_OVERWHELMING_VICTORY_GMV_11","在己方多功能炮台生命值不低於80%的情況下獲勝"
"TID_OVERWHELMING_VICTORY_GMV_3","在領先對方至少10顆賞金之星的情況下獲勝"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","根據你在對戰中的排名獲得積分"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","勝利獲得30分，平局獲得15分，戰敗獲得5分。"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","積分"
"TID_DOUBLE_TOKEN_WEEKEND","雙倍代幣活動"
"TID_COIN_SHOWER_EVENT","堆金如山活動"
"TID_RANKS_ADDED_TITLE","全新Rank級數"
"TID_RANKS_ADDED_DESC","所有英雄的Rank上限已從20提高至35啦！\n\n你符合條件的英雄已自動升至更高的Rank，因此獲得了<cff00ff><STARPOINTS></c>星徽點數和<TOKENS>代幣！"
"TID_SKINS_TITLE","造型"
"TID_SKINS_BUTTON_LABEL","造型"
"TID_SKIN_PREVIEW","造型預覽"
"TID_DEFAULT_SKIN","<HERO>預設造型"
"TID_HERO_LVL_UP_MATERIAL","金幣"
"TID_TOKENS","代幣"
"TID_FIRST_WINS","星徽代幣"
"TID_BUTTON_INBOX","收件匣"
"TID_INBOX_TITLE","收件匣"
"TID_INBOX_SYSTEM_SENDER","系統"
"TID_INBOX_SUPPORT_SENDER","玩家支援團隊"
"TID_INBOX_BRAWLSTARS_SENDER","荒野亂鬥"
"TID_INBOX_AGE","<TIME>前"
"TID_INBOX_CLAIM","領取"
"TID_INBOX_VIEW","查看"
"TID_INBOX_TAB_0","戰隊郵件"
"TID_INBOX_TAB_1","個人郵件"
"TID_INBOX_NO_ENTRIES","無郵件"
"TID_INBOX_CAPTION_99","賽季已結束"
"TID_INBOX_CAPTION_94","補償造型：<NAME>"
"TID_INBOX_CAPTION_93","補償英雄：<NAME>"
"TID_INBOX_CAPTION_92","補償<NAME>的<AMOUNT>能量點數"
"TID_INBOX_CAPTION_91","補償<AMOUNT>張入場券"
"TID_INBOX_CAPTION_90","補償<AMOUNT><NAME>"
"TID_INBOX_CAPTION_89","補償<AMOUNT>寶石"
"TID_INBOX_CAPTION_88","補償<AMOUNT>雙倍代幣加成"
"TID_INBOX_CAPTION_85","扣除<AMOUNT>寶石"
"TID_INBOX_CAPTION_84_4","為<NAME>補償能力之星：<ABI>"
"TID_INBOX_CAPTION_84_5","為<NAME>補償武裝配件：<ABI>"
"TID_INBOX_CAPTION_78","現已推出英雄Rank21至30！"
"TID_INBOX_CAPTION_76","已解鎖線上資格賽！"
"TID_INBOX_CAPTION_75","<CHALLENGE>獲勝獎勵：\n<NAME>"
"TID_INBOX_NEW","NEW!"
"TID_BAND_MAIL_POPUP_TITLE","戰隊郵件"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","請在此處輸入郵件內容......"
"TID_BAND_MAIL_POPUP_POST","傳送"
"TID_BAND_MAIL_POPUP_NO_MSG","請先輸入郵件內容"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","測試帳號無法使用該功能"
"TID_REVOKE_TITLE","玩家支援團隊訊息"
"TID_REVOKE_OK","我知道了"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","無法發送小隊請求，你已經在小隊中了。"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","無法發送小隊請求，你發送的小隊邀請仍在等待答覆。"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","無法發送小隊請求，你之前的小隊請求正在等待答覆。"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","小隊請求已取消"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","我想加入你的小隊"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>勝利</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>戰敗</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>平局</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>第<RANK>名</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>第<RANK>名</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>第<RANK>名</c>"
"TID_BATTLE_LOG_AGE","<TIME>前"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","等級"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","對戰紀錄"
"TID_BATTLE_LOG_REPLAY","重播"
"TID_BATTLE_LOG_SURVIVED_FOR","存活時間：<TIME>"
"TID_BATTLE_LOG_VICTORY_IN","擊敗巨型英雄耗時<TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","友誼賽"
"TID_BATTLE_LOG_TOURNAMENT","錦標賽"
"TID_BATTLE_LOG_PVP","排位賽"
"TID_BATTLE_LOG_PRO_LEAGUE","星光競賽"
"TID_BATTLE_LOG_NO_ENTRIES","無對戰紀錄"
"TID_BATTLE_LOG_THIS_IS_A_BOT","這是電腦"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","目前無法觀看重播"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","暫無重播"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","無法重播：英雄獎盃數不足"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","英雄獎盃數達到<NUM>即可解鎖重播功能"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","無法重播：錄製失敗"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","抱歉，已無法重播"
"TID_PLAYER_XP_LEVEL","等級"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","新增好友失敗"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","好友連結已失效！"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","無法新增好友，對方好友列表已滿！"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","無法新增好友，你的好友列表已滿！"
"TID_ADD_FRIEND_FAILED_BANNED","無法新增好友，該玩家已被封禁！"
"TID_KEYPOOL_KEYS_REMAINING","剩餘<VALUE>"
"TID_KEYPOOL_NEXT_PATCH","<TIME>後+<KEYS>代幣"
"TID_TOP_HUD_NEXT_REWARD","下個獎勵"
"TID_RANK_UP_REWARD_REPLACED_TITLE","確認領取替代獎勵"
"TID_RANK_UP_REWARD_REPLACED_POWER","沒有英雄可接收<AMOUNT>能量點數獎勵。\n\n是否領取替代獎勵？"
"TID_RANK_UP_REWARD_REPLACED_HERO","由於你已解鎖<NAME>，你將獲得替代獎勵。"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","發送好友請求"
"TID_PLAYER_INFO_REMOVE_FRIEND","從好友列表中移除"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","好友請求已發送"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","遊戲內\n好友"
"TID_POWER_POINTS","能量點數"
"TID_HERO_INFO_LEVEL","等級"
"TID_HERO_INFO_LEVEL_LONG","戰力等級"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","升至戰力等級<LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","再次點擊以確認"
"TID_HERO_INFO_MAX_LEVEL","等級已滿"
"TID_HERO_INFO_MORE_POWER_NEEDED","收集更多能量點數以升級英雄！"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","英雄的能量點數不足"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","你的金幣不足！"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","英雄已達到最高戰力等級！"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","初始英雄"
"TID_HERO_INFO_STAR_POWER_EQUIP","選擇"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","已選擇"
"TID_PLAYER_REPORTED_SUCCESSFULLY","已檢舉該玩家！"
"TID_TOO_MANY_REPORTS_SENT","已達每日檢舉上限！"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","請稍後再進行檢舉"
"TID_CHOOSE_CHARACTER","選擇英雄"
"TID_ARMOR","生命值"
"TID_ARMOR_DESC","代表英雄在被擊倒前能夠承受的傷害。"
"TID_SHOTGUN_GIRL","雪莉"
"TID_SHOTGUN_GIRL_DESC","雪莉的散彈槍可發射制式散彈重創敵人。她的超級技能可摧毀障礙物並擊退敵人！"
"TID_LONG_RANGE_SHOTGUN","制式散彈"
"TID_LONG_RANGE_SHOTGUN_DESC","雪莉的散彈槍可大範圍散射出多枚中等射程的彈丸，命中敵人的彈丸越多，造成的傷害越高。"
"TID_MEGA_BLASH_ULTI","超級散彈"
"TID_MEGA_BLASH_ULTI_DESC","雪莉的超級散彈可摧毀障礙物直擊對手，即使有敵人僥倖生還也會被擊退。"
"TID_GUNSLINGER","柯爾特"
"TID_GUNSLINGER_DESC","柯爾特雙持左輪手槍，每次攻擊都能射出一連串精準無比的子彈。他的超級技能不僅能發射更加密集的子彈、攻擊更遠的距離，還能摧毀障礙物！"
"TID_RAPID_FIRE","左輪連擊"
"TID_RAPID_FIRE_DESC","柯爾特使用他的左輪手槍向同一個方向連開6槍，可攻擊到遠距離的敵人。"
"TID_RAPID_FIRE_ULTI","狂彈風暴"
"TID_RAPID_FIRE_ULTI_DESC","柯爾特能快速連續射出大量子彈，這些子彈的射程更遠且能摧毀障礙物。"
"TID_BULL_DUDE","狂牛"
"TID_BULL_DUDE_DESC","狂牛的雙管獵槍可以對近距離的敵人造成巨大傷害。開啟超級技能後，他可以撞穿障礙物、撞飛敵人！"
"TID_SHOTGUN_BLAST","雙管獵殺"
"TID_SHOTGUN_BLAST_DESC","狂牛的雙管獵槍傷害非常驚人，但是射程很短，所以狂牛喜歡衝到敵人面前解決問題。"
"TID_CHARGE","蠻牛衝撞"
"TID_CHARGE_DESC","狂牛埋頭發動衝鋒，能夠撞飛敵人、撞穿障礙物。沒錯，這位老兄不但脾氣倔得像頭牛，腦袋也硬得像頭牛！"
"TID_ROCKET_GIRL","布洛克"
"TID_ROCKET_GIRL_DESC","布洛克可以發射勁爆的火箭攻擊遠處的敵人。他的超級技能發射的火箭彈幕更能重創敵人、摧毀障礙物！"
"TID_FIREWORKS_WEAPON","搖滾火箭"
"TID_FIREWORKS_WEAPON_DESC","布洛克每次能發射一枚射程驚人的搖滾火箭。"
"TID_FIREWORKS_ULTI","火箭轟炸"
"TID_FIREWORKS_ULTI_DESC","布洛克發射的火箭彈幕可摧毀敵人和障礙物。敵人遭受火箭轟炸的畫面，是布洛克眼裡最美的風景。"
"TID_TNT_DUDE","爆破麥克"
"TID_TNT_DUDE_DESC","麥克每次可以投擲兩根爆破炸藥。他的超級技能是丟出一個塞滿炸藥的大木桶，把敵人和障礙物通通炸飛！"
"TID_MORTAR","爆破炸藥"
"TID_MORTAR_DESC","麥克投擲兩根可飛越障礙物的爆破炸藥。這些爆破炸藥就像麥克的脾氣一樣易燃易爆炸！"
"TID_MORTAR_ULTI","爆破蹦蹦蹦"
"TID_MORTAR_ULTI_DESC","這個塞滿炸藥的炸藥桶不僅威力巨大，還能摧毀障礙物。即使敵人在爆炸中僥倖生還，也仍會被強大的衝擊波震飛。"
"TID_LUCHADOR","艾爾普里莫"
"TID_LUCHADOR_DESC","艾爾普里莫會用迅雷不及掩耳的拳頭痛擊對手。他的超級技能可以讓他騰空飛起，重創下方的敵人！"
"TID_LUCHADOR_WEAPON","憤怒鐵拳"
"TID_LUCHADOR_WEAPON_DESC","艾爾普里莫以迅雷之勢連續打出4記憤怒鐵拳。這墨西哥嗆辣十足的拳頭可以把對手打得滿地找牙！"
"TID_LUCHADOR_ULTI","飛身肘擊"
"TID_LUCHADOR_ULTI_DESC","艾爾普里莫高高躍起，落地時施展強力肘擊，能擊退敵人並摧毀障礙物！"
"TID_TRICKSHOT_DUDE_OLD","彈射"
"TID_TRICKSHOT_DUDE_DESC","彈射發射的一連串子彈撞到牆壁後會反彈。他的超級技能發射更多的子彈，射得更遠、彈力更強，還能穿透敵人！"
"TID_TRICKSHOT_DUDE_WEAPON","彈力射擊"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","彈射射出的子彈在擊中牆面後會反彈，而且飛得更遠，此特性讓他可以攻擊到躲在障礙物後面的敵人。"
"TID_TRICKSHOT_DUDE_ULTI","華麗彈射"
"TID_TRICKSHOT_DUDE_ULTI_DESC","彈射射出一連串子彈，子彈可以穿透敵人，擊中牆面後會反彈並飛得更遠。"
"TID_CACTUS","史派克"
"TID_CACTUS_DESC","史派克丟出的炸彈在爆炸後會向周圍發射尖刺。他華麗的超級技能會讓指定區域內長滿尖刺，可減緩敵人的移動速度並對他們造成傷害。"
"TID_CACTUS_WEAPON","驚喜刺刺球"
"TID_CACTUS_WEAPON_DESC","史派克射出一個小仙人掌，仙人掌爆炸後會向不同方向發射尖刺。"
"TID_CACTUS_ULTI","尖刺樂園"
"TID_CACTUS_ULTI_DESC","史派克拋出一個尖刺炸彈，處於技能範圍內的敵人會受到傷害並降低移動速度。"
"TID_BARKEEP","保力"
"TID_BARKEEP_DESC","保力會朝敵人丟出手搖瓶並造成範圍傷害。他的超級技能是丟出一連串的燃燒瓶！"
"TID_BARKEEP_WEAPON","手搖瓶"
"TID_BARKEEP_WEAPON_DESC","保力拋出一個手搖瓶，瓶子落地破碎時會噴濺液體對敵人造成傷害，同時若敵人持續處於濺出液體範圍內則會受到更多傷害。"
"TID_BARKEEP_ULTI","無限暢飲"
"TID_BARKEEP_ULTI_DESC","保力迅速拋出多個燃燒瓶，使一大片區域燃起熊熊烈火，保力以行動表現滿滿熱情！"
"TID_MECHANIC","潔西"
"TID_MECHANIC_DESC","潔西用脈衝步槍發射的能量球會在多個敵人間彈射。她的超級技能是部署一座可愛又可怕的炮台！"
"TID_MECHANIC_WEAPON","脈衝步槍"
"TID_MECHANIC_WEAPON_DESC","潔西發射一個能量球，能量球在命中目標後會彈向其他敵人，最多可擊中3個敵人。"
"TID_MECHANIC_ULTI","自動炮台"
"TID_MECHANIC_ULTI_DESC","潔西架設一座可以自動攻擊敵人的炮台，這座炮台運用可完全回收的材料製作！"
"TID_SHAMAN","妮塔"
"TID_SHAMAN_DESC","妮塔發射的衝擊波可以傷害多名敵人。她的超級技能是召喚一頭熊靈與她並肩作戰！"
"TID_SHAMAN_WEAPON","衝擊波"
"TID_SHAMAN_WEAPON_DESC","妮塔向前方使出一道衝擊波，對波及的敵人造成傷害。"
"TID_SHAMAN_ULTI","熊靈召喚"
"TID_SHAMAN_ULTI_DESC","妮塔召喚出大寶貝熊，牠會自動追擊附近的敵人。"
"TID_UNDERTAKER","莫提斯"
"TID_UNDERTAKER_DESC","莫提斯每次揮鏟都會向前突進。他的超級技能是召喚一群蝙蝠傷害敵人並治療自己！"
"TID_UNDERTAKER_WEAPON","鐵鏟突襲"
"TID_UNDERTAKER_WEAPON_DESC","莫提斯喜歡揮舞鋒利的鐵鏟向前突襲，為自己的事業創造商機。"
"TID_UNDERTAKER_ULTI","噬血侵襲"
"TID_UNDERTAKER_ULTI_DESC","莫提斯召喚出一群蝙蝠，傷害敵人的同時也能為自己恢復生命值，恐怖到了極點哦！"
"TID_CROW","鴉"
"TID_CROW_DESC","鴉每次會丟出3把淬毒飛刀。使用超級技能時，鴉會淩空飛起，並在騰空和落地時分別丟出一圈飛刀！"
"TID_CROW_WEAPON","淬毒飛刀"
"TID_CROW_WEAPON_DESC","鴉擲出3把淬毒飛刀，被飛刀傷到的敵人會受到持續性傷害。"
"TID_CROW_ULTI","飛躍毒襲"
"TID_CROW_ULTI_DESC","鴉飛向空中，在他起飛和落地的瞬間會向周圍丟出一圈淬毒的飛刀。"
"TID_DEAD_MARIACHI","波可"
"TID_DEAD_MARIACHI_DESC","波可的吉他會發出音浪，對敵人造成傷害。他的超級技能可以同時治療自己和隊友！"
"TID_DEAD_MARIACHI_WEAPON","強力和弦"
"TID_DEAD_MARIACHI_WEAPON_DESC","波可彈吉他時會發出一波接一波刺耳的琴聲，被音浪波及的對手將受到傷害。"
"TID_DEAD_MARIACHI_ULTI","治癒安可曲"
"TID_DEAD_MARIACHI_ULTI_DESC","波可彈奏一段振奮人心的旋律，為自己和範圍內的隊友恢復生命值！對敵人無效。"
"TID_BOW_DUDE","鷹獵人 爆"
"TID_BOW_DUDE_DESC","鷹獵人爆每次可以朝敵人發射3支爆炸箭。他的超級技能是在地上佈置3枚會爆炸的隱形地雷！"
"TID_BOW_DUDE_WEAPON","爆炸箭"
"TID_BOW_DUDE_WEAPON_DESC","鷹獵人爆每次能射出3支爆炸箭，這些箭矢就像獵鷹的利爪般精準而致命。"
"TID_BOW_DUDE_ULTI","狩獵陷阱"
"TID_BOW_DUDE_ULTI_DESC","鷹獵人爆丟出幾個隱形的狩獵陷阱，陷阱被觸發後會短暫延遲，然後爆炸，對敵人造成傷害並擊退敵人。"
"TID_SNIPER","小辣椒"
"TID_SNIPER_DESC","小辣椒可以遠距離狙擊敵人，她的子彈飛得越遠，傷害就越高。她發動超級技能時，會在附近丟下幾顆手榴彈，同時跳至別處！"
"TID_SNIPER_WEAPON","狙擊陽傘"
"TID_SNIPER_WEAPON_DESC","小辣椒的狙擊陽傘從傘頂發射子彈狙擊敵人，子彈飛行的距離越遠，造成的傷害越高！"
"TID_SNIPER_ULTI","飛天重禮"
"TID_SNIPER_ULTI_DESC","小辣椒跳向一旁，以躲避那些企圖接近她的\q追求者\q。不過她還是會讓他們感受到一點名媛的\q青睞\q：幾顆藏在她吊帶襪中的手榴彈。"
"TID_MINIGUN_DUDE","帕姆"
"TID_MINIGUN_DUDE_DESC","帕姆最愛用背後的廢料噴射器料理敵人。她的超級技能是放置一座治療台，為自己和附近的隊友恢復生命值！"
"TID_MINIGUN_DUDE_WEAPON","廢料噴射"
"TID_MINIGUN_DUDE_WEAPON_DESC","帕姆向大範圍區域噴射金屬廢料。請戴好安全護目鏡！"
"TID_MINIGUN_DUDE_ULTI","大媽的地盤"
"TID_MINIGUN_DUDE_ULTI_DESC","帕姆架設一個治療台，為處於治療台範圍內的自己和隊友持續恢復生命值。"
"TID_BONE_THROWER","白面槍手"
"TID_BONE_THROWER_DESC","不要小看這個槍手！他能隨手拿起巨型機關槍，輕鬆掃平無數壞蛋。（移動速度慢，免疫擊退）"
"TID_BONE_THROWER_WEAPON","重型機關槍"
"TID_BONE_THROWER_WEAPON_DESC","這個大個子能夠輕而易舉拿起這架巨大的機關槍，甚至能一邊開火一邊前進！"
"TID_BONE_THROWER_ULTI","繃帶分發器"
"TID_BONE_THROWER_ULTI_DESC","槍林彈雨中不免會受些皮肉傷，而這台繃帶分發器能讓你和你的隊友都保持奮戰的活力。"
"TID_BLACK_HOLE","塔拉"
"TID_BLACK_HOLE_DESC","塔拉每次丟出的3張塔羅牌，可以穿透敵人並造成傷害。她的超級技能可以把附近的敵人吸在一起並造成傷害！"
"TID_BLACK_HOLE_WEAPON","三重塔羅"
"TID_BLACK_HOLE_WEAPON_DESC","塔拉輕抖手腕，以迅雷之勢甩出3張可射穿對手的塔羅牌。這操作真是太神了！"
"TID_BLACK_HOLE_ULTI","命運之輪"
"TID_BLACK_HOLE_ULTI_DESC","塔拉召喚出令人難以抵擋的命運之輪，會將範圍內的敵人吸入其中，讓他們一起面對共同的命運！"
"TID_TURRET_DAMAGE","炮台傷害"
"TID_TURRET_HEALTH","炮台生命值"
"TID_STAT_DAMAGE_PER_SECOND","每秒傷害"
"TID_STAT_DAMAGE_PER_SECOND_EACH","每秒傷害"
"TID_STAT_DAMAGE_PER_STRIKE","每拳傷害"
"TID_ROBOT","副官艾恩斯"
"TID_ROBOT_DESC","為服務而生，為破壞代言。"
"TID_ROBOT_WEAPON","狙擊火箭"
"TID_ROBOT_WEAPON_DESC","副官艾恩斯利用機械般的精準度發射爆炸火箭，可以攻擊到超遠距離外的敵人。"
"TID_ROBOT_ULTI","火力壓制"
"TID_ROBOT_ULTI_DESC","如果需要使用非常手段，副官艾恩斯可以發射大量火箭，對密集的敵人造成重大打擊。"
"TID_ARMOR_STAT","生命值"
"TID_HEALTH","生命值"
"TID_STAT_GRENADE_DAMAGE","每顆手榴彈傷害"
"TID_STAT_MISSILE_DAMAGE","每發火箭傷害"
"TID_STAT_HEALTH","生命值"
"TID_STAT_SPEED","速度"
"TID_STAT_DAMAGE","傷害"
"TID_STAT_DAMAGE_PER_SHOT","每顆子彈傷害"
"TID_STAT_DAMAGE_PER_SHELL","每顆彈丸傷害"
"TID_STAT_HAMMER_DAMAGE","每0.2秒傷害"
"TID_BATTLE","對戰"
"TID_QUIT","退出"
"TID_MATCHMAKING_QUIT","退出"
"TID_MATCHMAKING_HEADING","正在搜尋玩家"
"TID_MATCHMAKING_TIME_LABEL","離對戰開始還有："
"TID_MATCHMAKING_PLAYERS","已找到玩家 <x>/<y>"
