"TID","HE"
"TID_CC_POPUP_CHALLENGE_OVER","האתגר הסתיים"
"TID_CC_POPUP_OUT_OF_LIVES","אין יותר ניסיונות"
"TID_CC_POPUP_COMPLETED","האתגר הושלם"
"TID_CC_POPUP_LEVEL","שלב <LEVEL>"
"TID_CC_POPUP_WIN","ניצחון"
"TID_CC_POPUP_LOSSES","הפסדים"
"TID_QUALIFIED_TITLE","משחק מקדים מקוון נפתח!"
"TID_QUALIFIED_INFO","וואו, זכית באתגר האליפות! מדהים!\n\nכדי להמשיך במסע אל אליפות BRAWL STARS, עבור אל<cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","ברכותינו, זכית בגביע PSG! פתחת את הסקין שלי PSG!"
"TID_QUALIFIED_GO","קדימה!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","אתגר האליפות"
"TID_BATTLE_END_CC_WIN_LABEL","הפרס עבור ניצחון מספר <AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","האתגר הסתיים\nבהצלחה בפעם הבאה!"
"TID_BATTLE_END_CC_DEFEAT_1","עוד הפסד אחד ואתה בחוץ. המשך להילחם!"
"TID_BATTLE_END_CC_DEFEAT_2","הפעם הפסדת, אבל אתה יכול להמשיך!"
"TID_BATTLE_END_CC_DRAW_DESC","שחק שוב כדי לנצח!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","הצלחת לעלות!"
"TID_BATTLE_END_CC_QUALIFY_INFO","מזל טוב! אתה רשאי להשתתף בשלב הבא של אליפות Brawl Stars.\nבדוק את תיבת הדואר הנכנס שלך כדי לקבל פרטים נוספים."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","פרסי סוף העונה של מהלך כוחני"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","פרס על סמך\nהנקודות הסופיות שלך"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","דירוג"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","נקודות"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","פרס נוסף על הגעה\nלראש לוח המובילים העולמי"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","פרסי סוף העונה"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","לוחות המובילים"
"TID_PRO_LEAGUE_SEASON_END_TIME","העונה מסתיימת בעוד"
"TID_PRO_LEAGUE_POPUP_TITLE","מהלך כוחני"
"TID_EVENT_LABEL_PRO_LEAGUE","מהלך כוחני"
"TID_PRO_LEAGUE_POPUP_INFO","יש לך אפשרות לבחון את הכישורים שלך במהלך כוחני! כדאי להשלים 3 משחקים יומיים כדי לטפס בראש לוח המובילים העונתי. כשהעונה תסתיים, ניתן לך נקודות כוכב על סמך הנקודות והדירוג שצברת בלוח המובילים העולמי."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","העונה הנוכחית"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","העונה הקודמת"
"TID_PRO_LEAGUE_LABEL","מהלך כוחני"
"TID_TEAM_ERROR_38","צריך לבחור בראולר ברמת עוצמה 10!"
"TID_TEAM_ERROR_39","לא נותרו יותר משחקי מהלך כוחני היום!"
"TID_PRO_LEAGUE_GAMES","נותרו <GAMESLEFT>/<MAXGAMES> משחקים"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","העונה של מהלך כוחני הסתיימה"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","הנקודות שלך"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","הדירוג שלך"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","פרס נקודות כוכב"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","סיום העונה של מהלך כוחני: <AMOUNT> <cff00ff> נקודות כוכב </c> נצברו!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","ניצחון אפי (3+ נקודות):"
"TID_OVERWHELMING_VICTORY_GMV_0","נצח לפני שמופיע היהלום ה-15"
"TID_OVERWHELMING_VICTORY_GMV_5","נצח 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","נצח עם 60% בריאות לפחות בכספת שלך"
"TID_OVERWHELMING_VICTORY_GMV_11","נצח עם 80% בריאות לפחות בבסיס שלך"
"TID_OVERWHELMING_VICTORY_GMV_3","נצח עם לפחות 10 כוכבים יותר מאשר היריב"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","ניתנות לך נקודות על סמך הדירוג שלך בתחרות"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","מרוויחים 30 נקודות מניצחון, 15 מתיקו, ופרס ניחומים של 5 מתבוסה"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","נקודות"
"TID_DOUBLE_TOKEN_WEEKEND","אירוע טוקנים כפולים"
"TID_COIN_SHOWER_EVENT","אירוע גשם של מטבעות"
"TID_RANKS_ADDED_TITLE","דירוגי בראולרים חדשים"
"TID_RANKS_ADDED_DESC","הוספנו דירוג של 21-35 לכל הבראולרים.\n\nהרווחת <cff00ff><STARPOINTS></c> נקודות כוכב ו-<TOKENS> טוקנים מבראולרים שהגיעו לדירוגים החדשים האלה"
"TID_SKINS_TITLE","סקינים"
"TID_SKINS_BUTTON_LABEL","סקינים"
"TID_SKIN_PREVIEW","תצוגה מקדימה של סקין"
"TID_DEFAULT_SKIN","סקין ברירת מחדל של <HERO>"
"TID_HERO_LVL_UP_MATERIAL","מטבעות"
"TID_TOKENS","טוקנים"
"TID_FIRST_WINS","טוקנים של כוכבים"
"TID_BUTTON_INBOX","תיבת דואר נכנס"
"TID_INBOX_TITLE","תיבת דואר נכנס"
"TID_INBOX_SYSTEM_SENDER","מערכת"
"TID_INBOX_SUPPORT_SENDER","תמיכה"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","לפני <TIME>"
"TID_INBOX_CLAIM","קבל"
"TID_INBOX_VIEW","הצג"
"TID_INBOX_TAB_0","דואר מועדון"
"TID_INBOX_TAB_1","אישי"
"TID_INBOX_NO_ENTRIES","אין הזנות"
"TID_INBOX_CAPTION_99","העונה הסתיימה"
"TID_INBOX_CAPTION_94","תרומת סקינים: <NAME>"
"TID_INBOX_CAPTION_93","תרומת בראולרים: <NAME>"
"TID_INBOX_CAPTION_92","תרומה של <AMOUNT> נקודות כוח עבור <NAME>"
"TID_INBOX_CAPTION_91","תרומה של <AMOUNT> כרטיסים"
"TID_INBOX_CAPTION_90","תרומה של <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","תרומה של <AMOUNT> יהלומים"
"TID_INBOX_CAPTION_88","תרומה של <AMOUNT> מכפילי טוקנים"
"TID_INBOX_CAPTION_85","ביטול של <AMOUNT> יהלומים"
"TID_INBOX_CAPTION_84_4","תרומה של כוח כוכב <ABI> בשביל <NAME>"
"TID_INBOX_CAPTION_84_5","תרומה של גאדג‘ט <ABI> עבור <NAME>"
"TID_INBOX_CAPTION_78","דירוג 21-30 לבראולרים כבר כאן!"
"TID_INBOX_CAPTION_76","משחק מקדים מקוון נפתח!"
"TID_INBOX_CAPTION_75","פרס על ניצחון ב<CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","חדש!"
"TID_BAND_MAIL_POPUP_TITLE","דואר מועדון"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","כתוב את ההודעה שלך כאן..."
"TID_BAND_MAIL_POPUP_POST","פרסם"
"TID_BAND_MAIL_POPUP_NO_MSG","זכור להזין הודעה"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","מאפיין זה לא זמין עבור חשבונות דמו"
"TID_REVOKE_TITLE","הודעה מצוות התמיכה"
"TID_REVOKE_OK","הבנתי"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","לא ניתן לשלוח בקשת הצטרפות. הצטרפת כבר לקבוצה"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","לא ניתן לשלוח בקשת הצטרפות. יש לך הזמנה לקבוצה בהמתנה"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","לא ניתן לשלוח בקשת הצטרפות. יש לך בקשת הצטרפות בהמתנה"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","בקשת ההצטרפות בוטלה"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","אני רוצה להצטרף לקבוצה"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ניצחון</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>תבוסה</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>תיקו</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>דירוג <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>דירוג <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>דירוג <RANK></c>"
"TID_BATTLE_LOG_AGE","לפני <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","רמה"
"TID_BATTLE_LOG_TVST_VERSUS","נגד"
"TID_BATTLE_LOG_TITLE","יומן קרב"
"TID_BATTLE_LOG_REPLAY","הילוך חוזר"
"TID_BATTLE_LOG_SURVIVED_FOR","שרדו במשך <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","הביסו את הבראולר הגדול תוך <TIME>"
"TID_BATTLE_LOG_MVP","שחקן כוכב"
"TID_BATTLE_LOG_FRIENDLY","ידידותיים"
"TID_BATTLE_LOG_TOURNAMENT","טורניר"
"TID_BATTLE_LOG_PVP","מדורגים"
"TID_BATTLE_LOG_PRO_LEAGUE","מהלך כוחני"
"TID_BATTLE_LOG_NO_ENTRIES","אין כניסות"
"TID_BATTLE_LOG_THIS_IS_A_BOT","זהו בוט"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","לא ניתן לצפות בהילוכים חוזרים"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","עדיין לא ניתן לצפות בהילוכים חוזרים"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","אין אפשרות להילוך חוזר: אין מספיק פרסי בראולר"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","צריך לצבור <NUM> פרסי בראולר כדי לפתוח הילוכים חוזרים"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","אין אפשרות להילוך חוזר: ההקלטה נכשלה"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","ההילוך החוזר כבר לא זמין"
"TID_PLAYER_XP_LEVEL","רמה"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","הוספת חבר נכשלה"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","פג תוקף של קישור חבר!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","לא ניתן להוסיף חבר, רשימת החברים שלהם מלאה!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","לא ניתן להוסיף חבר, רשימת החברים שלך מלאה!"
"TID_ADD_FRIEND_FAILED_BANNED","לא ניתן להוסיף חבר, המשתמש הורחק!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> נשארו"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> טוקנים ב-<TIME>"
"TID_TOP_HUD_NEXT_REWARD","הפרס הבא"
"TID_RANK_UP_REWARD_REPLACED_TITLE","אישור פרס חלופי"
"TID_RANK_UP_REWARD_REPLACED_POWER","אף אחד מהבראולרים שלך לא יכול לקבל <AMOUNT> נקודות כוח.\n\nהאם ברצונך לקבל את הפרס החלופי במקום זאת?"
"TID_RANK_UP_REWARD_REPLACED_HERO","כבר יש לך <NAME>, לכן ניתן לך את הפרס החלופי."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","שליחת בקשת חברות"
"TID_PLAYER_INFO_REMOVE_FRIEND","הסרה מרשימת החברים"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","נשלחה בקשת חברות"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","חבר\nבמשחק"
"TID_POWER_POINTS","נקודות כוח"
"TID_HERO_INFO_LEVEL","כוח"
"TID_HERO_INFO_LEVEL_LONG","רמת כוח"
"TID_HERO_INFO_RANK","דירוג"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","שדרוג לרמת כוח <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","יש להקיש שוב לאישור"
"TID_HERO_INFO_MAX_LEVEL","כוח מקסימלי"
"TID_HERO_INFO_MORE_POWER_NEEDED","יש לצבור עוד כוח כדי לשדרג!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","לבראולר אין מספיק נקודות כוח"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","אין לך מספיק מטבעות!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","הבראולר הגיע לרמת כוח מקסימלית!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","מתחיל את הבראולר"
"TID_HERO_INFO_STAR_POWER_EQUIP","בחירה"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","נבחר"
"TID_PLAYER_REPORTED_SUCCESSFULLY","השחקן דווח!"
"TID_TOO_MANY_REPORTS_SENT","חרגת ממגבלת הדיווח היומית"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","נא להמתין לפני שליחת דוח נוסף"
"TID_CHOOSE_CHARACTER","צריך לבחור בראולר"
"TID_ARMOR","בריאות"
"TID_ARMOR_DESC","מראה כמה נזק מצטבר הבראולר יכול לספוג לפני שהוא נופל."
"TID_SHOTGUN_GIRL","שלי"
"TID_SHOTGUN_GIRL_DESC","הרובה יורה האש של שלי מפוצץ את הקבוצה השנייה בקליעים קטלניים. תכונת הסופר שלה הורסת מקומות מחסה ומבטיחה שהאויבים שלה יישארו במרחק בטוח!"
"TID_LONG_RANGE_SHOTGUN","קליעים"
"TID_LONG_RANGE_SHOTGUN_DESC","הרובה האימתני של שלי יורה קליעים לטווח בינוני. ככל שיותר קליעים פוגעים במטרה, כך הנזק גדול יותר."
"TID_MEGA_BLASH_ULTI","סופר-פגז"
"TID_MEGA_BLASH_ULTI_DESC","תכונת הסופר-פגז של שלי משמידה גם מקומות מחסה וגם אויבים. כל הניצולים נסוגים לאחור."
"TID_GUNSLINGER","קולט"
"TID_GUNSLINGER_DESC","קולט יורה מטח כדורים מדויק מהאקדחים הכפולים שלו. תכונת הסופר שלו מרסקת מקומות מחסה ומגבירה את מטח הכדורים!"
"TID_RAPID_FIRE","אקדח אוטומטי"
"TID_RAPID_FIRE_DESC","קולט יורה מהאקדחים שלו שש יריות ישירות ארוכות טווח."
"TID_RAPID_FIRE_ULTI","סופת קליעים"
"TID_RAPID_FIRE_ULTI_DESC","קולט פולט מטח כדורים מסיבי שמגיע למרחק רב והורס מקומות מחסה."
"TID_BULL_DUDE","בול"
"TID_BULL_DUDE_DESC","בול גורם נזק אדיר בטווח קצר באמצעות הרובה שלו. בתכונת הסופר שלו הוא מסתער על מחסומים ומפיל אויבים על ימין ועל שמאל!"
"TID_SHOTGUN_BLAST","דו-קני"
"TID_SHOTGUN_BLAST_DESC","הרובה הדו-קני של בול גורם נזק כבד. הטווח שלו קצר מאוד, לכן בול אוהב ליצור קרבה אישית."
"TID_CHARGE","בולדוזר"
"TID_CHARGE_DESC","בול מרכין את ראשו וכמו בולדוזר מפלס את דרכו בין יריבים ומכשולים. תמיד הוא היה תותח!"
"TID_ROCKET_GIRL","ברוק"
"TID_ROCKET_GIRL_DESC","ברוק יורה טילים ארוכי טווח על האויב. תכונת הסופר שלו היא מטח טילים בליסטיים שהורסים מקומות מחסה!"
"TID_FIREWORKS_WEAPON","טיל מטלטל"
"TID_FIREWORKS_WEAPON_DESC","ברוק מעיף טיל מטלטל שמסוגל להגיע למרחק עצום."
"TID_FIREWORKS_ULTI","גשם של טילים"
"TID_FIREWORKS_ULTI_DESC","ברוק יורה מטח טילים שמחסל אויבים ומכשולים. הוא מת לראות אתכם מתקלחים בגשם של טילים."
"TID_TNT_DUDE","דינ-מייק"
"TID_TNT_DUDE_DESC","דינ-מייק מעיף שני מקלות דינמיט. תכונת הסופר שלו היא חבית מלאה דינמיט שמעיפה לכל הרוחות מקומות מחסה."
"TID_MORTAR","פיוז קצר"
"TID_MORTAR_DESC","מייק משליך שני מקלות דינמיט ועובר כל מכשול שעומד בדרכו. הוא טיפוס עצבני ויש לו פיוז קצר!"
"TID_MORTAR_ULTI","פצצה של חבית"
"TID_MORTAR_ULTI_DESC","האם-אימא של חביות הדינמיט! מפוצצת מקומות מחסה כמו כלום. כל אויב ששורד מחוסל על המקום."
"TID_LUCHADOR","אל פרימו"
"TID_LUCHADOR_DESC","אל פרימו מכניס מבול של אגרופים בפרצוף של היריב. תכונת הסופר שלו היא נעיצת מרפק אכזרית שגורמת נזק חמור לכל מי שנתקל בה!"
"TID_LUCHADOR_WEAPON","אגרופי הזעם"
"TID_LUCHADOR_WEAPON_DESC","אל פרימו מכניס מבול של אגרופים לוהטים. לא סתם לוהטים! כמו פלפל חריף לפנים."
"TID_LUCHADOR_ULTI","נעיצת מרפק מהשמיים"
"TID_LUCHADOR_ULTI_DESC","אל פרימו מנתר למעלה ומנחית מרפק מהגיהינום שמחסל אויבים והורס מקומות מחסה!"
"TID_TRICKSHOT_DUDE_OLD","ריקושט"
"TID_TRICKSHOT_DUDE_DESC","ריקו יורה מטחי כדורים שחוזרים כריקושט מהקירות. תכונת הסופר שלו היא מטח ארוך טווח של כדורים קופצים חודרי מטרות!"
"TID_TRICKSHOT_DUDE_WEAPON","כדורים קופצים"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","הכדורים של ריקו קופצים חזרה מהקירות ומגדילים את טווח הפגיעה. הם מסוגלים לפגוע באויב גם מאחורי מחסה."
"TID_TRICKSHOT_DUDE_ULTI","יריה מתעתעת"
"TID_TRICKSHOT_DUDE_ULTI_DESC","ריקו יורה מטח כדורים ארוך טווח המפלח את האויב, קופץ כריקושט מקירות ומגדיל את טווח הפגיעה."
"TID_CACTUS","ספייק"
"TID_CACTUS_DESC","ספייק משליך רימוני קקטוס המפזרים סיכות מעופפות ומפגין תכונת סופר מרשימה ביותר: שדה של קקטוסים קוצניים המאט את התקדמות האויב וגורם לו נזקים!"
"TID_CACTUS_WEAPON","רימון של סיכות"
"TID_CACTUS_WEAPON_DESC","ספייק משליך קקטוס קטן שמתפוצץ ויורה קוצים לכל הכיוונים."
"TID_CACTUS_ULTI","לאן אתם הולכים?"
"TID_CACTUS_ULTI_DESC","ספייק משליך רימון קוצים. האויבים נלכדים באזור המופגז, נפגעים והתקדמותם מואטת."
"TID_BARKEEP","בארלי"
"TID_BARKEEP_DESC","בארלי מתקיף באמצעות השלכת בקבוקים על האויב, הגורמים לנזק היקפי. תכונת הסופר שלו היא מטח של בקבוקי תבערה!"
"TID_BARKEEP_WEAPON","עד הסוף"
"TID_BARKEEP_WEAPON_DESC","בארלי משליך בקבוק ושובר אותו על הרצפה. האויבים נפצעים מהפיצוץ ומנזק נוסף במשך הזמן אם הם נשארים באזור."
"TID_BARKEEP_ULTI","קריאה אחרונה"
"TID_BARKEEP_ULTI_DESC","בארלי משליך מטח של בקבוקי תבערה, המעלה בלהבות אזור עצום. הנה אחד על חשבון הבית!"
"TID_MECHANIC","ג‘סי"
"TID_MECHANIC_DESC","רובה ההלם של ג‘סי יורה קליעי אנרגיה המקפצים בין האויבים. תכונת הסופר שלה היא מקלע, חמוד אבל קטלני!"
"TID_MECHANIC_WEAPON","רובה הלם"
"TID_MECHANIC_WEAPON_DESC","ג‘סי יורה קליעי אנרגיה. לאחר שהקליע פוגע במטרה הוא קופץ ועובר למטרה הבאה בסביבה, וכך פוגע בשלושה אויבים."
"TID_MECHANIC_ULTI","מתקפה נחושה!"
"TID_MECHANIC_ULTI_DESC","ג‘סי מפעילה מקלע שיורה אוטומטית על האויב: הוא עשוי מ-100% חומרים ממוחזרים!"
"TID_SHAMAN","ניטה"
"TID_SHAMAN_DESC","ניטה מכה באויבים שלה באמצעות גלי הלם רועמים. תכונת הסופר שלה מזמנת דוב ענקי שנלחם לצידה!"
"TID_SHAMAN_WEAPON","שברים ורסיסים"
"TID_SHAMAN_WEAPON_DESC","ניטה משגרת גל הלם הפוגע באויב שנלכד בטווח הרטט שלו."
"TID_SHAMAN_ULTI","הדוב הטוב"
"TID_SHAMAN_ULTI_DESC","ניטה מזמנת את רוחו של הדובון הגדול כדי שיצוד את אויביה."
"TID_UNDERTAKER","מורטיס"
"TID_UNDERTAKER_DESC","מורטיס מזנק קדימה עם כל הינף של את החפירה שלו. תכונת הסופר שלו היא שיגור ענן של עטלפים כדי לפגוע באויביו ולרפא את עצמו!"
"TID_UNDERTAKER_WEAPON","עת להניף את האת"
"TID_UNDERTAKER_WEAPON_DESC","מורטיס מזנק קדימה עם כל הינף של את החפירה שלו ומייצר אפשרויות עסקיות לעצמו."
"TID_UNDERTAKER_ULTI","תמצית החיים"
"TID_UNDERTAKER_ULTI_DESC","מורטיס משגר נחיל עטלפים אשר מצד אחד שואב את חיוניותם של אויביו ומצד שני מפיח בעצמו רוח חיים."
"TID_CROW","קרואו"
"TID_CROW_DESC","קרואו זורק שלישיית פגיונות מורעלים. תכונת הסופר שלו מאפשרת לו לזנק ולנחות תוך כדי שהוא זורק עוד פגיונות!"
"TID_CROW_WEAPON","אולר"
"TID_CROW_WEAPON_DESC","קרואו משליך איום משולש של פגיונות. אויבים שנפגעים מהלהבים המורעלים יצברו נזק לאורך זמן."
"TID_CROW_ULTI","הסתערות"
"TID_CROW_ULTI_DESC","קרואו עף לשמיים מוקף בטבעת של פגיונות מורעלים, בהמראה וגם בנחיתה."
"TID_DEAD_MARIACHI","פוקו"
"TID_DEAD_MARIACHI_DESC","פוקו יורה גלי קול מזיקים לעבר האויבים שלו. תכונת הסופר שלו מרפאת את עצמו וגם את חבריו לקבוצה!"
"TID_DEAD_MARIACHI_WEAPON","אקורד מנצח"
"TID_DEAD_MARIACHI_WEAPON_DESC","פוקו פורט על הגיטרה ומפיץ גלי קול מסמרי שיער, וכך מסב נזק לאויבים."
"TID_DEAD_MARIACHI_ULTI","הדרן"
"TID_DEAD_MARIACHI_ULTI_DESC","פוקו מרפא את עצמו ואת כל החברים שבסביבה עם המנגינה העליזה שלו. זה לא משפיע על האויבים."
"TID_BOW_DUDE","בו"
"TID_BOW_DUDE_DESC","בו יורה שלושה חיצים מתפוצצים אל עבר המטרות שלו. תכונת הסופר שלו היא להטמין שלושה מוקשים באדמה!"
"TID_BOW_DUDE_WEAPON","עיני נץ"
"TID_BOW_DUDE_WEAPON_DESC","בו משחרר שלושה חיצים מתפוצצים שקורעים את אויביו לגזרים כמו ציפורני עוף דורס."
"TID_BOW_DUDE_ULTI","תפוס שועל"
"TID_BOW_DUDE_ULTI_DESC","בו מסתיר מלכודות מתפוצצות באדמה. כשהאויב מפעיל אותן, הן מתפוצצות אחרי זמן קצר, מעיפות את האויבים ומסיבות להם נזק."
"TID_SNIPER","פייפר"
"TID_SNIPER_DESC","הצליפות של פייפר מזיקות יותר ככל שהן מגיעות ממרחק גדול יותר. תכונת הסופר שלה היא לזרוק רימון ממש במקום שבו היא עומדת ולעוף משם תוך שנייה!"
"TID_SNIPER_WEAPON","מטריית צלפים"
"TID_SNIPER_WEAPON_DESC","פייפר יורה מקצה השמשייה שלה. הירייה צוברת תאוצה ככל שהיא מכוונת רחוק יותר!"
"TID_SNIPER_ULTI","איזה פיצוץ"
"TID_SNIPER_ULTI_DESC","פייפר מתרחקת בקפיצה ממחזרים שתלטנים, אבל היא משאירה להם מתנה: רימונים חיים מהבירית שלה!"
"TID_MINIGUN_DUDE","פאם"
"TID_MINIGUN_DUDE_DESC","פאם יורה בלי לחשוב פעמיים ומעיפה רסיסים לכל עבר. תכונת הסופר שלה היא צריח מרפא שמחזיר חיים לה ולחברי הקבוצה!"
"TID_MINIGUN_DUDE_WEAPON","סופת שאריות"
"TID_MINIGUN_DUDE_WEAPON_DESC","פאם מעיפה שאריות מתכת על אזור גדול. מומלץ להרכיב משקפי מגן!"
"TID_MINIGUN_DUDE_ULTI","נשיקה של אימא"
