"TID","FR"
"TID_CC_POPUP_COMPLETED","DÉFI RÉUSSI"
"TID_CC_POPUP_LEVEL","ÉTAPE <LEVEL>"
"TID_CC_POPUP_WIN","VICTOIRE"
"TID_CC_POPUP_LOSSES","DÉFAITES"
"TID_QUALIFIED_TITLE","Épreuve qualificative débloquée !"
"TID_QUALIFIED_INFO","Vous avez réussi le défi, c'est génial !\n\nPour continuer sur la route du championnat Brawl Stars, rendez-vous ici : <cFFE400><URL></c>."
"TID_QUALIFIED_INFO_PSG","Félicitations ! Vous avez gagné la coupe PSG ! Voici le skin Shelly PSG."
"TID_QUALIFIED_GO","J'y vais !"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","DÉFI DU CHAMPIONNAT"
"TID_BATTLE_END_CC_WIN_LABEL","RÉCOMPENSE POUR LA VICTOIRE Nº <AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Défi terminé.\nVous gagnerez une prochaine fois !"
"TID_BATTLE_END_CC_DEFEAT_1","Une défaite de plus et c'est fini. Ne lâchez rien !"
"TID_BATTLE_END_CC_DEFEAT_2","Vous avez perdu cette partie mais vous pouvez continuer !"
"TID_BATTLE_END_CC_DRAW_DESC","Rejouez pour tenter de gagner !"
"TID_BATTLE_END_CC_QUALIFY_LABEL","Félicitations !"
"TID_BATTLE_END_CC_QUALIFY_INFO","Vous avez réussi à vous qualifier pour la prochaine étape du championnat Brawl Stars.\nAllez voir votre boîte de réception pour en savoir plus."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Marathon star : récompenses de fin de saison"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Récompense basée sur\nvotre total final de points"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Classement"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Points"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Récompense supplémentaire pour avoir\natteint le haut du classement mondial"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Récompenses de fin de saison"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Classements"
"TID_PRO_LEAGUE_SEASON_END_TIME","FIN DE LA SAISON DANS"
"TID_PRO_LEAGUE_POPUP_TITLE","MARATHON STAR"
"TID_EVENT_LABEL_PRO_LEAGUE","MARATHON STAR"
"TID_PRO_LEAGUE_POPUP_INFO","Testez votre endurance grâce au Marathon star. Participez à trois matches quotidiens et hissez-vous au sommet du classement saisonnier. À la fin de la saison, vous recevrez des points star en fonction des points gagnés et de votre rang au classement mondial."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","SAISON EN COURS"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","SAISON PRÉCÉDENTE"
"TID_PRO_LEAGUE_LABEL","MARATHON STAR"
"TID_TEAM_ERROR_38","Choisissez un brawler avec un niveau 10 de pouvoir."
"TID_TEAM_ERROR_39","Vous avez participé à tous les matches quotidiens de Marathon star."
"TID_PRO_LEAGUE_GAMES","PARTIES RESTANTES : <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","SAISON MARATHON STAR TERMINÉE"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Vos points"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Votre classement"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Récompense en points star"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Fin de saison Marathon star : <AMOUNT> <cff00ff>points star</c> obtenus !"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Victoire épique (+ 3 points)"
"TID_OVERWHELMING_VICTORY_GMV_0","Gagnez avant l'apparition de la 15e gemme."
"TID_OVERWHELMING_VICTORY_GMV_5","Gagnez 2 à 0."
"TID_OVERWHELMING_VICTORY_GMV_2","Gagnez avec un coffre à 60 % de santé ou plus."
"TID_OVERWHELMING_VICTORY_GMV_11","Gagnez avec une base à 80 % de santé ou plus."
"TID_OVERWHELMING_VICTORY_GMV_3","Gagnez avec au moins 10 étoiles de plus que l'adversaire."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Gagnez des points selon votre classement lors du combat."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Obtenez 30 points pour une victoire, 15 pour une égalité et 5 comme prix de consolation en cas de défaite."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","POINTS"
"TID_DOUBLE_TOKEN_WEEKEND","ÉVÉNEMENT DOUBLE JETON"
"TID_COIN_SHOWER_EVENT","ÉVÉNEMENT PLUIE DE PIÈCES"
"TID_RANKS_ADDED_TITLE","Nouveaux rangs de brawlers"
"TID_RANKS_ADDED_DESC","Nous avons ajouté les rangs 21 à 35 pour tous les brawlers.\n\nVous avez gagné <cff00ff><STARPOINTS></c> points star et <TOKENS> jetons grâce aux brawlers ayant atteint ces nouveaux rangs."
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","APERÇU"
"TID_DEFAULT_SKIN","SKIN DE BASE DE <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Pièces"
"TID_TOKENS","Jetons"
"TID_FIRST_WINS","Jetons star"
"TID_BUTTON_INBOX","Boîte de réception"
"TID_INBOX_TITLE","Boîte de réception"
"TID_INBOX_SYSTEM_SENDER","Système"
"TID_INBOX_SUPPORT_SENDER","Assistance"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","Il y a <TIME>"
"TID_INBOX_CLAIM","RÉCUPÉRER"
"TID_INBOX_VIEW","AFFICHER"
"TID_INBOX_TAB_0","CLUB-MAIL"
"TID_INBOX_TAB_1","PERSONNEL"
"TID_INBOX_NO_ENTRIES","Vide"
"TID_INBOX_CAPTION_99","La saison est terminée."
"TID_INBOX_CAPTION_94","Vous avez reçu le skin <NAME>."
"TID_INBOX_CAPTION_93","Vous avez reçu le brawler <NAME>."
"TID_INBOX_CAPTION_92","Vous avez reçu <AMOUNT> points de pouvoir pour <NAME>."
"TID_INBOX_CAPTION_91","Vous avez reçu : <AMOUNT> tickets."
"TID_INBOX_CAPTION_90","Vous avez reçu <AMOUNT> <NAME>."
"TID_INBOX_CAPTION_89","Vous avez reçu <AMOUNT> gemmes."
"TID_INBOX_CAPTION_88","Vous avez reçu <AMOUNT> doubleurs de jetons."
"TID_INBOX_CAPTION_85","Déduction de <AMOUNT> gemmes."
"TID_INBOX_CAPTION_84_4","Vous avez reçu un pouvoir star, <ABI>, pour <NAME>."
"TID_INBOX_CAPTION_84_5","Vous avez reçu un gadget, <ABI>, pour <NAME>."
"TID_INBOX_CAPTION_78","Rangs de brawlers 21 à 30 ajoutés !"
"TID_INBOX_CAPTION_76","Épreuve qualificative en ligne débloquée !"
"TID_INBOX_CAPTION_75","Récompense de victoire dans le défi <CHALLENGE> :\n<NAME>"
"TID_INBOX_NEW","NOUV."
"TID_BAND_MAIL_POPUP_TITLE","CLUB-MAIL"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Saisissez votre message."
"TID_BAND_MAIL_POPUP_POST","ENVOYER"
"TID_BAND_MAIL_POPUP_NO_MSG","N'oubliez pas d'écrire un message."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Cette fonctionnalité n'est pas disponible pour les comptes de démo."
"TID_REVOKE_TITLE","Message de l'assistance"
"TID_REVOKE_OK","O.K."
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Envoi de la demande impossible : vous êtes déjà dans une équipe."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Envoi de la demande impossible : vous avez une invitation en attente."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Envoi de la demande impossible : vous avez une demande en attente."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Demande annulée"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","Je veux rejoindre votre équipe !"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTOIRE</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DÉFAITE</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>ÉGALITÉ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANG <RANK></c>"
"TID_BATTLE_LOG_AGE","Il y a <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","NIV."
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","JOURNAL DE COMBAT"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","A survécu pendant <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Brawler géant vaincu en <TIME>"
"TID_BATTLE_LOG_MVP","JOUEUR STAR"
"TID_BATTLE_LOG_FRIENDLY","AMICAL"
"TID_BATTLE_LOG_TOURNAMENT","TOURNOI"
"TID_BATTLE_LOG_PVP","CLASSÉ"
"TID_BATTLE_LOG_PRO_LEAGUE","MARATHON STAR"
"TID_BATTLE_LOG_NO_ENTRIES","AUCUNE ENTRÉE"
"TID_BATTLE_LOG_THIS_IS_A_BOT","C'est un bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replay momentanément désactivé"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Aucun replay disponible"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Replay non disponible : ce brawler n'a pas assez de trophées."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Atteignez <NUM> trophées pour ce brawler afin de débloquer le replay."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Aucun replay : l'enregistrement a échoué."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Le replay n'est plus disponible."
"TID_PLAYER_XP_LEVEL","NIVEAU"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Impossible d'ajouter cet ami"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Demande d'ami expirée"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Impossible d'ajouter cet ami, sa liste d'amis est pleine."
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Impossible d'ajouter cet ami, votre liste d'amis est pleine."
"TID_ADD_FRIEND_FAILED_BANNED","Impossible d'ajouter cet ami, il a été banni."
"TID_KEYPOOL_KEYS_REMAINING","Reste : <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> jetons dans <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Prochaine récompense"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Changement de récompense"
"TID_RANK_UP_REWARD_REPLACED_POWER","Aucun de vos brawlers ne peut être sélectionné pour recevoir <AMOUNT> points.\n\nVoulez-vous changer de récompense ?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Vous avez déjà <NAME>. Vous recevrez une autre récompense."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ENVOYER DEMANDE"
"TID_PLAYER_INFO_REMOVE_FRIEND","SUPPRIMER DE LA LISTE D'AMIS"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","DEMANDE D'AMI ENVOYÉE"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","AMI\nEN JEU"
"TID_POWER_POINTS","POINTS DE POUVOIR"
"TID_HERO_INFO_LEVEL","POUVOIR"
"TID_HERO_INFO_LEVEL_LONG","NIVEAU DE POUVOIR"
"TID_HERO_INFO_RANK","RANG"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","AMÉLIORER AU NIV <LVL> DE POUVOIR"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","Touchez à nouveau pour confirmer"
"TID_HERO_INFO_MAX_LEVEL","POUVOIR MAX"
"TID_HERO_INFO_MORE_POWER_NEEDED","Gagnez plus de pouvoir pour améliorer."
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Ce brawler n'a pas assez de points de pouvoir."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Vous n'avez pas assez de pièces."
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler au niveau de pouvoir maximum"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","PREMIER BRAWLER"
"TID_HERO_INFO_STAR_POWER_EQUIP","CHOISIR"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","CHOISI"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Joueur signalé"
"TID_TOO_MANY_REPORTS_SENT","Vous avez atteint la limite quotidienne de signalements."
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Veuillez patienter avant d'envoyer un nouveau signalement."
"TID_CHOOSE_CHARACTER","CHOIX DU BRAWLER"
"TID_ARMOR","SANTÉ"
"TID_ARMOR_DESC","Indique la quantité de dégâts que votre brawler peut encaisser avant d'être mis hors-jeu."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Grâce à son fidèle fusil, Shelly fait pleuvoir la chevrotine sur ses adversaires. Son super détruit les obstacles et garde l'équipe adverse à distance."
"TID_LONG_RANGE_SHOTGUN","CHEVROTINE"
"TID_LONG_RANGE_SHOTGUN_DESC","Un coup de feu projette une volée de plombs à distance moyenne. Plus il y a de plombs qui atteignent la cible, plus les dégâts sont élevés."
"TID_MEGA_BLASH_ULTI","SUPER CHEVROTINE"
"TID_MEGA_BLASH_ULTI_DESC","La super chevrotine de Shelly rase tout sur son passage, abris et ennemis compris ! Les survivants sont projetés en arrière."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Ses deux revolvers de précision sont ses biens les plus précieux. Ils dégomment tout ce qui bouge et leur portée augmente grâce au super."
"TID_RAPID_FIRE","SIX-COUPS"
"TID_RAPID_FIRE_DESC","Colt tire six coups à longue portée grâce à ses pistolets."
"TID_RAPID_FIRE_ULTI","PLUIE DE BALLES"
"TID_RAPID_FIRE_ULTI_DESC","C'est un vrai déluge de balles avec une portée encore plus longue et qui peuvent même détruire les abris."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Le fusil de Bull fait des dégâts de fou à courte portée. Il aime aller au contact avec son super : il charge et passe à travers les obstacles, pour repousser ses ennemis."
"TID_SHOTGUN_BLAST","DOUBLE CANON"
"TID_SHOTGUN_BLAST_DESC","Vous serez surpris par les dégâts que peut infliger un seul fusil. Et sa courte portée n'est pas un problème : Bull aime aller au contact."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","On rentre la tête dans les épaules et on fonce droit devant ! Face à Bull, ni les ennemis, ni les obstacles ne font le poids."
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock lance des roquettes explosives à longue portée. Son super ? Une volée de roquettes qui détruit tous les obstacles."
"TID_FIREWORKS_WEAPON","ROCK N' ROQUETTE"
"TID_FIREWORKS_WEAPON_DESC","Brock tire une seule roquette. Qui aurait cru que ce machin pouvait aller aussi loin ?"
"TID_FIREWORKS_ULTI","PLUIE DE ROQUETTES"
"TID_FIREWORKS_ULTI_DESC","C'est une apocalypse concoctée tout spécialement par Brock, un déluge explosif qui détruit aussi bien les adversaires que les obstacles."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike balance des bâtons de dynamite à tous les vents. Et quand son super est chargé, il ne s'embête plus : un bon gros tonneau pour tout faire péter !"
"TID_MORTAR","PÉTAGE DE PLOMBS"
"TID_MORTAR_DESC","Qui se soucie des obstacles quand on peut jeter deux bâtons de dynamite par-dessus ? Avec des mèches très courtes, bien sûr, pour une explosion imminente."
"TID_MORTAR_ULTI","TONNEAU QUI FAIT BOUM"
"TID_MORTAR_ULTI_DESC","Un bon gros tonneau de dynamite règle tous les problèmes (ou presque). Ennemis soufflés au loin garantis !"
"TID_LUCHADOR","EL COSTO"
"TID_LUCHADOR_DESC","El Costo attaque ses ennemis à coups de poings destructeurs et quand vient l'heure du super, il se lance sur une zone le coude en avant !"
"TID_LUCHADOR_WEAPON","FUREUR DE VAINCRE"
"TID_LUCHADOR_WEAPON_DESC","El Costo distribue des marrons pimentés à la mexicaine : il assène quatre coups de poing rapides comme l'éclair !"
"TID_LUCHADOR_ULTI","COUP DE COUDE EXPLOSIF"
"TID_LUCHADOR_ULTI_DESC","Il saute... Par dessus la troisième corde ! Puis il retombe, le coude d'abord, pour assommer ses adversaires et détruire les obstacles."
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet tire des balles qui rebondissent sur les murs. Son super est une volée de balles qui transpercent ses cibles."
"TID_TRICKSHOT_DUDE_WEAPON","BALLES RICOCHANTES"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Les balles de Ricochet ricochent contre les murs, rallongeant leur portée, et atteignent les adversaires même derrière les obstacles."
"TID_TRICKSHOT_DUDE_ULTI","SNOOKER"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet tire une longue rafale de balles qui transpercent ses ennemis et ricochent contre les murs."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike lance des grenades pleines d'épines. Son super crée un champ d'épines qui ralentissent les ennemis en leur causant des dégâts."
"TID_CACTUS_WEAPON","GRENADE KIPIK"
"TID_CACTUS_WEAPON_DESC","Spike lance un petit cactus qui explose et projette des épines de partout."
"TID_CACTUS_ULTI","ÉPINÉ SUR PLACE"
"TID_CACTUS_ULTI_DESC","Spike jette une grenade hérissée d'épines. Les ennemis à portée sont ralentis et reçoivent des dégâts."
"TID_BARKEEP","BARTABA"
"TID_BARKEEP_DESC","Bartaba lance des bouteilles à ses ennemis, faisant des dégâts de zone. Son super ? Une volée de bouteilles enflammées pour la 12 !"
"TID_BARKEEP_WEAPON","COCKTAIL BARLOTOV"
"TID_BARKEEP_WEAPON_DESC","Bartaba jette une bouteille qui se brise au sol. Les ennemis reçoivent des dégâts à l'impact, ainsi que des dégâts supplémentaires s'ils se tiennent dans la flaque."
"TID_BARKEEP_ULTI","TOURNÉE GÉNÉRALE"
"TID_BARKEEP_ULTI_DESC","Avec une volée de cocktails qui mettent le feu à une large surface, Bartaba fait fuir tous les méchants. Tournée générale !"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","L'électro-fusil de Jessie tire des orbes d'énergie qui rebondissent entre les ennemis. Une fois prête, elle déploie son super, une adorable petite tourelle qui fait mal, très mal."
"TID_MECHANIC_WEAPON","ÉLECTRO-FUSIL"
"TID_MECHANIC_WEAPON_DESC","Jessie tire une boule d'énergie. Après avoir atteint une cible, le projectile rebondit vers la suivante et en touche jusqu'à trois si elles sont à sa portée."
"TID_MECHANIC_ULTI","BAGARREUSE"
"TID_MECHANIC_ULTI_DESC","Une tourelle est déployée pour tirer automatiquement sur les adversaires. Et elle est entièrement conçue à partir de matériaux recyclés !"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita Pied Léger lance des ondes de choc dévastatrices. Son animal totem, invoqué grâce à son super, est Grand Nounours."
"TID_SHAMAN_WEAPON","RUPTURE"
"TID_SHAMAN_WEAPON_DESC","Nita génère une onde de choc qui inflige des dégâts aux ennemis dans son sillage."
"TID_SHAMAN_ULTI","MAL LÉCHÉ"
"TID_SHAMAN_ULTI_DESC","Nita invoque l'esprit de Grand Nounours pour chasser ses adversaires."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis attaque les ennemis à coups de pelle et son super est une volée de chauves-souris qui le soignent et attaquent ses ennemis."
"TID_UNDERTAKER_WEAPON","COUP DE PELLE"
"TID_UNDERTAKER_WEAPON_DESC","Mortis fonce sur ses ennemis et leur assène un grand coup de pelle. Après tout, c'est bon pour les affaires."
"TID_UNDERTAKER_ULTI","CHAUVES-SOURIS"
"TID_UNDERTAKER_ULTI_DESC","Mortis appelle des chauve-souris vampires qui drainent ses ennemis de leurs points de santé et restaurent les siens. Comme c'est charmant !"
"TID_CROW","CORBAC"
"TID_CROW_DESC","Corbac jette trois dagues empoisonnées. Quand il utilise son super, il effectue un grand bond lors duquel il tire ses dagues au décollage et à l'atterrissage."
"TID_CROW_WEAPON","DAGUES"
"TID_CROW_WEAPON_DESC","Corbac lance trois dagues empoisonnées. Les ennemis touchés reçoivent des dégâts sur la durée."
"TID_CROW_ULTI","SURVOL"
"TID_CROW_ULTI_DESC","Corbac lance des dagues empoisonnées tout autour de lui quand il s'envole, et encore quand il atterrit."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco tire des ondes sonores sur ses adversaires. Il perfectionne ses riffs pour attaquer ses ennemis, et soigner ses équipiers grâce à son super."
"TID_DEAD_MARIACHI_WEAPON","ACCORD MAJEUR"
"TID_DEAD_MARIACHI_WEAPON_DESC","Un accord de son guitarron crée une onde de choc à faire grincer les dents. Gare aux dégâts !"
"TID_DEAD_MARIACHI_ULTI","RAPPEL"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco soigne ses coéquipiers et lui-même grâce à ses jolies mélodies. Aucun effet sur les adversaires."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo tire trois flèches explosives sur ses cibles. Lorsqu'il utilise son super, il pose un trio de mines bien cachées au sol."
"TID_BOW_DUDE_WEAPON","SERRES D'AIGLE"
"TID_BOW_DUDE_WEAPON_DESC","Bo tire un trio de flèches explosives qui lacèrent ses ennemis comme les serres d'un grand aigle des plaines."
"TID_BOW_DUDE_ULTI","RENARD MALIN"
"TID_BOW_DUDE_ULTI_DESC","Bo dissimule des pièges explosifs sous terre. Si un adversaire marche dessus, ils explosent après un court délai, infligeant des dégâts et les projetant au loin."
"TID_SNIPER","POLLY"
"TID_SNIPER_DESC","Plus Polly tire de loin, plus elle fait de dégâts. Lorsqu'elle utilise son super, elle s'envole gracieusement en faisant tomber quelques grenades. Quelle classe !"
"TID_SNIPER_WEAPON","PARAFUSIL"
"TID_SNIPER_WEAPON_DESC","Polly tire avec le fusil dissimulé dans son ombrelle. Plus elle tire de loin, plus ça fait mal !"
"TID_SNIPER_ULTI","ET HOP !"
"TID_SNIPER_ULTI_DESC","Polly se débarrasse des prétendants un peu lourds. Elle s'échappe d'un bond et leur laisse quelques grenades en cadeau !"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam, son canon sur la hanche, assaisonne ses ennemis d'éclats d'obus. Son super est une tourelle qui restaure sa santé et celle de ses équipiers."
"TID_MINIGUN_DUDE_WEAPON","DÉFERLANTE"
"TID_MINIGUN_DUDE_WEAPON_DESC","C'est une vague de débris métalliques qui s'abat sur une large zone. Tous à vos lunettes de protection !"
"TID_MINIGUN_DUDE_ULTI","POUTOU MAGIQUE"
"TID_MINIGUN_DUDE_ULTI_DESC","La tourelle de Pam lui rend des points de santé, tout en soignant les gros bobos de ses coéquipiers tant qu'ils sont à portée."
"TID_BONE_THROWER","LANCEUR D'OS"
"TID_BONE_THROWER_DESC","Petit mais costaud ! Avec sa mitrailleuse géante, ce franc-tireur taille mini fauche les méchants à la douzaine. (Vitesse de déplacement lente, ne peut pas être repoussé)"
"TID_BONE_THROWER_WEAPON","MITRAILLEUSE"
"TID_BONE_THROWER_WEAPON_DESC","Rien de plus maniable qu'une mitrailleuse. Lanceur d'os peut aussi s'éloigner et la laisser tirer en mode automatique !"
"TID_BONE_THROWER_ULTI","DISTRIBUTEUR DE PANSEMENTS"
"TID_BONE_THROWER_ULTI_DESC","Les égratignures pendant un combat, ça arrive. Pensez à maintenir votre équipe au top de leur forme et donnez-leur le pansement des héros !"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","L'attaque triple tarot de Tara transperce ses adversaires. Son super est un trou noir qui attire tous les ennemis alentour et leur cause des dégâts."
"TID_BLACK_HOLE_WEAPON","TRIPLE TAROT"
"TID_BLACK_HOLE_WEAPON_DESC","Un geste de la main et trois cartes de tarot transpercent ses adversaires. C'était bien celle-là, votre carte ?"
