"TID","KR"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","코인이 부족합니다!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","브롤러가 이미 최대 파워 레벨입니다!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","기본 브롤러"
"TID_HERO_INFO_STAR_POWER_EQUIP","선택"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","선택함"
"TID_PLAYER_REPORTED_SUCCESSFULLY","플레이어 신고 완료!"
"TID_TOO_MANY_REPORTS_SENT","일일 신고 횟수 제한을 초과했습니다!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","다른 신고 접수가 가능하기까지 기다려 주세요!"
"TID_CHOOSE_CHARACTER","브롤러 선택"
"TID_ARMOR","HP"
"TID_ARMOR_DESC","브롤러가 처치되기 전까지 버틸 수 있는 피해량을 나타냅니다."
"TID_SHOTGUN_GIRL","쉘리"
"TID_SHOTGUN_GIRL_DESC","넓게 퍼지는 산탄으로 적을 날려버립니다. 특수 공격으로 지형물을 파괴하고 적이 가까지 오지 못하도록 밀어낼 수 있습니다!"
"TID_LONG_RANGE_SHOTGUN","산탄총"
"TID_LONG_RANGE_SHOTGUN_DESC","부채꼴로 산탄을 쏴 중거리까지 피해를 줍니다. 적이 산탄에 많이 맞을수록 더 큰 피해를 줍니다."
"TID_MEGA_BLASH_ULTI","슈퍼 쉘"
"TID_MEGA_BLASH_ULTI_DESC","쉘리의 슈퍼 쉘은 적을 지형물과 함께 깔끔히 날려버립니다. 살아남은 적은 뒤로 밀려납니다."
"TID_GUNSLINGER","콜트"
"TID_GUNSLINGER_DESC","양손의 리볼버를 연발합니다. 특수 공격으로 지형물을 산산조각내고 더 먼 거리까지 피해를 줄 수 있습니다!"
"TID_RAPID_FIRE","6연발 리볼버"
"TID_RAPID_FIRE_DESC","일직선으로 6발을 연속으로 발사합니다."
"TID_RAPID_FIRE_ULTI","불렛 스톰"
"TID_RAPID_FIRE_ULTI_DESC","더 먼 거리까지 대량의 탄환을 발사해 피해를 주고 지형물을 파괴합니다."
"TID_BULL_DUDE","불"
"TID_BULL_DUDE_DESC","산탄총으로 근거리 대상에게 엄청난 피해를 줍니다. 특수 공격으로 장애물을 뚫고 빠르게 돌진해 적을 뒤로 밀어버립니다!"
"TID_SHOTGUN_BLAST","더블 배럴"
"TID_SHOTGUN_BLAST_DESC","불의 이중총열 산탄총은 큰 피해를 줄 수 있지만, 사거리가 짧아 적 가까이 다가가야 합니다."
"TID_CHARGE","불도저"
"TID_CHARGE_DESC","불도저처럼 빠르게 돌진해 적과 지형물을 밀어버립니다. 장애물 뒤에 숨어도 안전하지 않습니다!"
"TID_ROCKET_GIRL","브록"
"TID_ROCKET_GIRL_DESC","장거리 폭발 로켓을 발사합니다. 특수 공격으로 지형물을 제거하는 로켓을 집중 포화합니다!"
"TID_FIREWORKS_WEAPON","락 앤 로켓"
"TID_FIREWORKS_WEAPON_DESC","아주 먼 거리까지 날아가는 단발식 로켓포를 발사합니다."
"TID_FIREWORKS_ULTI","로켓 레인"
"TID_FIREWORKS_ULTI_DESC","적과 지형물을 제거하는 로켓을 퍼부어 집중포화에 허우적대는 상대의 모습을 보며 뿌듯해 합니다."
"TID_TNT_DUDE","다이너마이크"
"TID_TNT_DUDE_DESC","다이너마이트 두 개를 던집니다. 특수 공격으로 다이너마이트가 가득 찬 배럴을 던져 지형물까지 파괴합니다!"
"TID_MORTAR","다이너마이트 투척"
"TID_MORTAR_DESC","경로상의 모든 지형물을 무시하며 날아가는 다이너마이트 두 개를 투척합니다. 참을성 없는 다이너마이크는 도화선도 짧게 잘라놨습니다!"
"TID_MORTAR_ULTI","빅 배럴 붐"
"TID_MORTAR_ULTI_DESC","다이너마이트로 가득 찬 배럴을 던져 폭발시킵니다. 폭발의 영향에 살아남은 적은 뒤로 밀려납니다!"
"TID_LUCHADOR","엘 프리모"
"TID_LUCHADOR_DESC","적에게 분노의 주먹을 날립니다. 특수 공격으로 높이 점프한 뒤 팔꿈치로 범위 안에 있는 적에게 피해를 줍니다!"
"TID_LUCHADOR_WEAPON","분노의 주먹"
"TID_LUCHADOR_WEAPON_DESC","분노로 불타오르는 주먹을 4번 연속 날립니다. 매운 주먹맛 좀 보실래요?"
"TID_LUCHADOR_ULTI","플라잉 엘보 드롭"
"TID_LUCHADOR_ULTI_DESC","높이 점프한 뒤 팔꿈치로 적을 때려눕히고 지형물을 파괴합니다!"
"TID_TRICKSHOT_DUDE_OLD","리코셰"
"TID_TRICKSHOT_DUDE_DESC","벽에 튕겨 나오는 탄환을 연발합니다. 특수 공격으로 적을 관통하고 사거리가 긴 탄환을 발사합니다!"
"TID_TRICKSHOT_DUDE_WEAPON","통통탄"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","벽에 맞고 튕겨 나온 탄환이 더 먼 거리까지 공격합니다. 지형물 뒤도 안전하진 않습니다!"
"TID_TRICKSHOT_DUDE_ULTI","트릭샷"
"TID_TRICKSHOT_DUDE_ULTI_DESC","적을 관통하는 사거리가 긴 탄환을 연발합니다. 벽에 튕겨 나온 탄환은 더 먼 거리까지 공격합니다."
"TID_CACTUS","스파이크"
"TID_CACTUS_DESC","가시를 사방으로 날리는 가시 수류탄을 투척하고, 특수 공격으로 선인장 가시밭을 만들어 적을 느리게 만들고 피해를 줍니다!"
"TID_CACTUS_WEAPON","가시 수류탄"
"TID_CACTUS_WEAPON_DESC","폭발할 때 사방으로 가시가 튀어나오는 작은 선인장을 투척합니다."
"TID_CACTUS_ULTI","선인장 파티"
"TID_CACTUS_ULTI_DESC","스파이크가 던진 가시 수류탄이 터지면서 폭발 범위 안의 적에게 피해를 주고 느리게 만듭니다."
"TID_BARKEEP","발리"
"TID_BARKEEP_DESC","적에게 병을 투척해 광역 피해를 줍니다. 특수 공격으로 병을 던져 불바다를 만듭니다!"
"TID_BARKEEP_WEAPON","병 투척"
"TID_BARKEEP_WEAPON_DESC","발리가 던진 병이 깨지면서 적에게 피해를 주고, 쏟아져 나온 내용물 위에 서 있는 적에게 지속 피해를 줍니다."
"TID_BARKEEP_ULTI","라스트 콜"
"TID_BARKEEP_ULTI_DESC","병을 던져 넓은 지역을 불바다로 만듭니다. 발리의 특별 서비스입니다!"
"TID_MECHANIC","제시"
"TID_MECHANIC_DESC","적에게 에너지 볼을 발사합니다. 특수 공격으로 귀엽지만 치명적인 터렛을 설치합니다!"
"TID_MECHANIC_WEAPON","쇼크 라이플"
"TID_MECHANIC_WEAPON_DESC","에너지 볼을 발사합니다. 에너지 볼이 적에게 맞으면 범위 안에 있는 다른 적에게 튕겨 나가 최대 3명에게 피해를 줍니다."
"TID_MECHANIC_ULTI","터렛 설치"
"TID_MECHANIC_ULTI_DESC","자동으로 적을 공격하는 터렛을 설치합니다. 100% 재활용 고철로 만들어졌습니다!"
"TID_SHAMAN","니타"
"TID_SHAMAN_DESC","충격파를 쏴서 적에게 피해를 줍니다. 특수 공격으로 거대한 곰을 소환해 함께 싸웁니다!"
"TID_SHAMAN_WEAPON","포효"
"TID_SHAMAN_WEAPON_DESC","전방으로 충격파를 쏴 범위 안에 있는 적에게 피해를 줍니다."
"TID_SHAMAN_ULTI","곰 소환"
"TID_SHAMAN_ULTI_DESC","커다란 아기 곰을 소환해 적을 사냥합니다."
"TID_UNDERTAKER","모티스"
"TID_UNDERTAKER_DESC","전방으로 돌진하며 삽을 휘두릅니다. 특수 공격으로 박쥐 떼를 불러내 적에게 피해를 주고, 자기 자신의 HP를 회복합니다!"
"TID_UNDERTAKER_WEAPON","삽 스윙"
"TID_UNDERTAKER_WEAPON_DESC","전방으로 돌진하며 삽을 휘두릅니다. 잘못 맞으면 모티스가 처리해 줄 거예요."
"TID_UNDERTAKER_ULTI","피의 축제"
"TID_UNDERTAKER_ULTI_DESC","흡혈박쥐 떼를 불러내서 적의 HP를 흡수해 자신의 HP를 회복합니다. 으스스하네요!"
"TID_CROW","크로우"
"TID_CROW_DESC","독이 묻은 단검 세 개를 던집니다. 특수 공격으로 점프하고 착지할 때 여러 개의 단검을 던집니다!"
"TID_CROW_WEAPON","독 단검"
"TID_CROW_WEAPON_DESC","치명적인 단검 세 개를 던집니다. 독이 묻은 칼날에 베인 적은 일정 시간 동안 지속 피해를 받습니다."
"TID_CROW_ULTI","공중 단검 투척"
"TID_CROW_ULTI_DESC","하늘로 날아올라 착지 시 독이 묻은 여러 개의 단검을 주위에 흩뿌립니다."
"TID_DEAD_MARIACHI","포코"
"TID_DEAD_MARIACHI_DESC","적에게 음파를 쏴서 피해를 줍니다. 특수 공격으로 자기 자신과 팀원의 HP를 회복합니다!"
"TID_DEAD_MARIACHI_WEAPON","파워 코드"
"TID_DEAD_MARIACHI_WEAPON_DESC","기타를 연주해 영혼을 울리는 음파를 정면으로 내보내고, 음파에 맞은 적에게 피해를 줍니다."
"TID_DEAD_MARIACHI_ULTI","앙코르"
"TID_DEAD_MARIACHI_ULTI_DESC","경쾌한 멜로디를 연주하여 범위 안의 아군과 자신의 HP를 회복합니다. 적에게는 영향을 주지 않습니다."
"TID_BOW_DUDE","보"
"TID_BOW_DUDE_DESC","폭발 화살 세 발을 쏩니다. 특수 공격으로 지면에 폭발 덫을 숨겨 설치합니다!"
"TID_BOW_DUDE_WEAPON","독수리 화살"
"TID_BOW_DUDE_WEAPON_DESC","폭발하는 화살 세 발을 쏴 독수리의 발톱처럼 적들을 갈기갈기 찢습니다."
"TID_BOW_DUDE_ULTI","여우 사냥"
"TID_BOW_DUDE_ULTI_DESC","지면에 폭발 덫을 설치합니다. 적이 밟으면 잠시 후 덫이 폭발해 적을 뒤로 밀쳐내며 피해를 줍니다."
"TID_SNIPER","파이퍼"
"TID_SNIPER_DESC","우산으로 위장한 저격용 총으로 멀리 있는 적에게 더 큰 피해를 줍니다. 특수 공격으로 공중으로 점프하며 수류탄을 떨어뜨립니다!"
"TID_SNIPER_WEAPON","건브렐라"
"TID_SNIPER_WEAPON_DESC","우산으로 위장한 총으로 저격합니다. 적이 멀리 있을수록 더 큰 피해를 줍니다."
"TID_SNIPER_ULTI","팡팡팡"
"TID_SNIPER_ULTI_DESC","끈질기게 쫓아다니는 이들을 피해 수류탄을 남기고 공중으로 우아하게 점프해 떠납니다."
"TID_MINIGUN_DUDE","팸"
"TID_MINIGUN_DUDE_DESC","고철 파편으로 적에게 피해를 줍니다. 특수 공격으로 힐링 터렛을 설치해 자신과 팀원의 HP를 회복합니다!"
"TID_MINIGUN_DUDE_WEAPON","메탈스톰"
"TID_MINIGUN_DUDE_WEAPON_DESC","넓은 범위에 대량의 고철 파편을 발사합니다. 위험하니 안전 고글은 필수입니다!"
"TID_MINIGUN_DUDE_ULTI","엄마의 뽀뽀"
"TID_MINIGUN_DUDE_ULTI_DESC","힐링 터렛으로 자기 자신과 범위 내 팀원의 HP를 회복합니다."
"TID_BONE_THROWER","미니거너"
"TID_BONE_THROWER_DESC","거대한 기관총을 자유자재로 다룹니다. 거의 모든 나쁜 녀석들을 무찌릅니다. 이동 속도는 느리지만 뒤로 밀려나지 않습니다."
"TID_BONE_THROWER_WEAPON","미니건"
"TID_BONE_THROWER_WEAPON_DESC","미니거너는 기관총을 자유자재로 다룹니다. 심지어 자동 사격을 하며 이동할 수도 있습니다!"
"TID_BONE_THROWER_ULTI","밴드 디스펜서"
"TID_BONE_THROWER_ULTI_DESC","치열한 총격전에서 부상을 입을 수 있습니다. 밴드 디스펜서로 전체 팀의 전투 상태를 최상으로 유지하세요!"
"TID_BLACK_HOLE","타라"
"TID_BLACK_HOLE_DESC","적을 관통하는 타로 카드 3장을 날립니다. 특수 공격으로 중력장을 생성해 가까이 있는 적을 끌어들여 피해를 줍니다!"
"TID_BLACK_HOLE_WEAPON","트리플 타로"
"TID_BLACK_HOLE_WEAPON_DESC","타라가 손목을 한번 까딱해 적을 관통하는 타로 카드 3장을 날립니다! 엄청난 기술이죠!"
"TID_BLACK_HOLE_ULTI","중력장"
"TID_BLACK_HOLE_ULTI_DESC","상상을 초월하는 중력장을 만들어 냅니다! 중력장 안으로 빨려 들어간 적들은 서로 부딪히며 피해를 받습니다."
"TID_TURRET_DAMAGE","터렛 피해량"
"TID_TURRET_HEALTH","터렛 HP"
"TID_STAT_DAMAGE_PER_SECOND","초당 피해량"
"TID_STAT_DAMAGE_PER_SECOND_EACH","초당 피해량"
"TID_STAT_DAMAGE_PER_STRIKE","펀치당 피해량"
"TID_ROBOT","강철 보안관"
"TID_ROBOT_DESC","파괴 임무를 명 받았습니다!"
"TID_ROBOT_WEAPON","로켓 저격"
