"TID","MS"
"TID_QUALIFIED_TITLE","Kelayakan dalam talian DIBUKA!"
"TID_QUALIFIED_INFO","Wah, anda memenangi Cabaran Kejuaraan! HEBAT!\n\nUntuk meneruskan perjalanan ke KEJUARAAN BRAWL STARS, pergi ke <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_PSG","Tahniah, anda memenangi PSG CUP! Anda telah membuka kulit Shelly PSG!"
"TID_QUALIFIED_GO","PERGI!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","CABARAN KEJUARAAN"
"TID_BATTLE_END_CC_WIN_LABEL","GANJARAN BUAT KEMENANGAN #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Cabaran tamat\nCuba lagi lain kali!"
"TID_BATTLE_END_CC_DEFEAT_1","Anda akan disingkirkan selepas satu lagi kekalahan. Teruskan berusaha!"
"TID_BATTLE_END_CC_DEFEAT_2","Anda telah kalah tapi masih boleh meneruskannya!"
"TID_BATTLE_END_CC_DRAW_DESC","Main lagi untuk menang!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","LAYAK!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Tahniah! Anda layak untuk peringkat seterusnya dalam Kejuaraan Brawl Stars.\nSemak peti masuk untuk maklumat lanjut."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Ganjaran Akhir Musim ARENA BINTANG"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Ganjaran berdasarkan\nmata akhir anda"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Kedudukan"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Mata"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Ganjaran tambahan kerana mencapai\ntempat atas papan pemimpin global"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","Ganjaran Akhir Musim"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","Papan Pemimpin"
"TID_PRO_LEAGUE_SEASON_END_TIME","MUSIM TAMAT DALAM"
"TID_PRO_LEAGUE_POPUP_TITLE","ARENA BINTANG"
"TID_EVENT_LABEL_PRO_LEAGUE","ARENA BINTANG"
"TID_PRO_LEAGUE_POPUP_INFO","Uji kemahiran anda di ARENA BINTANG. Bertanding untuk kedudukan teratas dalam papan pemimpin bermusim dalam tiga perlawanan harian. Apabila musim tamat, anda akan dapat Mata Bintang berdasarkan mata dan kedudukan anda dalam papan pemimpin global."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","MUSIM SEMASA"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","MUSIM SEBELUMNYA"
"TID_PRO_LEAGUE_LABEL","ARENA BINTANG"
"TID_TEAM_ERROR_38","Pilih Brawler dengan tahap kuasa 10!"
"TID_TEAM_ERROR_39","Tiada baki permainan ARENA BINTANG untuk hari ini!"
"TID_PRO_LEAGUE_GAMES","BAKI <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","MUSIM ARENA BINTANG TELAH TAMAT"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Mata Anda"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Tahap Anda"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Ganjaran Mata Bintang"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","Musim ARENA BINTANG tamat: <AMOUNT> <cff00ff>Mata Bintang</c> diperoleh!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Menang Epik (+3 mata):"
"TID_OVERWHELMING_VICTORY_GMV_0","Menang sebelum permata ke-15 diwujudkan"
"TID_OVERWHELMING_VICTORY_GMV_5","Menang 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","Menang dengan setidaknya baki 60% nilai nyawa pada peti keselamatan anda"
"TID_OVERWHELMING_VICTORY_GMV_11","Menang dengan setidaknya baki 80% nilai nyawa pada IKE anda"
"TID_OVERWHELMING_VICTORY_GMV_3","Menang setidaknya lebih 10 bintang daripada musuh"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Dapatkan mata berdasarkan kedudukan anda dalam perlawanan"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Dapat 30 mata untuk kemenangan, 15 mata untuk seri dan 5 mata untuk kekalahan"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","MATA"
"TID_DOUBLE_TOKEN_WEEKEND","ACARA TOKEN BERGANDA"
"TID_COIN_SHOWER_EVENT","ACARA HUJAN SYILING"
"TID_RANKS_ADDED_TITLE","Pangkat Brawler Baharu"
"TID_RANKS_ADDED_DESC","Kami telah menambah pangkat 21-35 kepada semua Brawler.\n\nAnda memperoleh <cff00ff><STARPOINTS></c> Mata Bintang dan <TOKENS> Token daripada Brawler yang telah mencapai pangkat baharu ini"
"TID_SKINS_TITLE","KULIT"
"TID_SKINS_BUTTON_LABEL","KULIT"
"TID_SKIN_PREVIEW","LIHAT KULIT"
"TID_DEFAULT_SKIN","KULIT LALAI <HERO>"
"TID_HERO_LVL_UP_MATERIAL","syiling"
"TID_TOKENS","token"
"TID_FIRST_WINS","Token Bintang"
"TID_BUTTON_INBOX","PETI MASUK"
"TID_INBOX_TITLE","PETI MASUK"
"TID_INBOX_SYSTEM_SENDER","Sistem"
"TID_INBOX_SUPPORT_SENDER","Sokongan"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> lalu"
"TID_INBOX_CLAIM","TUNTUT"
"TID_INBOX_VIEW","LIHAT"
"TID_INBOX_TAB_0","MEL KELAB"
"TID_INBOX_TAB_1","PERIBADI"
"TID_INBOX_NO_ENTRIES","TIADA ENTRI"
"TID_INBOX_CAPTION_99","Musim telah tamat"
"TID_INBOX_CAPTION_94","Pemberian kulit: <NAME>"
"TID_INBOX_CAPTION_93","Pemberian Brawler: <NAME>"
"TID_INBOX_CAPTION_92","Pemberian <AMOUNT> Mata Kuasa untuk <NAME>"
"TID_INBOX_CAPTION_91","Pemberian <AMOUNT> tiket"
"TID_INBOX_CAPTION_90","Pemberian <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Pemberian <AMOUNT> Permata"
"TID_INBOX_CAPTION_88","Pemberian <AMOUNT> Gandaan Token"
"TID_INBOX_CAPTION_85","Pembatalan <AMOUNT> Permata"
"TID_INBOX_CAPTION_84_4","Pemberian Kuasa Bintang <ABI> untuk <NAME>"
"TID_INBOX_CAPTION_84_5","Pemberian Alat <ABI> untuk <NAME>"
"TID_INBOX_CAPTION_78","Pangkat Brawler 21-30 dah tiba!"
"TID_INBOX_CAPTION_76","Kelayakan dalam talian DIBUKA!"
"TID_INBOX_CAPTION_75","Ganjaran kemenangan <CHALLENGE>:\n<NAME>"
"TID_INBOX_NEW","BAHARU!"
"TID_BAND_MAIL_POPUP_TITLE","MEL KELAB"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","tulis mesej anda di sini..."
"TID_BAND_MAIL_POPUP_POST","SIAR"
"TID_BAND_MAIL_POPUP_NO_MSG","Jangan lupa masukkan mesej"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Ciri ini tidak tersedia untuk akaun demonstrasi"
"TID_REVOKE_TITLE","Mesej Daripada Sokongan"
"TID_REVOKE_OK","Faham"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Tidak boleh menghantar permintaan penyertaan. Anda sudah berada dalam pasukan"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Tidak boleh menghantar permintaan penyertaan. Anda mempunyai jemputan pasukan tertangguh"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Tidak boleh menghantar permintaan penyertaan. Anda mempunyai permintaan penyertaan tertangguh"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Permintaan penyertaan dibatalkan"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","SAYA INGIN MENYERTAI PASUKAN ANDA"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>MENANG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>KALAH</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>SERI</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>KEDUDUKAN <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>KEDUDUKAN <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>KEDUDUKAN <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> lalu"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","THP"
"TID_BATTLE_LOG_TVST_VERSUS","LWN"
"TID_BATTLE_LOG_TITLE","LOG PERTEMPURAN"
"TID_BATTLE_LOG_REPLAY","ULANGAN"
"TID_BATTLE_LOG_SURVIVED_FOR","Kekal hidup selama <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Kalahkan Brawler Besar dalam <TIME>"
"TID_BATTLE_LOG_MVP","TERBAIK"
"TID_BATTLE_LOG_FRIENDLY","PERSAHABATAN"
"TID_BATTLE_LOG_TOURNAMENT","KEJOHANAN"
"TID_BATTLE_LOG_PVP","KEDUDUKAN"
"TID_BATTLE_LOG_PRO_LEAGUE","ARENA BINTANG"
"TID_BATTLE_LOG_NO_ENTRIES","TIADA ENTRI"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Ini bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Ulangan kini dinyahdayakan"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Belum ada ulangan yang tersedia"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Tiada ulangan: trofi Brawler terlalu rendah"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Capai <NUM> trofi Brawler untuk membuka kunci ulangan"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Tiada ulangan: rakaman gagal"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Tiada lagi ulangan"
"TID_PLAYER_XP_LEVEL","TAHAP"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Gagal menambah rakan"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Pautan rakan telah tamat tempoh!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Tidak berjaya menambah rakan, rakan senarai dia telah penuh."
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Tidak berjaya menambah rakan, rakan senarai anda telah penuh."
"TID_ADD_FRIEND_FAILED_BANNED","Tidak berjaya menambah rakan, pengguna telah disekat."
"TID_KEYPOOL_KEYS_REMAINING","Baki <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> token dalam <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Ganjaran Seterusnya"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Sahkan Ganjaran Alternatif"
"TID_RANK_UP_REWARD_REPLACED_POWER","Anda tiada Brawler yang boleh dipilih untuk menerima <AMOUNT> mata kuasa.\n\nIngin tuntut ganjaran alternatif?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Memandangkan anda telah memiliki <NAME>, anda akan mendapat ganjaran alternatif."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","HANTAR PERMINTAAN RAKAN"
"TID_PLAYER_INFO_REMOVE_FRIEND","BUANG DARI SENARAI RAKAN"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","PERMINTAAN RAKAN DIHANTAR"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","RAKAN\nDALAM PERMAINAN"
"TID_POWER_POINTS","MATA KUASA"
"TID_HERO_INFO_LEVEL","KUASA"
"TID_HERO_INFO_LEVEL_LONG","TAHAP KUASA"
"TID_HERO_INFO_RANK","PANGKAT"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","NAIK TARAF KE KUASA TAHAP <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","KETIK SEKALI LAGI UNTUK SAHKAN"
"TID_HERO_INFO_MAX_LEVEL","KUASA MAKSIMUM"
"TID_HERO_INFO_MORE_POWER_NEEDED","Kumpul lebih kuasa untuk naik taraf!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Brawler tiada Mata Kuasa yang mencukupi"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Anda tiada syiling yang mencukupi!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler sudah berada pada tahap kuasa maksimum!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","BRAWLER PERMULAAN"
"TID_HERO_INFO_STAR_POWER_EQUIP","PILIH"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","DIPILIH"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Pemain dilaporkan!"
"TID_TOO_MANY_REPORTS_SENT","Anda telah mencapai had laporan harian!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Sila tunggu sebelum menghantar laporan lain"
"TID_CHOOSE_CHARACTER","PILIH BRAWLER"
"TID_ARMOR","NILAI NYAWA"
"TID_ARMOR_DESC","Menunjukkan kerosakan yang boleh diterima Brawler sebelum terkorban."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Tembakan Sebaran senapang patah Shelly tersebar ke pasukan lawannya. Supernya memusnahkan pengadang dan menjauhkan pihak lawan."
"TID_LONG_RANGE_SHOTGUN","TEMBAKAN SEBARAN"
"TID_LONG_RANGE_SHOTGUN_DESC","Senapang patah Shelly menembak butiran pelet pada jarak sederhana. Lebih banyak pelet yang terkena, lebih hebat kuasanya."
"TID_MEGA_BLASH_ULTI","PELURU SUPER"
"TID_MEGA_BLASH_ULTI_DESC","Peluru Super Shelly memusnahkan musuh dan pengadang. Yang terselamat akan mengalami tolakan."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt bangga dengan ketepatannya menembak menggunakan pistol kilatnya. Supernya memecahkan pengadang dan menganjurkan pelurunya."
"TID_RAPID_FIRE","ENAM TEMBAKAN"
"TID_RAPID_FIRE_DESC","Colt melepaskan enam tembakan berterusan dengan revolvernya."
"TID_RAPID_FIRE_ULTI","RIBUT PELURU"
"TID_RAPID_FIRE_ULTI_DESC","Colt menembak sebaran peluru yang menganjur lebih jauh memusnahkan pengadang."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull melakukan kerosakan besar dekat dengan senapang patahnya. Bagi gerakan Supernya, dia meluru melalui halangan dan menolak musuh ke belakang!"
"TID_SHOTGUN_BLAST","TEMBAKAN DWILARAS"
"TID_SHOTGUN_BLAST_DESC","Senapang patah berlaras dua milik Bull ni melakukan kerosakan besar. Oleh itu, Bull suka berdekat-dekat sebab senapang ni berjulat dekat."
"TID_CHARGE","JENTOLAK"
"TID_CHARGE_DESC","Bull menundukkan kepalanya dan meredah pihak lawan dan halangan. Dia itu memang keras kepala!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock menembak roket letupan berjulat jauh pada musuh. Supernya adalah roket balistik bertalu-talu yang memusnahkan pengadang!"
"TID_FIREWORKS_WEAPON","ROKET MENGEJUT"
"TID_FIREWORKS_WEAPON_DESC","Brock melepaskan satu Roket Mengejut yang terbang jauh di medan pertempuran."
"TID_FIREWORKS_ULTI","HUJAN ROKET"
"TID_FIREWORKS_ULTI_DESC","Brock melepaskan bedilan roket yang memusnahkan musuh dan halangan. Dia hanya ingin tengok awak dihujani roket!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike melambung dua batang dinamit letupan. Serangan Supernya adalah satu tong penuh dinamit yang meletupkan pengadang!"
"TID_MORTAR","PERENGUS"
"TID_MORTAR_DESC","Mike melontarkan dua batang dinamit, melepasi semua halangan. Fius dipendekkan menyebabkan ia cepat meletup seperti perangainya."
"TID_MORTAR_ULTI","TONG BOM BESAR"
"TID_MORTAR_ULTI_DESC","Satu tong besar dinamit meledak. Musuh yang masih hidup akan kena tolak disebabkan impaknya yang besar!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo melepaskan tumbukan bertubi-tubi pada musuhnya. Supernya ialah lompatan jatuhan siku yang melakukan kerosakan pada semua yang ditangkap di bawahnya!"
"TID_LUCHADOR_WEAPON","TUMBUKAN MELAYANG"
"TID_LUCHADOR_WEAPON_DESC","El Primo mengayunkan empat tumbukan melayang. Ini seperti tumbukan sambal cili padi!"
"TID_LUCHADOR_ULTI","JATUHAN SIKU TERBANG"
"TID_LUCHADOR_ULTI_DESC","El Primo melompat tinggi dan menjatuhkan siku antara galaksi yang akan menolak kuat musuh dan memusnahkan pengadang!"
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico menembak banyak peluru yang melantun dari dinding. Tembakan hebatnya adalah lantunan peluru berturut-turut yang menembusi sasaran!"
"TID_TRICKSHOT_DUDE_WEAPON","PELURU MELANTUN"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Peluru Rico melantun dari dinding, meningkatkan jaraknya. Ia boleh menembak musuh yang berselindung."
"TID_TRICKSHOT_DUDE_ULTI","TEMBAKAN TEKNIK"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico menembak banyak peluru yang menembusi musuh dan melantun dari dinding, meningkatkan jaraknya."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike membaling grenad kaktus yang menyebarkan jarum dan Supernya mengagumkan: medan duri kaktus yang memperlahankan dan melakukan kerosakan pada musuh!"
"TID_CACTUS_WEAPON","GRENAD JARUM"
"TID_CACTUS_WEAPON_DESC","Spike menembak kaktus kecil dan meletup, menembak menembak duri ke semua arah."
"TID_CACTUS_ULTI","JANGAN KE MANA-MANA!"
"TID_CACTUS_ULTI_DESC","Spike membaling tinggi-tinggi grenad berduri. Musuh yang terperangkap di dalam kawasan letupan akan menerima kerosakan dan diperlahankan."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley menyerang dengan melontar botol pada musuh, melakukan kerosakan percikan. Supernya adalah lontaran botol membakar yang bertalu-talu!"
"TID_BARKEEP_WEAPON","SIMBAHAN PEKAT"
"TID_BARKEEP_WEAPON_DESC","Barley membaling botol dan membiarkannya memecah di lantai. Simpahan membawa kerosakan kepada musuh dan kerosakan bertambah jika mereka kekal di dalam lopak itu."
"TID_BARKEEP_ULTI","PELUANG TERAKHIR"
"TID_BARKEEP_ULTI_DESC","Barley melempar selonggok botol yang menyebabkan sebuah kawasan besar terbakar. Semua ni percuma!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Tembakan Melantun Jessie menembak orb tenaga yang melantun di antara musuh. Supernya melancarkan turet senapang yang comel tetapi membawa maut!"
"TID_MECHANIC_WEAPON","TEMBAKAN MELANTUN"
"TID_MECHANIC_WEAPON_DESC","Jessie menembak orb bertenaga. Selepas mengenai target, orb itu melantun ke target seterusnya yang berada dalam julat, yang akan mengenai maksimum tiga musuh."
"TID_MECHANIC_ULTI","SEKERAP!"
"TID_MECHANIC_ULTI_DESC","Jessie mengerahkan turet pistol yang menembak ke arah musuh secara automatik. Ia diperbuat 100% daripada bahan kitar semula."
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita menyerang musuhnya dengan gelombang kejutan gemuruh. Supernya menyeru beruang besar untuk berlawan di sisinya!"
"TID_SHAMAN_WEAPON","RUPTUR"
"TID_SHAMAN_WEAPON_DESC","Nita melepaskan gelombang kejut, mencederakan musuh yang terperangkap di dalam gegaran tu."
"TID_SHAMAN_ULTI","BERUANG KONCO"
"TID_SHAMAN_ULTI_DESC","Nita menyeru roh Anak Beruang Besar untuk memburu musuhnya."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis meluru ke hadapan dengan setiap ayunan penyodoknya. Dengan serangan Supernya, dia mengerahkan sekumpulan kelawar untuk melakukan kerosakan pada musuh dan memulihkan dirinya!"
"TID_UNDERTAKER_WEAPON","AYUNAN PENYODOK"
"TID_UNDERTAKER_WEAPON_DESC","Mortis memecut ke depan dan mengayunkan penyodoknya, mencipta peluang perniagaan untuk dirinya."
"TID_UNDERTAKER_ULTI","NADI"
"TID_UNDERTAKER_ULTI_DESC","Mortis menyeru sekerumun kelawar pontianak yang menghisap nilai nyawa musuhnya ketika memulihkan nilai nyawanya. Memang mengerikan!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow melontar tiga pisau belati beracun. Dengan gerakan Supernya, dia melompat, melontar pisau belatinya semasa melompat dan mendarat!"
"TID_CROW_WEAPON","PISAU FLIK"
"TID_CROW_WEAPON_DESC","Crow melempar pisau belati. Musuh yang terkena pisau beracun itu akan terima kerosakan untuk satu tempoh."
"TID_CROW_ULTI","MENUKIK"
"TID_CROW_ULTI_DESC","Crow terbang ke langit, menaburkan lingkaran pisau belati di sekelilingnya ketika berlepas dan mendarat."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco menembak gelombang bunyi yang memusnahkan musuh. Supernya boleh memulihkan diri Poco sendiri dan rakan sepasukannya!"
"TID_DEAD_MARIACHI_WEAPON","KORD BERKUASA"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco memetik gitarnya, menghantar gelombang bunyi yang membuat bulu roma berdiri. Musuh yang mengenai gelombang akan mengalami kerosakan."
"TID_DEAD_MARIACHI_ULTI","SORAK PINTA"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco menyembuhkan dirinya dan rakannya yang dia boleh capai dengan melodinya yang riang. Tidak berkesan pada musuh."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo melepaskan tiga anak panah meletup ke arah sasarannya. Supernya meletakkan tiga periuk api boleh meletup tersembunyi di bawah tanah!"
"TID_BOW_DUDE_WEAPON","MATA HELANG"
"TID_BOW_DUDE_WEAPON_DESC","Bo melepaskan tiga anak panah yang meletup, menyiat musuh seperti cakar helang."
"TID_BOW_DUDE_ULTI","PERANGKAP BOM"
"TID_BOW_DUDE_ULTI_DESC","Bo menyembunyikan perangkap meletusnya di bawah tanah. Apabila perangkap dicetuskan oleh musuh, ia akan meletup selepas sedikit penangguhan, menolak dan mengenakan kerosakan pada musuh."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Tembakan tepat Piper melakukan lebih kerosakan apabila menyusur lebih jauh. Supernya menjatuhkan grenad pada kakinya sementara Piper sendiri melompat pergi!"
"TID_SNIPER_WEAPON","PAYUNAPANG"
"TID_SNIPER_WEAPON_DESC","Piper melepaskan tembakan tepat dari hujung payungnya. Lebih jauh tembakan, lebih umph tembakan itu!"
"TID_SNIPER_ULTI","TERJUN PAYUNG"
"TID_SNIPER_ULTI_DESC","Piper melompat pergi untuk mengelak peminat yang mendesak. Namun, dia pasti meninggalkan sesuatu yang manis: grenad hidup dari gancunya!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam menembak dari pinggul, menyerang sasaran dengan serpihan. Supernya adalah turet penyembuh yang memulihkan nilai nyawanya dan rakan sepasukannya!"
"TID_MINIGUN_DUDE_WEAPON","RIBUT SEKERAP"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam memancutkan sekerap logam pada kawasan besar. Penggunaan pelindung mata adalah dinasihatkan!"
"TID_MINIGUN_DUDE_ULTI","CIUMAN MAMA"
"TID_MINIGUN_DUDE_ULTI_DESC","Turet penyembuhan Pam akan merawat dia dan rakan sepasukannya yang berada di dalam kawasan terkesan."
"TID_BONE_THROWER","pembaling tulang"
"TID_BONE_THROWER_DESC","Semua benda penembak ini besar-besar belaka! Cekap menggunakan mesingan besarnya, Pengendali Pistol Mini ini boleh menumpaskan berbilang orang jahat (Pergerakan perlahan, tidak akan ditolak)"
