"Name","FileName","OwnExportName","BlueExportName","RedExportName","Layer","ExportNameTop","ExportNameObject","Effect","LoopingEffect","Scale","TimeMs","Radius","Damage","CustomValue","Type","BulletExplosionBullet","BulletExplosionBulletDistance","DestroysEnvironment","PushbackStrength","PushbackStrengthSelf","FreezeStrength","ShouldShowEvenIfOutsideScreen","SameAreaEffectCanNotDamageMs"
"TntDudeUltiExplosion","sc/effects.sc",,,,"Ground",,,"explosion_tnt_dude_ulti",,165,700,800,,,"Damage",,,"true",150,250,,,
"BowDudeExplosion","sc/effects.sc","range400_blue","range400_blue","range400_red","Ground",,,"explosion_bow_dude",,70,700,300,,,"Damage",,,,,,,,
"CrowUltiKnifes","sc/effects.sc",,,,"Ground",,,,,100,700,300,,14,"BulletExplosion","CrowUltiProjectile",22,,,,,,
"HealingStationHeal","sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","Ground",,,,"heal_area_fx",125,600000,1000,-320,,"Hot",,,,,,,,
"Heal","sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","Ground",,,,,100,700,800,-560,,"Heal",,,,,,,,
"MineExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_600",,133,700,600,99,,"Damage",,,"true",70,,,,
"SniperBombExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_600",,133,700,600,99,,"Damage",,,"true",70,,,,
"BlackHoleUltiExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"blackhole_ulti_damage",,100,1400,450,,700,"DelayedDamage",,,"true",50,,,,
"BlackHoleUltiSuck","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"blackhole_ulti_suck",,235,700,1200,,,"Pushback",,,,-150,,,,
"ArtilleryDudeTurretExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_artillery_dude_turret",,100,700,450,,,"Damage",,,,,,,,
"SelfDestructExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_artillery_dude_turret",,100,700,450,,,"Damage",,,,,,,,
"HealWithAutoAttack","sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","Ground",,,,"heal_area_fx",125,250,1000,-320,,"Heal",,,,,,,,
"BurnMainAttack","sc/effects.sc",,,,"Ground",,,"brock_def_starPower",,28,2900,300,,,"Dot",,,,,,,,
"PowerupSpawn","sc/effects.sc","power_area_effect_blue","power_area_effect_blue","power_area_effect_blue","Ground",,,"powerup_indicator",,40,5000,300,,,"Effect",,,,,,,"true",
"BossSpawn","sc/effects.sc","meteor_area_effect","meteor_area_effect","meteor_area_effect","Ground",,,"boss_warning",,40,5000,300,,,"Effect",,,,,,,"true",
"EventExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"meteor_area_explosion",,185,700,1000,2000,,"Damage",,,"true",150,250,,,
"ExplosionSpawn","sc/effects.sc","meteor_area_effect","meteor_area_effect","meteor_area_effect","Above","meteor_ball_animation",,"meteor_warning",,105,2500,800,,,"Effect",,,,,,,"true",
"ClusterBombExplosion","sc/effects.sc",,,,"Ground",,,"explosion_cluster_bomb_air",,100,700,300,,6,"BulletExplosion","ClusterBombProjectile2",12,,,,,,
"ClusterBombExplosion2","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_tnt_dude",,100,700,450,,,"Damage",,,"true",,,,,
"SmokeScreen","sc/effects.sc","SmokeSmall","SmokeSmall","SmokeSmall","Ground",,,"explosion_600",,300,5000,1000,,,"SmokeScreen",,,,,,,,
"EventHealing","sc/effects.sc","healing_mushroom_area_effect_02","healing_mushroom_area_effect_02","healing_mushroom_area_effect_02","Ground",,,,"mushroom_heal",125,5000,1000,-1000,,"Hot",,,,,,,,
"HealingSpawn","sc/effects.sc","healing_mushroom_area_effect","healing_mushroom_area_effect","healing_mushroom_area_effect","Ground",,,"healing_spawn",,125,2500,800,,,"Effect",,,,,,,,
"RaidBossExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"raidboss_rocket_explosion",,185,700,1000,2000,,"Damage",,,"true",150,250,,,
"RaidBossExplosionSpawn","sc/effects.sc","meteor_area_effect","meteor_area_effect","meteor_area_effect","Ground",,,"raidboss_rocket_warning",,105,2000,800,,,"Effect",,,,,,,"true",
"RaidBossRocketBurn","sc/effects.sc","brock_ground_fire","brock_ground_fire","brock_ground_fire_red","Ground",,,"burning_ground_raid_boss",,100,6900,1000,,,"Dot",,,,,,,"true",
"HeroSpawn","sc/effects.sc","hero_spawn_green","hero_spawn_blue","hero_spawn_red","Above",,,"hero_spawn",,35,2100,300,,,"HeroSpawn",,,,,,,,
"AutoHeal","sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","Ground",,,,"heal_area_fx",125,350,1000,-320,,"Heal",,,,,,,,
"RoboWarsBoxSpawn","sc/effects.sc","power_area_effect_blue","power_area_effect_blue","power_area_effect_blue","Ground",,,,,30,2500,300,,,"Effect",,,,,,,,
"RoboWarsBaseExplosion","sc/effects.sc","range450_blue","range450_blue","range450_red","Ground",,,"explosion_artillery_dude_turret",,100,700,450,,,"Damage",,,,,,,,
