"Name","Disabled","TID","TileSetPrefix","BgPrefix","SWF","GroundSCW","EnvironmentSCW","TileSetRedAdd","TileSetGreenAdd","TileSetBlueAdd","TileSetRedMul","TileSetGreenMul","TileSetBlueMul","IconSWF","IconExportName","GameMode","AllowedMaps","ShadowR","ShadowG","ShadowB","ShadowA","Music","CommunityCredit"
"Gemgrab3",,"TID_GOLDRUSH_3","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_3",0,0,100,60,"BattleMusic",
"Gemgrab4",,"TID_GOLDRUSH_4","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Wanted_3",0,0,100,60,"BattleMusic",
"Gemgrab5",,"TID_GOLDRUSH_5","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_5",0,0,100,60,"BattleMusic",
"Gemgrab6",,"TID_GOLDRUSH_6","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_4",0,0,100,60,"BattleMusic",
"Survival1",,"TID_BATTLE_ROYALE_1",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_1",100,0,0,60,"BattleMusic",
"Survival2",,"TID_BATTLE_ROYALE_2",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_2",100,0,0,60,"BattleMusic","OwenReds"
"Survival3",,"TID_BATTLE_ROYALE_3",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_3",100,0,0,60,"BattleMusic",
"Survival4",,"TID_BATTLE_ROYALE_4",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_4",100,0,0,60,"BattleMusic",
"Heist1","true","TID_BANKHEIST_1",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_1",100,0,0,60,"BattleMusic",
"Heist2",,"TID_BANKHEIST_2",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_2",100,0,0,60,"BattleMusic",
"Heist3",,"TID_BANKHEIST_3",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_3",100,0,0,60,"BattleMusic",
"Tutorial",,,"mine_",,"sc/mine_level.sc","sc3d/bgr_mine_tutorial_ground.scw","sc3d/bgr_mine_tutorial.scw",0,0,0,255,255,255,"sc/ui.sc","event_welcome","Tutorial",,0,0,100,60,"BattleMusic",
"BossFight1",,"TID_BOSS_4",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_boss","BossFight","BossFight_1",0,66,66,60,"BattleMusic",
"Wanted8",,"TID_WANTED_8","oasis_",,"sc/oasis_level.sc","sc3d/bgr_jungle_ground.scw","sc3d/bgr_jungle.scw",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_8",0,66,66,60,"BattleMusic",
"Heist4","true","TID_BANKHEIST_4",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_4",100,0,0,60,"BattleMusic",
"Ball1",,"TID_BALL_1","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_1",0,66,66,60,"BattleMusic",
"Ball2",,"TID_BALL_2","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_2",0,66,66,60,"BattleMusic",
"Ball3",,"TID_BALL_3","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_3",0,66,66,60,"BattleMusic",
"Coop1",,"TID_COOP_1",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_coop","Survival","Coop_1",100,0,0,60,"BattleMusic",
"SurvivalTeam7",,"TID_BATTLE_ROYALE_7",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_7",100,0,0,60,"BattleMusic",
"Coop2",,"TID_COOP_2",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_coop","Survival","Coop_2",100,0,0,60,"BattleMusic",
"BossFight2",,"TID_BOSS_3","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_boss","BossFight","BossFight_2",0,0,100,60,"BattleMusic",
"Gemgrab8","true","TID_GOLDRUSH_8",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","CoinRush","Gemgrab_8",0,0,100,60,"BattleMusic",
"Survival5",,"TID_BATTLE_ROYALE_5",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_5",100,0,0,60,"BattleMusic","Mordeus"
"Survival6",,"TID_BATTLE_ROYALE_6",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_6",100,0,0,60,"BattleMusic",
"SurvivalTeam1",,"TID_BATTLE_ROYALE_1",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_1",100,0,0,60,"BattleMusic",
"SurvivalTeam2",,"TID_BATTLE_ROYALE_2",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_2",100,0,0,60,"BattleMusic","OwenReds"
"SurvivalTeam3",,"TID_BATTLE_ROYALE_3",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_3",100,0,0,60,"BattleMusic",
"SurvivalTeam4",,"TID_BATTLE_ROYALE_4",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_4",100,0,0,60,"BattleMusic",
"SurvivalTeam5",,"TID_BATTLE_ROYALE_5",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_5",100,0,0,60,"BattleMusic","Mordeus"
"Coop3",,"TID_COOP_6",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_coop","Survival","Coop_3",100,0,0,60,"BattleMusic",
"Gemgrab7",,"TID_GOLDRUSH_7","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_7",0,0,100,60,"BattleMusic","DarkKnight "
"Gemgrab10",,"TID_GOLDRUSH_10","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_10",0,0,100,60,"BattleMusic","Lewinham"
"Heist5","true","TID_BANKHEIST_5",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_5",100,0,0,60,"BattleMusic","Rushalisk"
"Survival7",,"TID_BATTLE_ROYALE_7",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_7",100,0,0,60,"BattleMusic",
"SurvivalTeam6",,"TID_BATTLE_ROYALE_6",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_6",100,0,0,60,"BattleMusic",
"Survival8",,"TID_BATTLE_ROYALE_8",,"survival_water_","sc/survival_level.sc","sc3d/bgr_island_showdown_ground.scw",,0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_8",100,0,0,60,"BattleMusic","Rushalisk"
"SurvivalTeam8",,"TID_BATTLE_ROYALE_8",,"survival_water_","sc/survival_level.sc","sc3d/bgr_island_showdown_ground.scw",,0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_8",100,0,0,60,"BattleMusic","Rushalisk"
"Heist6",,"TID_BANKHEIST_6",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_6",100,0,0,60,"BattleMusic","Mordeus"
"Gemgrab11",,"TID_GOLDRUSH_11","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_11",0,0,100,60,"BattleMusic","FatBubblyDragon"
"Heist7","true","TID_BANKHEIST_7",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_7",100,0,0,60,"BattleMusic","Schmedricks"
"Ball4",,"TID_BALL_4","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_4",0,66,66,60,"BattleMusic","Lex"
"Ball6",,"TID_BALL_6","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_6",0,66,66,60,"BattleMusic","Mordeus"
"Ball7",,"TID_BALL_7","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_7",0,66,66,60,"BattleMusic","Lewinham"
"Heist8","true","TID_BANKHEIST_8",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_8",100,0,0,60,"BattleMusic","AlexEsteAdevarat "
"Wanted9","true","TID_WANTED_9","oasis_",,"sc/oasis_level.sc","sc3d/bgr_jungle_ground.scw","sc3d/bgr_jungle.scw",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_9",0,66,66,60,"BattleMusic","thelucas2000 "
"Survival12",,"TID_BATTLE_ROYALE_12",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_12",100,0,0,60,"BattleMusic","Tony_A9"
"SurvivalTeam12",,"TID_BATTLE_ROYALE_12",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","Survival_12",100,0,0,60,"BattleMusic","Tony_A9"
"Raid1",,"TID_RAID_2",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_raid","Raid","Raid_1",100,0,0,60,"BattleMusic",
"GGxmas1","true","TID_GOLDRUSH_XMAS_1","snowy_",,"sc/mine_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Wanted_3",0,0,100,60,"Snow_brawl",
"GGxmas2","true","TID_GOLDRUSH_XMAS_2","snowy_",,"sc/mine_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Gemgrab_7",0,0,100,60,"Snow_brawl",
"GGxmas3","true","TID_GOLDRUSH_XMAS_3","snowy_",,"sc/mine_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Gemgrab_5",0,0,100,60,"Snow_brawl",
"GGxmas4","true","TID_GOLDRUSH_XMAS_4","snowy_",,"sc/mine_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Gemgrab_1",0,0,100,60,"Snow_brawl",
"GGxmas5","true","TID_GOLDRUSH_XMAS_5","snowy_",,"sc/mine_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Gemgrab_4",0,0,100,60,"Snow_brawl",
"GGxmas6","true","TID_GOLDRUSH_XMAS_6","snowy_",,"sc/canyon_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Gemgrab_9",0,0,100,60,"Snow_brawl",
"GGxmas7","true","TID_GOLDRUSH_XMAS_7","snowy_",,"sc/mine_level.sc","sc3d/bgr_snowy_ground.scw","sc3d/bgr_snowy.scw",0,0,0,255,255,255,"sc/ui.sc","event_snow","CoinRush","Gemgrab_3",0,0,100,60,"Snow_brawl",
"BossFight3",,"TID_BOSS_6",,,"sc/canyon_level.sc","sc3d/bgr_canyon_ground.scw","sc3d/bgr_canyon.scw",0,0,0,255,255,255,"sc/ui.sc","event_boss","BossFight","BossFight_3",0,66,66,60,"BattleMusic",
"BossFight4",,"TID_BOSS_5","mine_",,"sc/mine_level.sc","sc3d/bgr_mine_ground.scw","sc3d/bgr_mine.scw",0,0,0,255,255,255,"sc/ui.sc","event_boss","BossFight","BossFight_4",0,0,100,60,"BattleMusic",
"Raid2",,"TID_RAID_3",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_raid","Raid","Raid_2",100,0,0,60,"BattleMusic",
"Coop4",,"TID_COOP_3",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_coop","Survival","Coop_4",100,0,0,60,"BattleMusic",
"Heist9","true","TID_BANKHEIST_9","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","AttackDefend","Bankheist_9",100,0,0,60,"BattleMusic",
"Heist10",,"TID_BANKHEIST_10","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","AttackDefend","Bankheist_10",100,0,0,60,"BattleMusic",
"Heist11",,"TID_BANKHEIST_11","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","AttackDefend","Bankheist_11",100,0,0,60,"BattleMusic","AeroNautikks"
"Heist12",,"TID_BANKHEIST_12","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","AttackDefend","Bankheist_12",100,0,0,60,"BattleMusic","Zagibulenka"
"Heist13",,"TID_BANKHEIST_13","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","AttackDefend","Bankheist_13",100,0,0,60,"BattleMusic",
"LNYHeist1","true","TID_BANKHEIST_9","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","AttackDefend","Bankheist_9",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYHeist2","true","TID_BANKHEIST_10","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","AttackDefend","Bankheist_10",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYHeist3","true","TID_BANKHEIST_11","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","AttackDefend","Bankheist_11",100,0,0,60,"Cny_levels","AeroNautikks"
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYHeist4","true","TID_BANKHEIST_12","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","AttackDefend","Bankheist_12",100,0,0,60,"Cny_levels","Zagibulenka"
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYHeist5","true","TID_BANKHEIST_13","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","AttackDefend","Bankheist_13",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"Wanted10","true","TID_WANTED_9","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","BountyHunter","Wanted_10",100,0,0,60,"BattleMusic",
"Wanted11",,"TID_WANTED_11","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","BountyHunter","Wanted_11",100,0,0,60,"BattleMusic",
"Wanted12",,"TID_WANTED_12","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","BountyHunter","Wanted_12",100,0,0,60,"BattleMusic",
"Wanted13",,"TID_WANTED_13","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","BountyHunter","Wanted_13",100,0,0,60,"BattleMusic","OwenReds"
"Wanted14",,"TID_WANTED_14","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_town","BountyHunter","Wanted_14",100,0,0,60,"BattleMusic",
"LNYWanted1","true","TID_WANTED_9","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","BountyHunter","Wanted_10",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYWanted2","true","TID_WANTED_11","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","BountyHunter","Wanted_11",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYWanted3","true","TID_WANTED_12","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","BountyHunter","Wanted_12",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYWanted4","true","TID_WANTED_13","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","BountyHunter","Wanted_13",100,0,0,60,"Cny_levels","OwenReds"
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYWanted5","true","TID_WANTED_14","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","BountyHunter","Wanted_14",100,0,0,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYGemgrab1","true","TID_GOLDRUSH_4","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","CoinRush","Wanted_3",0,0,100,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYGemgrab2","true","TID_GOLDRUSH_5","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","CoinRush","Gemgrab_5_LNY",0,0,100,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"LNYGemgrab3","true","TID_GOLDRUSH_6","town_",,"sc/canyon_level.sc","sc3d/bgr_old_town_ground.scw","sc3d/bgr_old_town.scw",0,0,0,255,255,255,"sc/ui.sc","event_cny","CoinRush","Gemgrab_4_LNY",0,0,100,60,"Cny_levels",
,,,,,,,"sc3d/bgr_old_town_deco_LNY.scw",,,,,,,,,,,,,,,,
"Ball8",,"TID_WANTED_10","grassfield_",,"sc/grassfield_level.sc","sc3d/bgr_grassfield_ground.scw","sc3d/bgr_grassfield.scw",0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_8",0,66,66,60,"BattleMusic",
"Survival10",,"TID_BATTLE_ROYALE_10",,"survival_","sc/survival_level.sc","sc3d/bgr_canyon_showdown_ground.scw","sc3d/bgr_canyon_showdown.scw",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_10",100,0,0,60,"BattleMusic","Binnyboy"
