Name,LockedForChronos,Disabled,ItemName,WeaponSkill,UltimateSkill,Pet,Speed,Hitpoints,MeleeAutoAttackSplashDamage,AutoAttackSpeedMs,AutoAttackDamage,AutoAttackBulletsPerShot,AutoAttackMode,AutoAttackProjectileSpread,AutoAttackProjectile,AutoAttackRange,RegeneratePerSecond,UltiChargeMul,UltiChargeUltiMul,Type,DamagerPercentFromAliens,DefaultSkin,FileName,BlueExportName,RedExportName,ShadowExportName,AreaEffect,DeathAreaEffect,TakeDamageEffect,DeathEffect,MoveEffect,ReloadEffect,OutOfAmmoEffect,DryFireEffect,SpawnEffect,MeleeHitEffect,AutoAttackStartEffect,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,LoopedEffect,LoopedEffect2,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,AttackStartEffectOffset,TwoWeaponAttackEffectOffset,ShadowScaleX,ShadowScaleY,ShadowX,ShadowY,ShadowSkew,Scale,HeroScreenScale,EndScreenScale,GatchaScreenScale,HomeScreenScale,HeroScreenXOffset,HeroScreenZOffset,CollisionRadius,HealthBar,HealthBarOffsetY,FlyingHeight,ProjectileStartZ,StopMovementAfterMS,WaitMS,TID,ForceAttackAnimationToEnd,IconSWF,IconExportName,RecoilAmount,Homeworld,FootstepClip,DifferentFootstepOffset,FootstepIntervalMS,AttackingWeaponScale,UseThrowingLeftWeaponBoneScaling,UseThrowingRightWeaponBoneScaling,ShowEnemyInMenus,CommonSetUpgradeBonus,RareSetUpgradeBonus,SuperRareSetUpgradeBonus,CanWalkOverWater,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,ChargeUltiAutomatically,VideoLink
Crow,,,crow,CrowWeapon,CrowUlti,,820,2400,,,,,,,,12,,97,85,Hero,,CrowDefault,,,,,,,takedamage_gen,death_crow,Gen_move_fx,reload_crow,No_ammo_shotgungirl,crow_dryfire,,,,Crow_bone_trail_1,Crow_bone_trail_2,Crow_bone_trail_3,Crow_bone_trail_4,ulti,,,Crow_Kill,Crow_Lead,Crow_Start,Crow_Ulti,Crow_Takedamage,Crow_Die,,45,,80,80,,,35,116,230,90,210,290,,,120,Medium,-41,,400,,,TID_CROW,,sc/ui.sc,hero_icon_crow,0,human,footstep,20,200,100,true,true,,2,1,3,,,,,,,,,,CrowTutorial
DeadMariachi,,,poco,DeadMariachiWeapon,DeadMariachiUlti,,720,3800,,,,,,,,12,,130,150,Hero,,DeadMariachiDefault,,,,,,,takedamage_gen,death_dead_mariachi,Gen_move_fx,reload_dead_mariachi,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Poco_kill,Poco_lead,Poco_start,Poco_ulti_vo,Poco_hurt,Poco_die,,20,,80,80,,,35,116,200,85,180,260,,,120,Medium,-56,,0,,,TID_DEAD_MARIACHI,,sc/ui.sc,hero_icon_poco,0,human,footstep,25,250,100,,,,1,3,2,,,,,,,,,,PocoTutorial
BowDude,,,bo,BowDudeWeapon,BowDudeUlti,,720,3600,,,,,,,,12,,80,95,Hero,,BowDudeDefault,,,,,,,takedamage_gen,death_bow_dude,Gen_move_fx,reload_bow_dude,No_ammo_shotgungirl,dry_fire_bowdude,,,,,,,,,,,Bo_kill,Bo_lead,Bo_start,Bo_ulti_vo,Bo_hurt,Bo_die,Bo_atk_vo,45,,80,80,,,35,106,170,80,165,220,-150,,120,Medium,-56,,400,,,TID_BOW_DUDE,,sc/ui.sc,hero_icon_bo,0,human,footstep,30,300,100,,true,,1,2,3,,,,,,,,,,BoTutorial
Sniper,,,piper,SniperWeapon,SniperUlti,,720,2400,,,,,,,,12,,90,90,Hero,,SniperDefault,,,,,,,takedamage_gen,death_sniper,Gen_move_fx,reload_sniper,No_ammo_shotgungirl,Minig_dryfire,,,,,,,,,,,Piper_Kill,Piper_Lead,Piper_Start,Piper_Ulti,Piper_Takedamage,Piper_Die,,45,,80,80,,,35,116,200,90,190,260,,,120,Medium,-46,,450,,,TID_SNIPER,,sc/ui.sc,hero_icon_piper,100,human,footstep,25,400,160,,,,2,3,1,,,,,,,,,,PiperTutorial
MinigunDude,,,pam,MinigunDudeWeapon,MinigunDudeUlti,,720,4400,,,,,,,,12,,105,130,Hero,,MinigunDudeDefault,,,,,,,takedamage_gen,death_minigun,Gen_move_fx,reload_minigun,No_ammo_shotgungirl,Minig_dryfire,,,,,,,,,,,Pam_kill,Pam_lead,Pam_start,Pam_ulti,Pam_hurt,Pam_die,,40,,80,80,,,35,95,140,70,140,190,-300,,145,Medium,-59,,450,,,TID_MINIGUN_DUDE,,sc/ui.sc,hero_icon_mj,400,human,footstep,30,400,130,,,,1,3,2,,,,,,,,,,PamTutorial
BlackHole,,,tara,BlackHoleWeapon,BlackHoleUlti,BlackHolePet,720,3200,,,,,,,,12,,82,90,Hero,,BlackholeDefault,,,,,,,takedamage_gen,death_blackhole,Gen_move_fx,reload_blackhole,No_ammo_shotgungirl,Mystic_dryfire,,,,,,,,,,,,,,,,,,50,,80,80,,,35,116,190,80,175,230,,,120,Medium,-59,,450,,,TID_BLACK_HOLE,,sc/ui.sc,hero_icon_taro,400,human,footstep,30,400,130,,,,1,2,3,,,,,,,,,,TaraTutorial
BarrelBot,,,barrelbot,BarrelBotWeapon,BarrelBotUlti,,770,4000,,,,,,,,12,,125,120,Hero,,BarrelbotDefault,,,,,,,takedamage_gen,death_barrel_bot,Gen_move_fx,reload_barrel_bot,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,,,,,,,,50,80,80,80,,,35,116,190,80,175,230,,,145,Medium,-48,,450,,,TID_BARREL_BOT,,sc/ui.sc,hero_icon_barrelbot,600,human,footstep,40,300,130,,,,1,2,3,,,,,,,,,50,DarrylTutorial
ArtilleryDude,,,,ArtilleryDudeWeapon,ArtilleryDudeUlti,,720,3200,,,,,,,,12,,100,100,Hero,,ArtilleryGalDefault,,,,,,,takedamage_gen,death_artillery_dude,Gen_move_fx,reload_artillery_dude,No_ammo_shotgungirl,dry_fire_mechanic,,,,,,,,,,,Penny_kill,Penny_lead,Penny_start,Penny_ulti,Penny_takedamage,Penny_die,,35,,80,80,,,35,110,190,80,150,260,-400,600,120,Medium,-45,,400,,,TID_ARTILLERY_DUDE,,sc/ui.sc,hero_icon_penny,500,human,footstep,20,200,160,,,,3,2,1,,,,,,,,,,PennyTutorial
HammerDude,,,,HammerDudeWeapon,HammerDudeUlti,,770,5800,,,,,,,,12,,120,120,Hero,,FrankDefault,,,,,,,takedamage_gen,death_hammer_dude,Gen_move_fx,,No_ammo_shotgungirl,dry_fire_barkeep,,,,,,,,,,,Frank_vo,Frank_vo,Frank_vo,Frank_vo,Frank_vo,Frank_vo,Frank_vo,75,,80,80,,,35,110,150,80,150,230,,,145,Medium,-60,,100,,,TID_HAMMER_DUDE,,sc/ui.sc,hero_icon_frank,0,human,footstep,40,250,130,,,,1,3,2,,,,,,,,,,FrankTutorial
HookDude,,,,HookWeapon,HookUlti,,720,3600,,,,,,,,12,,100,100,Hero,,HookDefault,,,,,,,takedamage_gen,death_hook_dude,Gen_move_fx,reload_gene,No_ammo_shotgungirl,dry_fire_gene,,,,,,,,,,,,,,,,,,30,,80,80,,,35,116,230,90,175,270,,,120,Medium,-36,,350,,,TID_HOOK,,sc/ui.sc,hero_icon_gene,0,human,footstep,25,350,200,,,,1,3,2,,,,,,,,,,GeneTutorial
ClusterBombDude,,true,,ShotgunGirlWeapon,ShotgunGirlUlti,,720,3600,,,,,,,,12,,128,120,Hero,,BanditGirlDefault,,,,,,,takedamage_gen,death_shotgun_girl,Gen_move_fx,reload_shotgun_girl,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Shelly_Kill,Shelly_Lead,Shelly_Start,Utilshotgun_Vo,ShellyTakedamge_Vo,Shelly_Die,,30,,80,80,,,35,116,210,85,175,260,,,120,Medium,-48,,450,,,TID_SHOTGUN_GIRL,,sc/ui.sc,hero_icon_shelly,0,human,footstep,25,250,200,,,,1,3,2,,,,,,,,,,
Ninja,,,,NinjaWeapon,NinjaUlti,,820,3200,,,,,,,,12,,110,100,Hero,,NinjaDefault,,,,,,,takedamage_gen,death_ninja,Gen_move_fx,reload_leon,No_ammo_shotgungirl,Dry_fire_leon,,,,,,,,,,,,,,,,,,50,,80,80,,,35,116,190,80,150,270,,,120,Medium,-55,,450,,,TID_NINJA,,sc/ui.sc,hero_icon_leon,0,human,footstep,25,250,130,,,,3,2,1,,,,,,,,,,LeonTutorial
Animal,,true,,ShotgunGirlWeapon,ShotgunGirlUlti,,720,3600,,,,,,,,12,,128,120,Hero,,BanditGirlDefault,,,,,,,takedamage_gen,death_shotgun_girl,Gen_move_fx,reload_shotgun_girl,No_ammo_shotgungirl,Dry_fire_shotgungirl,,,,,,,,,,,Shelly_Kill,Shelly_Lead,Shelly_Start,Utilshotgun_Vo,ShellyTakedamge_Vo,Shelly_Die,,30,,80,80,,,35,116,210,85,175,260,,,120,Medium,-48,,450,,,TID_SHOTGUN_GIRL,,sc/ui.sc,hero_icon_shelly,0,human,footstep,25,250,200,,,,1,3,2,,,,,,,,,,
TutorialDummy,,,,,,,0,700,,,,,,,,12,,,,Minion_Building,,MeleeBotDefault,,,,,,,takedamage_gen,death_bull_dude,Gen_move_fx,,No_ammo_shotgungirl,,tutorial_robo_spawn,,,,,,,,,,,,,,,,,35,,80,80,,,35,140,,,,,,,145,Medium,-60,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
TutorialDummy2,,,,,,,0,700,,,,,,,,12,,,,Minion_Building_charges_ulti,,MeleeBotDefault,,,,,,,takedamage_gen,death_bull_dude,Gen_move_fx,,,,tutorial_robo_spawn,,,,,,,,,,,,,,,,,35,,80,80,,,35,140,,,,,,,145,Medium,-60,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
MechanicTurret,,,,,,,0,2800,,300,240,,,30,MechanicTurretProjectile,27,,,,Minion_Building,,TurretDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,,,,,SpawnTurret,,turret_attack,,,,,,,,,,,,,,,35,,75,75,,,25,116,220,,,,800,,120,Medium,-32,,220,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
HealingStation,,,,,,,0,2800,,,,,,,,12,,,,Minion_Building,,HealstationDefault,,,,,HealingStationHeal,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,,,,,SpawnTurret,,,,,,,,,,,,,,,,,,,75,75,,,25,106,100,,,,850,-300,120,Medium,-49,,300,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
Safe,,,,,,,0,36000,,700,,,,,,20,,,,Pvp_Base,,Safe,,,,,,,nuts_bolts_metal_small,safe_explosion,,,,,,,,,,,,,,,,,,,,,,,,100,-100,0,0,0,84,,,,,,,160,Medium,-75,,300,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
ExplodingBarrel,,,,,,,0,12000,,,,,,,,,,,,Minion_Building,,,sc/level.sc,tnt_box,tnt_box,tnt_box_shadow,,ExplodingBarrelExplosion,,,,,,,,,,,,,,,,,,,,,,,,35,,100,-100,0,0,0,95,,,,,,,145,Medium,-59,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
PoisonBarrel,,,,,,,0,2,,,,,,,,,,,,Minion_Building,,Safe,,,,,,PoisonBarrelExplosion,,,,,,,,,,,,,,,,,,,,,,,,35,,80,80,,,35,106,,,,,,,145,,0,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
ShamanPet,,,,,,,610,4000,,600,400,,,,,6,,,,Minion_FindEnemies,,ShamanBearDefault,,,,,,,,death_bull_dude,Gen_move_fx,,,,bear_spawn,,bear_attack,,,,,,,,,,,,,,,30,,85,80,,,25,106,200,,,,425,-1250,145,Medium,-63,,100,,,,,,,,,footstep,25,250,160,,,,,,,,,,,,,,,,
BoneThrowerPet,,,,,,,870,4000,,300,600,,,,,6,1200,,,Minion_Dog,,ShamanBearDefault,,,,,,,,death_bull_dude,Gen_move_fx,,,,bear_spawn,,bear_attack,,,,,,,,,,,,,,,30,,85,80,,,25,84,,,,,,,120,Medium,-43,,,,,,,,,,,footstep,25,250,160,,,,,,,,,,,,,,,,
LaserBall,,,,,,,0,1,,,,,,,,,,,,LaserBall,,BallDefault,,,,,,,,laser_ball_goal,,,,,,,,,,,,,,,,,,,,,,,,80,80,,,25,179,,,,,,,120,,0,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,
LootBox,,,,,,,0,6000,,,,,,,,,,,,LootBox,,LootBox,,,,,,,,Gen_wood_explosion,,,,,,,,,,,,,,,,,,,,,,35,,100,-100,0,0,0,95,,,,,,,145,Medium,-40,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
TutorialDummy3,,,,,,,0,4000,,,,,,,,12,,,,Minion_Building_charges_ulti,,BossBotDefault,,,,,,,takedamage_gen,death_bull_dude,Gen_move_fx,,,,tutorial_robo_spawn,,,,,,,,,,,,,,,,,35,,80,80,,,35,200,,,,,,,145,Medium,-75,,350,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
ArtilleryDudeTurret,,,,,,,0,2800,,2500,1200,,,,ArtilleryDudeTurretProjectile,40,,,,Minion_Building,,ArtilleryTurretDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,,,,,SpawnArtilleryTurret,,artillery_dude_turret_attack,,,,,,,,,,,,,,,35,,75,75,,,25,116,180,,,,900,-1000,120,Medium,-32,,150,,,,,,,,,footstep,25,400,160,,,,,,,,,,,,,,,,
CoopMeleeEnemy1,,,,,,,600,4800,,400,260,,,,,5,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,127,200,,,,,,120,Medium,-54,,,,,,,,,,,footstep,25,250,130,,,,,,,,,,,,,,,,
CoopMeleeEnemy2,,,,,,,600,6800,,400,470,,,,,5,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,148,200,,,,,,145,Medium,-59,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,30,,30,255,120,255,,
CoopMeleeEnemy3,,,,,,,600,11000,,400,600,,,,,6,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,169,200,,,,,,170,Medium,-65,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,100,,,255,140,140,,
CoopMeleeEnemy4,,,,,,,600,16200,,400,730,,,,,6,,,,Minion_FindEnemies,,MeleeBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_melee_attack,,,,,,,,,,,,,,,30,70,85,80,,,25,190,200,,,,,,195,Medium,-70,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,150,100,,255,255,180,,
CoopFastMeleeEnemy1,,,,,,,900,3000,,600,400,,,,,5,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,106,200,,,,,,100,Medium,-43,,,,,,,,,,,footstep,25,250,130,,,,,,,,,,,,,,,,
CoopFastMeleeEnemy2,,,,,,,900,5400,,600,720,,,,,5,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,127,200,,,,,,120,Medium,-49,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,30,,30,255,120,255,,
CoopFastMeleeEnemy3,,,,,,,900,6900,,600,920,,,,,6,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,148,200,,,,,,140,Medium,-54,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,100,,,255,140,140,,
CoopFastMeleeEnemy4,,,,,,,900,10080,,600,1120,,,,,6,,,,Minion_FindEnemies,,MeleeFastBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_fast_melee_attack,,,,,,,,,,,,,,,30,,85,80,,,25,169,200,,,,,,160,Medium,-59,,,,,,,,,,,footstep,25,250,130,,,,,,,,true,150,100,,255,255,180,,
CoopRangedEnemy1,,,,,,,750,2000,,1400,630,,,30,CoopRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,127,200,,,,,,100,Medium,-49,,350,,,,,,,,,footstep,25,250,130,,,,,,,,,,,,,,,,
CoopRangedEnemy2,,,,,,,750,3600,,1400,1130,,,30,CoopRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,148,200,,,,,,120,Medium,-54,,350,,,,,,,,,footstep,25,250,130,,,,,,,,true,30,,30,255,120,255,,
CoopRangedEnemy3,,,,,,,750,4600,,1400,1450,,,30,CoopRangedEnemyProjectile,27,,,,Minion_FindEnemies,,RangedBotDefault,,,,,,,nuts_bolts_metal_small,nuts_bolts_metal_explosion,Gen_move_fx,,,,robo_spawn,,coop_ranged_attack,,,,,,,,,,,,,,,30,,85,80,,,25,169,200,,,,,,140,Medium,-59,,350,,,,,,,,,footstep,25,250,130,,,,,,,,true,100,,,255,140,140,,
