"Name","ParentProjectileForSkin","Speed","FileName","BlueSCW","RedSCW","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamagesConstantlyTickDelay","FreezeStrength","FreezeDurationMS","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","DamageOnlyWithOneProj","HealOwnPercent","CanGrowStronger","HideFaster","GrapplesEnemy","KickBack","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","MinDistanceForSpread","IsFriendlyHomingMissile","IsBoomerang","CanHitAgainAfterBounce","IsHomingMissile","BlockUltiCharge","PoisonType","TravelType","HomingStrength","HomeIgnoreTicks","HomeDistance","HomeLifeTime"
"Spike003Projectile","CactusProjectile",,"sc/effects_brawler.sc",,,"spike_003_atk1_projectile","spike_003_atk1_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,0,,0,120,,"Spike_003_atk1_explosion","Spike_003_atk2",,,"spike_003_atk1_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spike003Frag","CactusSpike",,"sc/effects_brawler.sc",,,"spike_003_atk2_projectile","spike_003_atk2_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit","spike_003_atk2_reached",,,,,,0,,0,100,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spike003UltiProjectile","CactusUltiProjectile",,"sc/effects_brawler.sc",,,"spike_003_ulti_projectile","spike_003_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,240,,0,100,,"Spike_003_ulti_explosion",,,,"spike_003_ulti_trail","true",,,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie002Projectile1","MechanicProjectile1",,"sc/effects_brawler.sc",,,"jessie_002_atk_projectile","jessie_002_atk_projectile_red","shadow_normal_circle_big",,,,,,"jessie_002_atk_hitEnv","jessie_002_atk_hit","jessie_002_atk_end",,,,,,0,,0,150,,,,,,"jessie_002_atk_trail","true",,,,,,,,,,,,,"Jessie002Projectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie002Projectile2","MechanicProjectile2",,"sc/effects_brawler.sc",,,"jessie_002_atk_projectile","jessie_002_atk_projectile_red","shadow_normal_circle_big",,,,,,"jessie_002_atk_hitEnv","jessie_002_atk_hit","jessie_002_atk_end",,,,,,0,,0,150,,,,,,"jessie_002_atk_trail","true",,,,,,,,,,,,,"Jessie002Projectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie002Projectile3","MechanicProjectile3",,"sc/effects_brawler.sc",,,"jessie_002_atk_projectile","jessie_002_atk_projectile_red","shadow_normal_circle_big",,,,,,"jessie_002_atk_hitEnv","jessie_002_atk_hit","jessie_002_atk_end",,,,,,0,,0,150,,,,,,"jessie_002_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie002UltiProjectile","MechanicUltiProjectile",,"sc/effects_brawler.sc",,,"jessie_002_ulti_projectile","jessie_002_ulti_projectile","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,170,,0,100,,,,,,"plasma_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JessieTurret002Projectile","MechanicTurretProjectile",,"sc/effects_brawler.sc",,,"jessie_002_turret_projectile","jessie_002_turret_projectile_red","shadow_normal_circle",,,,,,"jessie_002_turret_hitEnv","jessie_002_turret_hit","jessie_002_turret_hitEnv",,,,,,0,,0,100,,,,,,"jessie_002_turret_trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie003Projectile1","MechanicProjectile1",,"sc/effects_brawler.sc",,,"jessie_003_atk_projectile","jessie_003_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_atk_end","jessie_003_atk_hit","jessie_003_atk_end",,,,,,0,,0,150,,,,,,"jessie_003_atk_trail","true",,,,,,,,,,,,,"Jessie003Projectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie003Projectile2","MechanicProjectile2",,"sc/effects_brawler.sc",,,"jessie_003_atk_projectile","jessie_003_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_atk_end","jessie_003_atk_hit","jessie_003_atk_end",,,,,,0,,0,150,,,,,,"jessie_003_atk_trail","true",,,,,,,,,,,,,"Jessie003Projectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie003Projectile3","MechanicProjectile3",,"sc/effects_brawler.sc",,,"jessie_003_atk_projectile","jessie_003_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_atk_end","jessie_003_atk_hit","jessie_003_atk_end",,,,,,0,,0,150,,,,,,"jessie_003_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie003UltiProjectile","MechanicUltiProjectile",,"sc/effects_brawler.sc",,,"jessie_003_ulti_projectile","jessie_003_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,170,,0,100,,,,,,"plasma_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JessieTurret003Projectile","MechanicTurretProjectile",,"sc/effects_brawler.sc",,,"jessie_003_turret_projectile","jessie_003_turret_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_turret_hitEnv","jessie_003_turret_hit","jessie_003_turret_reached",,,,,,0,,0,100,,,,,,"jessie_003_turret_trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turret003Proj","TurretElecProj",,"sc/effects_brawler.sc",,,"jessie_003_atk_projectile","jessie_003_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_turret_SP_end","jessie_003_turret_hit","jessie_003_turret_SP_end",,,,,,0,,0,80,,,,,,,,,,,,,,,,,,,,"Turret003Proj2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turret003Proj2","TurretElecProj2",,"sc/effects_brawler.sc",,,"jessie_003_atk_projectile","jessie_003_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_turret_SP_end","jessie_003_turret_hit","jessie_003_turret_SP_end",,,,,,0,,0,80,,,,,,,,,,,,,,,,,,,,"Turret003Proj3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turret003Proj3","TurretElecProj3",,"sc/effects_brawler.sc",,,"jessie_003_atk_projectile","jessie_003_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_003_turret_SP_end","jessie_003_turret_hit","jessie_003_turret_SP_end",,,,,,0,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie004Projectile1","MechanicProjectile1",,"sc/effects_brawler.sc",,,"jessie_004_atk_projectile","jessie_004_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_atk_end","jessie_004_atk_hit","jessie_004_atk_end",,,,,,0,,0,150,,,,,,"jessie_004_atk_trail","true",,,,,,,,,,,,,"Jessie004Projectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie004Projectile2","MechanicProjectile2",,"sc/effects_brawler.sc",,,"jessie_004_atk_projectile","jessie_004_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_atk_end","jessie_004_atk_hit","jessie_004_atk_end",,,,,,0,,0,150,,,,,,"jessie_004_atk_trail","true",,,,,,,,,,,,,"Jessie004Projectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie004Projectile3","MechanicProjectile3",,"sc/effects_brawler.sc",,,"jessie_004_atk_projectile","jessie_004_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_atk_end","jessie_004_atk_hit","jessie_004_atk_end",,,,,,0,,0,150,,,,,,"jessie_004_atk_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jessie004UltiProjectile","MechanicUltiProjectile",,"sc/effects_brawler.sc",,,"jessie_004_ulti_projectile","jessie_004_ulti_projectile_red","shadow_normal_circle",,,,,,"Gen_hit","Gen_hit",,,,,,,170,,0,100,,,,,,"plasma_trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JessieTurret004Projectile","MechanicTurretProjectile",,"sc/effects_brawler.sc",,,"jessie_004_turret_projectile","jessie_004_turret_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_turret_hitEnv","jessie_004_turret_hit","jessie_004_turret_reached",,,,,,0,,0,100,,,,,,"jessie_004_turret_trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turret004Proj","TurretElecProj",,"sc/effects_brawler.sc",,,"jessie_004_atk_projectile","jessie_004_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_turret_SP_end","jessie_004_turret_hit","jessie_004_turret_SP_end",,,,,,0,,0,80,,,,,,,,,,,,,,,,,,,,"Turret004Proj2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turret004Proj2","TurretElecProj2",,"sc/effects_brawler.sc",,,"jessie_004_atk_projectile","jessie_004_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_turret_SP_end","jessie_004_turret_hit","jessie_004_turret_SP_end",,,,,,0,,0,80,,,,,,,,,,,,,,,,,,,,"Turret004Proj3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turret004Proj3","TurretElecProj3",,"sc/effects_brawler.sc",,,"jessie_004_atk_projectile","jessie_004_atk_projectile_red",,"projectile_light","projectile_light_red",,,,"jessie_004_turret_SP_end","jessie_004_turret_hit","jessie_004_turret_SP_end",,,,,,0,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicProjectile1",,2870,"sc/effects_brawler.sc",,,"jessie_elecBall_blue","jessie_elecBall_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","electricity_end_blue",150,,,,,0,2,0,150,,,,,,"electricity_Trail","true",,,,,,,,,1,,,20,"MechanicProjectile2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicProjectile2",,1522,"sc/effects_brawler.sc",,,"jessie_elecBall_blue","jessie_elecBall_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","electricity_end_blue",150,,,,,0,1,0,150,,,,,,"electricity_Trail","true",,,,,,,,,1,,,20,"MechanicProjectile3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicProjectile3",,1522,"sc/effects_brawler.sc",,,"jessie_elecBall_blue","jessie_elecBall_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","electricity_end_blue",150,,,,,0,1,0,150,,,,,,"electricity_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
