"Name","Loop","FollowParent","FollowParentAngle","FollowBone","OwnScreenShake","OthersScreenShake","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","GroundBasis","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","EffectZ"
,,,,,,,,,"ParticleEmitter",,,"gen_death_particle_blue",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_ring",,"GroundHigh",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_dust",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_bubbles",,"GroundHigh",,,100,,,,,,
"gen_brawler_death_red",,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_red",,"GroundHigh",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_explode_red",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_ground_splat_red",,"GroundLow","true",,60,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_particle_red",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_smoke_ring_red",,"GroundHigh",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_dust_red",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"gen_death_bubbles_red",,"GroundHigh",,,100,,,,,,
"death_shotgun_girl",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_gunslinger",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_bull_dude",,,,,,,,"Rhino_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_rocket_girl",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_trickshot_dude",,,,,,,,"Male_2_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_cactus",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_barkeep",,,,,,,,"Male_2_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_mechanic",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_shaman",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_tnt_dude",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_luchador",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_undertaker",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_crow",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_dead_mariachi",,,,,,,,"Male_2_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_bow_dude",,,,,,,,"Male_2_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_sniper",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_minigun",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_bonethrower",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_barrel_bot",,,,,,,,"Male_2_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_artillery_dude",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_hammer_dude",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_hook_dude",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_ninja",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_rosa",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_whirlwind",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_baseball",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_arcade",,,,,,,,"Male_1_death","Effect",,,,"gen_brawler_death","Above",,,,,,,"gen_brawler_death_red",,
"death_blackhole",,,,,,,,"Female_1_death","Effect",,,,"gen_brawler_death","Object",,,,,,,"gen_brawler_death_red",,
,,,,,,,,,"ParticleEmitter",,,"Cards_flying",,"Above",,,70,,,,,,
"arcade_def_atk",,,,,100,,,"8bit_atk","ParticleEmitter",,,"arcade_def_atk",,"Object",,,100,,,,"arcade_def_atk_red",,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel",,"GroundHigh",,,,,,,,,
"arcade_def_atk_red",,,,,100,,,"8bit_atk","ParticleEmitter",,,"arcade_def_atk_red",,"Object",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_red",,"GroundHigh",,,,,,,,,
"arcade_def_atk_trail",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_trail",,"GroundHigh",,,100,,,,"arcade_def_atk_trail_red",,
"arcade_def_atk_trail_red",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_trail_red",,"GroundHigh",,,100,,,,,,
"arcade_def_atk_reached",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_reached",,"Above",,,100,,,,"arcade_def_atk_reached_red",,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_ground",,"Object",,,,,,,,,
"arcade_def_atk_reached_red",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_reached_red",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_ground_red",,"Object",,,,,,,,,
"arcade_def_atk_hit",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_hit",,"Above",,,100,,,,"arcade_def_atk_hit_red",,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel",,"Object",,,,,,,,,
"arcade_def_atk_hit_red",,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_hit_red",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_atk_pixel_red",,"Object",,,,,,,,,
"arcade_def_ulti_atk",,"true",,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_atk",,,"Above",,,100,,,,"arcade_def_ulti_atk_red",,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_particles",,"Above",,,100,,,,,,
"arcade_def_ulti_atk_red",,"true",,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_atk_red",,,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_particles_red",,"Above",,,100,,,,,,
"arcade_def_ulti_area_active",,"true",,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area_active",,,"GroundLow","true",,90,,,,"arcade_def_ulti_area_active_red",,
"arcade_def_ulti_area_active_red",,"true",,,,,,,"SWF","sc/effects_brawler.sc","pam_def_ulti_area_active_red",,,"GroundLow","true",,90,,,,,,
"arcade_def_ulti_areaBig_active",,"true",,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_area_active",,,"GroundLow","true",,135,,,,"arcade_def_ulti_areaBig_active_red",,
"arcade_def_ulti_areaBig_active_red",,"true",,,,,,,"SWF","sc/effects_brawler.sc","pam_def_ulti_area_active_red",,,"GroundLow","true",,135,,,,,,
"arcade_def_ulti_area_loop",,"true",,,,,,"8bit_ulti","SWF","sc/effects_brawler.sc","arcade_def_ulti_area",,,"GroundLow","true",,100,,,,"arcade_def_ulti_area_loop_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_symbol",,,"Above",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel",,"Object",,,,,,,,,
"arcade_def_ulti_area_loop_red",,"true",,,,,,"8bit_ulti","SWF","sc/effects_brawler.sc","arcade_def_ulti_area_red",,,"GroundLow","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_symbol_red",,,"Above",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel_red",,"Object",,,,,,,,,
"arcade_def_ulti_areaBig_loop",,"true",,,,,,"8bit_ulti","SWF","sc/effects_brawler.sc","arcade_def_ulti_areaBig",,,"GroundLow","true",,100,,,,"arcade_def_ulti_areaBig_loop_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_symbol",,,"Above",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel",,"Object",,,,,,,,,
"arcade_def_ulti_areaBig_loop_red",,"true",,,,,,"8bit_ulti","SWF","sc/effects_brawler.sc","arcade_def_ulti_areaBig_red",,,"GroundLow","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","arcade_def_ulti_symbol_red",,,"Above",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_pixel_red",,"Object",,,,,,,,,
"arcade_def_ulti_trail",,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_trail",,"GroundHigh",,,100,,,,"arcade_def_ulti_trail_red",,
"arcade_def_ulti_trail_red",,,,,,,,,"ParticleEmitter",,,"arcade_def_ulti_trail_red",,"GroundHigh",,,100,,,,,,
"barley_def_atk",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_def_atk_ground",,,"GroundHigh","true",,100,,,,"barley_def_atk_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_atk_cloud",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_blue",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,
"barley_def_atk_red",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_def_atk_ground_red",,,"GroundHigh","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_atk_cloud_red",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,
"barley_def_atk_trail",,"true",,,,,,,"ParticleEmitter",,,"barley_def_atk_trail",,"Object",,,,,,,"barley_def_atk_trail_red",,
,,"true",,,,,,,"ParticleEmitter",,,"barley_def_atk_trailGround",,"GroundHigh","true",,,,,,,,
"barley_def_atk_trail_red",,"true",,,,,,,"ParticleEmitter",,,"barley_def_atk_trail_red",,"Object",,,,,,,,,
,,"true",,,,,,,"ParticleEmitter",,,"barley_def_atk_trailGround_red",,"GroundHigh","true",,,,,,,,
"barley_def_ulti",,,,,150,50,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_def_ulti_ground",,,"GroundHigh","true",,100,,,,"barley_def_ulti_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_ulti_cloud",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_blue",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact",,"Above",,,,,,,,,
"barley_def_ulti_trail",,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail",,"Object",,,,,,,"barley_def_ulti_trail_red",,
"barley_def_ulti_trail_red",,"true",,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail_red",,"Object",,,,,,,,,
"barley_def_ulti_red",,,,,150,50,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_def_ulti_ground_red",,,"GroundHigh","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_def_ulti_cloud_red",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact_red",,"Above",,,,,,,,,
"barley_002_atk",,,,,150,50,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_blue",,,"Object","true",,180,,,,"barley_002_atk_red",,
,,,,,,,,,"ParticleEmitter",,,"fire_spark_blue",,"Above",,,,,,,,,
"barley_002_atk_red",,,,,150,50,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_red",,,"Object","true",,180,,,,,,
,,,,,,,,,"ParticleEmitter",,,"fire_spark_red",,"Above",,,,,,,,,
"barley_002_trail",,"true",,,,,,,"ParticleEmitter",,,"fireball_trail_blue",,"GroundHigh",,,,,,,"barley_002_trail_red",,
,,"true",,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail",,"Above",,,,,,,,,
"barley_002_trail_red",,"true",,,,,,,"ParticleEmitter",,,"fireball_trail_red",,"GroundHigh",,,,,,,,,
,,"true",,,,,,,"ParticleEmitter",,,"barley_def_ulti_trail_red",,"Above",,,,,,,,,
"barley_002_ulti",,,,,150,50,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_ulti_blue",,,"Object","true",,190,,,,"barley_002_ulti_red",,
,,,,,,,,,"ParticleEmitter",,,"fire_ulti_spark_blue",,"Above",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"cloudExplode_ground_red",,"GroundHigh",,,,,,,,,
"barley_002_ulti_red",,,,,150,50,,"Wiz_barley_fireball_hit","SWF","sc/effects_brawler.sc","fireball_explosion_ulti_red",,,"Object","true",,190,,,,,,
,,,,,,,,,"ParticleEmitter",,,"fire_ulti_spark_red",,"Above",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"cloudExplode_ground_red",,"GroundHigh",,,,,,,,,
"barley_004_atk",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_atk_ground",,,"GroundHigh","true",,100,,,,"barley_004_atk_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_atk_cloud",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_004_shards_gold",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,
"barley_004_atk_red",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_atk_ground_red",,,"GroundHigh","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_atk_cloud_red",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,
"barley_004_atk_trail",,"true",,,,,,,"ParticleEmitter",,,"barley_004_atk_trailLeaf",,"GroundHigh",,,,,,,"barley_004_atk_trail_red",,
"barley_004_atk_trail_red",,"true",,,,,,,"ParticleEmitter",,,"barley_004_atk_trailLeaf_red",,"GroundHigh",,,,,,,,,
"barley_004_ulti",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_ulti_ground",,,"GroundHigh","true",,100,,,,"barley_004_ulti_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_ulti_cloud",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_004_shards_gold",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,
"barley_004_ulti_red",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_004_ulti_ground_red",,,"GroundHigh","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_004_ulti_cloud_red",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_shards_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,
"barley_005_atk",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_005_atk_ground",,,"GroundLow","true",,100,,,,"barley_005_atk_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_atk_fragments",,,"GroundHigh","true",,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_remain",,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact",,"Above",,,,,,,,,
"barley_005_atk_red",,,,,150,50,,"Barkeep_bottle_hit","SWF","sc/effects_brawler.sc","barley_005_atk_ground_red",,,"GroundLow","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_atk_fragments_red",,,"GroundHigh","true",,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_remain_red",,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_atk_impact_red",,"Above",,,,,,,,,
"barley_005_atk_trail",,"true",,,,,,,"ParticleEmitter",,,"barley_005_atk_trail",,"Object",,,,,,,"barley_005_atk_trail_red",,
"barley_005_atk_trail_red",,"true",,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_red",,"Object",,,,,,,,,
"barley_005_ulti",,,,,150,50,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_005_ulti_ground",,,"GroundLow","true",,100,,,,"barley_005_ulti_red",,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_ulti_fragments",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_ulti_remains",,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact",,"Above",,,,,,,,,
"barley_005_ulti_red",,,,,150,50,,"Barkeep_ulti_hit","SWF","sc/effects_brawler.sc","barley_005_ulti_ground_red",,,"GroundLow","true",,100,,,,,,
,,,,,,,,,"SWF","sc/effects_brawler.sc","barley_005_ulti_fragments_red",,,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_ulti_remains_red",,"GroundHigh",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_debris_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_def_ulti_impact_red",,"Above",,,,,,,,,
"barley_005_ulti_trail",,"true",,,,,,,"ParticleEmitter",,,"barley_005_atk_trail",,"Object",,,,,,,"barley_005_ulti_trail_red",,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_add",,"Object",,,,,,,,,
"barley_005_ulti_trail_red",,"true",,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_red",,"Object",,,,,,,,,
,,,,,,,,,"ParticleEmitter",,,"barley_005_atk_trail_red_add",,"Object",,,,,,,,,
"bea_def_atk",,"true",,,100,,,"Bea_Atk","SWF","sc/effects_brawler.sc","bea_def_shoot",,,"Object",,,100,,,,"bea_def_atk_red",,400
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_pixel",,"GroundHigh",,,,,,,,,
"bea_def_atk_red",,"true",,,100,,,"Bea_Atk","SWF","sc/effects_brawler.sc","bea_def_shoot_red",,,"Object",,,100,,,,,,400
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_pixel_red",,"GroundHigh",,,,,,,,,
"bea_def_atk_charged",,"true",,"bee_s",,,,,"SWF","sc/effects_brawler.sc","bea_def_atk_charged",,,"Above",,,120,,,,"bea_def_atk_charged_red",,
,,"true",,,,,,,"ParticleEmitter",,,"bea_def_bee_charged",,"Above",,,100,,,,,,
"bea_def_atk_charged_red",,"true",,"bee_s",,,,,"SWF","sc/effects_brawler.sc","bea_def_atk_charged_red",,,"Above",,,120,,,,,,
,,"true",,,,,,,"ParticleEmitter",,,"bea_def_bee_charged_red",,"Above",,,100,,,,,,
"bea_def_atk_trail",,,,,,,,,"ParticleEmitter",,,"bea_def_ulti_trail_twinkles",,"GroundHigh",,,100,,,,"bea_def_atk_trail_red",,
"bea_def_atk_trail_red",,,,,,,,,"ParticleEmitter",,,"bea_def_ulti_trail_twinkles_red",,"GroundHigh",,,100,,,,,,
"bea_def_atk_hit",,,,,,,,"Bea_Atk_Hit","ParticleEmitter",,,"bea_def_atk_hit",,"Above",,,90,,,,"bea_def_atk_hit_red",,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark",,"Object",,,120,,,,,,
"bea_def_atk_hit_red",,,,,,,,"Bea_Atk_Hit","ParticleEmitter",,,"bea_def_atk_hit_red",,"Above",,,90,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark_red",,"Object",,,120,,,,,,
"bea_def_atk2_hit",,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hit",,"Above",,,135,,,,"bea_def_atk2_hit_red",,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark",,"GroundHigh",,,130,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud",,"Object",,,160,,,,,,
"bea_def_atk2_hit_red",,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hit_red",,"Above",,,135,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark_red",,"GroundHigh",,,130,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud_red",,"Object",,,160,,,,,,
"bea_def_atk_hitEnv",,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud",,"GroundHigh",,,100,,,,"bea_def_atk_hitEnv_red",,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_shock",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark",,"Object",,,100,,,,,,
"bea_def_atk_hitEnv_red",,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud_red",,"GroundHigh",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_shock_red",,"Above",,,100,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark_red",,"Object",,,100,,,,,,
"bea_def_atk2_hitEnv",,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud",,"GroundHigh",,,130,,,,"bea_def_atk2_hitEnv_red",,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_shock",,"Above",,,130,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark",,"Object",,,130,,,,,,
"bea_def_atk2_hitEnv_red",,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_cloud_red",,"GroundHigh",,,130,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_shock_red",,"Above",,,130,,,,,,
,,,,,,,,,"ParticleEmitter",,,"bea_def_atk_hitEnv_spark_red",,"Object",,,130,,,,,,
"bea_def_ulti",,,,,,,,"Bea_Ulti","SWF","sc/effects_brawler.sc","bea_def_ulti",,,"Object",,,125,,,,"bea_def_ulti_red",,300
"bea_def_ulti_red",,,,,,,,"Bea_Ulti","SWF","sc/effects_brawler.sc","bea_def_ulti_red",,,"Object",,,125,,,,,,300
"bea_def_ulti_reached",,,,,,,,,"ParticleEmitter",,,"bea_def_ulti_beeFly",,"Object",,,100,,,,"bea_def_ulti_reached_red",,
"bea_def_ulti_reached_red",,,,,,,,,"ParticleEmitter",,,"bea_def_ulti_beeFly_red",,"Object",,,100,,,,,,
