Name,Character,Model,CameraModel,IdleAnim,WalkAnim,PrimarySkillAnim,SecondarySkillAnim,PrimarySkillRecoilAnim,PrimarySkillRecoilAnim2,SecondarySkillRecoilAnim,SecondarySkillRecoilAnim2,ReloadingAnim,PushbackAnim,HappyAnim,HappyLoopAnim,SadAnim,SadLoopAnim,HeroScreenIdleAnim,HeroScreenAnim,HeroScreenLoopAnim,SignatureAnim,EnterAnim,ProfileAnim,BossAutoAttackAnim,BossAutoAttackRecoilAnim,BossAutoAttackRecoilAnim2,IdleFace,WalkFace,HappyFace,HappyLoopFace,SadFace,SadLoopFace,HeroScreenIdleFace,HeroScreenFace,HeroScreenLoopFace,SignatureFace,ProfileFace,HappyEffect,SadEffect,HeadRotationIngame,HatScaleIngame,PetInSameSprite,AttackLocksAttackAngle,UltiLocksAttackAngle,MainAttackProjectile,UltiProjectile,MainAttackEffect,UltiAttackEffect,UseBlueTextureInMenus,MainAttackUseEffect,UltiUseEffect,MeleeHitEffect,SpawnEffect,UltiLoopEffect,UltiLoopEffect2,SpawnedItem,KillCelebrationSoundVO,InLeadCelebrationSoundVO,StartSoundVO,UseUltiSoundVO,TakeDamageSoundVO,DeathSoundVO,AttackSoundVO,BoneEffect1,BoneEffect2,BoneEffect3,BoneEffect4,BoneEffectUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusDefault,Cactus,spike_geo.scw,spike_base_cam.scw,SpikeIdle,SpikeWalk,SpikePrimary,SpikeSecondary,SpikeRecoil,,SpikeRecoil2,,SpikeReload,SpikeIdle,SpikeWin,SpikeWinloop,SpikeLose,SpikeLoseloop,SpikeIdle,SpikeWin,SpikeWinloop,SpikeWin,SpikeIdle,SpikeProfile,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CactusPink,Cactus,spike_blossom_geo.scw,spike_base_cam.scw,SpikeIdle,SpikeWalk,SpikePrimary,SpikeSecondary,SpikeRecoil,,SpikeRecoil2,,SpikeReload,SpikeIdle,SpikeWin,SpikeWinloop,SpikeLose,SpikeLoseloop,SpikeIdle,SpikeWin,SpikeWinloop,SpikeWin,SpikeIdle,SpikeProfile,,,,,,,,,,,,,,,,,,,,true,true,Spike002Projectile,Spike002UltiProjectile,spike_002_atk,spike_002_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkeepDefault,Barkeep,barkeep_geo.scw,barley_base_cam.scw,BarkeepIdle,BarkeepWalk,BarkeepPrimary,BarkeepSecondary,BarkeepRecoil,,BarkeepRecoil,,BarkeepReload,BarkeepPushback,BarkeepWin,BarkeepWinloop,BarkeepLose,BarkeepLoseloop,BarkeepWinidleloop,BarkeepWin,BarkeepWinidleloop,BarkeepWin,BarkeepIdle,BarkeepProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MechanicDefault,Mechanic,jessie_geo.scw:jessie_main+jessie_gun+jessie_hat+jessie_backpack,jessie_base_cam.scw,JunkerIdle,JunkerWalk,JunkerPrimary,JunkerUltiAttack,JunkerRecoil,,JunkerUltiRecoil,,JunkerReload,JunkerPushback,JunkerWin,JunkerWinloop,JunkerLose,JunkerLoseloop,JunkerIdle,JunkerWin,JunkerWinloop,JunkerWin,JunkerIdle,JunkerProfile,,,,JessieIdle,JessieIdle,JessieWin,JessieWinLoop,JessieLose,JessieLoseLoop,JessieIdle,JessieWin,JessieWinLoop,JessieWin,JessieStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanDefault,Shaman,nita_geo.scw,nita_base_cam.scw,ShamanIdle,ShamanWalk,ShamanAttack,ShamanSecondary,ShamanRecoil,,ShamanRecoil,,ShamanReload,ShamanPushback,ShamanWin,ShamanWinloop,ShamanLose,ShamanLoseloop,ShamanIdle,ShamanWin,ShamanWinloop,ShamanWin,ShamanIdle,ShamanProfile,,,,NitaStill,NitaStill,NitaWin,NitaWinLoop,NitaLose,NitaLoseLoop,NitaWinLoop,NitaWin,NitaWinLoop,NitaWin,NitaStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanPanda,Shaman,nita_geo.scw,nita_base_cam.scw,ShamanIdle,ShamanWalk,ShamanAttack,ShamanSecondary,ShamanRecoil,,ShamanRecoil,,ShamanReload,ShamanPushback,ShamanWin,ShamanWinloop,ShamanLose,ShamanLoseloop,ShamanIdle,ShamanWin,ShamanWinloop,ShamanWin,ShamanIdle,ShamanProfile,,,,NitaStill,NitaStill,NitaWin,NitaWinLoop,NitaLose,NitaLoseLoop,NitaWinLoop,NitaWin,NitaWinLoop,NitaWin,NitaStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanBearDefault,ShamanPet,nita_bear_geo.scw,portrait_cam.scw,BearShibaIdle,BearWalk,BearAttack,BearShibaIdle,BearRecoil,,BearShibaIdle,,BearShibaIdle,BearPushback,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamanBearPanda,ShamanPet,nita_bear_geo.scw,portrait_cam.scw,BearShibaIdle,BearWalk,BearAttack,BearShibaIdle,BearRecoil,,BearShibaIdle,,BearShibaIdle,BearPushback,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UndertakerDefault,Undertaker,mortis_geo.scw:headGeo+hairGeo+cloakGeo+armsGeo+torsoGeo+capeGeo+capeGeo1+legsGeo+shoesGeo+lanternGeo+shovelGeo+shovelsmearGeo,mortis_base_cam.scw,UndertakerIdle,UndertakerWalk,UndertakerAttack,UndertakerUltiAttack,UndertakerRecoil1,,UndertakerUltiRecoil1,,,UndertakerPushback,UndertakerWin,UndertakerWinloop,UndertakerLose,UndertakerLoseloop,UndertakerIdle,UndertakerWin,UndertakerWinloop,UndertakerWin,UndertakerIdle,UndertakerProfile,,,,MortisStill,MortisStill,MortisWin,MortisWinLoop,MortisLose,MortisLoseLoop,MortisWinLoop,MortisWin,MortisWinLoop,MortisWin,MortisWin,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrowDefault,Crow,crow_geo.glb,crow_base_cam.scw,CrowIdle,CrowWalk,CrowPrimary,CrowSecondary,CrowRecoil,,CrowIdle,,CrowReload,CrowPushback,CrowWin,CrowWinloop,CrowLose,CrowLoseloop,CrowIdle,CrowWin,CrowWinloop,CrowWin,CrowIdle,CrowProfile,,,,CrowFace,CrowFace,CrowHappy,CrowFace,CrowSad,CrowSad,CrowFace,CrowHappy,CrowFace,CrowHappy,CrowFace,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrowWhite,Crow,crow_white_geo.glb,crow_base_cam.scw,CrowIdle,CrowWalk,CrowPrimary,CrowSecondary,CrowRecoil,,CrowIdle,,CrowReload,CrowPushback,CrowWin,CrowWinloop,CrowLose,CrowLoseloop,CrowIdle,CrowWin,CrowWinloop,CrowWin,CrowIdle,CrowProfile,,,,Crow002Face,Crow002Face,Crow002Happy,Crow002Face,Crow002Sad,Crow002Sad,Crow002Face,Crow002Happy,Crow002Face,Crow002Happy,Crow002Face,,,,,,,,Crow003Projectile,Crow003UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeadMariachiDefault,DeadMariachi,poco_geo.scw,poco_base_cam.scw,PocoIdle,PocoWalk,PocoAttack,PocoSecondary,PocoRecoil,,PocoRecoil,,PocoReload,PocoPushback,PocoWin,PocoWinloop,PocoLose,PocoLoseloop,PocoIdle,PocoWin,PocoWinloop,PocoWin,PocoIdle,PocoProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BowDudeDefault,BowDude,bo_geo.scw,bo_base_cam.scw,BowGuyIdle,BowGuyWalk,BowGuyAttack,BowGuySecondary,BowGuyRecoil,,BowGuyRecoil2,,,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyLose,BowGuyLoseloop,BowGuyIdle,BowGuyWin,BowGuyWinloop,BowGuyWin,BowGuyIdle,BowGuyProfile,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SniperDefault,Sniper,piper_geo.scw,piper_portrait.scw,SniperIdle,SniperWalk,SniperAttack,SniperSecondary,SniperRecoil,,SniperRecoil,,SniperReload,SniperPushback,SniperWin,SniperWinloop,SniperLose,SniperLoseloop,SniperIdle,SniperWin,SniperWinloop,SniperWin,SniperIdle,SniperProfile,,,,PiperStillOpen,PiperStillOpen,PiperWin,PiperWinLoop,PiperLose,PiperLoseLoop,PiperWinLoop,PiperWin,PiperWinLoop,PiperWin,PiperStillClosed,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinigunDudeDefault,MinigunDude,pam_geo.scw,pam_base_cam.scw,PamIdle,PamWalk,PamAttack,PamSecondary,PamRecoil,,PamSecondaryRecoil,,PamReload,PamPushback,PamWin,PamWinloop,PamLose,PamLoseloop,PamIdle,PamWin,PamWinloop,PamWin,PamIdle,PamPortrait,,,,PamFace,PamFace,PamHappy,PamFace,PamFace,PamFace,PamFace,PamHappy,PamFace,PamFace,PamStill,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BullGuyHair,BullDude,bull_viking_geo.scw,bull_base_cam.scw,BullVikingIdle,BullVikingWalk,BullVikingPrimary,BullVikingSecondary,BullVikingRecoil,,BullVikingRecoil,,BullVikingIdle,BullVikingPushback,BullVikingWin,BullVikingWinloop,BullVikingLose,BullVikingLoseloop,BullVikingIdle,BullVikingWin,BullVikingWinloop,BullVikingWin,BullVikingIdle,BullGuyHairProfile,,,,BullStill,BullStill,BullWin,BullWinLoop,BullLose,BullLoseLoop,BullWinLoop,BullWin,BullWinLoop,BullWin,BullStill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrickshotGold,TrickshotDude,rico_gold_geo.scw,rico_base_cam.scw,RicoGoldIdle,RicoGoldWalk,RicoGoldPrimary,RicoGoldSecondary,RicoGoldRecoil,,RicoGoldRecoil,,RicoGoldReload,RicoGoldPushback,RicoGoldWin,RicoGoldWinloop,RicoGoldLose,RicoGoldLoseloop,RicoGoldIdle,RicoGoldWin,RicoGoldWinloop,RicoGoldWin,RicoGoldIdle,RicoProfile,,,,,,,,,,,,,,,,,,,,,,Rico003Projectile,Rico003UltiProjectile,rico_003_atk,rico_003_ulti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkeepGold,Barkeep,barley_banker_geo.scw,barley_base_cam.scw,BarkeepBankerIdle,BarkeepBankerWalk,BarkeepBankerPrimary,BarkeepBankerSecondary,BarkeepBankerRecoil,,BarkeepBankerRecoil,,BarkeepBankerReload,BarkeepBankerPushback,BarkeepBankerWin,BarkeepBankerWinloop,BarkeepBankerLose,BarkeepBankerLoseloop,BarkeepBankerWinidleloop,BarkeepBankerWin,BarkeepBankerWinidleloop,BarkeepBankerWin,BarkeepBankerIdle,BarkeepBankerProfile,,,,,,,,,,,,,,,,,,,,,,Barley003Projectile,Barley003UltiProjectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LuchadorRudo,Luchador,primo_elrudo_geo.scw,primo_elrudo_portrait.scw,LouchadorIdle,LouchadorWalk,LouchadorPrimary,LouchadorSecondary,LouchadorRecoil,LouchadorRecoil2,LouchadorRecoil,,,LouchadorPushback,LuchadorRudoWin,LuchadorRudoWinloop,LouchadorLose,LouchadorLoseloop,LouchadorIdle,LuchadorRudoWin,LuchadorRudoWinloop,LuchadorRudoWin,LouchadorIdle,LouchadorRudoPortrait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BanditGirlBandita,ShotgunGirl,shelly_bandita_geo.scw,shelly_base_cam.scw,ShellyBanditaIdle,ShellyBanditaWalk,ShellyBanditaPrimary,ShellyBanditaSecondary,ShellyBanditaRecoil,,ShellyBanditaRecoil,,ShellyBanditaReload,ShellyBanditaPushback,ShellyBanditaWin,ShellyBanditaWinloop,ShellyBanditaLose,ShellyBanditaLoseloop,ShellyBanditaIdle,ShellyBanditaWin,ShellyBanditaWinloop,ShellyBanditaWin,ShellyBanditaIdle,ShellyProfile,,,,Shelly002Still,Shelly002Still,Shelly002Win,Shelly002WinLoop,Shelly002Lose,Shelly002LoseLoop,Shelly002WinLoop,Shelly002Win,Shelly002WinLoop,Shelly002Win,Shelly002Still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LuchadorRey,Luchador,primo_elrey_geo.scw,primo_portrait.scw,LuchadorReyIdle,LuchadorReyWalk,LuchadorReyPrimary,LuchadorReySecondary,LuchadorReyRecoil,LuchadorReyRecoil2,LuchadorReyRecoil,,,LouchadorPushback,LuchadorReyWin,LuchadorReyWinloop,LuchadorReyLose,LuchadorReyLoseloop,LuchadorReyIdle,LuchadorReyWin,LuchadorReyWinloop,LuchadorReyWin,LuchadorReyIdle,LouchadorProfile,,,,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,PrimoElreyIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BallDefault,,brawl_ball.scw,portrait_cam.scw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackholeDefault,BlackHole,tara_geo.scw,tara_base_cam.scw,TaraIdle,TaraWalk,TaraPrimary,TaraSecondary,TaraRecoil,,TaraSecondaryRecoil,,TaraReload,TaraIdle,TaraWin,TaraWinloop,TaraLose,TaraLoseloop,TaraIdle,TaraWin,TaraWinloop,TaraWin,TaraIdle,TaraProfile,,,,TaraFaceIdle,TaraFaceIdle,TaraFaceWin,TaraFaceWinLoop,TaraFaceLose,TaraFaceLoseloop,TaraFaceIdle,TaraFaceIdle,TaraFaceIdle,TaraFaceIdle,TaraFaceIdle,,,,,,true,true,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealstationDefault,HealingStation,pam_turret_geo.scw,portrait_cam.scw,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,PamTurretIdle,,PamTurretIdle,,PamTurretIdle,PamTurretIdle,PamTurretSpawn,PamTurretIdle,,PamTurretIdle,PamTurretIdle,,PamTurretIdle,,PamTurretIdle,PamTurretIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarrelbotDefault,BarrelBot,darryl_geo.scw,darryl_base_cam.scw,DarrylIdle,DarrylWalk,DarrylPrimary,BarrelbotSecondary,DarrylRecoil,DarrylRecoil2,DarrylRecoil,,DarrylReload,DarrylPushback,BarrelbotWin,BarrelbotWinloop,BarrelbotLose,BarrelbotLoseloop,DarrylIdle,BarrelbotWin,BarrelbotWinloop,BarrelbotWinloop,DarrylHide,DarrylProfile,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackholePetDefault,BlackHolePet,tara_geo.scw,tara_base_cam.scw,TaraIdle,TaraWalk,TaraPrimary,TaraSecondary,TaraRecoil,,TaraSecondaryRecoil,,TaraReload,TaraIdle,TaraWin,TaraWinloop,TaraLose,TaraLoseloop,TaraIdle,TaraWin,TaraWinloop,TaraWin,TaraIdle,TaraWin,,,,,,,,,,,,,,,,,,,,true,true,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TntPetDefault,TntPet,nita_bear_geo.scw,portrait_cam.scw,BearShibaIdle,BearWalk,BearAttack,BearShibaIdle,BearRecoil,,BearShibaIdle,,BearShibaIdle,BearPushback,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,BearShibaIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RangedBotDefault,,rangedbot_geo.scw:head+body+Gun,portrait_cam.scw,RangedBotIdle,RangedBotWalk,RangedBotPrimary,RangedBotSecondary,RangedBotRecoil,,RangedBotRecoil,,RangedBotReload,RangedBotPushback,RangedBotWin,RangedBotWinloop,RangedBotLose,RangedBotLoseloop,RangedBotIdle,RangedBotWin,RangedBotWinloop,RangedBotWin,RangedBotIdle,RangedBotIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeleeFastBotDefault,,fastmeleebot_geo.scw:robo_geo,portrait_cam.scw,FastMeleeBotIdle,FastMeleeBotWalk,FastMeleeBotIdle,FastMeleeBotIdle,FastMeleeBotRecoil,,FastMeleeBotRecoil,,,FastMeleeBotPushback,FastMeleeBotWin,FastMeleeBotWinloop,FastMeleeBotLose,FastMeleeBotLoseloop,FastMeleeBotIdle,FastMeleeBotWin,FastMeleeBotWinloop,FastMeleeBotWin,FastMeleeBotIdle,FastMeleeBotIdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
