"Name","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","FragileSCW","FragileMesh","FragileAngleStep","WaterTileSCW","FenceSCW","IndestructibleSCW","IndestructibleMesh","BenchSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewGemGrabSpawnHoleExportName"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryShowdown","sc3d/rock_mortuary_1.scw",,90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/candles_1.scw","candles1",0,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/tombstone_large.scw",,,,,74,52,82,"mortuary_spawn_hole"
,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,
,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassfield","sc3d/rock2.scw","Rock_2",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/brick1.scw","brick_1","sc3d/park_bench_1.scw",,,,,60,150,87,"spawn_hole"
,"sc3d/rock2.scw","Rock_2b",90,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
"GrassfieldBeachBall","sc3d/rock2.scw","Rock_2",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass2.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/brick1.scw","brick_1","sc3d/park_bench_1.scw","BallBeach",,,,60,150,87,"spawn_hole"
,"sc3d/rock2.scw","Rock_2b",90,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
"Default","sc3d/rock2.scw","Rock_2",90,"sc3d/rock2.scw","Rock_2",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/ball_cactus.scw","ball_cactus",1,"sc3d/grass2.scw","sc3d/grass3.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/water_tile.scw","sc3d/wooden_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,,,,249,166,117,"spawn_hole"
,"sc3d/rock2.scw","Rock_2b",90,"sc3d/rock2.scw","Rock_2b",90,,,,,,,,,,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,
"DarrylsShip","sc3d/cargo_block_1.scw","cargo_block_1",90,"sc3d/pirate_chest.scw",,0,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/barrel_fishy.scw",,1,"sc3d/grass_seaweed.scw","sc3d/grass_seaweed.scw","sc3d/seaweed_small.scw","seaweed_deco_a",1,"sc3d/cannon_balls.scw","cannon_balls",1,"sc3d/water_tile_darryls_ship.scw","sc3d/wooden_fence_darryls_ship.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,"sc3d/mine_gem_spawn_darryls_ship.scw",,,224,122,89,"darryls_spawn_hole"
,"sc3d/cargo_block_1.scw","cargo_block_1b",90,,,,,,,,,,,,,,,,"seaweed_deco_b",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DarrylsXmas","sc3d/cargo_block_1.scw","cargo_block_1",90,"sc3d/pirate_chest.scw",,0,"sc3d/crate_xmas.scw","crate_xmas",0,"sc3d/barrel_xmas.scw","barrel_xmas",1,"sc3d/barrel_fishy.scw",,1,"sc3d/grass_seaweed.scw","sc3d/grass_seaweed.scw","sc3d/seaweed_small.scw","seaweed_deco_a",1,"sc3d/cannon_balls.scw","cannon_balls",1,"sc3d/water_tile_darryls_ship.scw","sc3d/wooden_fence_darryls_ship.scw","sc3d/indestructible_metal_1.scw",,"sc3d/park_bench_1.scw",,"sc3d/mine_gem_spawn_darryls_ship.scw",,,224,122,89,"darryls_spawn_hole"
,"sc3d/cargo_block_1.scw","cargo_block_1b",90,,,,,,,,,,,,,,,,"seaweed_deco_b",1,,,,,,,,,,,,,,,,
