"Name","IconSWF","IconExportName","Target","LockedForChronos","MetaType","RequiresCard","Type","Skill","Value","Value2","Value3","Rarity","TID","PowerNumberTID","PowerNumber2TID","PowerIcon1ExportName","PowerIcon2ExportName","SortOrder","DontUpgradeStat"
"TrickshotDude_ulti","sc/ui.sc","ulti_icon","TrickshotDude",,3,,"skill","TrickshotDudeUlti",,,,"common","TID_TRICKSHOT_DUDE_ULTI","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",,,
"Cactus_unlock","sc/ui.sc",,"Cactus",,0,,"unlock",,,,,"legendary",,,,,,26,
"Cactus_hp","sc/ui.sc","health_icon","Cactus",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Cactus_abi","sc/ui.sc","attack_icon","Cactus",,2,,"skill","CactusWeapon",,,,"common","TID_CACTUS_WEAPON","TID_STAT_DAMAGE_PER_SPIKE",,"genicon_damage",,,
"Cactus_ulti","sc/ui.sc","ulti_icon","Cactus",,3,,"skill","CactusUlti",,,,"common","TID_CACTUS_ULTI","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",,,
"Barkeep_unlock","sc/ui.sc",,"Barkeep",,0,,"unlock",,,,,"rare",,,,,,12,
"Barkeep_hp","sc/ui.sc","health_icon","Barkeep",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Barkeep_abi","sc/ui.sc","attack_icon","Barkeep",,2,,"skill","BarkeepWeapon",,,,"common","TID_BARKEEP_WEAPON","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",,,
"Barkeep_ulti","sc/ui.sc","ulti_icon","Barkeep",,3,,"skill","BarkeepUlti",,,,"common","TID_BARKEEP_ULTI","TID_STAT_DAMAGE_PER_SECOND_EACH",,"genicon_damage",,,
"Mechanic_unlock","sc/ui.sc",,"Mechanic",,0,,"unlock",,,,,"common",,,,,,4,
"Mechanic_hp","sc/ui.sc","health_icon","Mechanic",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Mechanic_abi","sc/ui.sc","attack_icon","Mechanic",,2,,"skill","MechanicWeapon",,,,"common","TID_MECHANIC_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"Mechanic_ulti","sc/ui.sc","ulti_icon","Mechanic",,3,,"skill","MechanicUlti",,,,"common","TID_MECHANIC_ULTI","TID_TURRET_DAMAGE","TID_TURRET_HEALTH","genicon_damage","genicon_health",,
"Shaman_unlock","sc/ui.sc",,"Shaman",,0,,"unlock",,,,,"common",,,,,,1,
"Shaman_hp","sc/ui.sc","health_icon","Shaman",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Shaman_abi","sc/ui.sc","attack_icon","Shaman",,2,,"skill","ShamanWeapon",,,,"common","TID_SHAMAN_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"Shaman_ulti","sc/ui.sc","ulti_icon","Shaman",,3,,"skill","ShamanUlti",,,,"common","TID_SHAMAN_ULTI","TID_BEAR_DAMAGE","TID_BEAR_HEALTH","genicon_damage","genicon_health",,
"TntDude_unlock","sc/ui.sc",,"TntDude",,0,,"unlock",,,,,"common",,,,,,6,
"TntDude_hp","sc/ui.sc","health_icon","TntDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"TntDude_abi","sc/ui.sc","attack_icon","TntDude",,2,,"skill","TntDudeWeapon",,,,"common","TID_MORTAR","TID_STAT_PER_DYNAMITE",,"genicon_damage",,,
"TntDude_ulti","sc/ui.sc","ulti_icon","TntDude",,3,,"skill","TntDudeUlti",,,,"common","TID_MORTAR_ULTI","TID_STAT_DAMAGE",,"genicon_damage",,,
"Luchador_unlock","sc/ui.sc",,"Luchador",,0,,"unlock",,,,,"rare",,,,,,11,
"Luchador_hp","sc/ui.sc","health_icon","Luchador",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Luchador_abi","sc/ui.sc","attack_icon","Luchador",,2,,"skill","LuchadorWeapon",,,,"common","TID_LUCHADOR_WEAPON","TID_STAT_DAMAGE_PER_STRIKE",,"genicon_damage",,,
"Luchador_ulti","sc/ui.sc","ulti_icon","Luchador",,3,,"skill","LuchadorUlti",,,,"common","TID_LUCHADOR_ULTI","TID_STAT_DAMAGE",,"genicon_damage",,,
"Undertaker_unlock","sc/ui.sc",,"Undertaker",,0,,"unlock",,,,,"mega_epic",,,,,,23,
"Undertaker_hp","sc/ui.sc","health_icon","Undertaker",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Undertaker_abi","sc/ui.sc","attack_icon","Undertaker",,2,,"skill","UndertakerWeapon",,,,"common","TID_UNDERTAKER_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"Undertaker_ulti","sc/ui.sc","ulti_icon","Undertaker",,3,,"skill","UndertakerUlti",,,,"common","TID_UNDERTAKER_ULTI","TID_STAT_DAMAGE",,"genicon_damage",,,
"Crow_unlock","sc/ui.sc",,"Crow",,0,,"unlock",,,,,"legendary",,,,,,27,
"Crow_hp","sc/ui.sc","health_icon","Crow",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Crow_abi","sc/ui.sc","attack_icon","Crow",,2,,"skill","CrowWeapon",,,,"common","TID_CROW_WEAPON","TID_STAT_DAMAGE_PER_DAGGER",,"genicon_damage",,,
"Crow_ulti","sc/ui.sc","ulti_icon","Crow",,3,,"skill","CrowUlti",,,,"common","TID_CROW_ULTI","TID_STAT_DAMAGE_PER_DAGGER",,"genicon_damage",,,
"DeadMariachi_unlock","sc/ui.sc",,"DeadMariachi",,0,,"unlock",,,,,"rare",,,,,,13,
"DeadMariachi_hp","sc/ui.sc","health_icon","DeadMariachi",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"DeadMariachi_abi","sc/ui.sc","attack_icon","DeadMariachi",,2,,"skill","DeadMariachiWeapon",,,,"common","TID_DEAD_MARIACHI_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"DeadMariachi_ulti","sc/ui.sc","ulti_icon","DeadMariachi",,3,,"skill","DeadMariachiUlti",,,,"common","TID_DEAD_MARIACHI_ULTI","TID_STAT_HEAL",,"genicon_health",,,
"BowDude_unlock","sc/ui.sc",,"BowDude",,0,,"unlock",,,,,"common",,,,,,7,
"BowDude_hp","sc/ui.sc","health_icon","BowDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"BowDude_abi","sc/ui.sc","attack_icon","BowDude",,2,,"skill","BowDudeWeapon",,,,"common","TID_BOW_DUDE_WEAPON","TID_STAT_DAMAGE_PER_ARROW",,"genicon_damage",,,
"BowDude_ulti","sc/ui.sc","ulti_icon","BowDude",,3,,"skill","BowDudeUlti",,,,"common","TID_BOW_DUDE_ULTI","TID_STAT_DAMAGE_PER_MINE",,"genicon_damage",,,
"Sniper_unlock","sc/ui.sc",,"Sniper",,0,,"unlock",,,,,"epic",,,,,,19,
"Sniper_hp","sc/ui.sc","health_icon","Sniper",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Sniper_abi","sc/ui.sc","attack_icon","Sniper",,2,,"skill","SniperWeapon",,,,"common","TID_SNIPER_WEAPON","TID_STAT_MAX_DAMAGE",,"genicon_damage",,,
"Sniper_ulti","sc/ui.sc","ulti_icon","Sniper",,3,,"skill","SniperUlti",,,,"common","TID_SNIPER_ULTI","TID_STAT_DAMAGE_PER_BOMB",,"genicon_damage",,,
"MinigunDude_unlock","sc/ui.sc",,"MinigunDude",,0,,"unlock",,,,,"epic",,,,,,20,
"MinigunDude_hp","sc/ui.sc","health_icon","MinigunDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"MinigunDude_abi","sc/ui.sc","attack_icon","MinigunDude",,2,,"skill","MinigunDudeWeapon",,,,"common","TID_MINIGUN_DUDE_WEAPON","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",,,
"MinigunDude_ulti","sc/ui.sc","ulti_icon","MinigunDude",,3,,"skill","MinigunDudeUlti",,,,"common","TID_MINIGUN_DUDE_ULTI","TID_STAT_HEALING_PER_SEC","TID_TURRET_HEALTH","genicon_heal","genicon_health",,
"BlackHole_unlock","sc/ui.sc",,"BlackHole",,0,,"unlock",,,,,"mega_epic",,,,,,24,
"BlackHole_hp","sc/ui.sc","health_icon","BlackHole",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"BlackHole_abi","sc/ui.sc","attack_icon","BlackHole",,2,,"skill","BlackHoleWeapon",,,,"common","TID_BLACK_HOLE_WEAPON","TID_STAT_DAMAGE_PER_CARD",,"genicon_damage",,,
"BlackHole_ulti","sc/ui.sc","ulti_icon","BlackHole",,3,,"skill","BlackHoleUlti",,,,"common","TID_BLACK_HOLE_ULTI","TID_STAT_DAMAGE",,"genicon_damage",,,
"BarrelBot_unlock","sc/ui.sc",,"BarrelBot",,0,,"unlock",,,,,"super_rare",,,,,,16,
"BarrelBot_hp","sc/ui.sc","health_icon","BarrelBot",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"BarrelBot_abi","sc/ui.sc","attack_icon","BarrelBot",,2,,"skill","BarrelBotWeapon",,,,"common","TID_BARREL_BOT_WEAPON","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",,,
"BarrelBot_ulti","sc/ui.sc","ulti_icon","BarrelBot",,3,,"skill","BarrelBotUlti",,,,"common","TID_BARREL_BOT_ULTI","TID_STAT_DAMAGE",,"genicon_damage",,,
"ShotgunGirl_unique","sc/ui.sc","icon_eiuD","ShotgunGirl",,4,,"freeze",,60,350,,"common","TID_SPEC_ABI_FREEZE",,,"genicon_health",,,
"Gunslinger_unique","sc/ui.sc","icon_eiuD","Gunslinger",,4,,"speed",,75,,,"common","TID_SPEC_ABI_SPEED",,,"genicon_health",,,
"BullDude_unique","sc/ui.sc","icon_eiuD","BullDude",,4,,"berserker",,40,,,"common","TID_SPEC_ABI_BERSERKER",,,"genicon_health",,,
"RocketGirl_unique","sc/ui.sc","icon_eiuD","RocketGirl",,4,,"main_attack_burn",,600,,,"common","TID_SPEC_BURN",,,"genicon_health",,,
"TrickshotDude_unique","sc/ui.sc","icon_eiuD","TrickshotDude",,4,,"bounced_bullets_stronger",,100,,,"common","TID_SPEC_BOUNCED_BULLETS_STRONGER",,,"genicon_health",,,
"Cactus_unique","sc/ui.sc","icon_eiuD","Cactus",,4,,"cactus_heal",,800,,,"common","TID_SPEC_ABI_CACTUS_HEAL",,,"genicon_health",,,
"Barkeep_unique","sc/ui.sc","icon_eiuD","Barkeep",,4,,"heal_self_main_attack",,400,,,"common","TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK",,,"genicon_health",,,
"Mechanic_unique","sc/ui.sc","icon_eiuD","Mechanic",,4,,"repair_turret",,800,,,"common","TID_SPEC_ABI_REPAIR_TURRET",,,"genicon_health",,,
"Shaman_unique","sc/ui.sc","icon_eiuD","Shaman",,4,,"pet_lifesteal",,500,500,,"common","TID_SPEC_ABI_PET_LIFESTEAL",,,"genicon_health",,,
"TntDude_unique","sc/ui.sc","icon_eiuD","TntDude",,4,,"pushback_self",,972,,,"common","TID_SPEC_ABI_PUSHBACK_SELF",,,"genicon_health",,,
"Luchador_unique","sc/ui.sc","icon_eiuD","Luchador",,4,,"fire_dot_ulti",,1200,,,"common","TID_SPEC_ABI_FIRE_DOT_ULTI",,,"genicon_health",,,
"Undertaker_unique","sc/ui.sc","icon_eiuD","Undertaker",,4,,"steal_souls",,1800,,,"common","TID_SPEC_ABI_STEAL_SOULS",,,"genicon_health",,,
"Crow_unique","sc/ui.sc","icon_eiuD","Crow",,4,,"cripple",,20,,,"common","TID_SPEC_CRIPPLE",,,"genicon_health",,,
"DeadMariachi_unique","sc/ui.sc","icon_eiuD","DeadMariachi",,4,,"heal_main_attack",,800,,,"common","TID_SPEC_HEAL_MAIN_ATTACK",,,"genicon_health",,,
"BowDude_unique","sc/ui.sc","icon_eiuD","BowDude",,4,,"spot",,5,,,"common","TID_SPEC_ABI_SPOT",,,"genicon_health",,,
"Sniper_unique","sc/ui.sc","icon_eiuD","Sniper",,4,,"ambush",,800,,,"common","TID_SPEC_ABI_AMBUSH",,,"genicon_health",,,
"MinigunDude_unique","sc/ui.sc","icon_eiuD","MinigunDude",,4,,"heal_others_main_attack",,40,,,"common","TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK",,,"genicon_health",,,
"BlackHole_unique","sc/ui.sc","icon_eiuD","BlackHole",,4,,"black_hole_monster",,1,,,"common","TID_SPEC_ABI_BLACK_HOLE_MONSTER",,,"genicon_health",,,
"BarrelBot_unique","sc/ui.sc","icon_eiuD","BarrelBot",,4,,"barrel_defense",,70,30,,"common","TID_SPEC_ABI_BARREL_DEFENSE",,,"genicon_health",,,
"ArtilleryDude_unlock","sc/ui.sc",,"ArtilleryDude",,0,,"unlock",,,,,"super_rare",,,,,,17,
"ArtilleryDude_hp","sc/ui.sc","health_icon","ArtilleryDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"ArtilleryDude_abi","sc/ui.sc","attack_icon","ArtilleryDude",,2,,"skill","ArtilleryDudeWeapon",,,,"common","TID_ARTILLERY_DUDE_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"ArtilleryDude_ulti","sc/ui.sc","ulti_icon","ArtilleryDude",,3,,"skill","ArtilleryDudeUlti",,,,"common","TID_ARTILLERY_DUDE_ULTI","TID_CANNON_DAMAGE","TID_CANNON_HEALTH","genicon_damage","genicon_health",,
"ArtilleryDude_unique","sc/ui.sc","icon_eiuD","ArtilleryDude",,4,,"self_destruct",,1680,,,"common","TID_SPEC_ABI_SELF_DESTRUCT",,,"genicon_health",,,
"HammerDude_unlock","sc/ui.sc",,"HammerDude",,0,,"unlock",,,,,"epic",,,,,,21,
"HammerDude_hp","sc/ui.sc","health_icon","HammerDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"HammerDude_abi","sc/ui.sc","attack_icon","HammerDude",,2,,"skill","HammerDudeWeapon",,,,"common","TID_HAMMER_DUDE_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"HammerDude_ulti","sc/ui.sc","ulti_icon","HammerDude",,3,,"skill","HammerDudeUlti",,,,"common","TID_HAMMER_DUDE_ULTI","TID_STAT_DAMAGE",,"genicon_damage","genicon_health",,
"HammerDude_unique","sc/ui.sc","icon_eiuD","HammerDude",,4,,"steal_souls2",,50,12,,"common","TID_SPEC_ABI_STEAL_SOULS2",,,"genicon_health",,,
"HookDude_unlock","sc/ui.sc",,"HookDude",,0,,"unlock",,,,,"mega_epic",,,,,,25,
"HookDude_hp","sc/ui.sc","health_icon","HookDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"HookDude_abi","sc/ui.sc","attack_icon","HookDude",,2,,"skill","HookWeapon",,,,"common","TID_HOOK_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"HookDude_ulti","sc/ui.sc","ulti_icon","HookDude",,3,,"skill","HookUlti",,,,"common","TID_HOOK_ULTI","TID_HOOK_ULTI",,"genicon_damage",,,
"HookDude_unique","sc/ui.sc","icon_eiuD","HookDude",,4,,"aoe_regenerate",,400,,,"common","TID_SPEC_ABI_HOOK",,,"genicon_health",,,
"ClusterBombDude_unlock","sc/ui.sc",,"ClusterBombDude",,0,,"unlock",,,,,"common",,,,,,8,
"ClusterBombDude_hp","sc/ui.sc","health_icon","ClusterBombDude",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"ClusterBombDude_abi","sc/ui.sc","attack_icon","ClusterBombDude",,2,,"skill","ClusterBombDudeWeapon",,,,"common","TID_CLUSTER_BOMB_DUDE_WEAPON","TID_STAT_DAMAGE_PER_PROXIMITY_MINE",,"genicon_damage",,,
"ClusterBombDude_ulti","sc/ui.sc","ulti_icon","ClusterBombDude",,3,,"skill","ClusterBombDudeUlti",,,,"common","TID_CLUSTER_BOMB_DUDE_ULTI","TID_STAT_DAMAGE","TID_HEAD_HEALTH","genicon_damage",,,
"ClusterBombDude_unique","sc/ui.sc","icon_eiuD","ClusterBombDude",,4,,"repair_self",,40,,,"common","TID_SPEC_ABI_REPAIR_SELF",,,"genicon_health",,,
"Ninja_unlock","sc/ui.sc",,"Ninja",,0,,"unlock",,,,,"legendary",,,,,,28,
"Ninja_hp","sc/ui.sc","health_icon","Ninja",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Ninja_abi","sc/ui.sc","attack_icon","Ninja",,2,,"skill","NinjaWeapon",,,,"common","TID_NINJA_WEAPON","TID_STAT_DAMAGE_PER_SHURIKEN",,"genicon_damage",,,
"Ninja_ulti","sc/ui.sc","ulti_icon","Ninja",,3,,"skill","NinjaUlti",,,,"common","TID_NINJA_ULTI","TID_STAT_INVISIBLE",,"genicon_damage",,,
"Ninja_unique","sc/ui.sc","icon_eiuD","Ninja",,4,,"speed_invisible",,200,,,"common","TID_SPEC_ABI_SPEED_INVISIBLE",,,"genicon_health",,,
"Rosa_unlock","sc/ui.sc",,"Rosa",,0,,"unlock",,,,,"rare",,,,,,14,
"Rosa_hp","sc/ui.sc","health_icon","Rosa",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Rosa_abi","sc/ui.sc","attack_icon","Rosa",,2,,"skill","RosaWeapon",,,,"common","TID_ROSA_WEAPON","TID_STAT_DAMAGE_PER_STRIKE",,"genicon_damage",,,
"Rosa_ulti","sc/ui.sc","ulti_icon","Rosa",,3,,"skill","RosaUlti",,,,"common","TID_ROSA_ULTI","TID_STAT_SHIELD",,"genicon_damage",,,
"Rosa_unique","sc/ui.sc","icon_eiuD","Rosa",,4,,"heal_forest",,200,,,"common","TID_SPEC_ABI_HEAL_FOREST",,,"genicon_health",,,
"Whirlwind_unlock","sc/ui.sc",,"Whirlwind",,0,,"unlock",,,,,"super_rare",,,,,,18,
"Whirlwind_hp","sc/ui.sc","health_icon","Whirlwind",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Whirlwind_abi","sc/ui.sc","attack_icon","Whirlwind",,2,,"skill","WhirlwindWeapon",,,,"common","TID_WHIRLWIND_WEAPON","TID_STAT_DAMAGE_EACH_WAY",,"genicon_damage",,,
"Whirlwind_ulti","sc/ui.sc","ulti_icon","Whirlwind",,3,,"skill","WhirlwindUlti",,,,"common","TID_WHIRLWIND_ULTI","TID_STAT_DAMAGE_PER_SWING",,"genicon_damage",,,
"Whirlwind_unique","sc/ui.sc","icon_eiuD","Whirlwind",,4,,"projectile_speed",,360,,,"common","TID_SPEC_ABI_PROJECTILE_SPEED",,,"genicon_health",,,
"Baseball_unlock","sc/ui.sc",,"Baseball",,0,,"unlock",,,,,"epic",,,,,,22,
"Baseball_hp","sc/ui.sc","health_icon","Baseball",,1,,"hp",,,,,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",,,
"Baseball_abi","sc/ui.sc","attack_icon","Baseball",,2,,"skill","BaseballWeapon",,,,"common","TID_BASEBALL_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",,,
"Baseball_ulti","sc/ui.sc","ulti_icon","Baseball",,3,,"skill","BaseballUlti",,,,"common","TID_BASEBALL_ULTI","TID_STAT_DAMAGE_EACH_WAY",,"genicon_damage",,,
"Baseball_unique","sc/ui.sc","icon_eiuD","Baseball",,4,,"speed_full_ammo",,100,,,"common","TID_SPEC_ABI_SPED_FULL_AMMO",,,"genicon_health",,,
"ShotgunGirl_unique_2","sc/ui.sc","icon_eiuD","ShotgunGirl",,4,,"medikit",,40,1800,20000,"common","TID_SPEC_ABI_MEDIKIT",,,"genicon_health",,,
"Shaman_unique_2","sc/ui.sc","icon_eiuD","Shaman",,4,,"pet_attack_speed",,60,,,"common","TID_SPEC_ABI_PET_ATTACK_SPEED",,,"genicon_health",,,
"BullDude_unique_2","sc/ui.sc","icon_eiuD","BullDude",,4,,"low_health_shield",,40,30,,"common","TID_SPEC_ABI_LOW_HEALTH_SHIELD",,,"genicon_health",,,
"Gunslinger_unique_2","sc/ui.sc","icon_eiuD","Gunslinger",,4,,"attack_range",,3,,,"common","TID_SPEC_ABI_ATTACK_RANGE",,,"genicon_health",,,
"MinigunDude_unique_2","sc/ui.sc","icon_eiuD","MinigunDude",,4,,"aoe_dot",,500,,,"common","TID_SPEC_ABI_TURRET_AOE",,,"genicon_health",,,
"Luchador_unique_2","sc/ui.sc","icon_eiuD","Luchador",,4,,"speed_after_ulti",,200,80,,"common","TID_SPEC_ABI_SPEED_AFTER_ULTI",,,"genicon_health",,,
"Ninja_unique_2","sc/ui.sc","icon_eiuD","Ninja",,4,,"heal_invisible",,1000,,,"common","TID_SPEC_ABI_HOT_INVISIBLE",,,"genicon_health",,,
"ArtilleryDude_unique_2","sc/ui.sc","icon_eiuD","ArtilleryDude",,4,,"ulti_burn",,400,,,"common","TID_SPEC_ULTI_BURN",,,"genicon_health",,,
"Crow_unique_2","sc/ui.sc","icon_eiuD","Crow",,4,,"prey_on_the_weak",,50,120,,"common","TID_SPEC_ABI_PREY_ON_THE_WEAK",,,"genicon_health",,,
"DeadMariachi_unique_2","sc/ui.sc","icon_eiuD","DeadMariachi",,4,,"damage_super",,800,,,"common","TID_SPEC_DAMAGE_SUPER",,,"genicon_health",,,
"Whirlwind_unique_2","sc/ui.sc","icon_eiuD","Whirlwind",,4,,"ulti_defense",,60,40,,"common","TID_SPEC_ABI_WHIRLWIND_SHIELD",,,"genicon_health",,,
"Baseball_unique_2","sc/ui.sc","icon_eiuD","Baseball",,4,,"shield_homerun",,30,,,"common","TID_SPEC_ABI_SHIELD_HOMERUN",,,"genicon_health",,,
"Rosa_unique_2","sc/ui.sc","icon_eiuD","Rosa",,4,,"damage_buff_super",,220,,,"common","TID_SPEC_ABI_DAMAGE_BUFF_SUPER",,,"genicon_health",,,
"BowDude_unique_2","sc/ui.sc","icon_eiuD","BowDude",,4,,"stun_trap",,40,,,"common","TID_SPEC_ABI_STUN_TRAP",,,"genicon_health",,,
"Mechanic_unique_2","sc/ui.sc","icon_eiuD","Mechanic",,4,,"turret_electricity",,1,,,"common","TID_SPEC_ABI_TURRET_ELECTRICITY",,,"genicon_health",,,
"RocketGirl_unique_2","sc/ui.sc","icon_eiuD","RocketGirl",,4,,"extra_bullet",,1,,,"common","TID_SPEC_EXTRA_BULLET",,,"genicon_health",,,
"Cactus_unique_2","sc/ui.sc","icon_eiuD","Cactus",,4,,"curve_ball",,100,200,,"common","TID_SPEC_ABI_CURVEBALL",,,"genicon_health",,,
"Sniper_unique_2","sc/ui.sc","icon_eiuD","Sniper",,4,,"reload_on_hit",,30,,,"common","TID_SPEC_ABI_RELOAD_ON_HIT",,,"genicon_health",,,
"HammerDude_unique_2","sc/ui.sc","icon_eiuD","HammerDude",,4,,"gain_health",,1100,,,"common","TID_SPEC_ABI_GAIN_HEALTH",,,"genicon_health",,,
"Undertaker_unique_2","sc/ui.sc","icon_eiuD","Undertaker",,4,,"longer_dash",,6,,3500,"common","TID_SPEC_ABI_LONGER_DASH",,,"genicon_health",,,
"TntDude_unique_2","sc/ui.sc","icon_eiuD","TntDude",,4,,"gain_damage_super",,1000,,,"common","TID_SPEC_ABI_SUPER_DAMAGE",,,"genicon_health",,,
"TrickshotDude_unique_2","sc/ui.sc","icon_eiuD","TrickshotDude",,4,,"speed_low_health",,250,40,,"common","TID_SPEC_ABI_SPEED_LOW_HEALTH",,,"genicon_health",,,
